city,distance,through
KAB. ACEH BARAT,1606.2652158388023,"[95, 58, 59, 62]"
KAB. ACEH BARAT DAYA,1725.9570124719705,"[95, 58, 59, 62, 0]"
KAB. ACEH BESAR,1673.4837205062995,"[95, 58, 36, 35, 49, 22, 21]"
KAB. ACEH JAYA,1674.6494745860161,"[95, 58, 59, 62, 4]"
KAB. ACEH SELATAN,1424.1842928263777,"[95, 58, 59, 62]"
KAB. ACEH SINGKIL,1341.563966253579,"[95, 58, 73, 72]"
KAB. ACEH TAMIANG,1437.2000113700929,"[95, 58, 59]"
KAB. ACEH TENGAH,1509.2546638076662,"[95, 58, 36, 35, 49, 25, 26]"
KAB. ACEH TENGGARA,1426.746076317382,"[95, 58, 73, 67]"
KAB. ACEH TIMUR,1562.024247989674,"[95, 58, 73, 67, 8]"
KAB. ACEH UTARA,1628.6143820781617,"[95, 58, 73, 67, 8, 9]"
KAB. BENER MERIAH,1599.3732222556691,"[95, 58, 36, 35, 34, 43, 42]"
KAB. BIREUEN,1591.7940045684036,"[95, 94]"
KAB. GAYO LUES,1532.4575029729788,"[95, 58, 36, 35, 49, 25, 14]"
KAB. NAGAN RAYA,1435.36266588796,"[95, 58, 36, 35, 49, 25]"
KAB. PIDIE,1449.7139932944133,"[95, 58, 36, 37]"
KAB. PIDIE JAYA,1479.2453899269938,"[95, 58, 36, 37, 15]"
KAB. SIMEULUE,1207.5220834753084,"[95, 58]"
KOTA BANDA ACEH,1539.7114536598874,"[95, 58, 17]"
KOTA LANGSA,1358.5878570209957,"[95, 58, 36, 37]"
KOTA LHOKSEUMAWE,1480.0590785013724,"[95, 58, 36, 37, 19]"
KOTA SABANG,1621.706957683246,"[95, 58, 36, 35, 49, 22]"
KOTA SUBULUSSALAM,1166.025228895353,"[95, 58, 36, 35, 49]"
KAB. ASAHAN,1295.1220679810926,"[95, 94, 93, 92, 24]"
KAB. BATUBARA,1252.7894901807385,"[95, 94, 93, 92]"
KAB. DAIRI,1194.0649621136297,"[95, 58, 36, 35, 49]"
KAB. DELI SERDANG,1272.4953542611913,"[95, 58, 36, 35, 49, 25]"
KAB. HUMBANG HASUNDUTAN,1258.6207254349322,"[95, 58, 36, 35, 49, 22]"
KAB. KARO,1220.4959961770414,"[95, 58, 36, 35, 49, 25]"
KAB. LABUHANBATU,1179.3643325936862,"[95, 94, 30]"
KAB. LABUHANBATU SELATAN,1127.7587671379465,"[95, 94]"
KAB. LABUHANBATU UTARA,1193.1329628247413,"[95, 94, 30]"
KAB. LANGKAT,1430.6088648831555,"[95, 94, 30, 31]"
KAB. MANDAILING NATAL,1184.848933880164,"[95, 58, 36, 35, 34]"
KAB. NIAS,1000.1172740928444,"[95, 58, 36, 35]"
KAB. NIAS BARAT,969.9911535939983,"[95, 58, 36]"
KAB. NIAS SELATAN,918.7534054541335,"[95, 58]"
KAB. NIAS UTARA,1001.7929532374771,"[95, 58, 36]"
KAB. PADANG LAWAS,1271.4563220654816,"[95, 58, 36, 37]"
KAB. PADANG LAWAS UTARA,1282.0756009622428,"[95, 58, 36, 35, 34, 33]"
KAB. PAKPAK BHARAT,1363.4025100748186,"[95, 58, 73, 72, 41]"
KAB. SAMOSIR,1298.7328979048577,"[95, 58, 73, 72]"
KAB. SERDANG BEDAGAI,1317.9151410639518,"[95, 58, 36, 35, 34, 43]"
KAB. SIMALUNGUN,1271.0290754511645,"[95, 58, 36, 35, 34]"
KAB. TAPANULI SELATAN,1341.9214574906282,"[95, 58, 73, 46, 45]"
KAB. TAPANULI TENGAH,1271.2772457640044,"[95, 58, 73, 46]"
KAB. TAPANULI UTARA,1222.28286161249,"[95, 58, 73]"
KAB. TOBA SAMOSIR,1261.9567338291945,"[95, 58, 73, 46]"
KOTA BINJAI,1280.8941588248138,"[95, 58, 36, 35, 49]"
KOTA GUNUNGSITOLI,1003.3624089734419,"[95, 58, 36, 35]"
KOTA MEDAN,1286.2866696784624,"[95, 58, 36, 35, 49]"
KOTA PADANGSIDEMPUAN,1168.8404895616745,"[95, 58, 73, 74]"
KOTA PEMATANGSIANTAR,1294.410761592061,"[95, 58, 36, 35, 34, 43]"
KOTA SIBOLGA,1273.933761632783,"[95, 58, 78]"
KOTA TANJUNGBALAI,1404.2227359729943,"[95, 58, 36, 35, 49, 25, 28, 55]"
KOTA TEBING TINGGI,1322.485988301436,"[95, 58, 36, 35, 49, 25, 28]"
KAB. AGAM,1061.1363221136182,"[95, 110, 109]"
KAB. DHARMASRAYA,953.1617447439621,"[95, 58]"
KAB. KEPULAUAN MENTAWAI,651.9474879417205,[95]
KAB. LIMA PULUH KOTA,896.1726676203958,"[95, 58]"
KAB. PADANG PARIAMAN,974.2750719465471,"[95, 58, 59]"
KAB. PASAMAN,939.3603845083603,"[95, 58, 59]"
KAB. PASAMAN BARAT,997.0963163744896,"[95, 58, 59]"
KAB. PESISIR SELATAN,990.7240752596681,"[95, 58, 73, 74]"
KAB. SIJUNJUNG,1013.9782456483812,"[95, 58, 66, 65]"
KAB. SOLOK,975.053951864075,"[95, 58, 66]"
KAB. SOLOK SELATAN,910.721092789423,"[95, 58]"
KAB. TANAH DATAR,897.9080448054281,"[95, 58, 73]"
KOTA BUKITTINGGI,926.780876227349,"[95, 58, 73, 67]"
KOTA PADANG,998.3995407815546,"[95, 58, 73, 67, 68]"
KOTA PADANGPANJANG,972.589729844424,"[95, 58, 73, 71]"
KOTA PARIAMAN,937.226027923522,"[95, 58, 73]"
KOTA PAYAKUMBUH,920.9608649698652,"[95, 58, 73]"
KOTA SAWAHLUNTO,869.2020760502336,"[95, 58]"
KOTA SOLOK,883.6461479105105,"[95, 58, 73]"
KAB. BENGKALIS,1150.8279412513398,"[95, 58, 73, 74]"
KAB. INDRAGIRI HILIR,1217.0548503313025,"[95, 58, 78, 77]"
KAB. INDRAGIRI HULU,1112.2441823119007,"[95, 58, 78]"
KAB. KAMPAR,956.0104353386971,"[95, 58]"
KAB. KEPULAUAN MERANTI,1144.2844655392237,"[95, 58, 78]"
KAB. KUANTAN SINGINGI,961.0899659882539,"[95, 58]"
KAB. PELALAWAN,1065.2703608193378,"[95, 58, 80]"
KAB. ROKAN HILIR,1135.644131282599,"[95, 58, 73, 67]"
KAB. ROKAN HULU,1211.5179606935503,"[95, 58, 78, 84]"
KAB. SIAK,1058.3663074688288,"[95, 58, 78]"
