city,distance,through
KAB. ACEH BARAT,1780.4130629590445,"[97, 96, 323]"
KAB. ACEH BARAT DAYA,1739.3321075631625,"[97, 19, 20, 21, 2]"
KAB. ACEH BESAR,1489.037265359632,"[97, 19, 20, 21]"
KAB. ACEH JAYA,1565.3407386967308,"[97, 19, 20, 21, 2]"
KAB. ACEH SELATAN,1516.0718121740963,"[97, 71, 70]"
KAB. ACEH SINGKIL,1433.3532634895387,"[97, 71, 72]"
KAB. ACEH TAMIANG,1441.0654661523404,"[97, 19, 20, 7]"
KAB. ACEH TENGAH,1309.3879409165631,"[97, 19, 20]"
KAB. ACEH TENGGARA,1468.1959663981447,"[97, 19, 20, 7]"
KAB. ACEH TIMUR,1603.4741380704368,"[97, 19, 20, 7, 8]"
KAB. ACEH UTARA,1670.0642721589245,"[97, 19, 20, 7, 8, 9]"
KAB. BENER MERIAH,1635.10927714007,"[97, 71]"
KAB. BIREUEN,1686.1044507136914,"[97, 71, 11]"
KAB. GAYO LUES,1573.4463938000529,"[97, 71, 70]"
KAB. NAGAN RAYA,1599.0265023664558,"[97, 96, 29, 25]"
KAB. PIDIE,1708.3180990137648,"[97, 96, 29, 16]"
KAB. PIDIE JAYA,1678.7867023811843,"[97, 96, 29]"
KAB. SIMEULUE,1696.3519726411957,"[97, 95, 58]"
KOTA BANDA ACEH,1416.80139685363,"[97, 19]"
KOTA LANGSA,1099.6417412875237,[97]
KOTA LHOKSEUMAWE,1221.1129627679004,"[97, 19]"
KOTA SABANG,1437.2605025365785,"[97, 19, 20]"
KOTA SUBULUSSALAM,1409.1363830003431,"[97, 96, 29, 27]"
KAB. ASAHAN,1541.421547805813,"[97, 96, 29, 25, 24]"
KAB. BATUBARA,1499.0889700054588,"[97, 96, 29, 25]"
KAB. DAIRI,1357.7287985921255,"[97, 96, 29]"
KAB. DELI SERDANG,1426.182258362968,"[97, 96, 29, 30]"
KAB. HUMBANG HASUNDUTAN,1316.5408864607639,"[97, 96, 29]"
KAB. KARO,1366.1492063827814,"[97, 96, 29]"
KAB. LABUHANBATU,1138.2373581705197,"[97, 96]"
KAB. LABUHANBATU SELATAN,1189.8429236262593,"[97, 96, 29]"
KAB. LABUHANBATU UTARA,1255.2171193130541,"[97, 96, 29, 30]"
KAB. LANGKAT,1492.6930213714686,"[97, 96, 29, 30, 31]"
KAB. MANDAILING NATAL,1341.6972546539128,"[97, 96, 38, 39]"
KAB. NIAS,1403.7599633386146,"[97, 71, 70, 69]"
KAB. NIAS BARAT,1433.8860838374608,"[97, 71, 70, 69, 34]"
KAB. NIAS SELATAN,1407.5832946200208,"[97, 95, 58]"
KAB. NIAS UTARA,1453.6662630045203,"[97, 96]"
KAB. PADANG LAWAS,1189.901102569358,"[97, 96]"
KAB. PADANG LAWAS UTARA,1244.470587571834,"[97, 96, 38]"
KAB. PAKPAK BHARAT,1432.9291572181305,"[97, 96, 38, 39]"
KAB. SAMOSIR,1390.522195140817,"[97, 71, 72]"
KAB. SERDANG BEDAGAI,1452.210009862753,"[97, 96, 38, 39, 43]"
KAB. SIMALUNGUN,1405.3239442499657,"[97, 96, 38, 39]"
KAB. TAPANULI SELATAN,1481.9147738258685,"[97, 71, 73, 46, 45]"
KAB. TAPANULI TENGAH,1411.270562099245,"[97, 71, 73, 46]"
KAB. TAPANULI UTARA,1362.2761779477305,"[97, 71, 73]"
KAB. TOBA SAMOSIR,1401.950050164435,"[97, 71, 73, 46]"
KOTA BINJAI,1523.9088942800659,"[97, 96, 38, 39, 43, 52]"
KOTA GUNUNGSITOLI,1467.2573392169045,"[97, 71, 70, 69, 34, 35]"
KOTA MEDAN,1564.871233379567,"[97, 71, 73, 74, 51]"
KOTA PADANGSIDEMPUAN,1308.8338058969148,"[97, 71, 73, 74]"
KOTA PEMATANGSIANTAR,1428.705630390862,"[97, 96, 38, 39, 43]"
KOTA SIBOLGA,1569.3920251575726,"[97, 96, 38, 39, 43, 52]"
KOTA TANJUNGBALAI,1549.8759461787342,"[97, 96, 29, 28, 55]"
KOTA TEBING TINGGI,1468.139198507176,"[97, 96, 29, 28]"
KAB. AGAM,1310.8595814745013,"[97, 96, 323]"
KAB. DHARMASRAYA,1388.8693974438054,"[97, 71, 73, 74, 80, 81]"
KAB. KEPULAUAN MENTAWAI,1140.777377107608,"[97, 95]"
KAB. LIMA PULUH KOTA,1349.8937768988333,"[97, 96, 323, 322]"
KAB. PADANG PARIAMAN,1427.9961812249846,"[97, 96, 323, 322, 59]"
KAB. PASAMAN,1361.1428887943835,"[97, 71, 73, 74, 63]"
KAB. PASAMAN BARAT,1388.0368979522057,"[97, 71, 73, 74, 63]"
KAB. PESISIR SELATAN,1130.7173915949083,"[97, 71, 73, 74]"
KAB. SIJUNJUNG,1250.0242855667045,"[97, 71, 73, 74, 63]"
KAB. SOLOK,1214.9920264988193,"[97, 71, 73, 74, 63]"
