city,distance,through
KAB. ACEH BARAT,119.69179663316817,"[1, 0]"
KAB. ACEH BARAT DAYA,0.0,[1]
KAB. ACEH BESAR,250.2948422035304,"[1, 2]"
KAB. ACEH JAYA,326.5983155406292,"[1, 2, 3]"
KAB. ACEH SELATAN,577.0634973002675,"[1, 2, 3, 4]"
KAB. ACEH SINGKIL,697.7342222408489,"[1, 2, 3, 4, 5]"
KAB. ACEH TAMIANG,738.1716481797018,"[1, 2, 21, 20, 7, 6]"
KAB. ACEH TENGAH,606.4941229439246,"[1, 2, 21, 20, 7]"
KAB. ACEH TENGGARA,765.3021484255061,"[1, 2, 21, 20, 7, 8]"
KAB. ACEH TIMUR,900.5803200977981,"[1, 2, 21, 20, 7, 8, 9]"
KAB. ACEH UTARA,967.1704541862857,"[1, 2, 21, 20, 7, 8, 9, 10]"
KAB. BENER MERIAH,1006.2916558857864,"[1, 2, 21, 20, 7, 8, 9, 10, 11]"
KAB. BIREUEN,1057.286829459408,"[1, 2, 21, 20, 7, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,1145.3674319543618,"[1, 2, 21, 20, 28, 25, 14, 13]"
KAB. NAGAN RAYA,1048.272594869343,"[1, 2, 21, 20, 28, 25, 14]"
KAB. PIDIE,1099.772973857343,"[1, 2, 21, 22, 15]"
KAB. PIDIE JAYA,1129.3043704899235,"[1, 2, 21, 22, 15, 16]"
KAB. SIMEULUE,1238.4029455311102,"[1, 2, 21, 20, 28, 55, 17]"
KOTA BANDA ACEH,956.850021841745,"[1, 2, 21, 20, 19, 18]"
KOTA LANGSA,639.6903662756388,"[1, 2, 21, 20, 19]"
KOTA LHOKSEUMAWE,518.219144795262,"[1, 2, 21, 20]"
KOTA SABANG,302.07160502658394,"[1, 2, 21]"
KOTA SUBULUSSALAM,757.7533338144768,"[1, 2, 21, 22]"
KAB. ASAHAN,948.9677387061321,"[1, 2, 21, 22, 23]"
KAB. BATUBARA,948.335062508346,"[1, 2, 21, 20, 28, 25, 24]"
KAB. DAIRI,806.9748910950127,"[1, 2, 21, 20, 28, 25]"
KAB. DELI SERDANG,843.2534324903995,"[1, 2, 21, 20, 7, 26]"
KAB. HUMBANG HASUNDUTAN,850.3488303540561,"[1, 2, 21, 22, 27]"
KAB. KARO,780.5438570316011,"[1, 2, 21, 20, 28]"
KAB. LABUHANBATU,1008.4557052438627,"[1, 2, 21, 20, 28, 29]"
KAB. LABUHANBATU SELATAN,1032.2570299912315,"[1, 2, 21, 20, 28, 30]"
KAB. LABUHANBATU UTARA,1097.6312256780263,"[1, 2, 21, 20, 28, 30, 31]"
KAB. LANGKAT,1155.7276392951053,"[1, 2, 21, 20, 45, 32]"
