city,distance,through
KAB. ACEH BARAT,817.426018874017,"[5, 4, 3, 2, 1, 0]"
KAB. ACEH BARAT DAYA,697.7342222408489,"[5, 4, 3, 2, 1]"
KAB. ACEH BESAR,447.43938003731853,"[5, 4, 3, 2]"
KAB. ACEH JAYA,371.1359067002198,"[5, 4, 3]"
KAB. ACEH SELATAN,120.67072494058141,"[5, 4]"
KAB. ACEH SINGKIL,0.0,[5]
KAB. ACEH TAMIANG,208.88376119064975,"[5, 6]"
KAB. ACEH TENGAH,340.56128642642693,"[5, 6, 7]"
KAB. ACEH TENGGARA,499.3693119080084,"[5, 6, 7, 8]"
KAB. ACEH TIMUR,634.6474835803004,"[5, 6, 7, 8, 9]"
KAB. ACEH UTARA,701.2376176687881,"[5, 6, 7, 8, 9, 10]"
KAB. BENER MERIAH,740.3588193682888,"[5, 6, 7, 8, 9, 10, 11]"
KAB. BIREUEN,791.3539929419104,"[5, 6, 7, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,940.5611536418024,"[5, 6, 7, 8, 9, 10, 11, 12, 13]"
KAB. NAGAN RAYA,897.0486918947938,"[5, 6, 7, 26, 25, 14]"
KAB. PIDIE,945.3714591186249,"[5, 6, 7, 26, 16, 15]"
KAB. PIDIE JAYA,915.8400624860444,"[5, 6, 7, 26, 16]"
KAB. SIMEULUE,871.9664581053364,"[5, 6, 18, 17]"
KOTA BANDA ACEH,539.7770879207574,"[5, 6, 18]"
KOTA LANGSA,550.3074860554664,"[5, 6, 7, 20, 19]"
KOTA LHOKSEUMAWE,428.8362645750896,"[5, 6, 7, 20]"
KOTA SABANG,499.21614286037203,"[5, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,806.5074246316425,"[5, 6, 7, 26, 27, 22]"
KAB. ASAHAN,839.4437373341509,"[5, 6, 7, 26, 25, 24, 23]"
KAB. BATUBARA,797.1111595337968,"[5, 6, 7, 26, 25, 24]"
KAB. DAIRI,655.7509881204635,"[5, 6, 7, 26, 25]"
KAB. DELI SERDANG,577.3205959729019,"[5, 6, 7, 26]"
KAB. HUMBANG HASUNDUTAN,713.9119280920632,"[5, 6, 7, 26, 27]"
KAB. KARO,682.1820221838751,"[5, 6, 7, 26, 25, 28]"
KAB. LABUHANBATU,751.1937972522134,"[5, 6, 38, 29]"
KAB. LABUHANBATU SELATAN,789.6386050910487,"[5, 72, 71, 70, 30]"
KAB. LABUHANBATU UTARA,855.0128007778435,"[5, 72, 71, 70, 30, 31]"
KAB. LANGKAT,1066.344759074933,"[5, 6, 7, 20, 45, 32]"
KAB. MANDAILING NATAL,761.0580348273414,"[5, 6, 38, 39, 33]"
KAB. NIAS,779.1378498231339,"[5, 4, 62, 34]"
KAB. NIAS BARAT,809.26397032198,"[5, 4, 62, 34, 35]"
KAB. NIAS SELATAN,860.5017184618448,"[5, 4, 62, 34, 35, 36]"
KAB. NIAS UTARA,878.9252515707913,"[5, 6, 38, 37]"
KAB. PADANG LAWAS,609.2618827427868,"[5, 6, 38]"
KAB. PADANG LAWAS UTARA,663.8313677452626,"[5, 6, 38, 39]"
KAB. PAKPAK BHARAT,852.2899373915591,"[5, 6, 38, 39, 40]"
KAB. SAMOSIR,798.3751342187068,"[5, 72, 41]"
KAB. SERDANG BEDAGAI,871.5707900361817,"[5, 6, 38, 39, 43, 42]"
KAB. SIMALUNGUN,824.6847244233945,"[5, 6, 38, 39, 43]"
KAB. TAPANULI SELATAN,908.5512656212584,"[5, 6, 7, 20, 45, 44]"
KAB. TAPANULI TENGAH,837.9070538946347,"[5, 6, 7, 20, 45]"
KAB. TAPANULI UTARA,825.4426757656022,"[5, 72, 73, 46]"
KAB. TOBA SAMOSIR,865.1165479823067,"[5, 72, 73, 46, 47]"
KOTA BINJAI,943.2696744534946,"[5, 6, 38, 39, 43, 52, 48]"
KOTA GUNUNGSITOLI,842.6352257014236,"[5, 4, 62, 34, 35, 49]"
KOTA MEDAN,976.8565531775856,"[5, 6, 7, 26, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,772.0003037147866,"[5, 72, 73, 74, 51]"
KOTA PEMATANGSIANTAR,848.0664105642909,"[5, 6, 38, 39, 43, 52]"
KOTA SIBOLGA,988.7528053310015,"[5, 6, 38, 39, 43, 52, 53]"
KOTA TANJUNGBALAI,865.9087619798279,"[5, 6, 7, 26, 25, 28, 55, 54]"
KOTA TEBING TINGGI,784.1720143082697,"[5, 6, 7, 26, 25, 28, 55]"
KAB. AGAM,1040.850735248786,"[5, 72, 73, 74, 80, 81, 57, 56]"
KAB. DHARMASRAYA,852.0358952616773,"[5, 72, 73, 74, 80, 81, 57]"
KAB. KEPULAUAN MENTAWAI,689.6164783118587,"[5, 72, 73, 58]"
KAB. LIMA PULUH KOTA,648.6823501465633,"[5, 4, 62, 59]"
KAB. PADANG PARIAMAN,693.7681684982338,"[5, 4, 62, 61, 60]"
KAB. PASAMAN,607.3809937171582,"[5, 4, 62, 61]"
KAB. PASAMAN BARAT,547.7587013924696,"[5, 4, 62]"
KAB. PESISIR SELATAN,589.0485986945158,"[5, 72, 63]"
KAB. SIJUNJUNG,666.6155733473124,"[5, 66, 65, 64]"
KAB. SOLOK,627.6912795630062,"[5, 66, 65]"
KAB. SOLOK SELATAN,563.3584204883542,"[5, 66]"
KAB. TANAH DATAR,501.06785895854017,"[5, 72, 73, 67]"
KOTA BUKITTINGGI,529.9406903804611,"[5, 72, 73, 67, 68]"
KOTA PADANG,581.0711157304136,"[5, 72, 71, 70, 69]"
KOTA PADANGPANJANG,527.545524898255,"[5, 72, 71, 70]"
KOTA PARIAMAN,492.181822977353,"[5, 72, 71]"
KOTA PAYAKUMBUH,420.60310128371407,"[5, 72]"
KOTA SAWAHLUNTO,472.3618902033457,"[5, 72, 73]"
KOTA SOLOK,486.8059620636226,"[5, 72, 73, 74]"
KAB. BENGKALIS,753.987755404452,"[5, 72, 73, 74, 75]"
KAB. INDRAGIRI HILIR,932.2719766926909,"[5, 4, 78, 77, 76]"
KAB. INDRAGIRI HULU,827.4613086732891,"[5, 4, 78, 77]"
KAB. KAMPAR,671.2275617000855,"[5, 4, 78]"
KAB. KEPULAUAN MERANTI,788.6455379515372,"[5, 72, 73, 74, 80, 79]"
KAB. KUANTAN SINGINGI,590.9428391962871,"[5, 72, 73, 74, 80]"
KAB. PELALAWAN,695.1232340273712,"[5, 72, 73, 74, 80, 81]"
KAB. ROKAN HILIR,738.803945435711,"[5, 72, 73, 67, 82]"
KAB. ROKAN HULU,802.1630236339241,"[5, 72, 71, 70, 69, 83]"
KAB. SIAK,737.596842915758,"[5, 72, 71, 84]"
KOTA DUMAI,842.4201047532492,"[5, 72, 71, 84, 85]"
KOTA PEKANBARU,772.8561131383576,"[5, 6, 86]"
KAB. BINTAN,876.1441006574554,"[5, 72, 87]"
KAB. KARIMUN,897.5319169258505,"[5, 72, 107, 88]"
KAB. KEPULAUAN ANAMBAS,1257.9495079015198,"[5, 72, 107, 88, 89]"
KAB. LINGGA,1594.1247908523337,"[5, 72, 73, 74, 111, 149, 90]"
KAB. NATUNA,1621.3188406619183,"[5, 72, 71, 93, 92, 91]"
KOTA BATAM,1056.3766230144506,"[5, 72, 71, 93, 92]"
KOTA TANJUNG PINANG,1004.728722950462,"[5, 72, 71, 93]"
PULAU TAMBELAN KAB. BINTAN,1323.4293051017512,"[5, 72, 71, 93, 94]"
PEKAJANG KAB. LINGGA,1341.563966253579,"[5, 72, 73, 58, 95]"
PULAU SERASAN KAB. NATUNA,1584.7698760851547,"[5, 72, 71, 97, 96]"
PULAU MIDAI KAB. NATUNA,1433.3532634895387,"[5, 72, 71, 97]"
PULAU LAUT KAB. NATUNA,1624.9946940254576,"[5, 72, 71, 97, 98]"
KAB. BATANGHARI,918.4659828781354,"[5, 66, 65, 64, 99]"
KAB. BUNGO,994.169104416301,"[5, 72, 73, 74, 80, 81, 101, 100]"
KAB. KERINCI,937.374642375007,"[5, 72, 73, 74, 80, 81, 101]"
KAB. MERANGIN,1006.8504923789188,"[5, 72, 73, 74, 80, 81, 101, 102]"
KAB. MUARO JAMBI,916.0431212798289,"[5, 72, 71, 103]"
KAB. SAROLANGUN,768.1720592330904,"[5, 72, 107, 104]"
KAB. TANJUNG JABUNG BARAT,890.2279027667279,"[5, 72, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,807.980300453117,"[5, 72, 107, 106]"
KAB. TEBO,643.0550571942482,"[5, 72, 107]"
KOTA JAMBI,789.1644553968036,"[5, 72, 107, 108]"
KOTA SUNGAI PENUH,905.0101667974205,"[5, 4, 62, 59, 109]"
KAB. BENGKULU SELATAN,963.2523707095285,"[5, 72, 73, 74, 111, 110]"
KAB. BENGKULU TENGAH,863.3500278365226,"[5, 72, 73, 74, 111]"
KAB. BENGKULU UTARA,929.4792442943132,"[5, 72, 73, 74, 111, 112]"
KAB. KAUR,993.1748379129698,"[5, 72, 73, 74, 113]"
KAB. KEPAHIANG,872.3424023001496,"[5, 72, 73, 74, 114]"
KAB. LEBONG,903.5957893611223,"[5, 72, 71, 70, 69, 116, 115]"
KAB. MUKOMUKO,801.0885520922769,"[5, 72, 71, 70, 69, 116]"
KAB. REJANG LEBONG,964.5797629204266,"[5, 66, 118, 117]"
KAB. SELUMA,898.2119666426702,"[5, 66, 118]"
KOTA BENGKULU,955.99898681687,"[5, 66, 118, 119]"
KAB. BANYUASIN,1079.0455007238497,"[5, 72, 73, 67, 68, 120]"
KAB. EMPAT LAWANG,1123.6759741381286,"[5, 66, 124, 123, 122, 121]"
KAB. LAHAT,1071.8758831411992,"[5, 66, 124, 123, 122]"
KAB. MUARA ENIM,999.23592546728,"[5, 66, 124, 123]"
KAB. MUSI BANYUASIN,865.8217774512209,"[5, 66, 124]"
KAB. MUSI RAWAS,862.9948818126742,"[5, 72, 107, 125]"
KAB. MUSI RAWAS UTARA,916.3324939316539,"[5, 72, 107, 125, 126]"
KAB. OGAN ILIR,1138.7776748501,"[5, 72, 107, 125, 126, 127]"
KAB. OGAN KOMERING ILIR,1134.0644020679367,"[5, 66, 129, 128]"
KAB. OGAN KOMERING ULU,985.2572681960759,"[5, 66, 129]"
KAB. OGAN KOMERING ULU SELATAN,1056.410901755929,"[5, 66, 129, 130]"
KAB. OGAN KOMERING ULU TIMUR,1079.2217644539674,"[5, 72, 63, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,1045.0971538766812,"[5, 72, 71, 133, 132]"
KOTA LUBUKLINGGAU,917.2581144982163,"[5, 72, 71, 133]"
KOTA PAGAR ALAM,1009.4903365668557,"[5, 72, 71, 133, 134]"
KOTA PALEMBANG,1177.1852799578871,"[5, 72, 63, 131, 135]"
KOTA PRABUMULIH,1156.6403981200206,"[5, 72, 73, 74, 113, 136]"
KAB. BANGKA,1084.9884451904747,"[5, 66, 137]"
KAB. BANGKA BARAT,1105.3817894689194,"[5, 72, 71, 103, 138]"
KAB. BANGKA SELATAN,1250.0821553487049,"[5, 72, 71, 103, 138, 139]"
KAB. BANGKA TENGAH,1283.479663025262,"[5, 66, 124, 123, 140]"
KAB. BELITUNG,1286.0022881320826,"[5, 72, 73, 141]"
KAB. BELITUNG TIMUR,1331.152302073635,"[5, 72, 73, 141, 142]"
KOTA PANGKAL PINANG,1477.3782605202234,"[5, 66, 145, 144, 143]"
KAB. LAMPUNG TENGAH,1167.4605529197536,"[5, 66, 145, 144]"
KAB. LAMPUNG UTARA,1105.2838376181853,"[5, 66, 145]"
KAB. LAMPUNG SELATAN,1226.4835353341432,"[5, 66, 146]"
KAB. LAMPUNG BARAT,1209.9729669043672,"[5, 72, 71, 70, 69, 116, 115, 147]"
KAB. LAMPUNG TIMUR,1241.5216753195054,"[5, 72, 63, 148]"
KAB. MESUJI,1189.2138800254852,"[5, 72, 73, 74, 111, 149]"
KAB. PESAWARAN,1186.8522781190677,"[5, 66, 129, 150]"
KAB. PESISIR BARAT,1133.0100529836059,"[5, 72, 107, 151]"
KAB. PRINGSEWU,1228.5755427117585,"[5, 72, 107, 151, 152]"
KAB. TULANG BAWANG,1126.7783116550095,"[5, 153]"
KAB. TULANG BAWANG BARAT,1178.9080128823227,"[5, 153, 154]"
KAB. TANGGAMUS,1282.3595867928243,"[5, 153, 154, 155]"
KAB. WAY KANAN,1247.202841763985,"[5, 72, 73, 74, 111, 112, 156]"
KOTA BANDAR LAMPUNG,1260.5096188422817,"[5, 72, 107, 151, 152, 157]"
KOTA METRO,1291.8884576847975,"[5, 72, 107, 151, 152, 157, 158]"
KAB. LEBAK,1381.5699502901089,"[5, 72, 107, 104, 159]"
KAB. PANDEGLANG,1388.6436653597173,"[5, 66, 129, 161, 160]"
KAB. SERANG,1310.573685330078,"[5, 66, 129, 161]"
