city,distance,through
KAB. ACEH BARAT,857.8634448128701,"[6, 7, 20, 21, 2, 1, 0]"
KAB. ACEH BARAT DAYA,738.1716481797018,"[6, 7, 20, 21, 2, 1]"
KAB. ACEH BESAR,487.87680597617145,"[6, 7, 20, 21, 2]"
KAB. ACEH JAYA,564.1802793132701,"[6, 7, 20, 21, 2, 3]"
KAB. ACEH SELATAN,329.55448613123116,"[6, 5, 4]"
KAB. ACEH SINGKIL,208.88376119064975,"[6, 5]"
KAB. ACEH TAMIANG,0.0,[6]
KAB. ACEH TENGAH,131.6775252357772,"[6, 7]"
KAB. ACEH TENGGARA,290.4855507173587,"[6, 7, 8]"
KAB. ACEH TIMUR,425.76372238965075,"[6, 7, 8, 9]"
KAB. ACEH UTARA,492.3538564781384,"[6, 7, 8, 9, 10]"
KAB. BENER MERIAH,531.4750581776392,"[6, 7, 8, 9, 10, 11]"
KAB. BIREUEN,582.4702317512608,"[6, 7, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,731.6773924511529,"[6, 7, 8, 9, 10, 11, 12, 13]"
KAB. NAGAN RAYA,688.1649307041441,"[6, 7, 26, 25, 14]"
KAB. PIDIE,736.4876979279752,"[6, 7, 26, 16, 15]"
KAB. PIDIE JAYA,706.9563012953947,"[6, 7, 26, 16]"
KAB. SIMEULUE,663.0826969146867,"[6, 18, 17]"
KOTA BANDA ACEH,330.8933267301076,"[6, 18]"
KOTA LANGSA,341.4237248648167,"[6, 7, 20, 19]"
KOTA LHOKSEUMAWE,219.9525033844399,"[6, 7, 20]"
KOTA SABANG,436.10004315311795,"[6, 7, 20, 21]"
KOTA SUBULUSSALAM,597.6236634409928,"[6, 7, 26, 27, 22]"
KAB. ASAHAN,630.5599761435012,"[6, 7, 26, 25, 24, 23]"
KAB. BATUBARA,588.2273983431471,"[6, 7, 26, 25, 24]"
KAB. DAIRI,446.8672269298138,"[6, 7, 26, 25]"
KAB. DELI SERDANG,368.43683478225216,"[6, 7, 26]"
KAB. HUMBANG HASUNDUTAN,505.02816690141356,"[6, 7, 26, 27]"
KAB. KARO,473.2982609932254,"[6, 7, 26, 25, 28]"
KAB. LABUHANBATU,542.3100360615637,"[6, 38, 29]"
KAB. LABUHANBATU SELATAN,593.9156015173033,"[6, 38, 29, 30]"
KAB. LABUHANBATU UTARA,659.2897972040981,"[6, 38, 29, 30, 31]"
KAB. LANGKAT,857.4609978842834,"[6, 7, 20, 45, 32]"
KAB. MANDAILING NATAL,552.1742736366917,"[6, 38, 39, 33]"
KAB. NIAS,701.0671559482912,"[6, 7, 26, 25, 49, 35, 34]"
KAB. NIAS BARAT,670.9410354494452,"[6, 7, 26, 25, 49, 35]"
KAB. NIAS SELATAN,722.17878358931,"[6, 7, 26, 25, 49, 35, 36]"
KAB. NIAS UTARA,670.0414903801416,"[6, 38, 37]"
KAB. PADANG LAWAS,400.37812155213715,"[6, 38]"
KAB. PADANG LAWAS UTARA,454.9476065546129,"[6, 38, 39]"
KAB. PAKPAK BHARAT,643.4061762009094,"[6, 38, 39, 40]"
KAB. SAMOSIR,708.0757883708701,"[6, 38, 39, 40, 41]"
KAB. SERDANG BEDAGAI,662.687028845532,"[6, 38, 39, 43, 42]"
KAB. SIMALUNGUN,615.8009632327448,"[6, 38, 39, 43]"
KAB. TAPANULI SELATAN,699.6675044306087,"[6, 7, 20, 45, 44]"
KAB. TAPANULI TENGAH,629.023292703985,"[6, 7, 20, 45]"
KAB. TAPANULI UTARA,678.0176768554994,"[6, 7, 20, 45, 46]"
KAB. TOBA SAMOSIR,717.6915490722039,"[6, 7, 20, 45, 46, 47]"
KOTA BINJAI,734.385913262845,"[6, 38, 39, 43, 52, 48]"
KOTA GUNUNGSITOLI,637.5697800700016,"[6, 7, 26, 25, 49]"
KOTA MEDAN,767.9727919869359,"[6, 7, 26, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,604.771204708432,"[6, 7, 26, 51]"
KOTA PEMATANGSIANTAR,639.1826493736412,"[6, 38, 39, 43, 52]"
KOTA SIBOLGA,779.8690441403518,"[6, 38, 39, 43, 52, 53]"
KOTA TANJUNGBALAI,657.0250007891782,"[6, 7, 26, 25, 28, 55, 54]"
KOTA TEBING TINGGI,575.28825311762,"[6, 7, 26, 25, 28, 55]"
KAB. AGAM,985.4894843437381,"[6, 7, 26, 25, 28, 55, 56]"
KAB. DHARMASRAYA,1052.2775376254463,"[6, 38, 29, 30, 81, 57]"
KAB. KEPULAUAN MENTAWAI,785.2525234283722,"[6, 59, 58]"
KAB. LIMA PULUH KOTA,541.0273437496969,"[6, 59]"
KAB. PADANG PARIAMAN,619.1297480758482,"[6, 59, 60]"
KAB. PASAMAN,584.2150606376614,"[6, 59, 61]"
KAB. PASAMAN BARAT,641.9509925037906,"[6, 59, 62]"
KAB. PESISIR SELATAN,797.9323598851655,"[6, 5, 72, 63]"
KAB. SIJUNJUNG,875.4993345379622,"[6, 5, 66, 65, 64]"
