city,distance,through
KAB. ACEH BARAT,3498.3305500735546,"[293, 336, 342, 0]"
KAB. ACEH BARAT DAYA,3491.166019619179,"[293, 275, 274, 273, 140, 1]"
KAB. ACEH BESAR,3684.6483833636057,"[293, 446, 346, 347, 4, 3, 2]"
KAB. ACEH JAYA,3608.344910026507,"[293, 446, 346, 347, 4, 3]"
KAB. ACEH SELATAN,3357.879728266869,"[293, 446, 346, 347, 4]"
KAB. ACEH SINGKIL,3290.7884047523994,"[293, 335, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,3368.692696061856,"[293, 335, 334, 321, 86, 6]"
KAB. ACEH TENGAH,3443.61642499622,"[293, 335, 334, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,3377.415478491863,"[293, 336, 137, 8]"
KAB. ACEH TIMUR,3372.642381982663,"[293, 446, 346, 345, 9]"
KAB. ACEH UTARA,3430.5332656836213,"[293, 446, 346, 345, 10]"
KAB. BENER MERIAH,3409.8723538546274,"[293, 335, 334, 42, 11]"
KAB. BIREUEN,3447.401623422703,"[293, 335, 334, 94, 12]"
KAB. GAYO LUES,3448.8844711806187,"[293, 336, 137, 13]"
KAB. NAGAN RAYA,3431.4444793829807,"[293, 335, 29, 25, 14]"
KAB. PIDIE,3540.7360760302895,"[293, 335, 29, 16, 15]"
KAB. PIDIE JAYA,3511.204679397709,"[293, 335, 29, 16]"
KAB. SIMEULUE,3473.4593194458816,"[293, 335, 334, 55, 17]"
KOTA BANDA ACEH,3647.9355046802516,"[293, 446, 346, 347, 19, 18]"
KOTA LANGSA,3330.7758491141453,"[293, 446, 346, 347, 19]"
KOTA LHOKSEUMAWE,3446.872545539162,"[293, 446, 346, 345, 20]"
KOTA SABANG,3663.02008530784,"[293, 446, 346, 345, 20, 21]"
KOTA SUBULUSSALAM,3241.554360016868,"[293, 335, 29, 27, 22]"
KAB. ASAHAN,3150.729686835392,"[293, 335, 334, 94, 93, 92, 24, 23]"
KAB. BATUBARA,3108.397109035038,"[293, 335, 334, 94, 93, 92, 24]"
KAB. DAIRI,3190.1467756086504,"[293, 335, 29, 25]"
KAB. DELI SERDANG,3206.857115449745,"[293, 335, 334, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,3148.9588634772886,"[293, 335, 29, 27]"
KAB. KARO,3198.567183399306,"[293, 335, 29, 28]"
KAB. LABUHANBATU,2970.6553351870443,"[293, 335, 29]"
KAB. LABUHANBATU SELATAN,2970.5177807130362,"[293, 335, 334, 321, 30]"
KAB. LABUHANBATU UTARA,3035.891976399831,"[293, 335, 334, 321, 30, 31]"
KAB. LANGKAT,3273.3678784582453,"[293, 335, 334, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,3071.319180777531,"[293, 226, 33]"
KAB. NIAS,3222.698242329994,"[293, 335, 106, 107, 62, 34]"
KAB. NIAS BARAT,3252.746524856768,"[293, 292, 35]"
KAB. NIAS SELATAN,3228.153414780547,"[293, 275, 276, 268, 229, 36]"
KAB. NIAS UTARA,3280.6468748300576,"[293, 275, 199, 100, 37]"
KAB. PADANG LAWAS,3060.253039024044,"[293, 335, 334, 333, 38]"
KAB. PADANG LAWAS UTARA,3025.7945276558216,"[293, 335, 334, 321, 84, 39]"
KAB. PAKPAK BHARAT,3214.253097302118,"[293, 335, 334, 321, 84, 39, 40]"
KAB. SAMOSIR,3184.641369389105,"[293, 335, 51, 41]"
KAB. SERDANG BEDAGAI,3128.4142726629098,"[293, 335, 334, 42]"
KAB. SIMALUNGUN,3105.64677841853,"[293, 335, 334, 321, 320, 43]"
KAB. TAPANULI SELATAN,3105.877880498061,"[293, 446, 346, 347, 44]"
KAB. TAPANULI TENGAH,3176.522092224685,"[293, 446, 346, 347, 44, 45]"
KAB. TAPANULI UTARA,3157.608987887257,"[293, 275, 276, 78, 46]"
KAB. TOBA SAMOSIR,3197.282860103962,"[293, 275, 276, 78, 46, 47]"
KOTA BINJAI,3224.2317284486303,"[293, 335, 334, 321, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,3264.6462890612124,"[293, 226, 49]"
KOTA MEDAN,3288.1425026788265,"[293, 335, 334, 94, 93, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,3035.1925374370235,"[293, 335, 51]"
KOTA PEMATANGSIANTAR,3129.0284645594265,"[293, 335, 334, 321, 320, 43, 52]"
KOTA SIBOLGA,3164.3892534320935,"[293, 275, 276, 78, 53]"
KOTA TANJUNGBALAI,3147.015947110308,"[293, 292, 54]"
KOTA TEBING TINGGI,3117.590223070767,"[293, 335, 334, 55]"
KAB. AGAM,2846.5437476767293,"[293, 56]"
KAB. DHARMASRAYA,2773.3422543491206,"[293, 275, 199, 198, 213, 57]"
KAB. KEPULAUAN MENTAWAI,2996.825092449414,"[293, 226, 221, 153, 58]"
KAB. LIMA PULUH KOTA,2924.6005021783785,"[293, 335, 334, 321, 322, 59]"
KAB. PADANG PARIAMAN,2947.8276209443125,"[293, 226, 221, 134, 133, 60]"
KAB. PASAMAN,2965.949203256446,"[293, 292, 282, 61]"
KAB. PASAMAN BARAT,2991.31909389933,"[293, 335, 106, 107, 62]"
KAB. PESISIR SELATAN,2794.965001919799,"[293, 275, 145, 63]"
KAB. SIJUNJUNG,2812.8029973848525,"[293, 292, 64]"
KAB. SOLOK,2851.7272911691584,"[293, 292, 64, 65]"
KAB. SOLOK SELATAN,2787.4448095668545,"[293, 275, 145, 66]"
KAB. TANAH DATAR,2892.851182714004,"[293, 226, 221, 153, 67]"
KOTA BUKITTINGGI,2916.4055356917124,"[293, 292, 282, 120, 68]"
KOTA PADANG,2865.0018748337284,"[293, 335, 106, 107, 69]"
KOTA PADANGPANJANG,2908.0880244198215,"[293, 226, 125, 70]"
KOTA PARIAMAN,2897.3948572232166,"[293, 335, 106, 71]"
KOTA PAYAKUMBUH,2870.1853034686856,"[293, 335, 106, 107, 72]"
KOTA SAWAHLUNTO,2889.672834182993,"[293, 292, 282, 281, 242, 269, 270, 73]"
KOTA SOLOK,2883.369131762537,"[293, 275, 276, 258, 80, 74]"
KAB. BENGKALIS,2926.848307213625,"[293, 292, 282, 281, 242, 76, 75]"
KAB. INDRAGIRI HILIR,2695.7518916404515,"[293, 292, 282, 281, 242, 76]"
KAB. INDRAGIRI HULU,2712.7195374423286,"[293, 292, 282, 77]"
KAB. KAMPAR,2846.465927138008,"[293, 275, 276, 78]"
KAB. KEPULAUAN MERANTI,2781.014188670436,"[293, 275, 276, 258, 241, 79]"
KAB. KUANTAN SINGINGI,2779.232254629873,"[293, 275, 276, 258, 80]"
KAB. PELALAWAN,2834.360483237836,"[293, 292, 178, 81]"
KAB. ROKAN HILIR,2971.950264844977,"[293, 275, 276, 258, 82]"
KAB. ROKAN HULU,2923.8257430544345,"[293, 335, 334, 321, 84, 83]"
KAB. SIAK,2770.674089829713,"[293, 335, 334, 321, 84]"
KOTA DUMAI,2875.4973516672044,"[293, 335, 334, 321, 84, 85]"
KOTA PEKANBARU,2804.7203441141482,"[293, 335, 334, 321, 86]"
KAB. BINTAN,2597.7474532432893,"[293, 335, 334, 333, 332, 352, 353, 87]"
KAB. KARIMUN,2725.790651769367,"[293, 335, 334, 333, 332, 352, 353, 87, 88]"
KAB. KEPULAUAN ANAMBAS,2564.488669961336,"[293, 446, 447, 89]"
KAB. LINGGA,2473.9726594928507,"[293, 336, 342, 90]"
KAB. NATUNA,2275.668628285494,"[293, 335, 91]"
KOTA BATAM,2553.8706991697745,"[293, 335, 334, 94, 93, 92]"
KOTA TANJUNG PINANG,2502.222799105786,"[293, 335, 334, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,2183.522216954497,"[293, 335, 334, 94]"
PEKAJANG KAB. LINGGA,2511.4368150546943,"[293, 335, 334, 94, 95]"
PULAU SERASAN KAB. NATUNA,2097.8904406131373,"[293, 336, 96]"
PULAU MIDAI KAB. NATUNA,2249.307053208753,"[293, 336, 96, 97]"
PULAU LAUT KAB. NATUNA,2388.917486655418,"[293, 335, 334, 321, 98]"
KAB. BATANGHARI,2560.9837550816114,"[293, 292, 99]"
KAB. BUNGO,2682.5032957338644,"[293, 275, 199, 100]"
KAB. KERINCI,2736.9559306392207,"[293, 275, 276, 268, 229, 149, 102, 101]"
KAB. MERANGIN,2667.4800806353087,"[293, 275, 276, 268, 229, 149, 102]"
KAB. MUARO JAMBI,2533.1723298436655,"[293, 336, 137, 138, 103]"
KAB. SAROLANGUN,2583.798204990195,"[293, 292, 282, 281, 104]"
KAB. TANJUNG JABUNG BARAT,2565.0557066128936,"[293, 335, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,2482.8081042992826,"[293, 335, 106]"
KAB. TEBO,2647.7333475581513,"[293, 335, 106, 107]"
KOTA JAMBI,2514.658006669993,"[293, 292, 108]"
KOTA SUNGAI PENUH,2707.151013795001,"[293, 275, 276, 126, 109]"
KAB. BENGKULU SELATAN,2448.843561357232,"[293, 292, 110]"
KAB. BENGKULU TENGAH,2532.3079752420563,"[293, 226, 221, 111]"
KAB. BENGKULU UTARA,2593.3818623275147,"[293, 275, 112]"
KAB. KAUR,2424.5096998039653,"[293, 275, 199, 198, 169, 187, 113]"
