city,distance,through
KAB. ACEH BARAT,880.7847226742618,"[23, 50, 51, 0]"
KAB. ACEH BARAT DAYA,948.9677387061321,"[23, 22, 21, 2, 1]"
KAB. ACEH BESAR,698.6728965026017,"[23, 22, 21, 2]"
KAB. ACEH JAYA,774.9763698397005,"[23, 22, 21, 2, 3]"
KAB. ACEH SELATAN,960.1144622747323,"[23, 24, 25, 26, 7, 6, 5, 4]"
KAB. ACEH SINGKIL,839.4437373341509,"[23, 24, 25, 26, 7, 6, 5]"
KAB. ACEH TAMIANG,630.5599761435012,"[23, 24, 25, 26, 7, 6]"
KAB. ACEH TENGAH,498.882450907724,"[23, 24, 25, 26, 7]"
KAB. ACEH TENGGARA,657.6904763893054,"[23, 24, 25, 26, 7, 8]"
KAB. ACEH TIMUR,792.9686480615975,"[23, 24, 25, 26, 7, 8, 9]"
KAB. ACEH UTARA,761.4088260460509,"[23, 24, 25, 14, 13, 12, 11, 10]"
KAB. BENER MERIAH,722.2876243465502,"[23, 24, 25, 14, 13, 12, 11]"
KAB. BIREUEN,671.2924507729285,"[23, 24, 25, 14, 13, 12]"
KAB. GAYO LUES,522.0852900730365,"[23, 24, 25, 14, 13]"
KAB. NAGAN RAYA,424.99045298801775,"[23, 24, 25, 14]"
KAB. PIDIE,533.2340449345214,"[23, 22, 15]"
KAB. PIDIE JAYA,562.765441567102,"[23, 22, 15, 16]"
KAB. SIMEULUE,667.9828717766081,"[23, 24, 25, 28, 55, 17]"
KOTA BANDA ACEH,911.0793725599212,"[23, 24, 25, 28, 20, 19, 18]"
KOTA LANGSA,593.919716993815,"[23, 24, 25, 28, 20, 19]"
KOTA LHOKSEUMAWE,472.44849551343816,"[23, 24, 25, 28, 20]"
KOTA SABANG,646.8961336795481,"[23, 22, 21]"
KOTA SUBULUSSALAM,191.21440489165528,"[23, 22]"
KAB. ASAHAN,0.0,[23]
KAB. BATUBARA,42.33257780035406,"[23, 24]"
KAB. DAIRI,183.69274921368742,"[23, 24, 25]"
KAB. DELI SERDANG,262.12314136124905,"[23, 24, 25, 26]"
KAB. HUMBANG HASUNDUTAN,283.80990143123455,"[23, 22, 27]"
KAB. KARO,210.12378327709908,"[23, 24, 25, 28]"
KAB. LABUHANBATU,403.18418963529336,"[23, 24, 25, 29]"
KAB. LABUHANBATU SELATAN,454.78975509103304,"[23, 24, 25, 29, 30]"
KAB. LABUHANBATU UTARA,520.1639507778278,"[23, 24, 25, 29, 30, 31]"
KAB. LANGKAT,757.6398528362422,"[23, 24, 25, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,595.0764281825425,"[23, 24, 25, 38, 39, 33]"
KAB. NIAS,417.374600691856,"[23, 22, 49, 35, 34]"
KAB. NIAS BARAT,387.24848019301,"[23, 22, 49, 35]"
KAB. NIAS SELATAN,438.4862283328748,"[23, 22, 49, 35, 36]"
KAB. NIAS UTARA,521.5257761162185,"[23, 22, 49, 35, 36, 37]"
KAB. PADANG LAWAS,443.28027609798795,"[23, 24, 25, 38]"
KAB. PADANG LAWAS UTARA,497.8497611004637,"[23, 24, 25, 38, 39]"
KAB. PAKPAK BHARAT,607.5686874481293,"[23, 50, 51, 41, 40]"
KAB. SAMOSIR,542.8990752781685,"[23, 50, 51, 41]"
KAB. SERDANG BEDAGAI,627.1285681094059,"[23, 50, 51, 41, 42]"
KAB. SIMALUNGUN,595.9505267838194,"[23, 50, 51, 52, 43]"
KAB. TAPANULI SELATAN,751.701260534853,"[23, 50, 51, 52, 43, 44]"
KAB. TAPANULI TENGAH,822.3454722614766,"[23, 50, 51, 52, 43, 44, 45]"
KAB. TAPANULI UTARA,835.8842174004744,"[23, 22, 49, 48, 47, 46]"
KAB. TOBA SAMOSIR,796.21034518377,"[23, 22, 49, 48, 47]"
KOTA BINJAI,631.4089746649381,"[23, 22, 49, 48]"
KOTA GUNUNGSITOLI,353.8772248135664,"[23, 22, 49]"
KOTA MEDAN,137.4128158434347,"[23, 50]"
KOTA PADANGSIDEMPUAN,393.45024332608693,"[23, 50, 51]"
KOTA PEMATANGSIANTAR,572.5688406429231,"[23, 50, 51, 52]"
KOTA SIBOLGA,570.9486643063658,"[23, 24, 25, 28, 55, 54, 53]"
