city,distance,through
KAB. ACEH BARAT,2325.1250897750156,"[329, 336, 342, 0]"
KAB. ACEH BARAT DAYA,2369.1743244996396,"[329, 330, 331, 139, 140, 1]"
KAB. ACEH BESAR,2529.1065722778844,"[329, 77, 78, 4, 3, 2]"
KAB. ACEH JAYA,2452.8030989407857,"[329, 77, 78, 4, 3]"
KAB. ACEH SELATAN,2202.3379171811475,"[329, 77, 78, 4]"
KAB. ACEH SINGKIL,2125.830484042771,"[329, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,2103.7923656549806,"[329, 315, 6]"
KAB. ACEH TENGAH,2235.268620096155,"[329, 85, 7]"
KAB. ACEH TENGGARA,2102.322288806599,"[329, 328, 8]"
KAB. ACEH TIMUR,2154.142617609733,"[329, 315, 9]"
KAB. ACEH UTARA,2220.7327516982205,"[329, 315, 9, 10]"
KAB. BENER MERIAH,2222.8959184506293,"[329, 328, 11]"
KAB. BIREUEN,2273.891092024251,"[329, 328, 11, 12]"
KAB. GAYO LUES,2275.679010882079,"[329, 336, 137, 13]"
KAB. NAGAN RAYA,2286.9601467444722,"[329, 336, 25, 14]"
KAB. PIDIE,2395.9288699743597,"[329, 85, 27, 22, 15]"
KAB. PIDIE JAYA,2425.4602666069404,"[329, 85, 27, 22, 15, 16]"
KAB. SIMEULUE,2419.9499138944643,"[329, 330, 355, 321, 55, 17]"
KOTA BANDA ACEH,2434.6856923850883,"[329, 315, 6, 18]"
KOTA LANGSA,2175.7433341977385,"[329, 336, 96, 97, 19]"
KOTA LHOKSEUMAWE,2297.214555678115,"[329, 336, 96, 97, 19, 20]"
KOTA SABANG,2509.5909587193864,"[329, 85, 27, 22, 21]"
KOTA SUBULUSSALAM,2053.9092299314934,"[329, 85, 27, 22]"
KAB. ASAHAN,2146.8947667790353,"[329, 336, 342, 343, 344, 93, 92, 24, 23]"
KAB. BATUBARA,2104.562188978681,"[329, 336, 342, 343, 344, 93, 92, 24]"
KAB. DAIRI,2045.6624429701417,"[329, 336, 25]"
KAB. DELI SERDANG,2097.9050655110755,"[329, 85, 27, 26]"
KAB. HUMBANG HASUNDUTAN,1961.3137333919142,"[329, 85, 27]"
KAB. KARO,2067.713171351011,"[329, 85, 27, 28]"
KAB. LABUHANBATU,1911.5057258895022,"[329, 336, 96, 29]"
KAB. LABUHANBATU SELATAN,1913.3433602257264,"[329, 330, 355, 321, 30]"
KAB. LABUHANBATU UTARA,1978.7175559125212,"[329, 330, 355, 321, 30, 31]"
KAB. LANGKAT,2200.7934669448055,"[329, 328, 44, 45, 32]"
KAB. MANDAILING NATAL,2042.1773016106822,"[329, 330, 341, 38, 39, 33]"
KAB. NIAS,2057.7403216203656,"[329, 106, 107, 62, 34]"
