city,distance,through
KAB. ACEH BARAT,1417.2513862904989,"[138, 103, 104, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1423.500802545097,"[138, 139, 140, 1]"
KAB. ACEH BESAR,1463.133782505729,"[138, 103, 65, 3, 2]"
KAB. ACEH JAYA,1386.8303091686303,"[138, 103, 65, 3]"
KAB. ACEH SELATAN,1172.733615348533,"[138, 137, 78, 4]"
KAB. ACEH SINGKIL,1105.3817894689196,"[138, 103, 71, 72, 5]"
KAB. ACEH TAMIANG,1174.7026634230424,"[138, 137, 86, 6]"
KAB. ACEH TENGAH,1286.600535305612,"[138, 137, 8, 7]"
KAB. ACEH TENGGARA,1127.7925098240305,"[138, 137, 8]"
KAB. ACEH TIMUR,1263.0706814963225,"[138, 137, 8, 9]"
KAB. ACEH UTARA,1325.584200198644,"[138, 137, 11, 10]"
KAB. BENER MERIAH,1286.4629984991434,"[138, 137, 11]"
KAB. BIREUEN,1337.458172072765,"[138, 137, 11, 12]"
KAB. GAYO LUES,1199.2615025127861,"[138, 137, 13]"
KAB. NAGAN RAYA,1280.5473325650278,"[138, 54, 55, 28, 25, 14]"
KAB. PIDIE,1402.5726946492111,"[138, 54, 55, 28, 25, 14, 15]"
KAB. PIDIE JAYA,1380.7489722604573,"[138, 137, 29, 16]"
KAB. SIMEULUE,1266.6976989780055,"[138, 54, 55, 17]"
KOTA BANDA ACEH,1505.59599015315,"[138, 137, 86, 6, 18]"
KOTA LANGSA,1396.6145284440015,"[138, 54, 55, 28, 20, 19]"
KOTA LHOKSEUMAWE,1275.1433069636248,"[138, 54, 55, 28, 20]"
KOTA SABANG,1491.290846732303,"[138, 54, 55, 28, 20, 21]"
KOTA SUBULUSSALAM,1111.098652879616,"[138, 137, 29, 27, 22]"
KAB. ASAHAN,1214.242523022796,"[138, 103, 65, 63, 24, 23]"
KAB. BATUBARA,1171.9099452224418,"[138, 103, 65, 63, 24]"
KAB. DAIRI,1039.2496287906974,"[138, 54, 55, 28, 25]"
KAB. DELI SERDANG,1117.680020938259,"[138, 54, 55, 28, 25, 26]"
KAB. HUMBANG HASUNDUTAN,1018.5031563400369,"[138, 137, 29, 27]"
KAB. KARO,1012.8185947272857,"[138, 54, 55, 28]"
KAB. LABUHANBATU,840.1996280497928,"[138, 137, 29]"
KAB. LABUHANBATU SELATAN,891.8051935055324,"[138, 137, 29, 30]"
KAB. LABUHANBATU UTARA,957.1793891923272,"[138, 137, 29, 30, 31]"
KAB. LANGKAT,1109.5100117172933,"[138, 46, 45, 32]"
KAB. MANDAILING NATAL,928.1961845541375,"[138, 103, 65, 63, 33]"
KAB. NIAS,1026.728445214356,"[138, 103, 65, 49, 35, 34]"
KAB. NIAS BARAT,996.60232471551,"[138, 103, 65, 49, 35]"
KAB. NIAS SELATAN,1047.8400728553747,"[138, 103, 65, 49, 35, 36]"
KAB. NIAS UTARA,1129.7802500248763,"[138, 103, 102, 101, 100, 37]"
KAB. PADANG LAWAS,982.1315425592193,"[138, 137, 29, 38]"
KAB. PADANG LAWAS UTARA,979.6530885452692,"[138, 137, 78, 84, 39]"
KAB. PAKPAK BHARAT,1127.2203332901588,"[138, 103, 71, 72, 41, 40]"
KAB. SAMOSIR,1062.550721120198,"[138, 103, 71, 72, 41]"
KAB. SERDANG BEDAGAI,1131.7212691669165,"[138, 103, 104, 107, 44, 43, 42]"
KAB. SIMALUNGUN,1084.8352035541293,"[138, 103, 104, 107, 44, 43]"
KAB. TAPANULI SELATAN,929.0844698030958,"[138, 103, 104, 107, 44]"
KAB. TAPANULI TENGAH,881.0723065369949,"[138, 46, 45]"
KAB. TAPANULI UTARA,832.0779223854805,"[138, 46]"
KAB. TOBA SAMOSIR,871.751794602185,"[138, 46, 47]"
KOTA BINJAI,1036.5531651210167,"[138, 46, 47, 48]"
KOTA GUNUNGSITOLI,963.2310693360664,"[138, 103, 65, 49]"
KOTA MEDAN,1104.171376351872,"[138, 103, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,980.8623318762958,"[138, 103, 71, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1080.7864996498251,"[138, 137, 78, 53, 52]"
KOTA SIBOLGA,940.1001048831146,"[138, 137, 78, 53]"
KOTA TANJUNGBALAI,829.0918549313329,"[138, 54]"
KOTA TEBING TINGGI,910.8286026028911,"[138, 54, 55]"
KAB. AGAM,1012.8868624188648,"[138, 137, 136, 135, 109, 56]"
KAB. DHARMASRAYA,874.0062784693309,"[138, 103, 102, 101, 81, 57]"
KAB. KEPULAUAN MENTAWAI,827.5089760431943,"[138, 137, 66, 58]"
KAB. LIMA PULUH KOTA,879.5801625475234,"[138, 103, 65, 63, 61, 59]"
KAB. PADANG PARIAMAN,922.7796204406345,"[138, 103, 65, 63, 61, 60]"
KAB. PASAMAN,836.3924456595589,"[138, 103, 65, 63, 61]"
KAB. PASAMAN BARAT,808.082486826186,"[138, 103, 104, 107, 62]"
KAB. PESISIR SELATAN,605.9669484600838,"[138, 103, 65, 63]"
KAB. SIJUNJUNG,560.6166073404789,"[138, 103, 65, 64]"
KAB. SOLOK,521.6923135561727,"[138, 103, 65]"
KAB. SOLOK SELATAN,568.7353711954918,"[138, 137, 66]"
KAB. TANAH DATAR,697.2303798566454,"[138, 137, 66, 67]"
KOTA BUKITTINGGI,726.1032112785664,"[138, 137, 66, 67, 68]"
KOTA PADANG,681.7652677605843,"[138, 103, 104, 107, 69]"
KOTA PADANGPANJANG,648.5636684124685,"[138, 103, 71, 70]"
KOTA PARIAMAN,613.1999664915664,"[138, 103, 71]"
KOTA PAYAKUMBUH,684.7786881852054,"[138, 103, 71, 72]"
KOTA SAWAHLUNTO,681.2239183648549,"[138, 103, 71, 73]"
KOTA SOLOK,695.6679902251318,"[138, 103, 71, 73, 74]"
KAB. BENGKALIS,962.8497835659612,"[138, 103, 71, 73, 74, 75]"
KAB. INDRAGIRI HILIR,883.2211935816342,"[138, 137, 78, 77, 76]"
KAB. INDRAGIRI HULU,778.4105255622324,"[138, 137, 78, 77]"
KAB. KAMPAR,622.1767785890288,"[138, 137, 78]"
KAB. KEPULAUAN MERANTI,810.4508087895554,"[138, 137, 78, 79]"
KAB. KUANTAN SINGINGI,799.8048673577963,"[138, 103, 71, 73, 74, 80]"
KAB. PELALAWAN,717.0936172350248,"[138, 103, 102, 101, 81]"
KAB. ROKAN HILIR,934.9664663338162,"[138, 137, 66, 67, 82]"
KAB. ROKAN HULU,877.6843039438821,"[138, 137, 78, 84, 83]"
KAB. SIAK,724.5326507191606,"[138, 137, 78, 84]"
KOTA DUMAI,739.7693825173958,"[138, 137, 86, 85]"
KOTA PEKANBARU,610.7303114753345,"[138, 137, 86]"
KAB. BINTAN,618.4689274615521,"[138, 139, 87]"
KAB. KARIMUN,718.9736002166097,"[138, 103, 104, 107, 88]"
KAB. KEPULAUAN ANAMBAS,1079.391191192279,"[138, 103, 104, 107, 88, 89]"
KAB. LINGGA,737.7570242373778,"[138, 139, 149, 90]"
KAB. NATUNA,937.8353881546768,"[138, 139, 140, 91]"
KOTA BATAM,959.0105811074776,"[138, 103, 104, 107, 108, 93, 92]"
KOTA TANJUNG PINANG,907.362681043489,"[138, 103, 104, 107, 108, 93]"
PULAU TAMBELAN KAB. BINTAN,1126.73709457694,"[138, 139, 140, 123, 94]"
PEKAJANG KAB. LINGGA,1124.7464199399283,"[138, 317, 95]"
PULAU SERASAN KAB. NATUNA,682.1396310962434,"[138, 323, 96]"
PULAU MIDAI KAB. NATUNA,833.5562436918594,"[138, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1025.1976742277784,"[138, 323, 96, 97, 98]"
KAB. BATANGHARI,664.4085035433629,"[138, 103, 102, 101, 100, 99]"
KAB. BUNGO,531.6366709286829,"[138, 103, 102, 101, 100]"
KAB. KERINCI,474.84220888738895,"[138, 103, 102, 101]"
KAB. MERANGIN,405.3663588834771,"[138, 103, 102]"
KAB. MUARO JAMBI,189.3386681890905,"[138, 103]"
KAB. SAROLANGUN,339.3797384461652,"[138, 103, 104]"
KAB. TANJUNG JABUNG BARAT,480.78078819768484,"[138, 103, 104, 105]"
KAB. TANJUNG JABUNG TIMUR,563.0283905112957,"[138, 103, 104, 105, 106]"
KAB. TEBO,464.4967404850074,"[138, 103, 104, 107]"
KOTA JAMBI,610.6061386875629,"[138, 103, 104, 107, 108]"
KOTA SUNGAI PENUH,766.9163294129959,"[138, 137, 136, 135, 109]"
KAB. BENGKULU SELATAN,677.61944124846,"[138, 137, 112, 111, 110]"
KAB. BENGKULU TENGAH,577.7170983754542,"[138, 137, 112, 111]"
KAB. BENGKULU UTARA,511.5878819176636,"[138, 137, 112]"
KAB. KAUR,464.3141206185548,"[138, 137, 136, 113]"
KAB. KEPAHIANG,585.214498277172,"[138, 137, 136, 113, 114]"
KAB. LEBONG,657.9718714480555,"[138, 137, 136, 113, 114, 115]"
KAB. MUKOMUKO,700.907591066235,"[138, 139, 116]"
KAB. REJANG LEBONG,711.452554872607,"[138, 137, 136, 135, 131, 117]"
KAB. SELUMA,755.6189153230296,"[138, 103, 102, 101, 118]"
KOTA BENGKULU,813.4059354972294,"[138, 103, 102, 101, 118, 119]"
KAB. BANYUASIN,717.0486854363053,"[138, 103, 102, 120]"
KAB. EMPAT LAWANG,558.3554810214106,"[138, 139, 122, 121]"
KAB. LAHAT,506.5553900244813,"[138, 139, 122]"
KAB. MUARA ENIM,474.94610234040056,"[138, 139, 140, 123]"
KAB. MUSI BANYUASIN,608.3602503564597,"[138, 139, 140, 123, 124]"
KAB. MUSI RAWAS,684.4365651034334,"[138, 103, 104, 107, 125]"
KAB. MUSI RAWAS UTARA,641.1012252159992,"[138, 139, 140, 128, 127, 126]"
KAB. OGAN ILIR,418.656044297553,"[138, 139, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,351.158276895296,"[138, 139, 140, 128]"
KAB. OGAN KOMERING ULU,499.9654107671568,"[138, 139, 140, 128, 129]"
