city,distance,through
KAB. ACEH BARAT,1398.4922332984797,"[139, 140, 1, 0]"
KAB. ACEH BARAT DAYA,1278.8004366653115,"[139, 140, 1]"
KAB. ACEH BESAR,1529.095278868842,"[139, 140, 1, 2]"
KAB. ACEH JAYA,1531.530675048416,"[139, 138, 103, 65, 3]"
KAB. ACEH SELATAN,1317.4339812283185,"[139, 138, 137, 78, 4]"
KAB. ACEH SINGKIL,1250.082155348705,"[139, 138, 103, 71, 72, 5]"
KAB. ACEH TAMIANG,1319.4030293028281,"[139, 138, 137, 86, 6]"
KAB. ACEH TENGAH,1422.2106325439781,"[139, 29, 30, 26, 7]"
KAB. ACEH TENGGARA,1272.492875703816,"[139, 138, 137, 8]"
KAB. ACEH TIMUR,1368.6779297117614,"[139, 87, 88, 9]"
KAB. ACEH UTARA,1393.4989211995673,"[139, 87, 10]"
KAB. BENER MERIAH,1431.163364378929,"[139, 138, 137, 11]"
KAB. BIREUEN,1482.1585379525504,"[139, 138, 137, 11, 12]"
KAB. GAYO LUES,1343.9618683925717,"[139, 138, 137, 13]"
KAB. NAGAN RAYA,1358.295567000991,"[139, 29, 25, 14]"
KAB. PIDIE,1457.0023551517618,"[139, 140, 15]"
KAB. PIDIE JAYA,1438.0557670157195,"[139, 29, 16]"
KAB. SIMEULUE,1409.6870125236526,"[139, 55, 17]"
KOTA BANDA ACEH,1609.6589115926197,"[139, 87, 18]"
KOTA LANGSA,1509.2142047340321,"[139, 29, 28, 20, 19]"
KOTA LHOKSEUMAWE,1387.7429832536554,"[139, 29, 28, 20]"
KOTA SABANG,1580.8720416918954,"[139, 140, 1, 2, 21]"
KOTA SUBULUSSALAM,1168.405447634878,"[139, 29, 27, 22]"
KAB. ASAHAN,1300.690612440348,"[139, 29, 25, 24, 23]"
KAB. BATUBARA,1258.358034639994,"[139, 29, 25, 24]"
KAB. DAIRI,1116.9978632266607,"[139, 29, 25]"
KAB. DELI SERDANG,1185.4513229975032,"[139, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1075.8099510952989,"[139, 29, 27]"
KAB. KARO,1125.4182710173163,"[139, 29, 28]"
KAB. LABUHANBATU,897.5064228050547,"[139, 29]"
KAB. LABUHANBATU SELATAN,949.1119882607944,"[139, 29, 30]"
KAB. LABUHANBATU UTARA,1014.4861839475892,"[139, 29, 30, 31]"
KAB. LANGKAT,1251.9620860060036,"[139, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,1050.7429863605412,"[139, 87, 88, 33]"
KAB. NIAS,1149.9238916216812,"[139, 116, 69, 34]"
KAB. NIAS BARAT,1141.3026905952956,"[139, 138, 103, 65, 49, 35]"
KAB. NIAS SELATAN,1192.5404387351605,"[139, 138, 103, 65, 49, 35, 36]"
