city,distance,through
KAB. ACEH BARAT,1464.35673278387,"[137, 138, 103, 104, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1470.6061490384684,"[137, 138, 139, 140, 1]"
KAB. ACEH BESAR,1452.3969239518988,"[137, 78, 4, 3, 2]"
KAB. ACEH JAYA,1376.0934506148,"[137, 78, 4, 3]"
KAB. ACEH SELATAN,1125.6282688551617,"[137, 78, 4]"
KAB. ACEH SINGKIL,1084.9884451904747,"[137, 66, 5]"
KAB. ACEH TAMIANG,1127.5973169296713,"[137, 86, 6]"
KAB. ACEH TENGAH,1239.4951888122407,"[137, 8, 7]"
KAB. ACEH TENGGARA,1080.6871633306591,"[137, 8]"
KAB. ACEH TIMUR,1215.9653350029512,"[137, 8, 9]"
KAB. ACEH UTARA,1278.4788537052727,"[137, 11, 10]"
KAB. BENER MERIAH,1239.357652005772,"[137, 11]"
KAB. BIREUEN,1290.3528255793935,"[137, 11, 12]"
KAB. GAYO LUES,1152.1561560194148,"[137, 13]"
KAB. NAGAN RAYA,1245.3910119309521,"[137, 86, 25, 14]"
KAB. PIDIE,1363.1750223996667,"[137, 29, 16, 15]"
KAB. PIDIE JAYA,1333.6436257670862,"[137, 29, 16]"
KAB. SIMEULUE,1313.803045471377,"[137, 138, 54, 55, 17]"
KOTA BANDA ACEH,1458.490643659779,"[137, 86, 6, 18]"
KOTA LANGSA,1404.8020634853988,"[137, 29, 28, 20, 19]"
KOTA LHOKSEUMAWE,1283.330842005022,"[137, 29, 28, 20]"
KOTA SABANG,1499.4783817737002,"[137, 29, 28, 20, 21]"
KOTA SUBULUSSALAM,1063.993306386245,"[137, 29, 27, 22]"
KAB. ASAHAN,1187.7860573703092,"[137, 86, 25, 24, 23]"
KAB. BATUBARA,1145.453479569955,"[137, 86, 25, 24]"
KAB. DAIRI,1004.0933081566218,"[137, 86, 25]"
KAB. DELI SERDANG,1081.0391817488699,"[137, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,971.3978098466656,"[137, 29, 27]"
KAB. KARO,1021.0061297686831,"[137, 29, 28]"
KAB. LABUHANBATU,793.0942815564215,"[137, 29]"
KAB. LABUHANBATU SELATAN,844.6998470121612,"[137, 29, 30]"
KAB. LABUHANBATU UTARA,910.074042698956,"[137, 29, 30, 31]"
KAB. LANGKAT,1147.5499447573702,"[137, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,975.3015310475089,"[137, 138, 103, 65, 63, 33]"
KAB. NIAS,1073.8337917077274,"[137, 138, 103, 65, 49, 35, 34]"
KAB. NIAS BARAT,1043.7076712088813,"[137, 138, 103, 65, 49, 35]"
KAB. NIAS SELATAN,1047.2095470622362,"[137, 66, 58, 36]"
KAB. NIAS UTARA,1130.24909484558,"[137, 66, 58, 36, 37]"
KAB. PADANG LAWAS,935.026196065848,"[137, 29, 38]"
KAB. PADANG LAWAS UTARA,932.5477420518979,"[137, 78, 84, 39]"
KAB. PAKPAK BHARAT,1121.0063116981944,"[137, 78, 84, 39, 40]"
KAB. SAMOSIR,1108.3618239730927,"[137, 66, 67, 73, 72, 41]"
KAB. SERDANG BEDAGAI,1103.9489049101373,"[137, 78, 53, 52, 43, 42]"
KAB. SIMALUNGUN,1057.0628392973501,"[137, 78, 53, 52, 43]"
KAB. TAPANULI SELATAN,976.1898162964669,"[137, 138, 103, 104, 107, 44]"
KAB. TAPANULI TENGAH,928.1776530303662,"[137, 138, 46, 45]"
KAB. TAPANULI UTARA,879.1832688788518,"[137, 138, 46]"
KAB. TOBA SAMOSIR,918.8571410955562,"[137, 138, 46, 47]"
KOTA BINJAI,1083.658511614388,"[137, 138, 46, 47, 48]"
KOTA GUNUNGSITOLI,1010.3364158294376,"[137, 138, 103, 65, 49]"
KOTA MEDAN,1151.276722845243,"[137, 138, 103, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,978.4694156299095,"[137, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1033.6811531564538,"[137, 78, 53, 52]"
KOTA SIBOLGA,892.9947583897433,"[137, 78, 53]"
KOTA TANJUNGBALAI,876.1972014247042,"[137, 138, 54]"
KOTA TEBING TINGGI,957.9339490962625,"[137, 138, 54, 55]"
KAB. AGAM,965.7815159254935,"[137, 136, 135, 109, 56]"
KAB. DHARMASRAYA,921.1116249627023,"[137, 138, 103, 102, 101, 81, 57]"
KAB. KEPULAUAN MENTAWAI,780.4036295498231,"[137, 66, 58]"
KAB. LIMA PULUH KOTA,926.6855090408947,"[137, 138, 103, 65, 63, 61, 59]"
KAB. PADANG PARIAMAN,969.8849669340058,"[137, 138, 103, 65, 63, 61, 60]"
KAB. PASAMAN,883.4977921529302,"[137, 138, 103, 65, 63, 61]"
KAB. PASAMAN BARAT,855.1878333195573,"[137, 138, 103, 104, 107, 62]"
KAB. PESISIR SELATAN,653.0722949534551,"[137, 138, 103, 65, 63]"
KAB. SIJUNJUNG,607.7219538338502,"[137, 138, 103, 65, 64]"
KAB. SOLOK,568.797660049544,"[137, 138, 103, 65]"
KAB. SOLOK SELATAN,521.6300247021205,"[137, 66]"
KAB. TANAH DATAR,650.125033363274,"[137, 66, 67]"
KOTA BUKITTINGGI,678.997864785195,"[137, 66, 67, 68]"
KOTA PADANG,728.8706142539555,"[137, 138, 103, 104, 107, 69]"
KOTA PADANGPANJANG,695.6690149058397,"[137, 138, 103, 71, 70]"
KOTA PARIAMAN,660.3053129849377,"[137, 138, 103, 71]"
KOTA PAYAKUMBUH,730.5897910381001,"[137, 66, 67, 73, 72]"
KOTA SAWAHLUNTO,678.8310021184685,"[137, 66, 67, 73]"
KOTA SOLOK,693.2750739787455,"[137, 66, 67, 73, 74]"
KAB. BENGKALIS,960.4568673195748,"[137, 66, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,836.115847088263,"[137, 78, 77, 76]"
KAB. INDRAGIRI HULU,731.3051790688611,"[137, 78, 77]"
KAB. KAMPAR,575.0714320956575,"[137, 78]"
KAB. KEPULAUAN MERANTI,763.3454622961842,"[137, 78, 79]"
KAB. KUANTAN SINGINGI,797.41195111141,"[137, 66, 67, 73, 74, 80]"
KAB. PELALAWAN,764.1989637283962,"[137, 138, 103, 102, 101, 81]"
