city,distance,through
KAB. ACEH BARAT,2296.5579621557963,"[236, 61, 62, 0]"
KAB. ACEH BARAT DAYA,2244.9646598877957,"[236, 166, 165, 1]"
KAB. ACEH BESAR,2441.2456942401086,"[236, 61, 62, 4, 3, 2]"
KAB. ACEH JAYA,2364.94222090301,"[236, 61, 62, 4, 3]"
KAB. ACEH SELATAN,2114.4770391433717,"[236, 61, 62, 4]"
KAB. ACEH SINGKIL,2049.332977643041,"[236, 131, 63, 72, 5]"
KAB. ACEH TAMIANG,2179.192417102469,"[236, 138, 137, 86, 6]"
KAB. ACEH TENGAH,2291.0902889850386,"[236, 138, 137, 8, 7]"
KAB. ACEH TENGGARA,2132.282263503457,"[236, 138, 137, 8]"
KAB. ACEH TIMUR,2244.4284884581893,"[236, 131, 63, 9]"
KAB. ACEH UTARA,2261.895044104318,"[236, 33, 10]"
KAB. BENER MERIAH,2290.95275217857,"[236, 138, 137, 11]"
KAB. BIREUEN,2341.9479257521916,"[236, 138, 137, 11, 12]"
KAB. GAYO LUES,2203.7512561922126,"[236, 138, 137, 13]"
KAB. NAGAN RAYA,2281.9056774323867,"[236, 131, 135, 25, 14]"
KAB. PIDIE,2333.3016522724006,"[236, 76, 75, 16, 15]"
KAB. PIDIE JAYA,2303.77025563982,"[236, 76, 75, 16]"
KAB. SIMEULUE,2247.205992406793,"[236, 166, 165, 164, 114, 17]"
KOTA BANDA ACEH,2482.393202359552,"[236, 33, 39, 18]"
KOTA LANGSA,2225.690177527502,"[236, 131, 132, 133, 19]"
KOTA LHOKSEUMAWE,2279.633060643051,"[236, 138, 54, 55, 28, 20]"
KOTA SABANG,2479.996411669502,"[236, 131, 132, 22, 21]"
KOTA SUBULUSSALAM,2024.3146828816089,"[236, 131, 132, 22]"
KAB. ASAHAN,2068.5599535112374,"[236, 131, 63, 24, 23]"
KAB. BATUBARA,2026.2273757108833,"[236, 131, 63, 24]"
KAB. DAIRI,2040.6079736580562,"[236, 131, 135, 25]"
KAB. DELI SERDANG,2056.5162342517265,"[236, 131, 135, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1981.8561687685885,"[236, 131, 117, 27]"
KAB. KARO,2017.3083484067122,"[236, 138, 54, 55, 28]"
KAB. LABUHANBATU,1844.6893817292193,"[236, 138, 137, 29]"
KAB. LABUHANBATU SELATAN,1820.1768995150176,"[236, 131, 135, 84, 30]"
KAB. LABUHANBATU UTARA,1885.5510952018124,"[236, 131, 135, 84, 30, 31]"
KAB. LANGKAT,2100.6822493098193,"[236, 33, 32]"
KAB. MANDAILING NATAL,1734.1357064691706,"[236, 33]"
KAB. NIAS,1918.768211122148,"[236, 61, 62, 34]"
KAB. NIAS BARAT,1933.4538026764565,"[236, 36, 35]"
KAB. NIAS SELATAN,1882.2160545365916,"[236, 36]"
KAB. NIAS UTARA,1956.7498823155101,"[236, 57, 37]"
