city,distance,through
KAB. ACEH BARAT,2358.855818468495,"[330, 331, 139, 140, 1, 0]"
KAB. ACEH BARAT DAYA,2239.164021835327,"[330, 331, 139, 140, 1]"
KAB. ACEH BESAR,2441.3354788231018,"[330, 341, 38, 2]"
KAB. ACEH JAYA,2444.018683424887,"[330, 341, 76, 77, 78, 4, 3]"
KAB. ACEH SELATAN,2193.553501665249,"[330, 341, 76, 77, 78, 4]"
KAB. ACEH SINGKIL,2105.532913248576,"[330, 341, 66, 5]"
KAB. ACEH TAMIANG,2129.0378751602684,"[330, 86, 6]"
KAB. ACEH TENGAH,2205.7992308975886,"[330, 331, 85, 7]"
KAB. ACEH TENGGARA,2120.953288106667,"[330, 327, 328, 8]"
KAB. ACEH TIMUR,2245.332855353479,"[330, 355, 354, 353, 87, 88, 9]"
KAB. ACEH UTARA,2249.749514009903,"[330, 43, 42, 11, 10]"
KAB. BENER MERIAH,2210.628312310402,"[330, 43, 42, 11]"
KAB. BIREUEN,2261.623485884024,"[330, 43, 42, 11, 12]"
KAB. GAYO LUES,2304.3254535625874,"[330, 331, 139, 138, 137, 13]"
KAB. NAGAN RAYA,2216.66151503098,"[330, 14]"
KAB. PIDIE,2338.6868771151635,"[330, 14, 15]"
KAB. PIDIE JAYA,2344.499113071251,"[330, 341, 76, 75, 16]"
KAB. SIMEULUE,2289.9396112301524,"[330, 355, 321, 55, 17]"
KOTA BANDA ACEH,2402.805007642276,"[330, 327, 18]"
KOTA LANGSA,2262.0929231142554,"[330, 331, 332, 333, 346, 347, 19]"
KOTA LHOKSEUMAWE,2257.546444961261,"[330, 341, 28, 20]"
KOTA SABANG,2473.693984729939,"[330, 341, 28, 20, 21]"
KOTA SUBULUSSALAM,2024.4398407329272,"[330, 331, 85, 27, 22]"
KAB. ASAHAN,2038.1473877577241,"[330, 341, 340, 339, 92, 24, 23]"
KAB. BATUBARA,1995.81480995737,"[330, 341, 340, 339, 92, 24]"
KAB. DAIRI,2005.5338663872194,"[330, 86, 25]"
KAB. DELI SERDANG,2019.6723922981228,"[330, 355, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1931.844344193348,"[330, 331, 85, 27]"
KAB. KARO,1995.221732724922,"[330, 341, 28]"
KAB. LABUHANBATU,1834.9386230171538,"[330, 355, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,1783.333057561414,"[330, 355, 321, 30]"
KAB. LABUHANBATU UTARA,1848.7072532482089,"[330, 355, 321, 30, 31]"
KAB. LANGKAT,2086.183155306623,"[330, 355, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,1912.16699894637,"[330, 341, 38, 39, 33]"
KAB. NIAS,2037.9077286470765,"[330, 341, 76, 35, 34]"
KAB. NIAS BARAT,2007.7816081482304,"[330, 341, 76, 35]"
KAB. NIAS SELATAN,2059.019356288095,"[330, 341, 76, 35, 36]"
KAB. NIAS UTARA,2030.0342156898198,"[330, 341, 38, 37]"
KAB. PADANG LAWAS,1760.3708468618154,"[330, 341, 38]"
KAB. PADANG LAWAS UTARA,1814.9403318642912,"[330, 341, 38, 39]"
KAB. PAKPAK BHARAT,2003.3989015105878,"[330, 341, 38, 39, 40]"
KAB. SAMOSIR,2013.3997239499222,"[330, 43, 42, 41]"
KAB. SERDANG BEDAGAI,1929.1702311186848,"[330, 43, 42]"
KAB. SIMALUNGUN,1882.2841655058976,"[330, 43]"
KAB. TAPANULI SELATAN,1920.3425493379511,"[330, 327, 328, 44]"
KAB. TAPANULI TENGAH,1986.1362575867963,"[330, 331, 139, 138, 46, 45]"
KAB. TAPANULI UTARA,1937.141873435282,"[330, 331, 139, 138, 46]"
KAB. TOBA SAMOSIR,1976.8157456519864,"[330, 331, 139, 138, 46, 47]"
KOTA BINJAI,2000.581048670467,"[330, 331, 52, 48]"
KOTA GUNUNGSITOLI,2030.8849832393644,"[330, 65, 49]"
KOTA MEDAN,2171.82529025517,"[330, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,1939.5251934962541,"[330, 355, 74, 51]"
KOTA PEMATANGSIANTAR,1905.3777847812632,"[330, 331, 52]"
KOTA SIBOLGA,1890.6070329097647,"[330, 331, 53]"
KOTA TANJUNGBALAI,1934.155805981134,"[330, 331, 139, 138, 54]"
KOTA TEBING TINGGI,1934.0705148550378,"[330, 355, 321, 55]"
KAB. AGAM,1770.7517737346054,"[330, 341, 135, 109, 56]"
KAB. DHARMASRAYA,1735.433137920434,"[330, 341, 340, 339, 338, 142, 57]"
KAB. KEPULAUAN MENTAWAI,1800.948097607924,"[330, 341, 66, 58]"
KAB. LIMA PULUH KOTA,1737.4157790267561,"[330, 355, 321, 322, 59]"
KAB. PADANG PARIAMAN,1815.5181833529075,"[330, 355, 321, 322, 59, 60]"
KAB. PASAMAN,1750.9968724418777,"[330, 341, 340, 61]"
KAB. PASAMAN BARAT,1810.6191647665662,"[330, 341, 340, 61, 62]"
KAB. PESISIR SELATAN,1673.6208623633818,"[330, 65, 63]"
KAB. SIJUNJUNG,1628.270521243777,"[330, 65, 64]"
KAB. SOLOK,1589.3462274594708,"[330, 65]"
KAB. SOLOK SELATAN,1542.1744927602215,"[330, 341, 66]"
KAB. TANAH DATAR,1670.6695014213751,"[330, 341, 66, 67]"
KOTA BUKITTINGGI,1699.542332843296,"[330, 341, 66, 67, 68]"
KOTA PADANG,1728.2439801531189,"[330, 341, 116, 69]"
KOTA PADANGPANJANG,1708.9951724348596,"[330, 341, 340, 70]"
KOTA PARIAMAN,1679.9048005250213,"[330, 71]"
KOTA PAYAKUMBUH,1720.5337126249985,"[330, 355, 74, 73, 72]"
KOTA SAWAHLUNTO,1668.774923705367,"[330, 355, 74, 73]"
KOTA SOLOK,1654.3308518450901,"[330, 355, 74]"
KAB. BENGKALIS,1613.048665486313,"[330, 341, 76, 75]"
KAB. INDRAGIRI HILIR,1381.9522499131394,"[330, 341, 76]"
KAB. INDRAGIRI HULU,1486.7629179325413,"[330, 341, 76, 77]"
KAB. KAMPAR,1642.9966649057449,"[330, 341, 76, 77, 78]"
KAB. KEPULAUAN MERANTI,1792.781754277566,"[330, 331, 332, 333, 346, 347, 348, 79]"
KAB. KUANTAN SINGINGI,1750.8035201208827,"[330, 329, 336, 80]"
KAB. PELALAWAN,1790.546655140059,"[330, 331, 103, 102, 101, 81]"
KAB. ROKAN HILIR,1784.0157412194374,"[330, 355, 354, 353, 87, 88, 82]"
KAB. ROKAN HULU,1736.6410199028123,"[330, 355, 321, 84, 83]"
KAB. SIAK,1583.4893666780908,"[330, 355, 321, 84]"
KOTA DUMAI,1612.0291830673364,"[330, 331, 85]"
KOTA PEKANBARU,1565.0655232125607,"[330, 86]"
KAB. BINTAN,1350.4234872234838,"[330, 355, 354, 353, 87]"
KAB. KARIMUN,1478.466685749561,"[330, 355, 354, 353, 87, 88]"
KAB. KEPULAUAN ANAMBAS,1792.5553190923517,"[330, 341, 342, 90, 89]"
KAB. LINGGA,1371.9319159537586,"[330, 341, 342, 90]"
KAB. NATUNA,1246.2900221956497,"[330, 331, 332, 333, 91]"
KOTA BATAM,1441.2884000921065,"[330, 341, 340, 339, 92]"
KOTA TANJUNG PINANG,1426.3210848734793,"[330, 341, 340, 339, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,1107.62050272219,"[330, 341, 340, 339, 94]"
PEKAJANG KAB. LINGGA,1435.5351008223872,"[330, 341, 340, 339, 94, 95]"
PULAU SERASAN KAB. NATUNA,1019.6649851861378,"[330, 355, 321, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,1171.0815977817538,"[330, 355, 321, 322, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1201.732763503796,"[330, 355, 321, 98]"
KAB. BATANGHARI,1688.6905836158332,"[330, 341, 177, 194, 99]"
KAB. BUNGO,1565.3496220147103,"[330, 355, 321, 100]"
KAB. KERINCI,1548.295246792423,"[330, 331, 103, 102, 101]"
KAB. MERANGIN,1478.8193967885113,"[330, 331, 103, 102]"
KAB. MUARO JAMBI,1262.7917060941247,"[330, 331, 103]"
KAB. SAROLANGUN,1412.8327763511995,"[330, 331, 103, 104]"
KAB. TANJUNG JABUNG BARAT,1530.108088567577,"[330, 329, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,1447.8604862539662,"[330, 329, 106]"
KAB. TEBO,1537.9497783900417,"[330, 331, 103, 104, 107]"
KOTA JAMBI,1532.1723974839688,"[330, 331, 124, 125, 108]"
KOTA SUNGAI PENUH,1524.7812407287365,"[330, 341, 135, 109]"
KAB. BENGKULU SELATAN,1502.9385625668847,"[330, 341, 135, 131, 132, 110]"
KAB. BENGKULU TENGAH,1403.525270633492,"[330, 341, 149, 111]"
KAB. BENGKULU UTARA,1459.051924650922,"[330, 331, 139, 112]"
KAB. KAUR,1376.273747507229,"[330, 341, 135, 136, 113]"
KAB. KEPAHIANG,1497.1741251658464,"[330, 341, 135, 136, 113, 114]"
KAB. LEBONG,1569.9314983367299,"[330, 341, 135, 136, 113, 114, 115]"
KAB. MUKOMUKO,1508.2265437912554,"[330, 341, 116]"
KAB. REJANG LEBONG,1469.3174661883477,"[330, 341, 135, 131, 117]"
KAB. SELUMA,1470.4548054010393,"[330, 331, 124, 125, 118]"
KOTA BENGKULU,1528.241825575239,"[330, 331, 124, 125, 118, 119]"
KAB. BANYUASIN,1469.8625411902797,"[330, 226, 221, 153, 120]"
KAB. EMPAT LAWANG,1347.4024227569062,"[330, 341, 149, 121]"
KAB. LAHAT,1322.2186093147113,"[330, 331, 139, 122]"
KAB. MUARA ENIM,1290.6093216306306,"[330, 331, 139, 140, 123]"
KAB. MUSI BANYUASIN,1262.2774844175926,"[330, 331, 124]"
KAB. MUSI RAWAS,1356.7522098893141,"[330, 331, 124, 125]"
KAB. MUSI RAWAS UTARA,1410.0898220082938,"[330, 331, 124, 125, 126]"
KAB. OGAN ILIR,1234.319263587783,"[330, 331, 139, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,1166.821496185526,"[330, 331, 139, 140, 128]"
KAB. OGAN KOMERING ULU,1315.6286300573868,"[330, 331, 139, 140, 128, 129]"
KAB. OGAN KOMERING ULU SELATAN,1356.0474177638773,"[330, 341, 135, 131, 130]"
KAB. OGAN KOMERING ULU TIMUR,1233.724345017631,"[330, 341, 135, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,1341.1546545425044,"[330, 341, 135, 131, 132]"
KOTA LUBUKLINGGAU,1436.6682690740245,"[330, 341, 135, 134, 133]"
KOTA PAGAR ALAM,1344.436047005385,"[330, 341, 135, 134]"
KOTA PALEMBANG,1135.7608295137113,"[330, 341, 135]"
KOTA PRABUMULIH,1212.8081873001781,"[330, 341, 135, 136]"
KAB. BANGKA,1152.1692975431727,"[330, 331, 139, 138, 137]"
KAB. BANGKA BARAT,1105.0639510498013,"[330, 331, 139, 138]"
KAB. BANGKA SELATAN,960.3635851700157,"[330, 331, 139]"
KAB. BANGKA TENGAH,1006.3655840726485,"[330, 331, 139, 140]"
KAB. BELITUNG,1029.4554597252427,"[330, 341, 340, 339, 338, 142, 141]"
KAB. BELITUNG TIMUR,984.3054457836904,"[330, 341, 340, 339, 338, 142]"
KOTA PANGKAL PINANG,1223.7957004822827,"[330, 341, 340, 339, 338, 142, 143]"
KAB. LAMPUNG TENGAH,1218.9626290642218,"[330, 181, 180, 144]"
KAB. LAMPUNG UTARA,1281.13934436579,"[330, 181, 180, 144, 145]"
KAB. LAMPUNG SELATAN,1208.780449117487,"[330, 355, 354, 353, 146]"
KAB. LAMPUNG BARAT,1371.8351310327935,"[330, 355, 354, 353, 146, 147]"
KAB. LAMPUNG TIMUR,1207.7969043541143,"[330, 341, 149, 148]"
KAB. MESUJI,1077.6614184445293,"[330, 341, 149]"
KAB. PESAWARAN,1245.215801847394,"[330, 341, 149, 150]"
KAB. PESISIR BARAT,1226.4654931424623,"[330, 341, 151]"
KAB. PRINGSEWU,1259.7754951048018,"[330, 226, 221, 152]"
KAB. TULANG BAWANG,1262.5616161768094,"[330, 226, 221, 153]"
KAB. TULANG BAWANG BARAT,1314.6913174041226,"[330, 226, 221, 153, 154]"
KAB. TANGGAMUS,1310.7938546826215,"[330, 341, 177, 194, 155]"
KAB. WAY KANAN,1267.3825899303943,"[330, 355, 354, 353, 156]"
KOTA BANDAR LAMPUNG,1261.3804041018327,"[330, 181, 159, 158, 157]"
KOTA METRO,1230.001565259317,"[330, 181, 159, 158]"
KAB. LEBAK,1038.172051332513,"[330, 181, 159]"
KAB. PANDEGLANG,1103.7337847042888,"[330, 181, 159, 160]"
KAB. SERANG,1156.047742608261,"[330, 355, 162, 161]"
KAB. TANGERANG,1106.327474588496,"[330, 355, 162]"
KOTA CILEGON,1158.1638978757549,"[330, 341, 198, 166, 165, 164, 163]"
KOTA SERANG,1137.432509716478,"[330, 341, 198, 166, 165, 164]"
KOTA TANGERANG,1082.4449760189875,"[330, 341, 198, 166, 165]"
KOTA TANGERANG SELATAN,1071.3418624602295,"[330, 341, 198, 166]"
KAB. BANDUNG,984.9671497549266,"[330, 226, 221, 168, 167]"
KAB. BANDUNG BARAT,951.826513581705,"[330, 226, 221, 168]"
KAB. BEKASI,1025.6751134357742,"[330, 341, 198, 169]"
KAB. BOGOR,1025.721623592269,"[330, 181, 182, 170]"
KAB. CIAMIS,870.7974959967595,"[330, 205, 171]"
KAB. CIANJUR,998.0519290211556,"[330, 205, 171, 172]"
KAB. CIREBON,932.0744019168878,"[330, 341, 200, 173]"
KAB. GARUT,997.6071377492474,"[330, 181, 174]"
KAB. INDRAMAYU,1019.2592494734082,"[330, 341, 198, 213, 222, 175]"
KAB. KARAWANG,984.665475668991,"[330, 341, 177, 176]"
KAB. KUNINGAN,828.3516317509634,"[330, 341, 177]"
KAB. MAJALENGKA,869.2196163670629,"[330, 341, 177, 178]"
KAB. PANGANDARAN,965.1186494129228,"[330, 341, 177, 178, 179]"
KAB. PURWAKARTA,913.2628149154177,"[330, 181, 180]"
KAB. SUBANG,869.4661042840578,"[330, 181]"
KAB. SUKABUMI,975.7587504253673,"[330, 181, 182]"
KAB. SUMEDANG,993.1317728786444,"[330, 226, 184, 183]"
KAB. TASIKMALAYA,899.7550336863278,"[330, 226, 184]"
KOTA BANDUNG,937.7016066660282,"[330, 226, 185]"
KOTA BANJAR,939.3732274597668,"[330, 341, 200, 201, 186]"
KOTA BEKASI,1044.8134750705403,"[330, 341, 198, 169, 187]"
KOTA BOGOR,1088.8924298513414,"[330, 341, 198, 169, 187, 188]"
KOTA CIMAHI,1176.1351215797988,"[330, 341, 198, 169, 187, 188, 189]"
KOTA CIREBON,1289.0344476254736,"[330, 341, 198, 169, 187, 188, 189, 190]"
KOTA DEPOK,1129.8010457040473,"[330, 226, 184, 183, 191]"
KOTA SUKABUMI,1095.9378291464855,"[330, 341, 200, 201, 192]"
KOTA TASIKMALAYA,1231.8704416464636,"[330, 341, 340, 339, 338, 261, 193]"
KOTA JAKARTA,1038.5183974265913,"[330, 341, 177, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,1106.856833319805,"[330, 341, 177, 194, 195]"
KAB. BANJARNEGARA,852.9742740078063,"[330, 226, 197, 196]"
KAB. BANYUMAS,799.2466894548343,"[330, 226, 197]"
KAB. BATANG,709.0596352790303,"[330, 341, 198]"
KAB. BLORA,763.6980338158808,"[330, 341, 200, 199]"
KAB. BOYOLALI,674.2792623271789,"[330, 341, 200]"
KAB. BREBES,878.1643422233835,"[330, 341, 200, 201]"
KAB. CILACAP,881.9221885433557,"[330, 341, 340, 203, 202]"
KAB. DEMAK,672.8277330848395,"[330, 341, 340, 203]"
KAB. GROBOGAN,670.808128193972,"[330, 205, 204]"
KAB. JEPARA,600.52294951117,"[330, 205]"
KAB. KARANGANYAR,724.7418727549872,"[330, 205, 206]"
KAB. KEBUMEN,805.0601193429462,"[330, 341, 200, 224, 207]"
KAB. KENDAL,832.824924390502,"[330, 341, 340, 210, 209, 208]"
KAB. KLATEN,745.115086949098,"[330, 341, 340, 210, 209]"
KAB. KUDUS,643.8703141962947,"[330, 341, 340, 210]"
KAB. MAGELANG,742.2321335894746,"[330, 341, 340, 210, 211]"
KAB. PATI,855.7875796011512,"[330, 341, 340, 210, 211, 212]"
KAB. PEKALONGAN,740.6297951078705,"[330, 341, 198, 213]"
KAB. PEMALANG,761.6607517902472,"[330, 341, 198, 213, 214]"
KAB. PURBALINGGA,789.0147037448087,"[330, 341, 198, 213, 214, 215]"
KAB. PURWOREJO,793.4817249125058,"[330, 205, 204, 225, 216]"
KAB. REMBANG,734.3316782615353,"[330, 331, 332, 217]"
KAB. SEMARANG,847.2756086923018,"[330, 331, 332, 217, 218]"
KAB. SRAGEN,816.4510908303611,"[330, 331, 332, 219]"
KAB. SUKOHARJO,846.0475464609277,"[330, 331, 332, 219, 220]"
KAB. TEGAL,773.7746112259757,"[330, 226, 221]"
KAB. TEMANGGUNG,798.4056914503632,"[330, 341, 198, 213, 222]"
KAB. WONOGIRI,752.7015568286914,"[330, 205, 204, 223]"
KAB. WONOSOBO,761.5276973277324,"[330, 341, 200, 224]"
KOTA MAGELANG,759.3826018871849,"[330, 205, 204, 225]"
KOTA PEKALONGAN,710.7768487998966,"[330, 226]"
KOTA SALATIGA,721.2130276745744,"[330, 341, 340, 203, 227]"
KOTA SEMARANG,758.2177725833205,"[330, 341, 340, 203, 227, 228]"
KOTA SURAKARTA,784.311565499936,"[330, 269, 268, 229]"
KOTA TEGAL,987.0405380749294,"[330, 269, 268, 229, 230]"
KAB. BANTUL,841.4420472994402,"[330, 269, 251, 231]"
KAB. GUNUNGKIDUL,827.4018106818108,"[330, 331, 233, 232]"
KAB. KULON PROGO,772.626492415895,"[330, 331, 233]"
KAB. SLEMAN,800.8927597940822,"[330, 331, 233, 234]"
KOTA YOGYAKARTA,808.79015627182,"[330, 331, 233, 234, 235]"
KAB. BANGKALAN,719.5698707755857,"[330, 355, 236]"
KAB. BANYUWANGI,926.8472370877464,"[330, 355, 236, 237]"
KAB. BLITAR,898.5874655654691,"[330, 341, 340, 203, 239, 238]"
KAB. BOJONEGORO,801.5267621891146,"[330, 341, 340, 203, 239]"
KAB. BONDOWOSO,809.0405208220889,"[330, 269, 270, 240]"
KAB. GRESIK,862.1643369903015,"[330, 269, 242, 241]"
KAB. JEMBER,695.7637999618356,"[330, 269, 242]"
KAB. JOMBANG,789.8620054882726,"[330, 269, 268, 243]"
KAB. KEDIRI,773.3153064062465,"[330, 341, 340, 339, 338, 244]"
KAB. LAMONGAN,775.8859916554417,"[330, 329, 245]"
KAB. LUMAJANG,874.3175632750172,"[330, 269, 247, 246]"
KAB. MADIUN,697.8038098088443,"[330, 269, 247]"
KAB. MAGETAN,726.9693471835205,"[330, 269, 247, 248]"
KAB. MALANG,653.7391983341347,"[330, 341, 340, 249]"
KAB. MOJOKERTO,729.5662580167113,"[330, 269, 251, 250]"
KAB. NGANJUK,669.4700916879823,"[330, 269, 251]"
KAB. NGAWI,661.9436244886635,"[330, 341, 340, 252]"
KAB. PACITAN,732.3510477951792,"[330, 341, 340, 253]"
KAB. PAMEKASAN,829.1149444479369,"[330, 331, 332, 333, 334, 335, 254]"
KAB. PASURUAN,875.6863862172445,"[330, 205, 255]"
KAB. PONOROGO,889.7408053119103,"[330, 331, 332, 333, 256]"
KAB. PROBOLINGGO,906.426261144063,"[330, 331, 332, 333, 334, 335, 257]"
KAB. SAMPANG,831.4933554428272,"[330, 269, 242, 258]"
KAB. SIDOARJO,788.8706177418045,"[330, 329, 259]"
KAB. SITUBONDO,703.4671392725983,"[330, 341, 340, 339, 338, 261, 260]"
KAB. SUMENEP,602.4235463572829,"[330, 341, 340, 339, 338, 261]"
KAB. TRENGGALEK,889.781132465694,"[330, 269, 268, 243, 262]"
KAB. TUBAN,766.8982000037971,"[330, 331, 332, 333, 263]"
KAB. TULUNGAGUNG,725.1004851097857,"[330, 269, 251, 264]"
KOTA BATU,779.3491535899334,"[330, 269, 251, 267, 266, 265]"
KOTA BLITAR,732.0175361853594,"[330, 269, 251, 267, 266]"
KOTA KEDIRI,700.3045616149121,"[330, 269, 251, 267]"
KOTA MADIUN,706.2859129192385,"[330, 269, 268]"
KOTA MALANG,579.2169567910632,"[330, 269]"
KOTA MOJOKERTO,638.3181623025358,"[330, 269, 270]"
KOTA PASURUAN,692.6644618040158,"[330, 269, 270, 271]"
KOTA PROBOLINGGO,729.1056639759603,"[330, 269, 270, 271, 272]"
KOTA SURABAYA,805.3133883167235,"[330, 269, 270, 271, 272, 273]"
KAB. BADUNG,818.2445704911195,"[330, 331, 286, 285, 274]"
KAB. BANGLI,823.2798041214376,"[330, 341, 340, 339, 338, 261, 275]"
KAB. BULELENG,845.8423132617254,"[330, 331, 332, 278, 277, 276]"
KAB. GIANYAR,805.2176888249052,"[330, 331, 332, 278, 277]"
KAB. JEMBRANA,738.9804925380353,"[330, 331, 332, 278]"
KAB. KARANGASEM,832.9626417340703,"[330, 331, 332, 278, 279]"
KAB. KLUNGKUNG,813.6092630716655,"[330, 331, 332, 281, 280]"
KAB. TABANAN,751.2803150885405,"[330, 331, 332, 281]"
KOTA DENPASAR,774.3888897668801,"[330, 331, 332, 282]"
KAB. BIMA,767.7600863823302,"[330, 341, 283]"
KAB. DOMPU,800.5688439427915,"[330, 341, 283, 284]"
KAB. LOMBOK BARAT,715.1775630195845,"[330, 331, 286, 285]"
KAB. LOMBOK TENGAH,696.2257459865841,"[330, 331, 286]"
KAB. LOMBOK TIMUR,733.3215375710516,"[330, 331, 286, 287]"
KAB. LOMBOK UTARA,768.1290368238537,"[330, 331, 286, 287, 288]"
KAB. SUMBAWA,891.2961389684008,"[330, 331, 286, 287, 288, 289]"
KAB. SUMBAWA BARAT,951.4533074247553,"[330, 331, 286, 287, 288, 289, 290]"
KOTA BIMA,1070.2154425835315,"[330, 341, 342, 343, 291]"
KOTA MATARAM,872.5547314576412,"[330, 331, 332, 282, 292]"
KAB. ALOR,1406.4321228168294,"[330, 329, 336, 293]"
KAB. BELU,1386.6999684742818,"[330, 341, 340, 295, 294]"
KAB. ENDE,1032.5892414259251,"[330, 341, 340, 295]"
KAB. FLORES TIMUR,1133.4649823274015,"[330, 331, 296]"
KAB. KUPANG,1345.5540867610284,"[330, 331, 296, 297]"
KAB. LEMBATA,1384.8243061841213,"[330, 331, 332, 400, 378, 379, 394, 298]"
KAB. MALAKA,1522.2007871147935,"[330, 331, 332, 400, 401, 299]"
KAB. MANGGARAI,1230.9476183227948,"[330, 331, 332, 400, 378, 379, 394, 301, 300]"
KAB. MANGGARAI BARAT,1195.3998202862372,"[330, 331, 332, 400, 378, 379, 394, 301]"
KAB. MANGGARAI TIMUR,1254.3562646221865,"[330, 331, 332, 400, 304, 303, 302]"
KAB. NGADA,1211.7223219057955,"[330, 331, 332, 400, 304, 303]"
KAB. NAGEKEO,1175.6699817719345,"[330, 331, 332, 400, 304]"
KAB. ROTE NDAO,1296.4698170425186,"[330, 341, 340, 305]"
KAB. SABU RAIJUA,1243.908086610897,"[330, 341, 283, 284, 306]"
KAB. SIKKA,1246.7249354907528,"[330, 341, 283, 308, 307]"
KAB. SUMBA BARAT,927.4500383874005,"[330, 341, 283, 308]"
KAB. SUMBA BARAT DAYA,958.2857335328416,"[330, 341, 283, 308, 309]"
KAB. SUMBA TENGAH,933.6017470754823,"[330, 341, 283, 310]"
KAB. SUMBA TIMUR,1023.2069288016595,"[330, 341, 283, 310, 311]"
KAB. TIMOR TENGAH SELATAN,1384.2163327609376,"[330, 341, 340, 313, 312]"
KAB. TIMOR TENGAH UTARA,1343.2799320125143,"[330, 341, 340, 313]"
KOTA KUPANG,1356.0712797032008,"[330, 331, 332, 314]"
