city,distance,through
KAB. ACEH BARAT,2234.0100026023574,"[343, 342, 0]"
KAB. ACEH BARAT DAYA,2353.7017992355254,"[343, 342, 0, 1]"
KAB. ACEH BESAR,2483.7347382086195,"[343, 97, 19, 20, 21, 2]"
KAB. ACEH JAYA,2487.4006326149324,"[343, 68, 67, 3]"
KAB. ACEH SELATAN,2256.241467416428,"[343, 344, 345, 321, 320, 319, 4]"
KAB. ACEH SINGKIL,2186.754486108186,"[343, 68, 67, 73, 72, 5]"
KAB. ACEH TAMIANG,2218.6470129883323,"[343, 344, 345, 321, 86, 6]"
KAB. ACEH TENGAH,2279.7100861308772,"[343, 344, 30, 26, 7]"
KAB. ACEH TENGGARA,2214.5246586615995,"[343, 68, 67, 8]"
KAB. ACEH TIMUR,2175.893158368686,"[343, 344, 345, 9]"
KAB. ACEH UTARA,2233.7840420696434,"[343, 344, 345, 10]"
KAB. BENER MERIAH,2263.949977538067,"[343, 39, 43, 42, 11]"
KAB. BIREUEN,2314.9451511116886,"[343, 39, 43, 42, 11, 12]"
KAB. GAYO LUES,2353.243191646984,"[343, 342, 336, 137, 13]"
KAB. NAGAN RAYA,2306.4395235474617,"[343, 344, 93, 92, 24, 25, 14]"
KAB. PIDIE,2395.216899686876,"[343, 344, 30, 15]"
KAB. PIDIE JAYA,2381.470243097545,"[343, 344, 30, 26, 16]"
KAB. SIMEULUE,2307.8243189509612,"[343, 344, 55, 17]"
KOTA BANDA ACEH,2411.4988697026174,"[343, 97, 19, 18]"
KOTA LANGSA,2094.339214136511,"[343, 97, 19]"
KOTA LHOKSEUMAWE,2215.810435616888,"[343, 97, 19, 20]"
KOTA SABANG,2431.957975385566,"[343, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,2110.234884141948,"[343, 344, 345, 321, 84, 83, 22]"
KAB. ASAHAN,1966.1142261601522,"[343, 344, 93, 92, 24, 23]"
KAB. BATUBARA,1923.781648359798,"[343, 344, 93, 92, 24]"
KAB. DAIRI,2065.1418197731314,"[343, 344, 93, 92, 24, 25]"
KAB. DELI SERDANG,2042.9507765844023,"[343, 344, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2036.5205355936773,"[343, 344, 30, 29, 27]"
KAB. KARO,2053.9452147002416,"[343, 344, 55, 28]"
KAB. LABUHANBATU,1858.2170073034333,"[343, 344, 30, 29]"
KAB. LABUHANBATU SELATAN,1806.6114418476936,"[343, 344, 30]"
KAB. LABUHANBATU UTARA,1871.9856375344884,"[343, 344, 30, 31]"
KAB. LANGKAT,2109.4615395929027,"[343, 344, 30, 31, 32]"
KAB. MANDAILING NATAL,1871.979141137509,"[343, 39, 33]"
KAB. NIAS,2056.7108009248286,"[343, 39, 33, 34]"
KAB. NIAS BARAT,2086.8369214236745,"[343, 39, 33, 34, 35]"
KAB. NIAS SELATAN,2138.0746695635394,"[343, 39, 33, 34, 35, 36]"
KAB. NIAS UTARA,2098.9853278859105,"[343, 39, 38, 37]"
KAB. PADANG LAWAS,1829.321959057906,"[343, 39, 38]"
KAB. PADANG LAWAS UTARA,1774.7524740554302,"[343, 39]"
KAB. PAKPAK BHARAT,1963.2110437017268,"[343, 39, 40]"
KAB. SAMOSIR,2027.8806558716876,"[343, 39, 40, 41]"
KAB. SERDANG BEDAGAI,1982.4918963463492,"[343, 39, 43, 42]"
KAB. SIMALUNGUN,1935.605830733562,"[343, 39, 43]"
KAB. TAPANULI SELATAN,2082.492090656767,"[343, 342, 336, 329, 328, 44]"
KAB. TAPANULI TENGAH,2081.1993692218034,"[343, 344, 345, 321, 320, 319, 46, 45]"
KAB. TAPANULI UTARA,2032.2049850702888,"[343, 344, 345, 321, 320, 319, 46]"
KAB. TOBA SAMOSIR,2071.8788572869935,"[343, 344, 345, 321, 320, 319, 46, 47]"
KOTA BINJAI,2054.190780763662,"[343, 39, 43, 52, 48]"
KOTA GUNUNGSITOLI,2120.208176803118,"[343, 39, 33, 34, 35, 49]"
KOTA MEDAN,2103.5270420035868,"[343, 344, 93, 92, 24, 23, 50]"
