city,distance,through
KAB. ACEH BARAT,2306.0928092297677,"[344, 345, 321, 322, 323, 0]"
KAB. ACEH BARAT DAYA,2376.568347842257,"[344, 345, 321, 320, 140, 1]"
KAB. ACEH BESAR,2384.8405658668444,"[344, 19, 20, 21, 2]"
KAB. ACEH JAYA,2389.0666527314106,"[344, 345, 321, 320, 319, 4, 3]"
KAB. ACEH SELATAN,2138.6014709717724,"[344, 345, 321, 320, 319, 4]"
KAB. ACEH SINGKIL,2138.1700493014414,"[344, 345, 321, 322, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,2101.007016543677,"[344, 345, 321, 86, 6]"
KAB. ACEH TENGAH,2162.0700896862218,"[344, 30, 26, 7]"
KAB. ACEH TENGGARA,2193.531333596322,"[344, 345, 9, 8]"
KAB. ACEH TIMUR,2058.25316192403,"[344, 345, 9]"
KAB. ACEH UTARA,2116.144045624988,"[344, 345, 10]"
KAB. BENER MERIAH,2155.265247324489,"[344, 345, 10, 11]"
KAB. BIREUEN,2206.2604208981106,"[344, 345, 10, 11, 12]"
KAB. GAYO LUES,2285.8943641878245,"[344, 93, 92, 24, 25, 14, 13]"
KAB. NAGAN RAYA,2188.7995271028058,"[344, 93, 92, 24, 25, 14]"
KAB. PIDIE,2277.5769032422204,"[344, 30, 15]"
KAB. PIDIE JAYA,2263.8302466528894,"[344, 30, 26, 16]"
KAB. SIMEULUE,2190.1843225063058,"[344, 55, 17]"
KOTA BANDA ACEH,2312.6046973608422,"[344, 19, 18]"
KOTA LANGSA,1995.445041794736,"[344, 19]"
KOTA LHOKSEUMAWE,2116.9162632751127,"[344, 19, 20]"
KOTA SABANG,2333.063803043791,"[344, 19, 20, 21]"
KOTA SUBULUSSALAM,1992.5948876972923,"[344, 345, 321, 84, 83, 22]"
KAB. ASAHAN,1848.4742297154962,"[344, 93, 92, 24, 23]"
KAB. BATUBARA,1806.1416519151421,"[344, 93, 92, 24]"
KAB. DAIRI,1947.5018233284754,"[344, 93, 92, 24, 25]"
KAB. DELI SERDANG,1925.3107801397466,"[344, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1918.8805391490218,"[344, 30, 29, 27]"
KAB. KARO,1936.3052182555857,"[344, 55, 28]"
KAB. LABUHANBATU,1740.5770108587776,"[344, 30, 29]"
KAB. LABUHANBATU SELATAN,1688.971445403038,"[344, 30]"
KAB. LABUHANBATU UTARA,1754.3456410898327,"[344, 30, 31]"
KAB. LANGKAT,1991.8215431482472,"[344, 30, 31, 32]"
KAB. MANDAILING NATAL,1855.3355152197212,"[344, 345, 321, 84, 39, 33]"
KAB. NIAS,1989.2176198449572,"[344, 345, 321, 322, 59, 62, 34]"
KAB. NIAS BARAT,2019.3437403438033,"[344, 345, 321, 322, 59, 62, 34, 35]"
