city,distance,through
KAB. ACEH BARAT,1529.2531662616825,"[141, 140, 1, 0]"
KAB. ACEH BARAT DAYA,1409.5613696285143,"[141, 140, 1]"
KAB. ACEH BESAR,1659.8562118320447,"[141, 140, 1, 2]"
KAB. ACEH JAYA,1644.060372149218,"[141, 73, 67, 3]"
KAB. ACEH SELATAN,1406.6730130726637,"[141, 73, 72, 5, 4]"
KAB. ACEH SINGKIL,1286.0022881320824,"[141, 73, 72, 5]"
KAB. ACEH TAMIANG,1442.5822803805445,"[141, 142, 86, 6]"
KAB. ACEH TENGAH,1529.9924236774668,"[141, 73, 67, 8, 7]"
KAB. ACEH TENGGARA,1371.1843981958853,"[141, 73, 67, 8]"
KAB. ACEH TIMUR,1506.4625698681773,"[141, 73, 67, 8, 9]"
KAB. ACEH UTARA,1573.052703956665,"[141, 73, 67, 8, 9, 10]"
KAB. BENER MERIAH,1575.6021864299098,"[141, 73, 71, 11]"
KAB. BIREUEN,1626.5973600035313,"[141, 73, 71, 11, 12]"
KAB. GAYO LUES,1513.9393030898927,"[141, 73, 71, 70, 13]"
KAB. NAGAN RAYA,1560.3759753818254,"[141, 142, 86, 25, 14]"
KAB. PIDIE,1587.7632881149646,"[141, 140, 15]"
KAB. PIDIE JAYA,1617.294684747545,"[141, 140, 15, 16]"
KAB. SIMEULUE,1573.6206863443326,"[141, 140, 128, 127, 17]"
KOTA BANDA ACEH,1773.4756071106522,"[141, 142, 86, 6, 18]"
KOTA LANGSA,1694.534312579042,"[141, 142, 57, 37, 19]"
KOTA LHOKSEUMAWE,1607.8340179072459,"[141, 142, 86, 25, 28, 20]"
KOTA SABANG,1711.6329746550982,"[141, 140, 1, 2, 21]"
KOTA SUBULUSSALAM,1343.50153586039,"[141, 142, 143, 22]"
KAB. ASAHAN,1502.7710208211824,"[141, 142, 86, 25, 24, 23]"
KAB. BATUBARA,1460.4384430208283,"[141, 142, 86, 25, 24]"
KAB. DAIRI,1319.078271607495,"[141, 142, 86, 25]"
KAB. DELI SERDANG,1349.6131813663576,"[141, 73, 74, 51, 26]"
KAB. HUMBANG HASUNDUTAN,1298.5748818637676,"[141, 140, 139, 29, 27]"
KAB. KARO,1345.5093056709068,"[141, 142, 86, 25, 28]"
KAB. LABUHANBATU,1120.2713535735234,"[141, 140, 139, 29]"
KAB. LABUHANBATU SELATAN,1171.876919029263,"[141, 140, 139, 29, 30]"
KAB. LABUHANBATU UTARA,1237.2511147160578,"[141, 140, 139, 29, 30, 31]"
KAB. LANGKAT,1444.153272822806,"[141, 73, 46, 45, 32]"
KAB. MANDAILING NATAL,1257.391633232225,"[141, 73, 74, 63, 33]"
KAB. NIAS,1316.5370927334263,"[141, 73, 67, 68, 69, 34]"
KAB. NIAS BARAT,1346.6632132322725,"[141, 73, 67, 68, 69, 34, 35]"
KAB. NIAS SELATAN,1297.700903549663,"[141, 73, 58, 36]"
KAB. NIAS UTARA,1337.7394087955236,"[141, 142, 57, 37]"
KAB. PADANG LAWAS,1262.2032680829498,"[141, 140, 139, 29, 38]"
KAB. PADANG LAWAS UTARA,1316.7727530854256,"[141, 140, 139, 29, 38, 39]"
KAB. PAKPAK BHARAT,1307.8408319533219,"[141, 73, 72, 41, 40]"
KAB. SAMOSIR,1243.171219783361,"[141, 73, 72, 41]"
KAB. SERDANG BEDAGAI,1327.4007126145984,"[141, 73, 72, 41, 42]"
KAB. SIMALUNGUN,1315.7790948979102,"[141, 73, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,1268.812566568274,"[141, 140, 123, 124, 44]"
KAB. TAPANULI TENGAH,1215.7155676425077,"[141, 73, 46, 45]"
KAB. TAPANULI UTARA,1166.7211834909933,"[141, 73, 46]"
KAB. TOBA SAMOSIR,1206.3950557076978,"[141, 73, 46, 47]"
KOTA BINJAI,1371.1964262265296,"[141, 73, 46, 47, 48]"
KOTA GUNUNGSITOLI,1330.6963659843207,"[141, 140, 139, 138, 103, 65, 49]"
