city,distance,through
KAB. ACEH BARAT,1141.42404383215,"[111, 112, 0]"
KAB. ACEH BARAT DAYA,1261.1158404653181,"[111, 112, 0, 1]"
KAB. ACEH BESAR,1297.7115851907568,"[111, 74, 73, 67, 3, 2]"
KAB. ACEH JAYA,1221.408111853658,"[111, 74, 73, 67, 3]"
KAB. ACEH SELATAN,984.020752777104,"[111, 74, 73, 72, 5, 4]"
KAB. ACEH SINGKIL,863.3500278365226,"[111, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1072.2337890271724,"[111, 74, 73, 72, 5, 6]"
KAB. ACEH TENGAH,1107.340163381907,"[111, 74, 73, 67, 8, 7]"
KAB. ACEH TENGGARA,948.5321379003253,"[111, 74, 73, 67, 8]"
KAB. ACEH TIMUR,1083.8103095726174,"[111, 74, 73, 67, 8, 9]"
KAB. ACEH UTARA,1150.400443661105,"[111, 74, 73, 67, 8, 9, 10]"
KAB. BENER MERIAH,1152.9499261343499,"[111, 74, 73, 71, 11]"
KAB. BIREUEN,1168.9370951238886,"[111, 112, 13, 12]"
KAB. GAYO LUES,1019.7299344239967,"[111, 112, 13]"
KAB. NAGAN RAYA,1116.8247715090154,"[111, 112, 13, 14]"
KAB. PIDIE,1231.9682620000547,"[111, 74, 16, 15]"
KAB. PIDIE JAYA,1202.4368653674742,"[111, 74, 16]"
KAB. SIMEULUE,998.8417528210583,"[111, 112, 17]"
KOTA BANDA ACEH,1331.0311230056373,"[111, 112, 17, 18]"
KOTA LANGSA,1312.8739243168463,"[111, 61, 62, 34, 35, 36, 37, 19]"
KOTA LHOKSEUMAWE,1195.6151415305696,"[111, 74, 73, 67, 8, 7, 20]"
KOTA SABANG,1349.4883480138103,"[111, 74, 73, 67, 3, 2, 21]"
KOTA SUBULUSSALAM,1017.835799911474,"[111, 61, 62, 34, 35, 49, 22]"
KAB. ASAHAN,1055.1886507501508,"[111, 74, 51, 50, 23]"
KAB. BATUBARA,1049.5649898844156,"[111, 74, 63, 24]"
KAB. DAIRI,976.5031694978055,"[111, 74, 51, 26, 25]"
KAB. DELI SERDANG,898.0727773502439,"[111, 74, 51, 26]"
KAB. HUMBANG HASUNDUTAN,986.3779653661448,"[111, 74, 73, 71, 70, 30, 29, 27]"
KAB. KARO,1002.9342035612171,"[111, 74, 51, 26, 25, 28]"
KAB. LABUHANBATU,808.0744370759007,"[111, 74, 73, 71, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,756.468871620161,"[111, 74, 73, 71, 70, 30]"
KAB. LABUHANBATU UTARA,821.8430673069558,"[111, 74, 73, 71, 70, 30, 31]"
KAB. LANGKAT,1021.5010125272461,"[111, 74, 73, 46, 45, 32]"
KAB. MANDAILING NATAL,805.8512292161113,"[111, 74, 63, 33]"
KAB. NIAS,791.6756041112733,"[111, 61, 62, 34]"
KAB. NIAS BARAT,821.8017246101193,"[111, 61, 62, 34, 35]"
KAB. NIAS SELATAN,873.0394727499842,"[111, 61, 62, 34, 35, 36]"
KAB. NIAS UTARA,956.0790205333278,"[111, 61, 62, 34, 35, 36, 37]"
KAB. PADANG LAWAS,950.0063515853273,"[111, 74, 73, 71, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,903.0778962981901,"[111, 74, 63, 33, 39]"
KAB. PAKPAK BHARAT,875.8568515461063,"[111, 74, 51, 41, 40]"
KAB. SAMOSIR,811.1872393761456,"[111, 74, 51, 41]"
KAB. SERDANG BEDAGAI,895.416732207383,"[111, 74, 51, 41, 42]"
KAB. SIMALUNGUN,864.2386908817965,"[111, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,863.7075190735715,"[111, 74, 73, 46, 45, 44]"
KAB. TAPANULI TENGAH,793.0633073469478,"[111, 74, 73, 46, 45]"
KAB. TAPANULI UTARA,744.0689231954334,"[111, 74, 73, 46]"
KAB. TOBA SAMOSIR,783.7427954121379,"[111, 74, 73, 46, 47]"
KOTA BINJAI,936.0602686301039,"[111, 74, 51, 52, 48]"
KOTA GUNUNGSITOLI,855.1729799895629,"[111, 61, 62, 34, 35, 49]"
KOTA MEDAN,917.7758349067162,"[111, 74, 51, 50]"
KOTA PADANGSIDEMPUAN,661.738407424064,"[111, 74, 51]"
KOTA PEMATANGSIANTAR,840.8570047409002,"[111, 74, 51, 52]"
KOTA SIBOLGA,981.5433995076107,"[111, 74, 51, 52, 53]"
KOTA TANJUNGBALAI,1071.661897592229,"[111, 74, 75, 55, 54]"
KOTA TEBING TINGGI,989.9251499206707,"[111, 74, 75, 55]"
KAB. AGAM,656.385547360277,"[111, 110, 109, 56]"
KAB. DHARMASRAYA,741.7739989709546,"[111, 74, 80, 81, 57]"
KAB. KEPULAUAN MENTAWAI,608.2427257416899,"[111, 74, 73, 58]"
KAB. LIMA PULUH KOTA,543.8618802438848,"[111, 61, 59]"
KAB. PADANG PARIAMAN,587.0613381369959,"[111, 61, 60]"
KAB. PASAMAN,500.6741633559203,"[111, 61]"
KAB. PASAMAN BARAT,560.2964556806089,"[111, 61, 62]"
KAB. PESISIR SELATAN,483.6219931220575,"[111, 74, 63]"
KAB. SIJUNJUNG,602.9288870938537,"[111, 74, 63, 64]"
KAB. SOLOK,567.8966280259685,"[111, 74, 63, 65]"
KAB. SOLOK SELATAN,548.189115049525,"[111, 74, 73, 67, 66]"
KAB. TANAH DATAR,419.6941063883714,"[111, 74, 73, 67]"
KOTA BUKITTINGGI,438.2896982547968,"[111, 68]"
KOTA PADANG,509.90836280900237,"[111, 68, 69]"
KOTA PADANGPANJANG,494.37579142736735,"[111, 74, 73, 71, 70]"
KOTA PARIAMAN,459.0120895064654,"[111, 74, 73, 71]"
KOTA PAYAKUMBUH,442.74692655280853,"[111, 74, 73, 72]"
KOTA SAWAHLUNTO,390.9881376331769,"[111, 74, 73]"
KOTA SOLOK,376.5440657729,"[111, 74]"
KAB. BENGKALIS,643.7258591137294,"[111, 74, 75]"
KAB. INDRAGIRI HILIR,874.822274686903,"[111, 74, 75, 76]"
KAB. INDRAGIRI HULU,945.9877108149507,"[111, 110, 84, 78, 77]"
KAB. KAMPAR,789.7539638417471,"[111, 110, 84, 78]"
KAB. KEPULAUAN MERANTI,678.3836416608146,"[111, 74, 80, 79]"
KAB. KUANTAN SINGINGI,480.6809429055645,"[111, 74, 80]"
KAB. PELALAWAN,584.8613377366485,"[111, 74, 80, 81]"
KAB. ROKAN HILIR,657.4301928655422,"[111, 74, 73, 67, 82]"
KAB. ROKAN HULU,731.0002707125129,"[111, 68, 69, 83]"
KAB. SIAK,687.3980917116153,"[111, 110, 84]"
KOTA DUMAI,792.2213535491065,"[111, 110, 84, 85]"
KOTA PEKANBARU,699.8165552185217,"[111, 112, 124, 86]"
KAB. BINTAN,898.2879259265499,"[111, 74, 73, 72, 87]"
KAB. KARIMUN,811.7769312548958,"[111, 112, 124, 125, 108, 88]"
KAB. KEPULAUAN ANAMBAS,1151.3981661544044,"[111, 149, 90, 89]"
KAB. LINGGA,730.7747630158111,"[111, 149, 90]"
KAB. NATUNA,1307.1446219945974,"[111, 149, 139, 140, 91]"
KOTA BATAM,894.538051025602,"[111, 112, 124, 125, 108, 93, 92]"
KOTA TANJUNG PINANG,842.8901509616135,"[111, 112, 124, 125, 108, 93]"
PULAU TAMBELAN KAB. BINTAN,932.4700585995502,"[111, 110, 95, 94]"
PEKAJANG KAB. LINGGA,604.5554604993529,"[111, 110, 95]"
PULAU SERASAN KAB. NATUNA,1174.3187129596881,"[111, 110, 95, 96]"
PULAU MIDAI KAB. NATUNA,1093.3853496652403,"[111, 110, 95, 97]"
PULAU LAUT KAB. NATUNA,1175.0081875302344,"[111, 112, 98]"
KAB. BATANGHARI,854.7792966246767,"[111, 74, 63, 64, 99]"
KAB. BUNGO,821.9871849996923,"[111, 112, 124, 125, 118, 101, 100]"
KAB. KERINCI,765.1927229583983,"[111, 112, 124, 125, 118, 101]"
KAB. MERANGIN,748.0967468190106,"[111, 149, 102]"
KAB. MUARO JAMBI,767.0557665645447,"[111, 112, 137, 138, 103]"
KAB. SAROLANGUN,715.770247668301,"[111, 112, 124, 125, 107, 104]"
KAB. TANJUNG JABUNG BARAT,591.9802055410403,"[111, 112, 124, 125, 105]"
KAB. TANJUNG JABUNG TIMUR,674.2278078546511,"[111, 112, 124, 125, 105, 106]"
KAB. TEBO,590.6532456294588,"[111, 112, 124, 125, 107]"
KOTA JAMBI,546.1336086056873,"[111, 112, 124, 125, 108]"
KOTA SUNGAI PENUH,410.4150143544081,"[111, 110, 109]"
KAB. BENGKULU SELATAN,99.90234287300584,"[111, 110]"
KAB. BENGKULU TENGAH,0.0,[111]
KAB. BENGKULU UTARA,66.12921645779056,"[111, 112]"
KAB. KAUR,265.7037631486552,"[111, 112, 113]"
KAB. KEPAHIANG,386.6041408072724,"[111, 112, 113, 114]"
KAB. LEBONG,459.3615139781559,"[111, 112, 113, 114, 115]"
KAB. MUKOMUKO,561.8687512470015,"[111, 112, 113, 114, 115, 116]"
KAB. REJANG LEBONG,550.7838128005142,"[111, 112, 124, 125, 118, 117]"
KAB. SELUMA,484.4160165227578,"[111, 112, 124, 125, 118]"
KOTA BENGKULU,542.2030366969576,"[111, 112, 124, 125, 118, 119]"
KAB. BANYUASIN,774.6720336288308,"[111, 112, 124, 123, 122, 121, 120]"
KAB. EMPAT LAWANG,534.0928922262189,"[111, 112, 124, 123, 122, 121]"
KAB. LAHAT,482.2928012292896,"[111, 112, 124, 123, 122]"
KAB. MUARA ENIM,409.6528435553704,"[111, 112, 124, 123]"
KAB. MUSI BANYUASIN,276.2386955393112,"[111, 112, 124]"
KAB. MUSI RAWAS,370.7134210110328,"[111, 112, 124, 125]"
KAB. MUSI RAWAS UTARA,424.05103313001246,"[111, 112, 124, 125, 126]"
KAB. OGAN ILIR,646.4962140484587,"[111, 112, 124, 125, 126, 127]"
KAB. OGAN KOMERING ILIR,711.4004006002197,"[111, 110, 132, 131, 130, 129, 128]"
KAB. OGAN KOMERING ULU,562.5932667283589,"[111, 110, 132, 131, 130, 129]"
KAB. OGAN KOMERING ULU SELATAN,491.4396331685058,"[111, 110, 132, 131, 130]"
KAB. OGAN KOMERING ULU TIMUR,369.1165604222595,"[111, 110, 132, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,261.6862508973861,"[111, 110, 132]"
KOTA LUBUKLINGGAU,389.5252902758511,"[111, 110, 132, 133]"
KOTA PAGAR ALAM,481.7575123444906,"[111, 110, 132, 133, 134]"
KOTA PALEMBANG,467.08007592617923,"[111, 110, 132, 131, 135]"
KOTA PRABUMULIH,429.16932335570607,"[111, 112, 113, 136]"
KAB. BANGKA,530.6117518820829,"[111, 112, 137]"
KAB. BANGKA BARAT,577.7170983754542,"[111, 112, 137, 138]"
KAB. BANGKA SELATAN,514.0095997197063,"[111, 149, 139]"
KAB. BANGKA TENGAH,560.0115986223392,"[111, 149, 139, 140]"
KAB. BELITUNG,734.5137392974837,"[111, 110, 142, 141]"
KAB. BELITUNG TIMUR,689.3637253559314,"[111, 110, 142]"
KOTA PANGKAL PINANG,885.7607429570089,"[111, 112, 156, 157, 143]"
KAB. LAMPUNG TENGAH,678.5638554600414,"[111, 110, 132, 131, 135, 144]"
KAB. LAMPUNG UTARA,740.7405707616097,"[111, 110, 132, 131, 135, 144, 145]"
KAB. LAMPUNG SELATAN,789.7909623889657,"[111, 149, 148, 147, 146]"
KAB. LAMPUNG BARAT,626.7362804736592,"[111, 149, 148, 147]"
KAB. LAMPUNG TIMUR,455.9993380985476,"[111, 149, 148]"
KAB. MESUJI,325.86385218896265,"[111, 149]"
KAB. PESAWARAN,493.4182355918274,"[111, 149, 150]"
KAB. PESISIR BARAT,601.5379827014046,"[111, 149, 150, 151]"
KAB. PRINGSEWU,542.5400774856583,"[111, 112, 156, 157, 152]"
KAB. TULANG BAWANG,588.4864089995901,"[111, 112, 124, 123, 153]"
KAB. TULANG BAWANG BARAT,576.9608571914716,"[111, 112, 156, 155, 154]"
KAB. TANGGAMUS,473.50928328097007,"[111, 112, 156, 155]"
KAB. WAY KANAN,383.8528139274624,"[111, 112, 156]"
KOTA BANDAR LAMPUNG,510.6060013551352,"[111, 112, 156, 157]"
KOTA METRO,488.60438400443553,"[111, 112, 158]"
KAB. LEBAK,680.4338979312395,"[111, 112, 158, 159]"
KAB. PANDEGLANG,706.9256169510958,"[111, 110, 132, 131, 160]"
KAB. SERANG,784.9955969807352,"[111, 110, 132, 131, 160, 161]"
KAB. TANGERANG,834.7158650005001,"[111, 110, 132, 131, 160, 161, 162]"
KOTA CILEGON,872.7203405303701,"[111, 110, 132, 131, 135, 144, 164, 163]"
KOTA SERANG,851.9889523710932,"[111, 110, 132, 131, 135, 144, 164]"
KOTA TANGERANG,906.9764860685837,"[111, 110, 132, 131, 135, 144, 164, 165]"
KOTA TANGERANG SELATAN,896.2056319665277,"[111, 149, 168, 167, 166]"
KAB. BANDUNG,758.1867047563569,"[111, 149, 168, 167]"
KAB. BANDUNG BARAT,725.0460685831353,"[111, 149, 168]"
KAB. BEKASI,654.1838484230927,"[111, 149, 187, 169]"
KAB. BOGOR,720.8158164331245,"[111, 149, 187, 169, 170]"
KAB. CIAMIS,923.5763781278738,"[111, 110, 132, 171]"
KAB. CIANJUR,815.5214616998983,"[111, 112, 156, 157, 172]"
KAB. CIREBON,975.0668132681149,"[111, 112, 156, 157, 172, 173]"
KAB. GARUT,977.2808784448841,"[111, 112, 158, 159, 181, 174]"
KAB. INDRAMAYU,849.0441548722465,"[111, 112, 158, 175]"
KAB. KARAWANG,800.4657799785405,"[111, 112, 156, 155, 176]"
KAB. KUNINGAN,817.6881033172647,"[111, 149, 177]"
KAB. MAJALENGKA,858.5560879333642,"[111, 149, 177, 178]"
KAB. PANGANDARAN,954.455120979224,"[111, 149, 177, 178, 179]"
KAB. PURWAKARTA,892.9365556110545,"[111, 112, 158, 159, 181, 180]"
KAB. SUBANG,849.1398449796947,"[111, 112, 158, 159, 181]"
KAB. SUKABUMI,749.7716379809076,"[111, 112, 113, 182]"
KAB. SUMEDANG,860.1862549962336,"[111, 112, 113, 182, 183]"
KAB. TASIKMALAYA,907.3928265770488,"[111, 112, 113, 184]"
KOTA BANDUNG,961.1202034607556,"[111, 149, 187, 186, 185]"
KOTA BANJAR,848.2783597058879,"[111, 149, 187, 186]"
KOTA BEKASI,635.0454867883265,"[111, 149, 187]"
KOTA BOGOR,679.1244415691275,"[111, 149, 187, 188]"
KOTA CIMAHI,766.3671332975848,"[111, 149, 187, 188, 189]"
KOTA CIREBON,879.2664593432596,"[111, 149, 187, 188, 189, 190]"
KOTA DEPOK,922.4292002070148,"[111, 112, 124, 125, 191]"
KOTA SUKABUMI,982.7239368574888,"[111, 112, 124, 125, 191, 192]"
KOTA TASIKMALAYA,944.2239853511257,"[111, 112, 156, 155, 194, 193]"
KOTA JAKARTA,745.7847405370003,"[111, 112, 156, 155, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,778.2656028431761,"[111, 112, 124, 123, 153, 195]"
