city,distance,through
KAB. ACEH BARAT,3139.6454129004233,"[372, 373, 374, 364, 359, 323, 0]"
KAB. ACEH BARAT DAYA,3134.1862267591027,"[372, 373, 374, 364, 363, 357, 1]"
KAB. ACEH BESAR,3179.8628565455897,"[372, 371, 370, 2]"
KAB. ACEH JAYA,3208.767926542126,"[372, 373, 374, 325, 4, 3]"
KAB. ACEH SELATAN,2958.302744782488,"[372, 373, 374, 325, 4]"
KAB. ACEH SINGKIL,2838.9584807302194,"[372, 371, 5]"
KAB. ACEH TAMIANG,2864.8553483283713,"[372, 316, 315, 6]"
KAB. ACEH TENGAH,2996.5328735641483,"[372, 316, 315, 6, 7]"
KAB. ACEH TENGGARA,2952.262611707255,"[372, 373, 327, 328, 8]"
KAB. ACEH TIMUR,2913.1215734222,"[372, 373, 374, 375, 9]"
KAB. ACEH UTARA,2954.499291379593,"[372, 373, 374, 10]"
KAB. BENER MERIAH,2989.092287632029,"[372, 373, 374, 375, 11]"
KAB. BIREUEN,3040.087461205651,"[372, 373, 374, 375, 11, 12]"
KAB. GAYO LUES,3100.663190039981,"[372, 373, 374, 364, 363, 357, 13]"
KAB. NAGAN RAYA,3048.601229854232,"[372, 371, 24, 25, 14]"
KAB. PIDIE,3170.6265919384155,"[372, 371, 24, 25, 14, 15]"
KAB. PIDIE JAYA,3200.157988570996,"[372, 371, 24, 25, 14, 15, 16]"
KAB. SIMEULUE,3120.767237635156,"[372, 373, 374, 325, 55, 17]"
KOTA BANDA ACEH,3169.1942712788596,"[372, 373, 97, 19, 18]"
KOTA LANGSA,2852.0346157127533,"[372, 373, 97, 19]"
KOTA LHOKSEUMAWE,2973.50583719313,"[372, 373, 97, 19, 20]"
KOTA SABANG,3189.653376961808,"[372, 373, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,2838.0098059559086,"[372, 360, 22]"
KAB. ASAHAN,2708.2759324669223,"[372, 371, 24, 23]"
KAB. BATUBARA,2665.943354666568,"[372, 371, 24]"
KAB. DAIRI,2807.3035260799015,"[372, 371, 24, 25]"
KAB. DELI SERDANG,2870.0975645215017,"[372, 373, 374, 375, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2841.9662829862136,"[372, 373, 374, 375, 84, 85, 27]"
KAB. KARO,2833.734560143313,"[372, 371, 24, 25, 28]"
