city,distance,through
KAB. ACEH BARAT,3154.673782904241,"[405, 0]"
KAB. ACEH BARAT DAYA,3041.839097491303,"[405, 1]"
KAB. ACEH BESAR,3292.1339396948338,"[405, 1, 2]"
KAB. ACEH JAYA,3228.744603938103,"[405, 393, 3]"
KAB. ACEH SELATAN,3050.7783993670946,"[405, 137, 78, 4]"
KAB. ACEH SINGKIL,2995.7978597851743,"[405, 142, 141, 73, 72, 5]"
KAB. ACEH TAMIANG,3040.452531744778,"[405, 406, 407, 325, 6]"
KAB. ACEH TENGAH,3164.645319324173,"[405, 137, 8, 7]"
KAB. ACEH TENGGARA,3005.837293842592,"[405, 137, 8]"
KAB. ACEH TIMUR,3076.1335805897393,"[405, 353, 87, 88, 9]"
KAB. ACEH UTARA,3073.4958840661225,"[405, 393, 10]"
KAB. BENER MERIAH,3108.9717709822244,"[405, 406, 320, 43, 42, 11]"
KAB. BIREUEN,3159.966944555846,"[405, 406, 320, 43, 42, 11, 12]"
KAB. GAYO LUES,3019.3154027862365,"[405, 393, 13]"
KAB. NAGAN RAYA,3116.4102398712553,"[405, 393, 13, 14]"
KAB. PIDIE,3238.435601955439,"[405, 393, 13, 14, 15]"
KAB. PIDIE JAYA,3233.912635323379,"[405, 406, 337, 338, 16]"
KAB. SIMEULUE,3205.2553559057615,"[405, 406, 407, 81, 17]"
KOTA BANDA ACEH,3317.114562470598,"[405, 353, 87, 18]"
KOTA LANGSA,3098.6296090392184,"[405, 406, 407, 408, 317, 19]"
KOTA LHOKSEUMAWE,3197.336524979158,"[405, 393, 92, 24, 25, 28, 20]"
KOTA SABANG,3343.9107025178873,"[405, 1, 2, 21]"
KOTA SUBULUSSALAM,2962.997079630377,"[405, 142, 143, 22]"
KAB. ASAHAN,2809.5531850664283,"[405, 393, 92, 24, 23]"
KAB. BATUBARA,2767.2206072660742,"[405, 393, 92, 24]"
KAB. DAIRI,2908.5807786794076,"[405, 393, 92, 24, 25]"
KAB. DELI SERDANG,2975.077266839085,"[405, 406, 337, 338, 321, 30, 26]"
