city,distance,through
KAB. ACEH BARAT,2853.5193278230126,"[284, 0]"
KAB. ACEH BARAT DAYA,2790.9387543111443,"[284, 285, 274, 273, 140, 1]"
KAB. ACEH BESAR,3041.233596514675,"[284, 285, 274, 273, 140, 1, 2]"
KAB. ACEH JAYA,2970.588776243077,"[284, 277, 276, 78, 4, 3]"
KAB. ACEH SELATAN,2720.123594483439,"[284, 277, 276, 78, 4]"
KAB. ACEH SINGKIL,2615.6383017317885,"[284, 259, 107, 72, 5]"
KAB. ACEH TAMIANG,2728.4432307458505,"[284, 277, 276, 258, 86, 6]"
KAB. ACEH TENGAH,2846.085334970858,"[284, 285, 274, 7]"
KAB. ACEH TENGGARA,2689.271581764069,"[284, 277, 278, 8]"
KAB. ACEH TIMUR,2769.2859781952793,"[284, 277, 276, 258, 9]"
KAB. ACEH UTARA,2835.876112283767,"[284, 277, 276, 258, 9, 10]"
KAB. BENER MERIAH,2843.460979720293,"[284, 277, 276, 258, 42, 11]"
KAB. BIREUEN,2894.4561532939147,"[284, 277, 276, 258, 42, 11, 12]"
KAB. GAYO LUES,2768.0689518528548,"[284, 285, 274, 137, 13]"
KAB. NAGAN RAYA,2803.524374418305,"[284, 25, 14]"
KAB. PIDIE,2925.5497365024885,"[284, 25, 14, 15]"
KAB. PIDIE JAYA,2949.556421600526,"[284, 285, 274, 137, 29, 16]"
KAB. SIMEULUE,2812.7427028869733,"[284, 277, 278, 127, 17]"
KOTA BANDA ACEH,3059.336557475958,"[284, 277, 276, 258, 86, 6, 18]"
KOTA LANGSA,2814.9808843408405,"[284, 283, 282, 19]"
KOTA LHOKSEUMAWE,2850.982416943725,"[284, 25, 28, 20]"
KOTA SABANG,3067.1299567124033,"[284, 25, 28, 20, 21]"
KOTA SUBULUSSALAM,2626.6947863884798,"[284, 259, 22]"
KAB. ASAHAN,2585.2839833365556,"[284, 259, 92, 24, 23]"
KAB. BATUBARA,2542.9514055362015,"[284, 259, 92, 24]"
KAB. DAIRI,2562.2266706439746,"[284, 25]"
KAB. DELI SERDANG,2625.5513103001085,"[284, 277, 276, 258, 241, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2582.7611270196776,"[284, 285, 274, 275, 27]"
KAB. KARO,2588.657704707386,"[284, 25, 28]"
KAB. LABUHANBATU,2409.0070773898615,"[284, 285, 274, 137, 29]"
KAB. LABUHANBATU SELATAN,2389.2119755634,"[284, 277, 276, 258, 241, 84, 30]"
KAB. LABUHANBATU UTARA,2454.5861712501946,"[284, 277, 276, 258, 241, 84, 30, 31]"
KAB. LANGKAT,2688.073931700162,"[284, 277, 276, 258, 241, 84, 32]"
KAB. MANDAILING NATAL,2394.6578467169766,"[284, 277, 278, 228, 33]"
KAB. NIAS,2547.5481393093833,"[284, 259, 107, 62, 34]"
KAB. NIAS BARAT,2577.674259808229,"[284, 259, 107, 62, 34, 35]"
KAB. NIAS SELATAN,2545.539700967709,"[284, 268, 229, 36]"
KAB. NIAS UTARA,2599.08481204448,"[284, 277, 100, 37]"
KAB. PADANG LAWAS,2399.552258229208,"[284, 259, 195, 38]"
KAB. PADANG LAWAS UTARA,2427.902043627426,"[284, 277, 276, 258, 241, 84, 39]"
KAB. PAKPAK BHARAT,2586.216831613392,"[284, 259, 40]"
KAB. SAMOSIR,2572.8072333830673,"[284, 259, 107, 72, 41]"
KAB. SERDANG BEDAGAI,2562.0028985285753,"[284, 277, 276, 258, 42]"
KAB. SIMALUNGUN,2560.4997501122402,"[284, 277, 276, 52, 43]"
KAB. TAPANULI SELATAN,2431.8756865137702,"[284, 277, 276, 258, 44]"
KAB. TAPANULI TENGAH,2502.519898240394,"[284, 277, 276, 258, 44, 45]"
KAB. TAPANULI UTARA,2480.709818473184,"[284, 277, 276, 78, 46]"
KAB. TOBA SAMOSIR,2520.3836906898887,"[284, 277, 276, 78, 46, 47]"
KOTA BINJAI,2632.3213278605476,"[284, 277, 276, 52, 48]"
KOTA GUNUNGSITOLI,2549.810969300275,"[284, 65, 49]"
KOTA MEDAN,2689.5098850858058,"[284, 277, 243, 51, 50]"
KOTA PADANGSIDEMPUAN,2433.4724576031535,"[284, 277, 243, 51]"
KOTA PEMATANGSIANTAR,2537.118063971344,"[284, 277, 276, 52]"
KOTA SIBOLGA,2487.4900840180203,"[284, 277, 276, 78, 53]"
KOTA TANJUNGBALAI,2492.109997258144,"[284, 285, 274, 137, 138, 54]"
KOTA TEBING TINGGI,2573.8467449297023,"[284, 285, 274, 137, 138, 54, 55]"
KAB. AGAM,2244.18096575894,"[284, 277, 276, 56]"
KAB. DHARMASRAYA,2095.6595307714088,"[284, 223, 222, 213, 57]"
KAB. KEPULAUAN MENTAWAI,2292.4347180678315,"[284, 153, 58]"
KAB. LIMA PULUH KOTA,2286.5796610317852,"[284, 277, 276, 126, 109, 59]"
KAB. PADANG PARIAMAN,2275.587095267792,"[284, 285, 249, 176, 133, 60]"
KAB. PASAMAN,2300.568776444292,"[284, 153, 120, 61]"
KAB. PASAMAN BARAT,2316.168990878719,"[284, 259, 107, 62]"
KAB. PESISIR SELATAN,2119.3029282406196,"[284, 285, 249, 248, 63]"
KAB. SIJUNJUNG,2147.196507304687,"[284, 65, 64]"
KAB. SOLOK,2108.2722135203812,"[284, 65]"
KAB. SOLOK SELATAN,2109.2665471612354,"[284, 153, 123, 124, 66]"
KAB. TANAH DATAR,2188.4608083324215,"[284, 153, 67]"
KOTA BUKITTINGGI,2217.3336397543426,"[284, 153, 67, 68]"
KOTA PADANG,2189.8517718131175,"[284, 259, 107, 69]"
KOTA PADANGPANJANG,2237.1026481840395,"[284, 268, 125, 70]"
KOTA PARIAMAN,2240.919335362778,"[284, 259, 103, 71]"
KOTA PAYAKUMBUH,2195.0352004480746,"[284, 259, 107, 72]"
KOTA SAWAHLUNTO,2188.5993185543703,"[284, 259, 195, 73]"
KOTA SOLOK,2203.043390414647,"[284, 259, 195, 73, 74]"
KAB. BENGKALIS,2264.281985121274,"[284, 285, 249, 248, 76, 75]"
KAB. INDRAGIRI HILIR,2033.1855695481001,"[284, 285, 249, 248, 76]"
KAB. INDRAGIRI HULU,2025.1593179496283,"[284, 285, 274, 273, 77]"
KAB. KAMPAR,2169.5667577239346,"[284, 277, 276, 78]"
KAB. KEPULAUAN MERANTI,2104.1150192563628,"[284, 277, 276, 258, 241, 79]"
KAB. KUANTAN SINGINGI,2102.3330852157997,"[284, 277, 276, 258, 80]"
KAB. PELALAWAN,2157.5342073328584,"[284, 259, 266, 267, 81]"
KAB. ROKAN HILIR,2295.051095430904,"[284, 277, 276, 258, 82]"
KAB. ROKAN HULU,2325.9332590260387,"[284, 277, 276, 258, 241, 84, 83]"
KAB. SIAK,2172.7816058013173,"[284, 277, 276, 258, 241, 84]"
KOTA DUMAI,2277.6048676388086,"[284, 277, 276, 258, 241, 84, 85]"
KOTA PEKANBARU,2164.4708787981426,"[284, 277, 276, 258, 86]"
KAB. BINTAN,1999.1540339593216,"[284, 285, 249, 87]"
KAB. KARIMUN,2100.920468731218,"[284, 277, 276, 318, 88]"
KAB. KEPULAUAN ANAMBAS,2150.7462331101615,"[284, 285, 249, 250, 251, 89]"
KAB. LINGGA,1884.8739132335832,"[284, 285, 274, 275, 261, 143, 90]"
KAB. NATUNA,1856.4181516506137,"[284, 332, 333, 91]"
KOTA BATAM,1988.4249956709382,"[284, 259, 92]"
KOTA TANJUNG PINANG,2006.7945129338243,"[284, 285, 249, 248, 93]"
PULAU TAMBELAN KAB. BINTAN,1761.8904663780816,"[284, 285, 274, 275, 261, 94]"
PEKAJANG KAB. LINGGA,1915.4436506997142,"[284, 268, 229, 95]"
PULAU SERASAN KAB. NATUNA,1734.7640748595518,"[284, 332, 355, 321, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,1886.1806874551678,"[284, 332, 355, 321, 322, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1868.995496681219,"[284, 98]"
KAB. BATANGHARI,1948.8542947090832,"[284, 277, 194, 99]"
KAB. BUNGO,2000.9412329482864,"[284, 277, 100]"
