city,distance,through
KAB. ACEH BARAT,4411.593633428036,"[503, 60, 61, 62, 0]"
KAB. ACEH BARAT DAYA,4339.7734985392435,"[503, 504, 452, 412, 363, 357, 1]"
KAB. ACEH BESAR,4556.281365512348,"[503, 60, 61, 62, 4, 3, 2]"
KAB. ACEH JAYA,4479.9778921752495,"[503, 60, 61, 62, 4, 3]"
KAB. ACEH SELATAN,4229.512710415611,"[503, 60, 61, 62, 4]"
KAB. ACEH SINGKIL,4179.817076142339,"[503, 504, 461, 5]"
KAB. ACEH TAMIANG,4212.063349551042,"[503, 504, 452, 325, 6]"
KAB. ACEH TENGAH,4343.740874786819,"[503, 504, 452, 325, 6, 7]"
KAB. ACEH TENGGARA,4215.435289606897,"[503, 504, 452, 8]"
KAB. ACEH TIMUR,4206.539238149963,"[503, 11, 10, 9]"
KAB. ACEH UTARA,4139.949104061476,"[503, 11, 10]"
KAB. BENER MERIAH,4100.827902361975,"[503, 11]"
KAB. BIREUEN,4151.8230759355965,"[503, 11, 12]"
KAB. GAYO LUES,4040.2860440770273,"[503, 13]"
KAB. NAGAN RAYA,4137.380881162046,"[503, 13, 14]"
KAB. PIDIE,4259.406243246229,"[503, 13, 14, 15]"
KAB. PIDIE JAYA,4288.937639878809,"[503, 13, 14, 15, 16]"
KAB. SIMEULUE,4161.038326439503,"[503, 17]"
KOTA BANDA ACEH,4493.2276966240825,"[503, 17, 18]"
KOTA LANGSA,4258.660627905871,"[503, 504, 452, 467, 96, 97, 19]"
KOTA LHOKSEUMAWE,4345.781376311404,"[503, 504, 452, 345, 20]"
KOTA SABANG,4561.928916080082,"[503, 504, 452, 345, 20, 21]"
KOTA SUBULUSSALAM,4175.882288908454,"[503, 504, 27, 22]"
KAB. ASAHAN,4032.1786315753307,"[503, 504, 452, 412, 363, 357, 23]"
KAB. BATUBARA,4017.051910893073,"[503, 504, 452, 24]"
KAB. DAIRI,4158.412082306407,"[503, 504, 452, 24, 25]"
KAB. DELI SERDANG,4149.478252653816,"[503, 504, 410, 26]"
KAB. HUMBANG HASUNDUTAN,4083.2867923688746,"[503, 504, 27]"
KAB. KARO,4133.207212187133,"[503, 504, 28]"
KAB. LABUHANBATU,3959.5001087204755,"[503, 504, 410, 29]"
KAB. LABUHANBATU SELATAN,3916.130152025733,"[503, 504, 452, 345, 321, 30]"
KAB. LABUHANBATU UTARA,3966.7801451675805,"[503, 504, 452, 319, 31]"
KAB. LANGKAT,4204.256047225995,"[503, 504, 452, 319, 31, 32]"
KAB. MANDAILING NATAL,3989.532836686595,"[503, 504, 452, 325, 88, 33]"
KAB. NIAS,4033.803882394387,"[503, 60, 61, 62, 34]"
KAB. NIAS BARAT,4063.930002893233,"[503, 60, 61, 62, 34, 35]"
KAB. NIAS SELATAN,4115.167751033097,"[503, 60, 61, 62, 34, 35, 36]"
KAB. NIAS UTARA,4198.207298816441,"[503, 60, 61, 62, 34, 35, 36, 37]"
KAB. PADANG LAWAS,3979.0930663081676,"[503, 504, 410, 381, 341, 38]"
KAB. PADANG LAWAS UTARA,3961.6826797615217,"[503, 504, 84, 39]"
KAB. PAKPAK BHARAT,4142.431773119055,"[503, 504, 452, 319, 40]"
KAB. SAMOSIR,4154.140439011413,"[503, 504, 379, 41]"
KAB. SERDANG BEDAGAI,4090.6821858291705,"[503, 504, 452, 319, 43, 42]"
KAB. SIMALUNGUN,4043.7961202163833,"[503, 504, 452, 319, 43]"
KAB. TAPANULI SELATAN,3995.5531415812247,"[503, 504, 44]"
KAB. TAPANULI TENGAH,4066.1973533078485,"[503, 504, 44, 45]"
KAB. TAPANULI UTARA,4035.0663668626084,"[503, 504, 452, 319, 46]"
KAB. TOBA SAMOSIR,4067.5216917974044,"[503, 504, 452, 467, 47]"
KOTA BINJAI,4148.1362707426115,"[503, 504, 452, 319, 48]"
KOTA GUNUNGSITOLI,4097.301258272677,"[503, 60, 61, 62, 34, 35, 49]"
KOTA MEDAN,4169.591447418766,"[503, 504, 452, 412, 363, 357, 23, 50]"
KOTA PADANGSIDEMPUAN,4127.553161129523,"[503, 504, 410, 424, 51]"
KOTA PEMATANGSIANTAR,4067.1778063572797,"[503, 504, 452, 319, 43, 52]"
KOTA SIBOLGA,4111.471965212912,"[503, 504, 77, 78, 53]"
KOTA TANJUNGBALAI,4091.9602085926063,"[503, 504, 443, 428, 54]"
KOTA TEBING TINGGI,4060.2374611969326,"[503, 504, 452, 325, 55]"
KAB. AGAM,3898.132807855668,"[503, 504, 452, 412, 57, 56]"
KAB. DHARMASRAYA,3709.317967868559,"[503, 504, 452, 412, 57]"
KAB. KEPULAUAN MENTAWAI,3978.742850862785,"[503, 60, 59, 58]"
KAB. LIMA PULUH KOTA,3734.5176711841095,"[503, 60, 59]"
KAB. PADANG PARIAMAN,3656.415266857958,"[503, 60]"
KAB. PASAMAN,3742.802441639034,"[503, 60, 61]"
KAB. PASAMAN BARAT,3802.4247339637227,"[503, 60, 61, 62]"
KAB. PESISIR SELATAN,3796.253929008074,"[503, 504, 452, 345, 63]"
KAB. SIJUNJUNG,3834.7871580556807,"[503, 504, 452, 345, 65, 64]"
KAB. SOLOK,3795.8628642713747,"[503, 504, 452, 345, 65]"
KAB. SOLOK SELATAN,3758.5582170321745,"[503, 504, 410, 381, 137, 66]"
KAB. TANAH DATAR,3843.7822179919262,"[503, 115, 116, 69, 68, 67]"
KOTA BUKITTINGGI,3814.909386570005,"[503, 115, 116, 69, 68]"
KOTA PADANG,3743.2907220157995,"[503, 115, 116, 69]"
KOTA PADANGPANJANG,3796.816312847958,"[503, 115, 116, 69, 70]"
KOTA PARIAMAN,3832.18001476886,"[503, 115, 116, 69, 70, 71]"
KOTA PAYAKUMBUH,3862.370499824117,"[503, 504, 410, 381, 339, 107, 72]"
KOTA SAWAHLUNTO,3854.069198901749,"[503, 504, 413, 338, 142, 141, 73]"
KOTA SOLOK,3845.409513890786,"[503, 504, 452, 400, 332, 355, 74]"
KAB. BENGKALIS,3812.794546155611,"[503, 504, 452, 325, 76, 75]"
KAB. INDRAGIRI HILIR,3581.6981305824374,"[503, 504, 452, 325, 76]"
KAB. INDRAGIRI HULU,3637.314891945623,"[503, 504, 77]"
KAB. KAMPAR,3793.5486389188263,"[503, 504, 77, 78]"
KAB. KEPULAUAN MERANTI,3652.11401982171,"[503, 504, 452, 412, 348, 79]"
KAB. KUANTAN SINGINGI,3776.4965005695585,"[503, 504, 452, 400, 336, 80]"
KAB. PELALAWAN,3821.1533001251114,"[503, 251, 267, 81]"
KAB. ROKAN HILIR,3846.1506659037736,"[503, 504, 452, 325, 88, 82]"
KAB. ROKAN HULU,3859.7138951601346,"[503, 504, 84, 83]"
KAB. SIAK,3706.562241935413,"[503, 504, 84]"
KOTA DUMAI,3811.3855037729045,"[503, 504, 84, 85]"
KOTA PEKANBARU,3750.3327154268445,"[503, 504, 452, 345, 321, 86]"
KAB. BINTAN,3500.5904563736053,"[503, 504, 452, 400, 332, 352, 353, 87]"
KAB. KARIMUN,3540.6016104338973,"[503, 504, 452, 325, 88]"
KAB. KEPULAUAN ANAMBAS,3354.839196451673,"[503, 504, 443, 89]"
KAB. LINGGA,3429.637404123833,"[503, 504, 399, 362, 90]"
KAB. NATUNA,3201.3514451446445,"[503, 504, 452, 372, 371, 91]"
KOTA BATAM,3513.5385204692266,"[503, 504, 410, 411, 93, 92]"
KOTA TANJUNG PINANG,3461.890620405238,"[503, 504, 410, 411, 93]"
PULAU TAMBELAN KAB. BINTAN,3185.301025293132,"[503, 504, 410, 381, 339, 94]"
PEKAJANG KAB. LINGGA,3381.9236855503286,"[503, 504, 95]"
PULAU SERASAN KAB. NATUNA,3007.6022740227313,"[503, 504, 452, 467, 96]"
PULAU MIDAI KAB. NATUNA,3159.018886618347,"[503, 504, 452, 467, 96, 97]"
PULAU LAUT KAB. NATUNA,3238.818736899668,"[503, 504, 505, 373, 98]"
KAB. BATANGHARI,3613.8621481850532,"[503, 251, 235, 99]"
KAB. BUNGO,3664.7567121432985,"[503, 239, 203, 100]"
KAB. KERINCI,3721.5511741845926,"[503, 239, 203, 100, 101]"
KAB. MERANGIN,3657.324589083013,"[503, 504, 452, 102]"
KAB. MUARO JAMBI,3473.372207012516,"[503, 504, 410, 381, 137, 138, 103]"
KAB. SAROLANGUN,3564.33618753863,"[503, 251, 104]"
KAB. TANJUNG JABUNG BARAT,3544.8077450180854,"[503, 504, 399, 105]"
KAB. TANJUNG JABUNG TIMUR,3525.0899902180076,"[503, 504, 399, 449, 329, 106]"
KAB. TEBO,3639.9185439135827,"[503, 504, 410, 381, 339, 107]"
KOTA JAMBI,3524.0809204465018,"[503, 251, 108]"
KOTA SUNGAI PENUH,3688.2685589302255,"[503, 239, 126, 109]"
KAB. BENGKULU SELATAN,3475.6219387047,"[503, 251, 235, 234, 233, 110]"
KAB. BENGKULU TENGAH,3529.7380028121843,"[503, 251, 198, 111]"
KAB. BENGKULU UTARA,3572.4918102344386,"[503, 239, 203, 112]"
KAB. KAUR,3407.7126188406323,"[503, 251, 198, 169, 187, 113]"
KAB. KEPAHIANG,3493.523421555974,"[503, 115, 114]"
KAB. LEBONG,3420.7660483850905,"[503, 115]"
KAB. MUKOMUKO,3523.273285653936,"[503, 115, 116]"
KAB. REJANG LEBONG,3547.654281047853,"[503, 251, 198, 118, 117]"
KAB. SELUMA,3481.2864847700966,"[503, 251, 198, 118]"
KOTA BENGKULU,3539.0735049442965,"[503, 251, 198, 118, 119]"
KAB. BANYUASIN,3391.410833419079,"[503, 251, 209, 208, 120]"
KAB. EMPAT LAWANG,3505.703656059136,"[503, 251, 198, 213, 214, 221, 153, 123, 122, 121]"
KAB. LAHAT,3453.903565062207,"[503, 251, 198, 213, 214, 221, 153, 123, 122]"
KAB. MUARA ENIM,3381.2636073882877,"[503, 251, 198, 213, 214, 221, 153, 123]"
KAB. MUSI BANYUASIN,3482.3981113735163,"[503, 504, 452, 400, 332, 124]"
KAB. MUSI RAWAS,3492.4632166611036,"[503, 251, 198, 125]"
KAB. MUSI RAWAS UTARA,3521.0744912945092,"[503, 239, 126]"
KAB. OGAN ILIR,3375.3984216456683,"[503, 284, 277, 278, 127]"
KAB. OGAN KOMERING ILIR,3313.9188053102052,"[503, 284, 277, 278, 128]"
KAB. OGAN KOMERING ULU,3367.012679713033,"[503, 239, 150, 129]"
KAB. OGAN KOMERING ULU SELATAN,3350.3926158758704,"[503, 201, 186, 185, 130]"
KAB. OGAN KOMERING ULU TIMUR,3442.832002452662,"[503, 504, 413, 236, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,3456.21760564353,"[503, 201, 155, 132]"
KOTA LUBUKLINGGAU,3527.5315300756947,"[503, 251, 198, 213, 214, 134, 133]"
KOTA PAGAR ALAM,3435.299308007055,"[503, 251, 198, 213, 214, 134]"
KOTA PALEMBANG,3349.709552460179,"[503, 504, 452, 400, 135]"
