city,distance,through
KAB. ACEH BARAT,2288.4344057586304,"[241, 219, 77, 0]"
KAB. ACEH BARAT DAYA,2169.8479595596873,"[241, 219, 218, 1]"
KAB. ACEH BESAR,2420.142801763218,"[241, 219, 218, 1, 2]"
KAB. ACEH JAYA,2351.315497142437,"[241, 125, 70, 4, 3]"
KAB. ACEH SELATAN,2100.8503153827987,"[241, 125, 70, 4]"
KAB. ACEH SINGKIL,1994.740325301856,"[241, 129, 66, 5]"
KAB. ACEH TAMIANG,2142.150481485646,"[241, 212, 213, 214, 86, 6]"
KAB. ACEH TENGAH,2177.2579369553687,"[241, 84, 30, 26, 7]"
KAB. ACEH TENGGARA,2019.5312910409439,"[241, 8]"
KAB. ACEH TIMUR,2154.809462713236,"[241, 8, 9]"
KAB. ACEH UTARA,2221.3995968017234,"[241, 8, 9, 10]"
KAB. BENER MERIAH,2226.250195135349,"[241, 84, 52, 43, 42, 11]"
KAB. BIREUEN,2241.889065470013,"[241, 13, 12]"
KAB. GAYO LUES,2092.681904770121,"[241, 13]"
KAB. NAGAN RAYA,2189.77674185514,"[241, 13, 14]"
KAB. PIDIE,2292.7647505113678,"[241, 84, 30, 15]"
KAB. PIDIE JAYA,2279.0180939220368,"[241, 84, 30, 26, 16]"
KAB. SIMEULUE,2197.021445580751,"[241, 125, 126, 109, 59, 17]"
KOTA BANDA ACEH,2393.880189544514,"[241, 84, 39, 18]"
KOTA LANGSA,2158.5896630834727,"[241, 125, 19]"
KOTA LHOKSEUMAWE,2218.197177868155,"[241, 84, 30, 28, 20]"
KOTA SABANG,2433.0171290837543,"[241, 84, 83, 22, 21]"
KOTA SUBULUSSALAM,1977.3354002958613,"[241, 84, 83, 22]"
KAB. ASAHAN,1989.1747643448227,"[241, 219, 220, 24, 23]"
KAB. BATUBARA,1946.8421865444686,"[241, 219, 220, 24]"
KAB. DAIRI,1975.2562985495308,"[241, 84, 30, 29, 25]"
KAB. DELI SERDANG,1940.498627408894,"[241, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1912.367345873606,"[241, 84, 85, 27]"
KAB. KARO,1955.8724656318159,"[241, 84, 30, 28]"
KAB. LABUHANBATU,1755.764858127925,"[241, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,1704.1592926721853,"[241, 84, 30]"
KAB. LABUHANBATU UTARA,1769.53348835898,"[241, 84, 30, 31]"
KAB. LANGKAT,2003.0212488089478,"[241, 84, 32]"
KAB. MANDAILING NATAL,1794.1428160075984,"[241, 165, 164, 144, 33]"
KAB. NIAS,1925.3043469727663,"[241, 125, 61, 62, 34]"
KAB. NIAS BARAT,1955.4304674716125,"[241, 125, 61, 62, 34, 35]"
KAB. NIAS SELATAN,1934.2368895607642,"[241, 187, 58, 36]"
KAB. NIAS UTARA,1983.2862173611406,"[241, 212, 213, 57, 37]"
KAB. PADANG LAWAS,1797.4188457386874,"[241, 84, 39, 38]"
KAB. PADANG LAWAS UTARA,1742.8493607362116,"[241, 84, 39]"
KAB. PAKPAK BHARAT,1931.3079303825082,"[241, 84, 39, 40]"
KAB. SAMOSIR,1954.8191378351924,"[241, 212, 213, 214, 41]"
KAB. SERDANG BEDAGAI,1944.7921139436312,"[241, 84, 52, 43, 42]"
KAB. SIMALUNGUN,1897.906048330844,"[241, 84, 52, 43]"
KAB. TAPANULI SELATAN,1802.8195069768037,"[241, 79, 44]"
KAB. TAPANULI TENGAH,1873.4637187034273,"[241, 79, 44, 45]"
KAB. TAPANULI UTARA,1865.4798593247606,"[241, 219, 77, 78, 46]"
KAB. TOBA SAMOSIR,1905.153731541465,"[241, 219, 77, 78, 46, 47]"
KOTA BINJAI,1969.7276260791514,"[241, 84, 52, 48]"
KOTA GUNUNGSITOLI,1937.2535196680476,"[241, 129, 66, 65, 49]"
KOTA MEDAN,2014.6077143662283,"[241, 212, 64, 50]"
KOTA PADANGSIDEMPUAN,1864.5942992308837,"[241, 165, 164, 114, 74, 51]"
KOTA PEMATANGSIANTAR,1874.5243621899476,"[241, 84, 52]"
KOTA SIBOLGA,1872.260124869597,"[241, 219, 77, 78, 53]"
KOTA TANJUNGBALAI,1809.989931320099,"[241, 54]"
KOTA TEBING TINGGI,1891.7266789916573,"[241, 54, 55]"
KAB. AGAM,1610.1725468604395,"[241, 125, 126, 109, 56]"
KAB. DHARMASRAYA,1441.824514643913,"[241, 212, 213, 57]"
KAB. KEPULAUAN MENTAWAI,1667.4309720483511,"[241, 187, 58]"
KAB. LIMA PULUH KOTA,1620.529830505428,"[241, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,1636.3074700303819,"[241, 212, 213, 214, 134, 133, 60]"
KAB. PASAMAN,1634.3029062174135,"[241, 125, 61]"
KAB. PASAMAN BARAT,1693.925198542102,"[241, 125, 61, 62]"
KAB. PESISIR SELATAN,1502.3006109286284,"[241, 165, 164, 144, 145, 63]"
KAB. SIJUNJUNG,1471.0529453548354,"[241, 212, 64]"
KAB. SOLOK,1495.714763888154,"[241, 129, 66, 65]"
KAB. SOLOK SELATAN,1431.381904813502,"[241, 129, 66]"
KAB. TANAH DATAR,1559.8769134746556,"[241, 129, 66, 67]"
KOTA BUKITTINGGI,1588.7497448965764,"[241, 129, 66, 67, 68]"
KOTA PADANG,1575.2402890598642,"[241, 165, 164, 69]"
KOTA PADANGPANJANG,1561.31364564179,"[241, 125, 70]"
KOTA PARIAMAN,1596.677347562692,"[241, 125, 70, 71]"
KOTA PAYAKUMBUH,1586.0621146288347,"[241, 125, 107, 72]"
KOTA SAWAHLUNTO,1588.5828822298502,"[241, 129, 66, 67, 73]"
KOTA SOLOK,1579.3999575797197,"[241, 165, 164, 114, 74]"
KAB. BENGKALIS,1648.7469821153004,"[241, 219, 218, 201, 76, 75]"
KAB. INDRAGIRI HILIR,1417.6505665421269,"[241, 219, 218, 201, 76]"
KAB. INDRAGIRI HULU,1398.1030516023075,"[241, 219, 77]"
KAB. KAMPAR,1554.336798575511,"[241, 219, 77, 78]"
KAB. KEPULAUAN MERANTI,1419.0623363651484,"[241, 79]"
KAB. KUANTAN SINGINGI,1513.0661147778806,"[241, 219, 220, 80]"
KAB. PELALAWAN,1568.0590962375636,"[241, 179, 178, 81]"
KAB. ROKAN HILIR,1719.2025111950072,"[241, 84, 83, 82]"
KAB. ROKAN HULU,1640.8805761348244,"[241, 84, 83]"
KAB. SIAK,1487.728922910103,"[241, 84]"
KOTA DUMAI,1592.5521847475943,"[241, 84, 85]"
KOTA PEKANBARU,1578.1781295379385,"[241, 212, 213, 214, 86]"
KAB. BINTAN,1589.7178453849167,"[241, 212, 211, 142, 141, 140, 139, 87]"
KAB. KARIMUN,1476.948342757688,"[241, 212, 211, 88]"
KAB. KEPULAUAN ANAMBAS,1628.586319547657,"[241, 219, 218, 217, 89]"
KAB. LINGGA,1340.4992526289252,"[241, 187, 149, 90]"
KAB. NATUNA,1796.1470427791592,"[241, 179, 180, 91]"
KOTA BATAM,1506.0946807025298,"[241, 258, 259, 92]"
KOTA TANJUNG PINANG,1503.027008708914,"[241, 219, 218, 201, 186, 93]"
PULAU TAMBELAN KAB. BINTAN,1294.0111979481312,"[241, 212, 211, 94]"
PEKAJANG KAB. LINGGA,1356.869543332792,"[241, 317, 95]"
PULAU SERASAN KAB. NATUNA,1343.1147888622063,"[241, 219, 324, 323, 96]"
PULAU MIDAI KAB. NATUNA,1494.5314014578223,"[241, 219, 324, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1686.1728319937413,"[241, 219, 324, 323, 96, 97, 98]"
KAB. BATANGHARI,1343.43236051567,"[241, 179, 194, 99]"
KAB. BUNGO,1459.5870857648285,"[241, 219, 101, 100]"
KAB. KERINCI,1402.7926237235347,"[241, 219, 101]"
KAB. MERANGIN,1333.5398943172122,"[241, 219, 218, 102]"
KAB. MUARO JAMBI,1334.727722091894,"[241, 258, 259, 103]"
KAB. SAROLANGUN,1322.1568661391814,"[241, 179, 180, 104]"
KAB. TANJUNG JABUNG BARAT,1364.9371186298822,"[241, 125, 105]"
KAB. TANJUNG JABUNG TIMUR,1312.6421441158336,"[241, 212, 213, 214, 215, 106]"
KAB. TEBO,1363.6101587183007,"[241, 125, 107]"
KOTA JAMBI,1315.9486268281835,"[241, 179, 194, 108]"
KOTA SUNGAI PENUH,1364.2020138545706,"[241, 125, 126, 109]"
KAB. BENGKULU SELATAN,1170.2653153765177,"[241, 232, 233, 110]"
KAB. BENGKULU TENGAH,1221.0715073245774,"[241, 212, 213, 214, 221, 111]"
KAB. BENGKULU UTARA,1276.4887872392874,"[241, 219, 156, 112]"
KAB. KAUR,1079.2298373450944,"[241, 187, 113]"
KAB. KEPAHIANG,1193.8635173431928,"[241, 165, 164, 114]"
KAB. LEBONG,1266.6208905140763,"[241, 165, 164, 114, 115]"
KAB. MUKOMUKO,1369.1281277829219,"[241, 165, 164, 114, 115, 116]"
KAB. REJANG LEBONG,1248.0176383761523,"[241, 179, 194, 117]"
