city,distance,through
KAB. ACEH BARAT,2238.880564165094,"[346, 345, 321, 322, 323, 0]"
KAB. ACEH BARAT DAYA,2309.356102777583,"[346, 345, 321, 320, 140, 1]"
KAB. ACEH BESAR,2303.0469182402985,"[346, 347, 4, 3, 2]"
KAB. ACEH JAYA,2226.7434449032,"[346, 347, 4, 3]"
KAB. ACEH SELATAN,1976.2782631435614,"[346, 347, 4]"
KAB. ACEH SINGKIL,2070.9578042367675,"[346, 345, 321, 322, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,2033.7947714790027,"[346, 345, 321, 86, 6]"
KAB. ACEH TENGAH,2108.7185004133667,"[346, 345, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,2126.319088531648,"[346, 345, 9, 8]"
KAB. ACEH TIMUR,1991.040916859356,"[346, 345, 9]"
KAB. ACEH UTARA,2048.9318005603136,"[346, 345, 10]"
KAB. BENER MERIAH,2073.380581346255,"[346, 42, 11]"
KAB. BIREUEN,2124.3757549198767,"[346, 42, 11, 12]"
KAB. GAYO LUES,2245.1094028668776,"[346, 345, 321, 30, 29, 25, 14, 13]"
KAB. NAGAN RAYA,2148.014565781859,"[346, 345, 321, 30, 29, 25, 14]"
KAB. PIDIE,2224.2253139693653,"[346, 345, 321, 30, 15]"
KAB. PIDIE JAYA,2210.4786573800343,"[346, 345, 321, 30, 26, 16]"
KAB. SIMEULUE,2142.226409798921,"[346, 345, 321, 55, 17]"
KOTA BANDA ACEH,2266.334039556944,"[346, 347, 19, 18]"
KOTA LANGSA,1949.174383990838,"[346, 347, 19]"
KOTA LHOKSEUMAWE,2065.271080415854,"[346, 345, 20]"
KOTA SABANG,2281.4186201845323,"[346, 345, 20, 21]"
KOTA SUBULUSSALAM,1893.1591982165266,"[346, 22]"
KAB. ASAHAN,2084.373603108182,"[346, 22, 23]"
KAB. BATUBARA,2048.077033420862,"[346, 345, 321, 30, 29, 25, 24]"
KAB. DAIRI,1906.7168620075286,"[346, 345, 321, 30, 29, 25]"
KAB. DELI SERDANG,1871.9591908668917,"[346, 345, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1860.4145882103628,"[346, 345, 321, 84, 85, 27]"
KAB. KARO,1887.3330290898136,"[346, 345, 321, 30, 28]"
KAB. LABUHANBATU,1687.2254215859227,"[346, 345, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,1635.619856130183,"[346, 345, 321, 30]"
KAB. LABUHANBATU UTARA,1700.9940518169778,"[346, 345, 321, 30, 31]"
KAB. LANGKAT,1938.469953875392,"[346, 345, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,1788.1232701550473,"[346, 345, 321, 84, 39, 33]"
