city,distance,through
KAB. ACEH BARAT,1274.0521275163123,"[113, 114, 115, 62, 0]"
KAB. ACEH BARAT DAYA,1393.7439241494806,"[113, 114, 115, 62, 0, 1]"
KAB. ACEH BESAR,1418.7078883415493,"[113, 114, 115, 4, 3, 2]"
KAB. ACEH JAYA,1342.4044150044506,"[113, 114, 115, 4, 3]"
KAB. ACEH SELATAN,1091.9392332448122,"[113, 114, 115, 4]"
KAB. ACEH SINGKIL,993.1748379129698,"[113, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1156.0923090973452,"[113, 114, 115, 116, 69, 70, 6]"
KAB. ACEH TENGAH,1237.164973458354,"[113, 74, 73, 67, 8, 7]"
KAB. ACEH TENGGARA,1078.3569479767725,"[113, 74, 73, 67, 8]"
KAB. ACEH TIMUR,1213.6351196490646,"[113, 74, 73, 67, 8, 9]"
KAB. ACEH UTARA,1280.2252537375523,"[113, 74, 73, 67, 8, 9, 10]"
KAB. BENER MERIAH,1264.7581399140017,"[113, 114, 115, 116, 69, 70, 11]"
KAB. BIREUEN,1299.0110607605507,"[113, 114, 115, 12]"
KAB. GAYO LUES,1153.1752646570708,"[113, 112, 13]"
KAB. NAGAN RAYA,1250.2701017420895,"[113, 112, 13, 14]"
KAB. PIDIE,1361.7930720765019,"[113, 74, 16, 15]"
KAB. PIDIE JAYA,1332.2616754439214,"[113, 74, 16]"
KAB. SIMEULUE,1132.2870830541324,"[113, 112, 17]"
KOTA BANDA ACEH,1464.4764532387114,"[113, 112, 17, 18]"
KOTA LANGSA,1401.7439006413344,"[113, 114, 45, 20, 19]"
KOTA LHOKSEUMAWE,1280.2726791609578,"[113, 114, 45, 20]"
KOTA SABANG,1470.4846511646028,"[113, 114, 115, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,1073.729156524757,"[113, 114, 115, 116, 69, 83, 22]"
KAB. ASAHAN,1184.8675085343507,"[113, 51, 50, 23]"
KAB. BATUBARA,1179.3897999608628,"[113, 74, 63, 24]"
KAB. DAIRI,1102.8981013625073,"[113, 114, 115, 116, 69, 70, 30, 29, 25]"
KAB. DELI SERDANG,1027.7516351344436,"[113, 51, 26]"
KAB. HUMBANG HASUNDUTAN,1061.7101892311457,"[113, 114, 115, 116, 69, 70, 30, 29, 27]"
KAB. KARO,1083.5142684447924,"[113, 114, 115, 116, 69, 70, 30, 28]"
KAB. LABUHANBATU,883.4066609409015,"[113, 114, 115, 116, 69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,831.8010954851618,"[113, 114, 115, 116, 69, 70, 30]"
KAB. LABUHANBATU UTARA,897.1752911719566,"[113, 114, 115, 116, 69, 70, 30, 31]"
KAB. LANGKAT,1099.6395950217109,"[113, 114, 45, 32]"
KAB. MANDAILING NATAL,935.6760392925585,"[113, 74, 63, 33]"
KAB. NIAS,889.8816545335781,"[113, 114, 115, 116, 69, 34]"
