city,distance,through
KAB. ACEH BARAT,1932.6319749757977,"[317, 138, 103, 104, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1938.8813912303958,"[317, 138, 139, 140, 1]"
KAB. ACEH BESAR,1858.3866197035843,"[317, 19, 20, 21, 2]"
KAB. ACEH JAYA,1902.210897853929,"[317, 138, 103, 65, 3]"
KAB. ACEH SELATAN,1675.3688504060572,"[317, 318, 319, 4]"
KAB. ACEH SINGKIL,1620.7623781542181,"[317, 138, 103, 71, 72, 5]"
KAB. ACEH TAMIANG,1690.0832521083412,"[317, 138, 137, 86, 6]"
KAB. ACEH TENGAH,1678.7372952605153,"[317, 19, 20, 7]"
KAB. ACEH TENGGARA,1643.173098509329,"[317, 138, 137, 8]"
KAB. ACEH TIMUR,1689.15005362201,"[317, 318, 88, 9]"
KAB. ACEH UTARA,1755.7401877104978,"[317, 318, 88, 9, 10]"
KAB. BENER MERIAH,1788.4062682181975,"[317, 318, 319, 43, 42, 11]"
KAB. BIREUEN,1839.401441791819,"[317, 318, 319, 43, 42, 11, 12]"
KAB. GAYO LUES,1714.6420911980847,"[317, 138, 137, 13]"
KAB. NAGAN RAYA,1795.9279212503266,"[317, 138, 54, 55, 28, 25, 14]"
KAB. PIDIE,1917.95328333451,"[317, 138, 54, 55, 28, 25, 14, 15]"
KAB. PIDIE JAYA,1896.129560945756,"[317, 138, 137, 29, 16]"
KAB. SIMEULUE,1782.0782876633043,"[317, 138, 54, 55, 17]"
KOTA BANDA ACEH,1786.1507511975822,"[317, 19, 18]"
KOTA LANGSA,1468.991095631476,"[317, 19]"
KOTA LHOKSEUMAWE,1590.4623171118526,"[317, 19, 20]"
KOTA SABANG,1806.6098568805307,"[317, 19, 20, 21]"
KOTA SUBULUSSALAM,1589.7897816489303,"[317, 318, 88, 83, 22]"
KAB. ASAHAN,1729.6231117080945,"[317, 138, 103, 65, 63, 24, 23]"
KAB. BATUBARA,1687.2905339077404,"[317, 138, 103, 65, 63, 24]"
KAB. DAIRI,1554.6302174759962,"[317, 138, 54, 55, 28, 25]"
KAB. DELI SERDANG,1633.0606096235579,"[317, 138, 54, 55, 28, 25, 26]"
KAB. HUMBANG HASUNDUTAN,1533.8837450253354,"[317, 138, 137, 29, 27]"
KAB. KARO,1528.1991834125845,"[317, 138, 54, 55, 28]"
KAB. LABUHANBATU,1355.5802167350914,"[317, 138, 137, 29]"
KAB. LABUHANBATU SELATAN,1407.185782190831,"[317, 138, 137, 29, 30]"
KAB. LABUHANBATU UTARA,1383.0461463648896,"[317, 318, 319, 31]"
KAB. LANGKAT,1620.522048423304,"[317, 318, 319, 31, 32]"
KAB. MANDAILING NATAL,1371.2151102707899,"[317, 318, 88, 33]"
KAB. NIAS,1542.1090338996548,"[317, 138, 103, 65, 49, 35, 34]"
KAB. NIAS BARAT,1511.9829134008087,"[317, 138, 103, 65, 49, 35]"
KAB. NIAS SELATAN,1528.1192367087629,"[317, 95, 58, 36]"
KAB. NIAS UTARA,1611.1587844921066,"[317, 95, 58, 36, 37]"
KAB. PADANG LAWAS,1497.512131244518,"[317, 138, 137, 29, 38]"
KAB. PADANG LAWAS UTARA,1468.4417773528687,"[317, 318, 88, 33, 39]"
KAB. PAKPAK BHARAT,1530.1658464459638,"[317, 318, 88, 40]"
KAB. SAMOSIR,1577.9313098054968,"[317, 138, 103, 71, 72, 41]"
KAB. SERDANG BEDAGAI,1506.9481870264801,"[317, 318, 319, 43, 42]"
KAB. SIMALUNGUN,1460.062121413693,"[317, 318, 319, 43]"
KAB. TAPANULI SELATAN,1389.213961246891,"[317, 318, 79, 44]"
KAB. TAPANULI TENGAH,1396.4528952222936,"[317, 138, 46, 45]"
KAB. TAPANULI UTARA,1347.4585110707792,"[317, 138, 46]"
KAB. TOBA SAMOSIR,1387.1323832874837,"[317, 138, 46, 47]"
KOTA BINJAI,1551.9337538063155,"[317, 138, 46, 47, 48]"
KOTA GUNUNGSITOLI,1478.611658021365,"[317, 138, 103, 65, 49]"
KOTA MEDAN,1619.5519650371707,"[317, 138, 103, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,1496.2429205615945,"[317, 138, 103, 71, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1483.4438075545893,"[317, 318, 319, 43, 52]"
KOTA SIBOLGA,1455.4806935684132,"[317, 138, 137, 78, 53]"
KOTA TANJUNGBALAI,1344.4724436166316,"[317, 138, 54]"
KOTA TEBING TINGGI,1426.20919128819,"[317, 138, 54, 55]"
KAB. AGAM,1277.1049911877174,"[317, 125, 126, 109, 56]"
KAB. DHARMASRAYA,1272.9844656205742,"[317, 125, 118, 57]"
KAB. KEPULAUAN MENTAWAI,1261.31331919635,"[317, 95, 58]"
KAB. LIMA PULUH KOTA,1251.2362453635878,"[317, 318, 88, 59]"
KAB. PADANG PARIAMAN,1329.3386496897392,"[317, 318, 88, 59, 60]"
KAB. PASAMAN,1293.831575976704,"[317, 318, 79, 61]"
KAB. PASAMAN BARAT,1323.4630755114847,"[317, 138, 103, 104, 107, 62]"
KAB. PESISIR SELATAN,1121.3475371453824,"[317, 138, 103, 65, 63]"
KAB. SIJUNJUNG,1075.9971960257776,"[317, 138, 103, 65, 64]"
KAB. SOLOK,1037.0729022414714,"[317, 138, 103, 65]"
KAB. SOLOK SELATAN,1084.1159598807903,"[317, 138, 137, 66]"
KAB. TANAH DATAR,1212.610968541944,"[317, 138, 137, 66, 67]"
KOTA BUKITTINGGI,1241.4837999638648,"[317, 138, 137, 66, 67, 68]"
KOTA PADANG,1197.145856445883,"[317, 138, 103, 104, 107, 69]"
KOTA PADANGPANJANG,1163.9442570977671,"[317, 138, 103, 71, 70]"
KOTA PARIAMAN,1128.5805551768651,"[317, 138, 103, 71]"
KOTA PAYAKUMBUH,1200.159276870504,"[317, 138, 103, 71, 72]"
KOTA SAWAHLUNTO,1196.6045070501536,"[317, 138, 103, 71, 73]"
KOTA SOLOK,1211.0485789104305,"[317, 138, 103, 71, 73, 74]"
KAB. BENGKALIS,1478.2303722512597,"[317, 138, 103, 71, 73, 74, 75]"
KAB. INDRAGIRI HILIR,1398.601782266933,"[317, 138, 137, 78, 77, 76]"
KAB. INDRAGIRI HULU,1293.7911142475311,"[317, 138, 137, 78, 77]"
KAB. KAMPAR,1137.5573672743276,"[317, 138, 137, 78]"
