city,distance,through
KAB. ACEH BARAT,1153.151749857695,"[114, 115, 62, 0]"
KAB. ACEH BARAT DAYA,1272.8435464908632,"[114, 115, 62, 0, 1]"
KAB. ACEH BESAR,1297.807510682932,"[114, 115, 4, 3, 2]"
KAB. ACEH JAYA,1221.5040373458332,"[114, 115, 4, 3]"
KAB. ACEH SELATAN,971.0388555861948,"[114, 115, 4]"
KAB. ACEH SINGKIL,872.3424023001496,"[114, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1035.191931438728,"[114, 115, 116, 69, 70, 6]"
KAB. ACEH TENGAH,1116.3325378455338,"[114, 74, 73, 67, 8, 7]"
KAB. ACEH TENGGARA,957.5245123639522,"[114, 74, 73, 67, 8]"
KAB. ACEH TIMUR,1092.8026840362443,"[114, 74, 73, 67, 8, 9]"
KAB. ACEH UTARA,1159.392818124732,"[114, 74, 73, 67, 8, 9, 10]"
KAB. BENER MERIAH,1143.8577622553844,"[114, 115, 116, 69, 70, 11]"
KAB. BIREUEN,1178.1106831019333,"[114, 115, 12]"
KAB. GAYO LUES,1045.7188890007162,"[114, 115, 116, 69, 70, 13]"
KAB. NAGAN RAYA,1142.813726085735,"[114, 115, 116, 69, 70, 13, 14]"
KAB. PIDIE,1240.9606364636818,"[114, 74, 16, 15]"
KAB. PIDIE JAYA,1211.4292398311013,"[114, 74, 16]"
KAB. SIMEULUE,1014.3707242480376,"[114, 17]"
KOTA BANDA ACEH,1346.5600944326166,"[114, 17, 18]"
KOTA LANGSA,1280.843522982717,"[114, 45, 20, 19]"
KOTA LHOKSEUMAWE,1159.3723015023404,"[114, 45, 20]"
KOTA SABANG,1349.5842735059855,"[114, 115, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,952.8287788661398,"[114, 115, 116, 69, 83, 22]"
KAB. ASAHAN,1064.181025213778,"[114, 74, 51, 50, 23]"
KAB. BATUBARA,1058.5573643480425,"[114, 74, 63, 24]"
KAB. DAIRI,981.9977237038902,"[114, 115, 116, 69, 70, 30, 29, 25]"
KAB. DELI SERDANG,907.0651518138709,"[114, 74, 51, 26]"
