city,distance,through
KAB. ACEH BARAT,3435.1910451267117,"[435, 364, 359, 323, 0]"
KAB. ACEH BARAT DAYA,3429.731858985391,"[435, 364, 363, 357, 1]"
KAB. ACEH BESAR,3556.189587449303,"[435, 55, 28, 20, 21, 2]"
KAB. ACEH JAYA,3534.0357236181276,"[435, 347, 4, 3]"
KAB. ACEH SELATAN,3283.5705418584894,"[435, 347, 4]"
KAB. ACEH SINGKIL,3306.1204125356235,"[435, 436, 444, 443, 5]"
KAB. ACEH TAMIANG,3358.5506183796215,"[435, 29, 38, 6]"
KAB. ACEH TENGAH,3340.944792056981,"[435, 29, 30, 26, 7]"
KAB. ACEH TENGGARA,3330.5234056082404,"[435, 364, 363, 362, 8]"
KAB. ACEH TIMUR,3298.419447225081,"[435, 376, 375, 9]"
KAB. ACEH UTARA,3365.0095813135686,"[435, 376, 375, 9, 10]"
KAB. BENER MERIAH,3374.39016143491,"[435, 376, 375, 11]"
KAB. BIREUEN,3425.385335008532,"[435, 376, 375, 11, 12]"
KAB. GAYO LUES,3374.124563599013,"[435, 29, 25, 14, 13]"
KAB. NAGAN RAYA,3277.0297265139943,"[435, 29, 25, 14]"
KAB. PIDIE,3386.321323161303,"[435, 29, 16, 15]"
KAB. PIDIE JAYA,3356.7899265287224,"[435, 29, 16]"
KAB. SIMEULUE,3279.819676871952,"[435, 55, 17]"
KOTA BANDA ACEH,3573.626318271872,"[435, 347, 19, 18]"
KOTA LANGSA,3256.466662705766,"[435, 347, 19]"
KOTA LHOKSEUMAWE,3288.2652848575713,"[435, 55, 28, 20]"
KOTA SABANG,3504.4128246262494,"[435, 55, 28, 20, 21]"
KOTA SUBULUSSALAM,3087.1396071478816,"[435, 29, 27, 22]"
KAB. ASAHAN,3115.522471995125,"[435, 376, 425, 24, 23]"
KAB. BATUBARA,3073.189894194771,"[435, 376, 425, 24]"
KAB. DAIRI,3035.732022739664,"[435, 29, 25]"
KAB. DELI SERDANG,3104.185482510506,"[435, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2994.544110608302,"[435, 29, 27]"
KAB. KARO,3025.940572621232,"[435, 55, 28]"
KAB. LABUHANBATU,2816.240582318058,"[435, 29]"
KAB. LABUHANBATU SELATAN,2867.8461477737974,"[435, 29, 30]"
KAB. LABUHANBATU UTARA,2933.220343460592,"[435, 29, 30, 31]"
KAB. LANGKAT,3170.6962455190064,"[435, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,3041.782921431729,"[435, 364, 359, 323, 33]"
KAB. NIAS,3096.6351872812097,"[435, 34]"
KAB. NIAS BARAT,3126.7613077800556,"[435, 34, 35]"
KAB. NIAS SELATAN,3177.9990559199205,"[435, 34, 35, 36]"
KAB. NIAS UTARA,3227.8358656554888,"[435, 29, 38, 37]"
KAB. PADANG LAWAS,2958.1724968274843,"[435, 29, 38]"
KAB. PADANG LAWAS UTARA,3012.74198182996,"[435, 29, 38, 39]"
KAB. PAKPAK BHARAT,3173.3354854674326,"[435, 364, 359, 360, 40]"
KAB. SAMOSIR,3238.005097637393,"[435, 364, 359, 360, 40, 41]"
KAB. SERDANG BEDAGAI,3195.2725841759525,"[435, 364, 363, 320, 43, 42]"
KAB. SIMALUNGUN,3148.3865185631653,"[435, 364, 363, 320, 43]"
KAB. TAPANULI SELATAN,3031.5686940896812,"[435, 347, 44]"
KAB. TAPANULI TENGAH,3102.212905816305,"[435, 347, 44, 45]"
KAB. TAPANULI UTARA,3151.2072899678196,"[435, 347, 44, 45, 46]"
KAB. TOBA SAMOSIR,3190.8811621845243,"[435, 347, 44, 45, 46, 47]"
KOTA BINJAI,3247.1407134104657,"[435, 436, 444, 443, 48]"
KOTA GUNUNGSITOLI,3160.132563159499,"[435, 34, 35, 49]"
KOTA MEDAN,3252.93528783856,"[435, 376, 425, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,3194.984855715662,"[435, 364, 359, 80, 74, 51]"
KOTA PEMATANGSIANTAR,3171.7682047040616,"[435, 364, 363, 320, 43, 52]"
KOTA SIBOLGA,3182.7854694017096,"[435, 55, 54, 53]"
KOTA TANJUNGBALAI,3005.6873281683957,"[435, 55, 54]"
KOTA TEBING TINGGI,2923.9505804968376,"[435, 55]"
KAB. AGAM,2954.6932107772745,"[435, 364, 359, 360, 56]"
KAB. DHARMASRAYA,2894.588024999495,"[435, 364, 141, 142, 57]"
KAB. KEPULAUAN MENTAWAI,3007.3730165694105,"[435, 95, 58]"
KAB. LIMA PULUH KOTA,2943.440160531377,"[435, 376, 425, 59]"
KAB. PADANG PARIAMAN,3008.351535148935,"[435, 347, 348, 60]"
KAB. PASAMAN,2986.6278774193415,"[435, 376, 425, 59, 61]"
KAB. PASAMAN BARAT,3018.670065690403,"[435, 436, 62]"
KAB. PESISIR SELATAN,2991.3220053380005,"[435, 364, 139, 138, 103, 65, 63]"
KAB. SIJUNJUNG,2945.9716642183953,"[435, 364, 139, 138, 103, 65, 64]"
KAB. SOLOK,2907.0473704340893,"[435, 364, 139, 138, 103, 65]"
KAB. SOLOK SELATAN,2888.774311684295,"[435, 376, 375, 137, 66]"
KAB. TANAH DATAR,2940.65668560513,"[435, 364, 141, 73, 67]"
KOTA BUKITTINGGI,2969.529517027051,"[435, 364, 141, 73, 67, 68]"
KOTA PADANG,2979.025083255237,"[435, 364, 359, 323, 107, 69]"
KOTA PADANGPANJANG,2999.52289236258,"[435, 364, 359, 360, 71, 70]"
KOTA PARIAMAN,2964.159190441678,"[435, 364, 359, 360, 71]"
KOTA PAYAKUMBUH,2963.709505769567,"[435, 364, 141, 73, 72]"
KOTA SAWAHLUNTO,2911.9507168499354,"[435, 364, 141, 73]"
KOTA SOLOK,2909.790514064498,"[435, 364, 359, 80, 74]"
KAB. BENGKALIS,2958.105142086638,"[435, 376, 425, 421, 75]"
KAB. INDRAGIRI HILIR,2780.9029311253216,"[435, 376, 324, 325, 76]"
