city,distance,through
KAB. ACEH BARAT,3383.7756953554067,"[467, 396, 323, 0]"
KAB. ACEH BARAT DAYA,3388.44031558314,"[467, 385, 142, 141, 140, 1]"
KAB. ACEH BESAR,3458.815671575916,"[467, 89, 3, 2]"
KAB. ACEH JAYA,3382.5121982388173,"[467, 89, 3]"
KAB. ACEH SELATAN,3248.082012811426,"[467, 78, 4]"
KAB. ACEH SINGKIL,3258.743563731561,"[467, 67, 73, 72, 5]"
KAB. ACEH TAMIANG,3291.755259940083,"[467, 396, 395, 345, 321, 86, 6]"
KAB. ACEH TENGAH,3285.302049307974,"[467, 328, 8, 7]"
KAB. ACEH TENGGARA,3126.4940238263925,"[467, 328, 8]"
KAB. ACEH TIMUR,3249.0014053204363,"[467, 396, 395, 345, 9]"
KAB. ACEH UTARA,3214.8132167057724,"[467, 89, 10]"
KAB. BENER MERIAH,3247.0676534704235,"[467, 328, 11]"
KAB. BIREUEN,3298.062827044045,"[467, 328, 11, 12]"
KAB. GAYO LUES,3257.9885708841625,"[467, 385, 13]"
KAB. NAGAN RAYA,3322.5726639322706,"[467, 96, 29, 25, 14]"
KAB. PIDIE,3431.86426057958,"[467, 96, 29, 16, 15]"
KAB. PIDIE JAYA,3402.332863946999,"[467, 96, 29, 16]"
KAB. SIMEULUE,3338.658498113505,"[467, 396, 17]"
KOTA BANDA ACEH,3443.1807836106764,"[467, 96, 97, 19, 18]"
KOTA LANGSA,3126.02112804457,"[467, 96, 97, 19]"
KOTA LHOKSEUMAWE,3247.492349524947,"[467, 96, 97, 19, 20]"
KOTA SABANG,3463.639889293625,"[467, 96, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,3090.7266224605714,"[467, 328, 22]"
KAB. ASAHAN,2978.8350736687335,"[467, 385, 23]"
KAB. BATUBARA,3021.1676514690876,"[467, 385, 23, 24]"
KAB. DAIRI,3081.2749601579403,"[467, 96, 29, 25]"
KAB. DELI SERDANG,3129.919679327972,"[467, 396, 395, 345, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,3040.0870480265785,"[467, 96, 29, 27]"
KAB. KARO,3089.695367948596,"[467, 96, 29, 28]"
KAB. LABUHANBATU,2861.7835197363343,"[467, 96, 29]"
KAB. LABUHANBATU SELATAN,2893.5803445912634,"[467, 396, 395, 345, 321, 30]"
KAB. LABUHANBATU UTARA,2958.1112036387312,"[467, 320, 319, 31]"
KAB. LANGKAT,3195.5871056971455,"[467, 320, 319, 31, 32]"
KAB. MANDAILING NATAL,2932.486555369565,"[467, 396, 33]"
KAB. NIAS,3117.2182151568845,"[467, 396, 33, 34]"
KAB. NIAS BARAT,3147.3443356557304,"[467, 396, 33, 34, 35]"
KAB. NIAS SELATAN,3198.5820837955953,"[467, 396, 33, 34, 35, 36]"
KAB. NIAS UTARA,3177.2124245703344,"[467, 96, 37]"
KAB. PADANG LAWAS,2913.447264135172,"[467, 96, 38]"
KAB. PADANG LAWAS UTARA,2948.857091534049,"[467, 396, 395, 345, 321, 84, 39]"
KAB. PAKPAK BHARAT,3133.762831590206,"[467, 320, 319, 40]"
KAB. SAMOSIR,3080.9090940525016,"[467, 320, 43, 42, 41]"
KAB. SERDANG BEDAGAI,2996.6796012212644,"[467, 320, 43, 42]"
KAB. SIMALUNGUN,2949.793535608477,"[467, 320, 43]"
KAB. TAPANULI SELATAN,2925.883285057677,"[467, 328, 44]"
KAB. TAPANULI TENGAH,2996.5274967843006,"[467, 328, 44, 45]"
KAB. TAPANULI UTARA,2974.556064152808,"[467, 47, 46]"
KAB. TOBA SAMOSIR,2934.8821919361035,"[467, 47]"
KOTA BINJAI,3065.1102062805307,"[467, 328, 52, 48]"
KOTA GUNUNGSITOLI,3172.692292139012,"[467, 89, 49]"
KOTA MEDAN,3116.247889512168,"[467, 385, 23, 50]"
KOTA PADANGSIDEMPUAN,3057.326855578861,"[467, 320, 74, 51]"
KOTA PEMATANGSIANTAR,2969.906942391327,"[467, 328, 52]"
KOTA SIBOLGA,3015.4485023460074,"[467, 78, 53]"
KOTA TANJUNGBALAI,3107.8773500211646,"[467, 385, 390, 139, 138, 54]"
KOTA TEBING TINGGI,3044.3178018848866,"[467, 396, 395, 345, 321, 55]"
KAB. AGAM,2873.6714641369263,"[467, 385, 142, 57, 56]"
KAB. DHARMASRAYA,2684.8566241498174,"[467, 385, 142, 57]"
KAB. KEPULAUAN MENTAWAI,2986.070880952059,"[467, 385, 142, 57, 58]"
KAB. LIMA PULUH KOTA,2847.663066056605,"[467, 396, 395, 345, 321, 322, 59]"
KAB. PADANG PARIAMAN,2817.839874606431,"[467, 396, 60]"
KAB. PASAMAN,2890.85078294457,"[467, 396, 395, 345, 321, 322, 59, 61]"
KAB. PASAMAN BARAT,2948.586714810699,"[467, 396, 395, 345, 321, 322, 59, 62]"
KAB. PESISIR SELATAN,2773.7041215736053,"[467, 396, 395, 345, 63]"
KAB. SIJUNJUNG,2812.237350621212,"[467, 396, 395, 345, 65, 64]"
KAB. SOLOK,2773.313056836906,"[467, 396, 395, 345, 65]"
KAB. SOLOK SELATAN,2837.645915911558,"[467, 396, 395, 345, 65, 66]"
KAB. TANAH DATAR,2757.675704773021,"[467, 67]"
KOTA BUKITTINGGI,2786.5485361949422,"[467, 67, 68]"
KOTA PADANG,2858.167200749148,"[467, 67, 68, 69]"
KOTA PADANGPANJANG,2880.138401833144,"[467, 385, 71, 70]"
KOTA PARIAMAN,2844.7746999122423,"[467, 385, 71]"
KOTA PAYAKUMBUH,2838.1404624478473,"[467, 67, 73, 72]"
KOTA SAWAHLUNTO,2786.3816735282157,"[467, 67, 73]"
KOTA SOLOK,2772.132513927697,"[467, 320, 74]"
KAB. BENGKALIS,3039.314307268526,"[467, 320, 74, 75]"
KAB. INDRAGIRI HILIR,2866.2624520685044,"[467, 385, 386, 387, 449, 329, 330, 341, 76]"
KAB. INDRAGIRI HULU,2813.051777484501,"[467, 396, 144, 77]"
KAB. KAMPAR,2697.525176051922,"[467, 78]"
KAB. KEPULAUAN MERANTI,2885.7992062524486,"[467, 78, 79]"
KAB. KUANTAN SINGINGI,2876.269391060361,"[467, 320, 74, 80]"
KAB. PELALAWAN,2786.336797264311,"[467, 396, 397, 81]"
KAB. ROKAN HILIR,2891.9565918123085,"[467, 385, 142, 82]"
KAB. ROKAN HULU,2846.0251516657568,"[467, 96, 83]"
KAB. SIAK,2693.73665370794,"[467, 396, 395, 345, 321, 84]"
KOTA DUMAI,2798.5599155454315,"[467, 396, 395, 345, 321, 84, 85]"
KOTA PEKANBARU,2727.782907992375,"[467, 396, 395, 345, 321, 86]"
KAB. BINTAN,2607.8536907918124,"[467, 385, 390, 139, 87]"
KAB. KARIMUN,2617.1452272001375,"[467, 89, 88]"
KAB. KEPULAUAN ANAMBAS,2256.7276362244684,"[467, 89]"
KAB. LINGGA,2436.599183968708,"[467, 385, 142, 143, 90]"
KAB. NATUNA,2330.0179604068526,"[467, 385, 386, 91]"
KOTA BATAM,2659.720364842061,"[467, 396, 397, 335, 334, 94, 93, 92]"
KOTA TANJUNG PINANG,2608.0724647780726,"[467, 396, 397, 335, 334, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,2289.371882626783,"[467, 396, 397, 335, 334, 94]"
PEKAJANG KAB. LINGGA,2444.726026621766,"[467, 96, 95]"
PULAU SERASAN KAB. NATUNA,1874.9627741614304,"[467, 96]"
PULAU MIDAI KAB. NATUNA,2026.3793867570464,"[467, 96, 97]"
PULAU LAUT KAB. NATUNA,2218.020817292965,"[467, 96, 97, 98]"
KAB. BATANGHARI,2808.130503694996,"[467, 398, 272, 271, 99]"
KAB. BUNGO,2675.5969090445597,"[467, 396, 395, 345, 321, 100]"
KAB. KERINCI,2684.6769708650827,"[467, 385, 101]"
KAB. MERANGIN,2684.1518539733092,"[467, 385, 390, 139, 138, 103, 102]"
KAB. MUARO JAMBI,2468.1241632789224,"[467, 385, 390, 139, 138, 103]"
KAB. SAROLANGUN,2595.0140504696014,"[467, 396, 395, 345, 321, 104]"
KAB. TANJUNG JABUNG BARAT,2494.1899188173775,"[467, 396, 105]"
KAB. TANJUNG JABUNG TIMUR,2576.4375211309884,"[467, 396, 105, 106]"
KAB. TEBO,2710.341206208355,"[467, 396, 323, 107]"
KOTA JAMBI,2733.224115590194,"[467, 385, 386, 387, 449, 448, 108]"
KOTA SUNGAI PENUH,2677.4159201420334,"[467, 135, 109]"
KAB. BENGKULU SELATAN,2523.190314495999,"[467, 385, 142, 110]"
KAB. BENGKULU TENGAH,2623.0926573690044,"[467, 385, 142, 110, 111]"
KAB. BENGKULU UTARA,2632.7734686909525,"[467, 385, 390, 139, 112]"
KAB. KAUR,2528.908426920526,"[467, 135, 136, 113]"
KAB. KEPAHIANG,2649.8088045791433,"[467, 135, 136, 113, 114]"
KAB. LEBONG,2643.023262621312,"[467, 396, 395, 345, 115]"
KAB. MUKOMUKO,2690.2923543964953,"[467, 385, 390, 139, 116]"
KAB. REJANG LEBONG,2620.0161216747197,"[467, 398, 117]"
KAB. SELUMA,2669.3476338653745,"[467, 385, 198, 118]"
KOTA BENGKULU,2721.336632492585,"[467, 396, 159, 119]"
KAB. BANYUASIN,2538.693689317197,"[467, 396, 395, 263, 120]"
KAB. EMPAT LAWANG,2547.7402443516708,"[467, 385, 390, 139, 122, 121]"
KAB. LAHAT,2495.9401533547416,"[467, 385, 390, 139, 122]"
KAB. MUARA ENIM,2439.8856153784436,"[467, 385, 142, 141, 140, 123]"
KAB. MUSI BANYUASIN,2573.299763394503,"[467, 385, 142, 141, 140, 123, 124]"
KAB. MUSI RAWAS,2637.1184607975138,"[467, 385, 142, 130, 125]"
KAB. MUSI RAWAS UTARA,2606.0407382540425,"[467, 385, 142, 141, 140, 128, 127, 126]"
KAB. OGAN ILIR,2383.5955573355964,"[467, 385, 142, 141, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,2316.0977899333393,"[467, 385, 142, 141, 140, 128]"
KAB. OGAN KOMERING ULU,2464.9049238052003,"[467, 385, 142, 141, 140, 128, 129]"
KAB. OGAN KOMERING ULU SELATAN,2434.354824794524,"[467, 385, 142, 130]"
KAB. OGAN KOMERING ULU TIMUR,2386.359024430928,"[467, 135, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,2493.7893339558013,"[467, 135, 131, 132]"
KOTA LUBUKLINGGAU,2528.309197813106,"[467, 385, 390, 133]"
KOTA PAGAR ALAM,2497.070726418682,"[467, 135, 134]"
KOTA PALEMBANG,2288.3955089270084,"[467, 135]"
KOTA PRABUMULIH,2365.4428667134753,"[467, 135, 136]"
KAB. BANGKA,2325.890841583203,"[467, 385, 390, 139, 138, 137]"
KAB. BANGKA BARAT,2278.785495089832,"[467, 385, 390, 139, 138]"
KAB. BANGKA SELATAN,2134.085129210046,"[467, 385, 390, 139]"
KAB. BANGKA TENGAH,2155.6418778204616,"[467, 385, 142, 141, 140]"
KAB. BELITUNG,1978.8789459546258,"[467, 385, 142, 141]"
KAB. BELITUNG TIMUR,1933.7289320130735,"[467, 385, 142]"
KOTA PANGKAL PINANG,2173.2191867116658,"[467, 385, 142, 143]"
KAB. LAMPUNG TENGAH,2247.7131228282224,"[467, 396, 144]"
KAB. LAMPUNG UTARA,2309.8898381297904,"[467, 396, 144, 145]"
KAB. LAMPUNG SELATAN,2234.694257083235,"[467, 146]"
KAB. LAMPUNG BARAT,2397.7489389985412,"[467, 146, 147]"
KAB. LAMPUNG TIMUR,2452.366362650375,"[467, 385, 390, 139, 149, 148]"
KAB. MESUJI,2322.23087674079,"[467, 385, 390, 139, 149]"
KAB. PESAWARAN,2394.4480957236497,"[467, 385, 390, 239, 150]"
KAB. PESISIR BARAT,2483.2705596954916,"[467, 385, 198, 213, 214, 221, 152, 151]"
KAB. PRINGSEWU,2387.7050699673387,"[467, 385, 198, 213, 214, 221, 152]"
KAB. TULANG BAWANG,2390.491191039346,"[467, 385, 198, 213, 214, 221, 153]"
KAB. TULANG BAWANG BARAT,2413.9138400372494,"[467, 385, 198, 213, 154]"
KAB. TANGGAMUS,2400.285901732147,"[467, 396, 395, 175, 176, 155]"
KAB. WAY KANAN,2482.6762426222995,"[467, 396, 395, 175, 158, 157, 156]"
KOTA BANDAR LAMPUNG,2355.9230551946266,"[467, 396, 395, 175, 158, 157]"
KOTA METRO,2324.544216352111,"[467, 396, 395, 175, 158]"
KAB. LEBAK,2182.5282044202977,"[467, 396, 159]"
KAB. PANDEGLANG,2248.089937792073,"[467, 396, 159, 160]"
KAB. SERANG,2194.2677919417015,"[467, 385, 161]"
KAB. TANGERANG,2243.9880599614667,"[467, 385, 161, 162]"
KOTA CILEGON,2256.3010605987433,"[467, 385, 198, 166, 165, 164, 163]"
KOTA SERANG,2235.5696724394666,"[467, 385, 198, 166, 165, 164]"
KOTA TANGERANG,2180.582138741976,"[467, 385, 198, 166, 165]"
KOTA TANGERANG SELATAN,2169.4790251832183,"[467, 385, 198, 166]"
KAB. BANDUNG,2112.896724617463,"[467, 385, 198, 213, 214, 221, 168, 167]"
KAB. BANDUNG BARAT,2079.7560884442414,"[467, 385, 198, 213, 214, 221, 168]"
KAB. BEKASI,2123.812276158763,"[467, 385, 198, 169]"
KAB. BOGOR,2190.4442441687947,"[467, 385, 198, 169, 170]"
KAB. CIAMIS,2066.062930050608,"[467, 242, 269, 171]"
KAB. CIANJUR,2184.469252981624,"[467, 225, 216, 173, 172]"
KAB. CIREBON,2024.9239014134073,"[467, 225, 216, 173]"
KAB. GARUT,2107.6335235806146,"[467, 396, 395, 175, 174]"
KAB. INDRAMAYU,1964.1044454843002,"[467, 396, 395, 175]"
KAB. KARAWANG,2073.3294050345767,"[467, 396, 395, 175, 176]"
KAB. KUNINGAN,2227.4871951980035,"[467, 242, 241, 179, 178, 177]"
KAB. MAJALENGKA,2186.619210581904,"[467, 242, 241, 179, 178]"
KAB. PANGANDARAN,2090.720177536044,"[467, 242, 241, 179]"
KAB. PURWAKARTA,2163.991686100311,"[467, 385, 265, 180]"
KAB. SUBANG,2135.7416593492053,"[467, 385, 265, 181]"
KAB. SUKABUMI,2170.257562649538,"[467, 396, 395, 227, 182]"
