city,distance,through
KAB. ACEH BARAT,3676.561555390505,"[437, 438, 439, 440, 0]"
KAB. ACEH BARAT DAYA,3737.4668869408247,"[437, 436, 444, 443, 356, 357, 1]"
KAB. ACEH BESAR,3714.270172262632,"[437, 54, 55, 28, 20, 21, 2]"
KAB. ACEH JAYA,3666.5795378378516,"[437, 436, 444, 445, 89, 3]"
KAB. ACEH SELATAN,3550.527540142799,"[437, 436, 444, 443, 5, 4]"
KAB. ACEH SINGKIL,3429.8568152022176,"[437, 436, 444, 443, 5]"
KAB. ACEH TAMIANG,3411.8620232431736,"[437, 86, 6]"
KAB. ACEH TENGAH,3525.6418931920093,"[437, 54, 55, 28, 25, 26, 7]"
KAB. ACEH TENGGARA,3611.5954046796055,"[437, 101, 8]"
KAB. ACEH TIMUR,3487.030449202849,"[437, 436, 444, 443, 376, 375, 9]"
KAB. ACEH UTARA,3498.8805563048068,"[437, 436, 444, 445, 89, 10]"
KAB. BENER MERIAH,3538.0017580043077,"[437, 436, 444, 445, 89, 10, 11]"
KAB. BIREUEN,3555.515513382983,"[437, 436, 444, 445, 12]"
KAB. GAYO LUES,3548.844732357322,"[437, 54, 55, 28, 25, 14, 13]"
KAB. NAGAN RAYA,3451.749895272303,"[437, 54, 55, 28, 25, 14]"
KAB. PIDIE,3573.7752573564867,"[437, 54, 55, 28, 25, 14, 15]"
KAB. PIDIE JAYA,3603.3066539890674,"[437, 54, 55, 28, 25, 14, 15, 16]"
KAB. SIMEULUE,3437.9002616852813,"[437, 54, 55, 17]"
KOTA BANDA ACEH,3742.755349973281,"[437, 86, 6, 18]"
KOTA LANGSA,3511.622787627959,"[437, 438, 344, 19]"
KOTA LHOKSEUMAWE,3446.3458696709004,"[437, 54, 55, 28, 20]"
KOTA SABANG,3662.4934094395785,"[437, 54, 55, 28, 20, 21]"
KOTA SUBULUSSALAM,3321.8872059053356,"[437, 436, 22]"
KAB. ASAHAN,3304.1334739728927,"[437, 436, 444, 443, 376, 425, 24, 23]"
KAB. BATUBARA,3261.8008961725386,"[437, 436, 444, 443, 376, 425, 24]"
KAB. DAIRI,3210.4521914979728,"[437, 54, 55, 28, 25]"
KAB. DELI SERDANG,3288.8825836455344,"[437, 54, 55, 28, 25, 26]"
KAB. HUMBANG HASUNDUTAN,3290.4205953936585,"[437, 54, 55, 28, 27]"
KAB. KARO,3184.0211574345612,"[437, 54, 55, 28]"
KAB. LABUHANBATU,3182.339374707206,"[437, 436, 444, 443, 356, 29]"
KAB. LABUHANBATU SELATAN,3177.637382302909,"[437, 436, 444, 321, 30]"
KAB. LABUHANBATU UTARA,3243.0115779897037,"[437, 436, 444, 321, 30, 31]"
KAB. LANGKAT,3480.487480048118,"[437, 436, 444, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,3258.9563876603406,"[437, 436, 444, 443, 88, 33]"
KAB. NIAS,3373.7856167876616,"[437, 436, 62, 34]"
KAB. NIAS BARAT,3403.9117372865076,"[437, 436, 62, 34, 35]"
KAB. NIAS SELATAN,3455.1494854263724,"[437, 436, 62, 34, 35, 36]"
KAB. NIAS UTARA,3450.280648533345,"[437, 99, 100, 37]"
KAB. PADANG LAWAS,3188.468765521833,"[437, 436, 444, 445, 434, 38]"
KAB. PADANG LAWAS UTARA,3232.914129245694,"[437, 436, 444, 321, 84, 39]"
KAB. PAKPAK BHARAT,3375.066251676365,"[437, 438, 439, 360, 40]"
KAB. SAMOSIR,3403.1495659030043,"[437, 436, 444, 443, 368, 41]"
KAB. SERDANG BEDAGAI,3359.6524456211896,"[437, 436, 444, 321, 320, 43, 42]"
KAB. SIMALUNGUN,3312.7663800084024,"[437, 436, 444, 321, 320, 43]"
KAB. TAPANULI SELATAN,3278.7557949475254,"[437, 436, 318, 79, 44]"
KAB. TAPANULI TENGAH,3349.400006674149,"[437, 436, 318, 79, 44, 45]"
KAB. TAPANULI UTARA,3340.874201760552,"[437, 436, 318, 319, 46]"
KAB. TOBA SAMOSIR,3380.5480739772565,"[437, 436, 318, 319, 46, 47]"
KOTA BINJAI,3370.87711607706,"[437, 436, 444, 443, 48]"
KOTA GUNUNGSITOLI,3401.1547446381605,"[437, 54, 55, 28, 25, 49]"
KOTA MEDAN,3441.5462898163273,"[437, 436, 444, 443, 376, 425, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,3384.365461402609,"[437, 436, 444, 445, 74, 51]"
KOTA PEMATANGSIANTAR,3318.0789536386333,"[437, 54, 53, 52]"
KOTA SIBOLGA,3177.3925588719226,"[437, 54, 53]"
KOTA TANJUNGBALAI,3000.2944176386086,"[437, 54]"
KOTA TEBING TINGGI,3082.0311653101667,"[437, 54, 55]"
KAB. AGAM,3156.423976986207,"[437, 438, 439, 360, 56]"
KAB. DHARMASRAYA,3149.560026134578,"[437, 438, 439, 337, 338, 142, 57]"
KAB. KEPULAUAN MENTAWAI,3314.4980541867717,"[437, 438, 344, 58]"
KAB. LIMA PULUH KOTA,3106.378974248939,"[437, 436, 444, 445, 59]"
KAB. PADANG PARIAMAN,3184.4813785750903,"[437, 436, 444, 445, 59, 60]"
KAB. PASAMAN,3149.5666911369035,"[437, 436, 444, 445, 59, 61]"
KAB. PASAMAN BARAT,3142.4064683569973,"[437, 436, 62]"
KAB. PESISIR SELATAN,3090.5225403250906,"[437, 99, 64, 63]"
KAB. SIJUNJUNG,2971.2156463532942,"[437, 99, 64]"
KAB. SOLOK,3010.1399401376,"[437, 99, 64, 65]"
KAB. SOLOK SELATAN,3074.472799212252,"[437, 99, 64, 65, 66]"
KAB. TANAH DATAR,3131.081515006326,"[437, 436, 444, 443, 376, 375, 67]"
KOTA BUKITTINGGI,3159.954346428247,"[437, 436, 444, 443, 376, 375, 67, 68]"
KOTA PADANG,3104.3023827598727,"[437, 436, 318, 69]"
KOTA PADANGPANJANG,3157.8279735920314,"[437, 436, 318, 69, 70]"
KOTA PARIAMAN,3156.590135062237,"[437, 436, 444, 445, 71]"
KOTA PAYAKUMBUH,3124.0031377205582,"[437, 104, 107, 72]"
KOTA SAWAHLUNTO,3113.615191611722,"[437, 436, 444, 445, 74, 73]"
KOTA SOLOK,3099.171119751445,"[437, 436, 444, 445, 74]"
KAB. BENGKALIS,3072.6786703297867,"[437, 438, 439, 76, 75]"
KAB. INDRAGIRI HILIR,2841.582254756613,"[437, 438, 439, 76]"
KAB. INDRAGIRI HULU,2944.705674363235,"[437, 436, 444, 443, 376, 425, 77]"
KAB. KAMPAR,3080.149563549717,"[437, 436, 444, 321, 84, 78]"
KAB. KEPULAUAN MERANTI,2894.99862433587,"[437, 436, 318, 79]"
KAB. KUANTAN SINGINGI,3023.1737128403884,"[437, 436, 444, 443, 376, 80]"
KAB. PELALAWAN,3127.3541076714723,"[437, 436, 444, 443, 376, 80, 81]"
KAB. ROKAN HILIR,3115.5742168775196,"[437, 436, 444, 443, 88, 82]"
KAB. ROKAN HULU,3130.9453446443067,"[437, 436, 444, 321, 84, 83]"
KAB. SIAK,2977.7936914195852,"[437, 436, 444, 321, 84]"
KOTA DUMAI,2976.928742337527,"[437, 86, 85]"
KOTA PEKANBARU,2847.8896712954656,"[437, 86]"
KAB. BINTAN,2806.672040518569,"[437, 436, 444, 443, 376, 375, 349, 350, 87]"
KAB. KARIMUN,2810.0251614076433,"[437, 436, 444, 443, 88]"
KAB. KEPULAUAN ANAMBAS,2540.7949758235027,"[437, 436, 444, 445, 89]"
KAB. LINGGA,2703.6226284767954,"[437, 436, 444, 443, 376, 375, 90]"
KAB. NATUNA,2650.6645987326765,"[437, 436, 444, 443, 376, 375, 333, 91]"
KOTA BATAM,2767.792987883102,"[437, 438, 344, 93, 92]"
KOTA TANJUNG PINANG,2716.1450878191135,"[437, 438, 344, 93]"
PULAU TAMBELAN KAB. BINTAN,2559.353687262408,"[437, 436, 444, 443, 376, 375, 333, 334, 94]"
PEKAJANG KAB. LINGGA,2677.625314575264,"[437, 436, 318, 317, 95]"
PULAU SERASAN KAB. NATUNA,2321.7970522221303,"[437, 436, 444, 445, 324, 323, 96]"
PULAU MIDAI KAB. NATUNA,2473.2136648177466,"[437, 436, 444, 445, 324, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,2596.0370882452903,"[437, 436, 444, 321, 98]"
KAB. BATANGHARI,2719.365236822471,"[437, 99]"
KAB. BUNGO,2852.1370694371512,"[437, 99, 100]"
KAB. KERINCI,2901.4656481213797,"[437, 101]"
KAB. MERANGIN,2970.9414981252917,"[437, 101, 102]"
KAB. MUARO JAMBI,2772.978740195024,"[437, 436, 318, 317, 138, 103]"
KAB. SAROLANGUN,2776.434179771182,"[437, 104]"
KAB. TANJUNG JABUNG BARAT,2842.678191137242,"[437, 436, 318, 317, 105]"
KAB. TANJUNG JABUNG TIMUR,2870.488694280081,"[437, 436, 444, 443, 376, 336, 329, 106]"
KAB. TEBO,2901.551181810024,"[437, 104, 107]"
KOTA JAMBI,2951.012506532884,"[437, 438, 439, 387, 449, 448, 108]"
KOTA SUNGAI PENUH,3073.134938698792,"[437, 438, 439, 126, 109]"
KAB. BENGKULU SELATAN,2932.1470345611306,"[437, 436, 444, 445, 132, 110]"
KAB. BENGKULU TENGAH,2959.769371563696,"[437, 438, 344, 345, 111]"
KAB. BENGKULU UTARA,2991.4423833878973,"[437, 331, 139, 112]"
KAB. KAUR,2869.217018142067,"[437, 436, 136, 113]"
KAB. KEPAHIANG,2990.1173958006843,"[437, 436, 136, 113, 114]"
KAB. LEBONG,2968.4527650581285,"[437, 438, 344, 345, 115]"
KAB. MUKOMUKO,3048.96126909344,"[437, 331, 139, 116]"
KAB. REJANG LEBONG,3026.8493886073297,"[437, 436, 444, 445, 434, 353, 135, 131, 117]"
KAB. SELUMA,2992.564857259512,"[437, 436, 318, 317, 125, 118]"
KOTA BENGKULU,3043.937196284818,"[437, 438, 439, 337, 338, 119]"
KAB. BANYUASIN,2807.7625726617216,"[437, 436, 153, 120]"
KAB. EMPAT LAWANG,2802.2629662186423,"[437, 121]"
KAB. LAHAT,2851.93517076639,"[437, 436, 153, 123, 122]"
KAB. MUARA ENIM,2779.295213092471,"[437, 436, 153, 123]"
KAB. MUSI BANYUASIN,2790.1941378509055,"[437, 438, 439, 124]"
KAB. MUSI RAWAS,2878.8622617477868,"[437, 436, 318, 317, 125]"
KAB. MUSI RAWAS UTARA,2905.940871063076,"[437, 438, 439, 126]"
KAB. OGAN ILIR,2766.709722324758,"[437, 331, 139, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,2699.211954922501,"[437, 331, 139, 140, 128]"
KAB. OGAN KOMERING ULU,2848.019088794362,"[437, 331, 139, 140, 128, 129]"
KAB. OGAN KOMERING ULU SELATAN,2840.9792862043623,"[437, 436, 444, 443, 428, 130]"
KAB. OGAN KOMERING ULU TIMUR,2791.256267436613,"[437, 436, 444, 445, 434, 353, 135, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,2770.3631265367503,"[437, 436, 444, 445, 132]"
KOTA LUBUKLINGGAU,2898.202165915215,"[437, 436, 444, 445, 132, 133]"
KOTA PAGAR ALAM,2901.9679694243673,"[437, 436, 444, 445, 434, 353, 135, 134]"
KOTA PALEMBANG,2693.2927519326936,"[437, 436, 444, 445, 434, 353, 135]"
KOTA PRABUMULIH,2705.751457935016,"[437, 436, 136]"
KAB. BANGKA,2555.7552889599424,"[437, 436, 444, 443, 376, 375, 137]"
KAB. BANGKA BARAT,2583.6400720059332,"[437, 436, 318, 317, 138]"
KAB. BANGKA SELATAN,2492.754043906991,"[437, 331, 139]"
KAB. BANGKA TENGAH,2538.7560428096235,"[437, 331, 139, 140]"
KAB. BELITUNG,2443.5823479393866,"[437, 438, 439, 337, 338, 142, 141]"
KAB. BELITUNG TIMUR,2398.432333997834,"[437, 438, 439, 337, 338, 142]"
KOTA PANGKAL PINANG,2637.9225886964264,"[437, 438, 439, 337, 338, 142, 143]"
KAB. LAMPUNG TENGAH,2688.4249590566096,"[437, 436, 444, 443, 376, 336, 342, 144]"
KAB. LAMPUNG UTARA,2750.6016743581777,"[437, 436, 444, 443, 376, 336, 342, 144, 145]"
KAB. LAMPUNG SELATAN,2685.007268565012,"[437, 436, 444, 445, 434, 353, 146]"
KAB. LAMPUNG BARAT,2843.0532788885043,"[437, 438, 439, 337, 338, 147]"
KAB. LAMPUNG TIMUR,2790.912487155604,"[437, 436, 444, 443, 428, 427, 426, 148]"
KAB. MESUJI,2666.082353558792,"[437, 436, 444, 443, 376, 336, 342, 149]"
KAB. PESAWARAN,2822.7246375837676,"[437, 436, 444, 443, 376, 375, 333, 346, 150]"
KAB. PESISIR BARAT,2766.250049099506,"[437, 158, 157, 152, 151]"
KAB. PRINGSEWU,2670.6845593713533,"[437, 158, 157, 152]"
KAB. TULANG BAWANG,2600.461647648251,"[437, 436, 153]"
KAB. TULANG BAWANG BARAT,2652.5913488755646,"[437, 436, 153, 154]"
KAB. TANGGAMUS,2756.0429227860664,"[437, 436, 153, 154, 155]"
KAB. WAY KANAN,2743.6094093779197,"[437, 436, 444, 445, 434, 353, 156]"
KOTA BANDAR LAMPUNG,2638.7504832408304,"[437, 158, 157]"
KOTA METRO,2607.371644398315,"[437, 158]"
KAB. LEBAK,2647.2284641391675,"[437, 436, 444, 443, 159]"
KAB. PANDEGLANG,2708.5083943522222,"[437, 438, 160]"
KAB. SERANG,2651.45208430591,"[437, 436, 444, 445, 162, 161]"
KAB. TANGERANG,2601.7318162861447,"[437, 436, 444, 445, 162]"
KOTA CILEGON,2658.2884882511808,"[437, 436, 444, 445, 162, 163]"
KOTA SERANG,2648.898896393571,"[437, 436, 444, 445, 166, 165, 164]"
