city,distance,through
KAB. ACEH BARAT,987.1060636382321,"[101, 100, 0]"
KAB. ACEH BARAT DAYA,1106.7978602714002,"[101, 100, 0, 1]"
KAB. ACEH BESAR,1225.1370627802016,"[101, 8, 7, 20, 21, 2]"
KAB. ACEH JAYA,1211.3315379991377,"[101, 81, 62, 4, 3]"
KAB. ACEH SELATAN,960.8663562394993,"[101, 81, 62, 4]"
KAB. ACEH SINGKIL,937.3746423750069,"[101, 81, 80, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1000.6153072755845,"[101, 8, 7, 6]"
KAB. ACEH TENGAH,868.9377820398073,"[101, 8, 7]"
KAB. ACEH TENGGARA,710.1297565582258,"[101, 8]"
KAB. ACEH TIMUR,845.4079282305179,"[101, 8, 9]"
KAB. ACEH UTARA,911.9980623190055,"[101, 8, 9, 10]"
KAB. BENER MERIAH,951.1192640185062,"[101, 8, 9, 10, 11]"
KAB. BIREUEN,1002.1144375921278,"[101, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,1020.2231109502245,"[101, 81, 80, 13]"
KAB. NAGAN RAYA,1020.3686749609317,"[101, 81, 14]"
KAB. PIDIE,1102.8590811944237,"[101, 100, 37, 15]"
KAB. PIDIE JAYA,1118.559484471324,"[101, 81, 30, 26, 16]"
KAB. SIMEULUE,988.2795474695572,"[101, 81, 17]"
KOTA BANDA ACEH,1320.4689176541362,"[101, 81, 17, 18]"
KOTA LANGSA,1011.7329449210058,"[101, 100, 37, 19]"
KOTA LHOKSEUMAWE,957.2127601884699,"[101, 8, 7, 20]"
KOTA SABANG,1173.360299957148,"[101, 8, 7, 20, 21]"
KOTA SUBULUSSALAM,866.2052735070357,"[101, 81, 30, 29, 27, 22]"
KAB. ASAHAN,946.4192135851781,"[101, 102, 50, 23]"
KAB. BATUBARA,956.1578605121516,"[101, 81, 30, 29, 25, 24]"
KAB. DAIRI,814.7976890988183,"[101, 81, 30, 29, 25]"
KAB. DELI SERDANG,780.0400179581814,"[101, 81, 30, 26]"
KAB. HUMBANG HASUNDUTAN,773.6097769674565,"[101, 81, 30, 29, 27]"
KAB. KARO,795.4138561811033,"[101, 81, 30, 28]"
KAB. LABUHANBATU,595.3062486772124,"[101, 81, 30, 29]"
KAB. LABUHANBATU SELATAN,543.7006832214727,"[101, 81, 30]"
KAB. LABUHANBATU UTARA,609.0748789082675,"[101, 81, 30, 31]"
KAB. LANGKAT,846.5507809666818,"[101, 81, 30, 31, 32]"
KAB. MANDAILING NATAL,879.8758437545955,"[101, 81, 80, 74, 63, 33]"
KAB. NIAS,765.1575282182755,"[101, 81, 62, 34]"
KAB. NIAS BARAT,789.2153370606959,"[101, 100, 37, 36, 35]"
KAB. NIAS SELATAN,737.9775889208311,"[101, 100, 37, 36]"
KAB. NIAS UTARA,654.9380411374874,"[101, 100, 37]"
KAB. PADANG LAWAS,737.2381631866389,"[101, 81, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,791.8076481891146,"[101, 81, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,949.8814660845907,"[101, 81, 80, 74, 51, 41, 40]"
KAB. SAMOSIR,885.21185391463,"[101, 81, 80, 74, 51, 41]"
KAB. SERDANG BEDAGAI,969.4413467458673,"[101, 81, 80, 74, 51, 41, 42]"
KAB. SIMALUNGUN,938.2633054202809,"[101, 81, 80, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,814.8246250964312,"[101, 102, 47, 46, 45, 44]"
KAB. TAPANULI TENGAH,744.1804133698075,"[101, 102, 47, 46, 45]"
KAB. TAPANULI UTARA,695.1860292182931,"[101, 102, 47, 46]"
KAB. TOBA SAMOSIR,655.5121570015887,"[101, 102, 47]"
KOTA BINJAI,820.3135275204205,"[101, 102, 47, 48]"
KOTA GUNUNGSITOLI,822.5865924401395,"[101, 100, 37, 36, 35, 49]"
KOTA MEDAN,809.0063977417434,"[101, 102, 50]"
KOTA PADANGSIDEMPUAN,735.7630219625484,"[101, 81, 80, 74, 51]"
KOTA PEMATANGSIANTAR,914.8816192793845,"[101, 81, 80, 74, 51, 52]"
KOTA SIBOLGA,989.790381872732,"[101, 100, 99, 64, 65, 66, 53]"
KOTA TANJUNGBALAI,979.1405959770561,"[101, 81, 30, 28, 55, 54]"
KOTA TEBING TINGGI,897.4038483054978,"[101, 81, 30, 28, 55]"
KAB. AGAM,587.9789095690506,"[101, 81, 57, 56]"
KAB. DHARMASRAYA,399.16406958194204,"[101, 81, 57]"
KAB. KEPULAUAN MENTAWAI,655.5742812252533,"[101, 81, 80, 58]"
KAB. LIMA PULUH KOTA,634.7020285417049,"[101, 81, 62, 59]"
KAB. PADANG PARIAMAN,679.7878468933753,"[101, 81, 62, 61, 60]"
KAB. PASAMAN,593.4006721122997,"[101, 81, 62, 61]"
KAB. PASAMAN BARAT,533.7783797876111,"[101, 81, 62]"
KAB. PESISIR SELATAN,557.6466076605418,"[101, 81, 80, 74, 63]"
KAB. SIJUNJUNG,441.416704186797,"[101, 100, 99, 64]"
KAB. SOLOK,480.34099797110315,"[101, 100, 99, 64, 65]"
KAB. SOLOK SELATAN,544.6738570457552,"[101, 100, 99, 64, 65, 66]"
KAB. TANAH DATAR,493.7187209268557,"[101, 81, 80, 74, 73, 67]"
KOTA BUKITTINGGI,522.5915523487766,"[101, 81, 80, 74, 73, 67, 68]"
KOTA PADANG,594.2102169029822,"[101, 81, 80, 74, 73, 67, 68, 69]"
KOTA PADANGPANJANG,568.4004059658517,"[101, 81, 80, 74, 73, 71, 70]"
KOTA PARIAMAN,533.0367040449497,"[101, 81, 80, 74, 73, 71]"
KOTA PAYAKUMBUH,516.7715410912929,"[101, 81, 80, 74, 73, 72]"
KOTA SAWAHLUNTO,465.01275217166125,"[101, 81, 80, 74, 73]"
KOTA SOLOK,450.56868031138436,"[101, 81, 80, 74]"
KAB. BENGKALIS,717.7504736522137,"[101, 81, 80, 74, 75]"
KAB. INDRAGIRI HILIR,934.8542609965195,"[101, 100, 99, 79, 78, 77, 76]"
KAB. INDRAGIRI HULU,830.0435929771177,"[101, 100, 99, 79, 78, 77]"
KAB. KAMPAR,673.8098460039141,"[101, 100, 99, 79, 78]"
KAB. KEPULAUAN MERANTI,485.53581580338755,"[101, 100, 99, 79]"
KAB. KUANTAN SINGINGI,346.4318031787199,"[101, 81, 80]"
KAB. PELALAWAN,242.2514083476359,"[101, 81]"
KAB. ROKAN HILIR,474.61167368980267,"[101, 81, 82]"
KAB. ROKAN HULU,552.9336087499855,"[101, 81, 82, 83]"
KAB. SIAK,706.085261974707,"[101, 81, 82, 83, 84]"
KOTA DUMAI,810.9085238121983,"[101, 81, 82, 83, 84, 85]"
KOTA PEKANBARU,883.5681436111785,"[101, 100, 99, 87, 86]"
