city,distance,through
KAB. ACEH BARAT,3038.100688654754,"[412, 363, 357, 1, 0]"
KAB. ACEH BARAT DAYA,2918.408892021586,"[412, 363, 357, 1]"
KAB. ACEH BESAR,3168.7037342251165,"[412, 363, 357, 1, 2]"
KAB. ACEH JAYA,3188.1691054304197,"[412, 363, 320, 319, 4, 3]"
KAB. ACEH SELATAN,2937.7039236707815,"[412, 363, 320, 319, 4]"
KAB. ACEH SINGKIL,2915.3735662587915,"[412, 399, 449, 329, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,2893.3354478710016,"[412, 399, 449, 329, 315, 6]"
KAB. ACEH TENGAH,2937.1609050275033,"[412, 7]"
KAB. ACEH TENGGARA,2817.872419538947,"[412, 399, 362, 8]"
KAB. ACEH TIMUR,2943.6856998257535,"[412, 399, 449, 329, 315, 9]"
KAB. ACEH UTARA,2915.5981551813347,"[412, 363, 10]"
KAB. BENER MERIAH,2954.7193568808357,"[412, 363, 10, 11]"
KAB. BIREUEN,3005.7145304544574,"[412, 363, 10, 11, 12]"
KAB. GAYO LUES,2884.8858553024643,"[412, 363, 357, 13]"
KAB. NAGAN RAYA,2963.3864980393364,"[412, 14]"
KAB. PIDIE,3085.41186012352,"[412, 14, 15]"
KAB. PIDIE JAYA,3083.290653522463,"[412, 363, 357, 29, 16]"
KAB. SIMEULUE,3015.2325173671206,"[412, 363, 55, 17]"
KOTA BANDA ACEH,3164.4278531028394,"[412, 399, 351, 96, 97, 19, 18]"
KOTA LANGSA,2847.268197536733,"[412, 399, 351, 96, 97, 19]"
KOTA LHOKSEUMAWE,2930.8445364004965,"[412, 363, 20]"
KOTA SABANG,3146.9920761691747,"[412, 363, 20, 21]"
KOTA SUBULUSSALAM,2802.028429949328,"[412, 363, 357, 23, 22]"
KAB. ASAHAN,2610.8140250576726,"[412, 363, 357, 23]"
KAB. BATUBARA,2653.1466028580267,"[412, 363, 357, 23, 24]"
KAB. DAIRI,2762.232749733404,"[412, 363, 357, 29, 25]"
KAB. DELI SERDANG,2765.876482970277,"[412, 399, 351, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2721.044837602042,"[412, 363, 357, 29, 27]"
KAB. KARO,2761.3534131164006,"[412, 363, 55, 28]"
KAB. LABUHANBATU,2542.741309311798,"[412, 363, 357, 29]"
KAB. LABUHANBATU SELATAN,2529.537148233568,"[412, 399, 351, 30]"
KAB. LABUHANBATU UTARA,2594.911343920363,"[412, 399, 351, 30, 31]"
KAB. LANGKAT,2832.387245978777,"[412, 399, 351, 30, 31, 32]"
KAB. MANDAILING NATAL,2665.7618290336104,"[412, 399, 362, 39, 33]"
KAB. NIAS,2758.2249158097334,"[412, 62, 34]"
KAB. NIAS BARAT,2788.3510363085793,"[412, 62, 34, 35]"
KAB. NIAS SELATAN,2823.5122519053475,"[412, 399, 449, 450, 36]"
KAB. NIAS UTARA,2829.4150640681287,"[412, 57, 37]"
KAB. PADANG LAWAS,2623.1046469540074,"[412, 399, 362, 39, 38]"
KAB. PADANG LAWAS UTARA,2568.535161951532,"[412, 399, 362, 39]"
KAB. PAKPAK BHARAT,2756.993731597828,"[412, 399, 362, 39, 40]"
KAB. SAMOSIR,2768.1791100433843,"[412, 363, 320, 43, 42, 41]"
KAB. SERDANG BEDAGAI,2683.949617212147,"[412, 363, 320, 43, 42]"
KAB. SIMALUNGUN,2637.06355159936,"[412, 363, 320, 43]"
KAB. TAPANULI SELATAN,2614.5065839157082,"[412, 348, 79, 44]"
KAB. TAPANULI TENGAH,2685.150795642332,"[412, 348, 79, 44, 45]"
KAB. TAPANULI UTARA,2713.667441324642,"[412, 363, 320, 319, 46]"
KAB. TOBA SAMOSIR,2753.3413135413466,"[412, 363, 320, 319, 46, 47]"
KOTA BINJAI,2755.64850162946,"[412, 363, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,2809.2422219928185,"[412, 363, 357, 49]"
KOTA MEDAN,2748.226840901107,"[412, 363, 357, 23, 50]"
KOTA PADANGSIDEMPUAN,2744.5968715697436,"[412, 363, 320, 74, 51]"
KOTA PEMATANGSIANTAR,2660.4452377402563,"[412, 363, 320, 43, 52]"
KOTA SIBOLGA,2736.946769798665,"[412, 348, 79, 78, 53]"
KOTA TANJUNGBALAI,2741.100168663564,"[412, 363, 55, 54]"
KOTA TEBING TINGGI,2659.363420992006,"[412, 363, 55]"
KAB. AGAM,2476.76820133801,"[412, 57, 56]"
KAB. DHARMASRAYA,2287.953361350901,"[412, 57]"
KAB. KEPULAUAN MENTAWAI,2589.1676181531425,"[412, 57, 58]"
KAB. LIMA PULUH KOTA,2501.309446607177,"[412, 399, 449, 321, 322, 59]"
KAB. PADANG PARIAMAN,2451.9454545839108,"[412, 348, 60]"
KAB. PASAMAN,2518.0546063724864,"[412, 399, 449, 61]"
KAB. PASAMAN BARAT,2526.845767379069,"[412, 62]"
KAB. PESISIR SELATAN,2526.012626148551,"[412, 399, 362, 361, 66, 65, 63]"
KAB. SIJUNJUNG,2480.662285028946,"[412, 399, 362, 361, 66, 65, 64]"
KAB. SOLOK,2441.73799124464,"[412, 399, 362, 361, 66, 65]"
KAB. SOLOK SELATAN,2377.405132169988,"[412, 399, 362, 361, 66]"
KAB. TANAH DATAR,2502.552570534051,"[412, 363, 320, 74, 73, 67]"
KOTA BUKITTINGGI,2492.857394928983,"[412, 363, 357, 68]"
KOTA PADANG,2489.5870363401204,"[412, 399, 449, 329, 106, 107, 69]"
KOTA PADANGPANJANG,2524.046215219795,"[412, 399, 362, 71, 70]"
KOTA PARIAMAN,2488.6825132988934,"[412, 399, 362, 71]"
KOTA PAYAKUMBUH,2494.7704649750776,"[412, 399, 449, 329, 106, 107, 72]"
KOTA SAWAHLUNTO,2473.8466017788564,"[412, 363, 320, 74, 73]"
KOTA SOLOK,2459.4025299185796,"[412, 363, 320, 74]"
KAB. BENGKALIS,2532.602050366646,"[412, 399, 449, 329, 330, 341, 76, 75]"
KAB. INDRAGIRI HILIR,2301.5056347934724,"[412, 399, 449, 329, 330, 341, 76]"
KAB. INDRAGIRI HULU,2285.09041566446,"[412, 399, 449, 329, 77]"
KAB. KAMPAR,2419.0234435045795,"[412, 348, 79, 78]"
KAB. KEPULAUAN MERANTI,2230.7494133040527,"[412, 348, 79]"
KAB. KUANTAN SINGINGI,2410.336299672591,"[412, 399, 449, 329, 336, 80]"
KAB. PELALAWAN,2444.8660225852072,"[412, 57, 81]"
KAB. ROKAN HILIR,2576.309980309808,"[412, 399, 362, 352, 353, 87, 88, 82]"
KAB. ROKAN HULU,2500.534687483233,"[412, 399, 449, 321, 84, 83]"
KAB. SIAK,2347.3830342585115,"[412, 399, 449, 321, 84]"
KOTA DUMAI,2431.041654481923,"[412, 399, 449, 329, 85]"
KOTA PEKANBARU,2381.429288542947,"[412, 399, 449, 321, 86]"
KAB. BINTAN,2142.717726313854,"[412, 399, 362, 352, 353, 87]"
KAB. KARIMUN,2270.7609248399317,"[412, 399, 362, 352, 353, 87, 88]"
KAB. KEPULAUAN ANAMBAS,2126.7255926648068,"[412, 399, 449, 448, 447, 89]"
KAB. LINGGA,2011.9406797115003,"[412, 399, 362, 90]"
KAB. NATUNA,1977.402508887371,"[412, 399, 400, 332, 333, 91]"
KOTA BATAM,2228.9708319032616,"[412, 411, 93, 92]"
KOTA TANJUNG PINANG,2177.3229318392728,"[412, 411, 93]"
PULAU TAMBELAN KAB. BINTAN,1886.091597417102,"[412, 399, 400, 332, 333, 334, 94]"
PEKAJANG KAB. LINGGA,2165.973096113929,"[412, 399, 351, 96, 95]"
PULAU SERASAN KAB. NATUNA,1596.2098436535935,"[412, 399, 351, 96]"
PULAU MIDAI KAB. NATUNA,1747.6264562492095,"[412, 399, 351, 96, 97]"
PULAU LAUT KAB. NATUNA,1825.1296287194923,"[412, 399, 362, 98]"
KAB. BATANGHARI,2462.0151222098116,"[412, 399, 449, 321, 100, 99]"
KAB. BUNGO,2329.2432895951315,"[412, 399, 449, 321, 100]"
KAB. KERINCI,2372.2057860834516,"[412, 399, 449, 102, 101]"
KAB. MERANGIN,2302.7299360795396,"[412, 399, 449, 102]"
KAB. MUARO JAMBI,2125.106482323156,"[412, 363, 357, 137, 138, 103]"
KAB. SAROLANGUN,2248.6604310201733,"[412, 399, 449, 321, 104]"
KAB. TANJUNG JABUNG BARAT,2127.111020605753,"[412, 399, 105]"
KAB. TANJUNG JABUNG TIMUR,2107.3932658056747,"[412, 399, 449, 329, 106]"
KAB. TEBO,2272.3185090645434,"[412, 399, 449, 329, 106, 107]"
KOTA JAMBI,2168.4672983151613,"[412, 399, 449, 448, 108]"
KOTA SUNGAI PENUH,2383.7347485396795,"[412, 399, 400, 135, 109]"
KAB. BENGKULU SELATAN,2231.7009600266065,"[412, 399, 400, 378, 110]"
KAB. BENGKULU TENGAH,2323.0786555138247,"[412, 399, 449, 329, 330, 341, 149, 111]"
KAB. BENGKULU UTARA,2290.775362955948,"[412, 113, 112]"
KAB. KAUR,2091.200816265083,"[412, 113]"
KAB. KEPAHIANG,2212.1011939237005,"[412, 113, 114]"
KAB. LEBONG,2284.858567094584,"[412, 113, 114, 115]"
KAB. MUKOMUKO,2348.6732047766136,"[412, 363, 116]"
KAB. REJANG LEBONG,2223.1328740330746,"[412, 363, 117]"
KAB. SELUMA,2218.415603546732,"[412, 399, 400, 118]"
KOTA BENGKULU,2276.202623720932,"[412, 399, 400, 118, 119]"
KAB. BANYUASIN,2218.4357095311043,"[412, 399, 217, 195, 153, 120]"
KAB. EMPAT LAWANG,2212.623916231882,"[412, 399, 362, 361, 122, 121]"
KAB. LAHAT,2160.823825234953,"[412, 399, 362, 361, 122]"
KAB. MUARA ENIM,2165.2684715449227,"[412, 399, 400, 332, 331, 139, 140, 123]"
KAB. MUSI BANYUASIN,2127.402896237991,"[412, 399, 400, 332, 124]"
KAB. MUSI RAWAS,2181.370585288471,"[412, 399, 400, 125]"
KAB. MUSI RAWAS UTARA,2234.708197407451,"[412, 399, 400, 125, 126]"
