city,distance,through
KAB. ACEH BARAT,2403.523207775891,"[335, 51, 0]"
KAB. ACEH BARAT DAYA,2446.971574745521,"[335, 334, 333, 332, 331, 139, 140, 1]"
KAB. ACEH BESAR,2608.678291017805,"[335, 334, 333, 346, 347, 4, 3, 2]"
KAB. ACEH JAYA,2532.374817680706,"[335, 334, 333, 346, 347, 4, 3]"
KAB. ACEH SELATAN,2281.909635921068,"[335, 334, 333, 346, 347, 4]"
KAB. ACEH SINGKIL,2171.7845957430923,"[335, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,2249.6888870525486,"[335, 334, 321, 86, 6]"
KAB. ACEH TENGAH,2324.6126159869127,"[335, 334, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,2286.02593036143,"[335, 336, 137, 8]"
KAB. ACEH TIMUR,2296.672289636863,"[335, 334, 333, 346, 345, 9]"
KAB. ACEH UTARA,2329.9897465448207,"[335, 334, 42, 11, 10]"
KAB. BENER MERIAH,2290.86854484532,"[335, 334, 42, 11]"
KAB. BIREUEN,2328.3978144133957,"[335, 334, 94, 12]"
KAB. GAYO LUES,2357.494923050185,"[335, 336, 137, 13]"
KAB. NAGAN RAYA,2312.4406703736736,"[335, 29, 25, 14]"
KAB. PIDIE,2421.732267020983,"[335, 29, 16, 15]"
KAB. PIDIE JAYA,2392.200870388402,"[335, 29, 16]"
KAB. SIMEULUE,2354.455510436574,"[335, 334, 55, 17]"
KOTA BANDA ACEH,2557.8215474548165,"[335, 334, 321, 84, 39, 18]"
KOTA LANGSA,2241.723205567496,"[335, 344, 19]"
KOTA LHOKSEUMAWE,2341.888086626338,"[335, 29, 28, 20]"
KOTA SABANG,2558.035626395016,"[335, 29, 28, 20, 21]"
KOTA SUBULUSSALAM,2122.550551007561,"[335, 29, 27, 22]"
KAB. ASAHAN,2031.7258778260848,"[335, 334, 94, 93, 92, 24, 23]"
KAB. BATUBARA,1989.3933000257307,"[335, 334, 94, 93, 92, 24]"
KAB. DAIRI,2071.1429665993433,"[335, 29, 25]"
KAB. DELI SERDANG,2087.853306440438,"[335, 334, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2029.9550544679814,"[335, 29, 27]"
KAB. KARO,2079.563374389999,"[335, 29, 28]"
KAB. LABUHANBATU,1851.6515261777372,"[335, 29]"
KAB. LABUHANBATU SELATAN,1851.5139717037289,"[335, 334, 321, 30]"
KAB. LABUHANBATU UTARA,1916.8881673905237,"[335, 334, 321, 30, 31]"
KAB. LANGKAT,2154.364069448938,"[335, 334, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,2004.017385728593,"[335, 334, 321, 84, 39, 33]"
KAB. NIAS,2103.694433320687,"[335, 106, 107, 62, 34]"
KAB. NIAS BARAT,2133.820553819533,"[335, 106, 107, 62, 34, 35]"
KAB. NIAS SELATAN,2185.058301959398,"[335, 106, 107, 62, 34, 35, 36]"
KAB. NIAS UTARA,2210.9125988427413,"[335, 334, 333, 38, 37]"
KAB. PADANG LAWAS,1941.249230014737,"[335, 334, 333, 38]"
KAB. PADANG LAWAS UTARA,1906.790718646514,"[335, 334, 321, 84, 39]"
KAB. PAKPAK BHARAT,2095.2492882928104,"[335, 334, 321, 84, 39, 40]"
KAB. SAMOSIR,2065.637560379798,"[335, 51, 41]"
KAB. SERDANG BEDAGAI,2009.4104636536024,"[335, 334, 42]"
KAB. SIMALUNGUN,1986.6429694092226,"[335, 334, 321, 320, 43]"
KAB. TAPANULI SELATAN,1993.3172678669325,"[335, 106, 107, 44]"
KAB. TAPANULI TENGAH,2063.9614795935563,"[335, 106, 107, 44, 45]"
KAB. TAPANULI UTARA,2063.246859134505,"[335, 334, 321, 320, 319, 46]"
KAB. TOBA SAMOSIR,2102.9207313512097,"[335, 334, 321, 320, 319, 46, 47]"
KOTA BINJAI,2105.2279194393227,"[335, 334, 321, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,2167.1918091989764,"[335, 106, 107, 62, 34, 35, 49]"
KOTA MEDAN,2169.1386936695194,"[335, 334, 94, 93, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,1916.1887284277161,"[335, 51]"
KOTA PEMATANGSIANTAR,2010.024655550119,"[335, 334, 321, 320, 43, 52]"
