city,distance,through
KAB. ACEH BARAT,2265.287780565381,"[357, 1, 0]"
KAB. ACEH BARAT DAYA,2145.595983932213,"[357, 1]"
KAB. ACEH BESAR,2395.8908261357437,"[357, 1, 2]"
KAB. ACEH JAYA,2462.706094361307,"[357, 79, 78, 4, 3]"
KAB. ACEH SELATAN,2212.2409126016687,"[357, 79, 78, 4]"
KAB. ACEH SINGKIL,2200.838004741796,"[357, 137, 66, 5]"
KAB. ACEH TAMIANG,2243.446876480992,"[357, 137, 86, 6]"
KAB. ACEH TENGAH,2294.6326109613487,"[357, 29, 30, 26, 7]"
KAB. ACEH TENGGARA,2196.5367228819805,"[357, 137, 8]"
KAB. ACEH TIMUR,2331.8148945542725,"[357, 137, 8, 9]"
KAB. ACEH UTARA,2351.3964831861063,"[357, 13, 12, 11, 10]"
KAB. BENER MERIAH,2312.2752814866053,"[357, 13, 12, 11]"
KAB. BIREUEN,2261.2801079129836,"[357, 13, 12]"
KAB. GAYO LUES,2112.0729472130915,"[357, 13]"
KAB. NAGAN RAYA,2209.1677842981103,"[357, 13, 14]"
KAB. PIDIE,2331.193146382294,"[357, 13, 14, 15]"
KAB. PIDIE JAYA,2310.4777454330897,"[357, 29, 16]"
KAB. SIMEULUE,2381.464162946394,"[357, 79, 61, 59, 17]"
KOTA BANDA ACEH,2574.3402032111,"[357, 137, 86, 6, 18]"
KOTA LANGSA,2381.6361831514027,"[357, 29, 28, 20, 19]"
KOTA LHOKSEUMAWE,2260.164961671026,"[357, 29, 28, 20]"
KOTA SABANG,2447.6675889587973,"[357, 1, 2, 21]"
KOTA SUBULUSSALAM,2029.2155218599553,"[357, 23, 22]"
KAB. ASAHAN,1838.0011169683,"[357, 23]"
KAB. BATUBARA,1880.3336947686541,"[357, 23, 24]"
KAB. DAIRI,1989.419841644031,"[357, 29, 25]"
KAB. DELI SERDANG,2057.873301414874,"[357, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1948.2319295126695,"[357, 29, 27]"
KAB. KARO,1997.840249434687,"[357, 29, 28]"
KAB. LABUHANBATU,1769.9284012224252,"[357, 29]"
KAB. LABUHANBATU SELATAN,1821.533966678165,"[357, 29, 30]"
KAB. LABUHANBATU UTARA,1886.9081623649597,"[357, 29, 30, 31]"
KAB. LANGKAT,2124.384064423374,"[357, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,2063.6564678164063,"[357, 29, 38, 39, 33]"
KAB. NIAS,2050.93479674636,"[357, 79, 62, 34]"
KAB. NIAS BARAT,2069.8005692828892,"[357, 49, 35]"
KAB. NIAS SELATAN,2121.038317422754,"[357, 49, 35, 36]"
KAB. NIAS UTARA,2181.523684559856,"[357, 29, 38, 37]"
KAB. PADANG LAWAS,1911.8603157318516,"[357, 29, 38]"
KAB. PADANG LAWAS UTARA,1966.4298007343275,"[357, 29, 38, 39]"
KAB. PAKPAK BHARAT,2154.888370380624,"[357, 29, 38, 39, 40]"
KAB. SAMOSIR,2144.0335084483513,"[357, 79, 44, 43, 42, 41]"
KAB. SERDANG BEDAGAI,2059.804015617114,"[357, 79, 44, 43, 42]"
KAB. SIMALUNGUN,2012.917950004327,"[357, 79, 44, 43]"
KAB. TAPANULI SELATAN,1857.1672162532934,"[357, 79, 44]"
KAB. TAPANULI TENGAH,1927.811427979917,"[357, 79, 44, 45]"
KAB. TAPANULI UTARA,1972.8271365914143,"[357, 79, 78, 46]"
KAB. TOBA SAMOSIR,2012.5010088081187,"[357, 79, 78, 46, 47]"
KOTA BINJAI,2131.502900034427,"[357, 79, 44, 43, 52, 48]"
KOTA GUNUNGSITOLI,2036.4293139034457,"[357, 49]"
KOTA MEDAN,1975.4139328117346,"[357, 23, 50]"
KOTA PADANGSIDEMPUAN,2060.4439631807168,"[357, 79, 80, 74, 51]"
KOTA PEMATANGSIANTAR,2036.2996361452233,"[357, 79, 44, 43, 52]"
KOTA SIBOLGA,1979.6074021362506,"[357, 79, 78, 53]"
KOTA TANJUNGBALAI,1992.0467609760253,"[357, 137, 138, 54]"
KOTA TEBING TINGGI,2073.7835086475834,"[357, 137, 138, 54, 55]"
KAB. AGAM,2081.6310754768147,"[357, 137, 136, 135, 109, 56]"
