city,distance,through
KAB. ACEH BARAT,2355.477606373497,"[359, 323, 0]"
KAB. ACEH BARAT DAYA,2361.806949515255,"[359, 358, 357, 1]"
KAB. ACEH BESAR,2612.1017917187855,"[359, 358, 357, 1, 2]"
KAB. ACEH JAYA,2544.4445507071755,"[359, 347, 4, 3]"
KAB. ACEH SELATAN,2293.9793689475373,"[359, 347, 4]"
KAB. ACEH SINGKIL,2316.883037374906,"[359, 80, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,2403.0930621176017,"[359, 7, 6]"
KAB. ACEH TENGAH,2271.4155368818247,"[359, 7]"
KAB. ACEH TENGGARA,2402.0651474387087,"[359, 80, 74, 73, 67, 8]"
KAB. ACEH TIMUR,2421.3018497473354,"[359, 351, 350, 87, 88, 9]"
KAB. ACEH UTARA,2446.122841235141,"[359, 351, 350, 87, 10]"
KAB. BENER MERIAH,2485.244042934642,"[359, 351, 350, 87, 10, 11]"
KAB. BIREUEN,2477.4910734960254,"[359, 358, 357, 13, 12]"
KAB. GAYO LUES,2328.2839127961333,"[359, 358, 357, 13]"
KAB. NAGAN RAYA,2421.2343926624367,"[359, 351, 30, 29, 25, 14]"
KAB. PIDIE,2471.5035064365707,"[359, 360, 22, 15]"
KAB. PIDIE JAYA,2483.698484260612,"[359, 351, 30, 26, 16]"
KAB. SIMEULUE,2501.4499353886085,"[359, 323, 322, 59, 17]"
KOTA BANDA ACEH,2543.730387880032,"[359, 351, 96, 97, 19, 18]"
KOTA LANGSA,2226.570732313926,"[359, 351, 96, 97, 19]"
KOTA LHOKSEUMAWE,2348.0419537943026,"[359, 351, 96, 97, 19, 20]"
KOTA SABANG,2564.1894935629807,"[359, 351, 96, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,2129.4838663937044,"[359, 360, 22]"
KAB. ASAHAN,2054.212082551342,"[359, 358, 357, 23]"
KAB. BATUBARA,2096.544660351696,"[359, 358, 357, 23, 24]"
KAB. DAIRI,2179.9366888881063,"[359, 351, 30, 29, 25]"
KAB. DELI SERDANG,2145.1790177474695,"[359, 351, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2138.7487767567445,"[359, 351, 30, 29, 27]"
