city,distance,through
KAB. ACEH BARAT,2238.784386945229,"[245, 100, 0]"
KAB. ACEH BARAT DAYA,2211.924262662552,"[245, 247, 248, 230, 165, 1]"
KAB. ACEH BESAR,2357.045600934322,"[245, 78, 4, 3, 2]"
KAB. ACEH JAYA,2280.7421275972233,"[245, 78, 4, 3]"
KAB. ACEH SELATAN,2030.2769458375851,"[245, 78, 4]"
KAB. ACEH SINGKIL,1960.3102707638682,"[245, 104, 107, 72, 5]"
KAB. ACEH TAMIANG,2164.274307686331,"[245, 161, 129, 6]"
KAB. ACEH TENGAH,2165.3980253412947,"[245, 205, 85, 7]"
KAB. ACEH TENGGARA,2075.3970039478104,"[245, 100, 101, 8]"
KAB. ACEH TIMUR,2210.6751756201024,"[245, 100, 101, 8, 9]"
KAB. ACEH UTARA,2207.6819071600294,"[245, 104, 10]"
KAB. BENER MERIAH,2173.6388674350655,"[245, 205, 43, 42, 11]"
KAB. BIREUEN,2224.6340410086873,"[245, 205, 43, 42, 11, 12]"
KAB. GAYO LUES,2184.9605830443206,"[245, 104, 107, 69, 70, 13]"
KAB. NAGAN RAYA,2199.620735498305,"[245, 28, 25, 14]"
KAB. PIDIE,2303.688657104867,"[245, 78, 53, 16, 15]"
KAB. PIDIE JAYA,2274.1572604722865,"[245, 78, 53, 16]"
KAB. SIMEULUE,2214.165595181549,"[245, 247, 248, 230, 165, 164, 114, 17]"
KOTA BANDA ACEH,2447.6938985268425,"[245, 247, 248, 230, 18]"
KOTA LANGSA,2196.9160011212284,"[245, 247, 248, 230, 165, 19]"
KOTA LHOKSEUMAWE,2194.2167098969016,"[245, 28, 20]"
KOTA SABANG,2408.8223637573756,"[245, 78, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,1984.0386351766333,"[245, 205, 85, 27, 22]"
KAB. ASAHAN,1993.782694166226,"[245, 247, 248, 93, 92, 24, 23]"
KAB. BATUBARA,1951.450116365872,"[245, 247, 248, 93, 92, 24]"
KAB. DAIRI,1958.3230317239743,"[245, 28, 25]"
KAB. DELI SERDANG,1976.5198910870015,"[245, 104, 107, 26]"
KAB. HUMBANG HASUNDUTAN,1891.443138637054,"[245, 205, 85, 27]"
KAB. KARO,1931.8919976605625,"[245, 28]"
KAB. LABUHANBATU,1779.9882191210056,"[245, 247, 29]"
KAB. LABUHANBATU SELATAN,1798.506350970295,"[245, 78, 84, 30]"
KAB. LABUHANBATU UTARA,1863.8805466570898,"[245, 78, 84, 30, 31]"
KAB. LANGKAT,2068.295259159143,"[245, 78, 46, 45, 32]"
KAB. MANDAILING NATAL,1768.8127104307011,"[245, 161, 33]"
KAB. NIAS,1892.220108341463,"[245, 104, 107, 62, 34]"
KAB. NIAS BARAT,1922.346228840309,"[245, 104, 107, 62, 34, 35]"
KAB. NIAS SELATAN,1973.583976980174,"[245, 104, 107, 62, 34, 35, 36]"
KAB. NIAS UTARA,1906.6163644444841,"[245, 100, 37]"
KAB. PADANG LAWAS,1848.1554210390143,"[245, 264, 194, 195, 38]"
KAB. PADANG LAWAS UTARA,1837.196419034321,"[245, 78, 84, 39]"
KAB. PAKPAK BHARAT,1982.1488145851076,"[245, 104, 107, 72, 41, 40]"
KAB. SAMOSIR,1917.4792024151468,"[245, 104, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1892.1807862433482,"[245, 205, 43, 42]"
KAB. SIMALUNGUN,1845.294720630561,"[245, 205, 43]"
