city,distance,through
KAB. ACEH BARAT,1502.0997258765883,"[148, 100, 0]"
KAB. ACEH BARAT DAYA,1597.0816701056401,"[148, 149, 139, 140, 1]"
KAB. ACEH BESAR,1658.731745201358,"[148, 149, 4, 3, 2]"
KAB. ACEH JAYA,1582.4282718642594,"[148, 149, 4, 3]"
KAB. ACEH SELATAN,1331.963090104621,"[148, 149, 4]"
KAB. ACEH SINGKIL,1241.5216753195054,"[148, 63, 72, 5]"
KAB. ACEH TAMIANG,1353.9326437483237,"[148, 59, 6]"
KAB. ACEH TENGAH,1485.610168984101,"[148, 59, 6, 7]"
KAB. ACEH TENGGARA,1331.5390761015724,"[148, 63, 74, 73, 67, 8]"
KAB. ACEH TIMUR,1436.6171861346534,"[148, 63, 9]"
KAB. ACEH UTARA,1502.4616503541906,"[148, 63, 33, 10]"
KAB. BENER MERIAH,1483.8216737096213,"[148, 149, 42, 11]"
KAB. BIREUEN,1534.8168472832429,"[148, 149, 42, 11, 12]"
KAB. GAYO LUES,1450.0756357481894,"[148, 147, 115, 116, 69, 70, 13]"
KAB. NAGAN RAYA,1481.6805739939962,"[148, 63, 25, 14]"
KAB. PIDIE,1603.7059360781795,"[148, 63, 25, 14, 15]"
KAB. PIDIE JAYA,1585.4438035687213,"[148, 63, 74, 16]"
KAB. SIMEULUE,1389.3969150739495,"[148, 59, 17]"
KOTA BANDA ACEH,1666.0448963401627,"[148, 149, 18]"
KOTA LANGSA,1526.7266071593624,"[148, 100, 37, 19]"
KOTA LHOKSEUMAWE,1495.606318927285,"[148, 100, 20]"
KOTA SABANG,1710.5085080244116,"[148, 149, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,1340.9492872307055,"[148, 63, 65, 49, 22]"
KAB. ASAHAN,1260.7486511877016,"[148, 63, 24, 23]"
KAB. BATUBARA,1218.4160733873475,"[148, 63, 24]"
KAB. DAIRI,1240.3828702196658,"[148, 63, 25]"
KAB. DELI SERDANG,1277.0502176346251,"[148, 63, 51, 26]"
KAB. HUMBANG HASUNDUTAN,1322.569028941351,"[148, 57, 81, 30, 29, 27]"
KAB. KARO,1266.8139042830776,"[148, 63, 25, 28]"
KAB. LABUHANBATU,1144.265500651107,"[148, 57, 81, 30, 29]"
KAB. LABUHANBATU SELATAN,1092.6599351953673,"[148, 57, 81, 30]"
KAB. LABUHANBATU UTARA,1158.0341308821621,"[148, 57, 81, 30, 31]"
KAB. LANGKAT,1341.248855559692,"[148, 63, 33, 32]"
KAB. MANDAILING NATAL,974.7023127190432,"[148, 63, 33]"
KAB. NIAS,1141.1717314129512,"[148, 63, 62, 34]"
KAB. NIAS BARAT,1171.2978519117974,"[148, 63, 62, 34, 35]"
KAB. NIAS SELATAN,1202.318173401879,"[148, 57, 58, 36]"
KAB. NIAS UTARA,1169.9317033758439,"[148, 100, 37]"
KAB. PADANG LAWAS,1126.498464803598,"[148, 63, 33, 39, 38]"
KAB. PADANG LAWAS UTARA,1071.928979801122,"[148, 63, 33, 39]"
KAB. PAKPAK BHARAT,1254.8342918304877,"[148, 63, 51, 41, 40]"
KAB. SAMOSIR,1190.1646796605269,"[148, 63, 51, 41]"
KAB. SERDANG BEDAGAI,1202.3635925179037,"[148, 149, 42]"
KAB. SIMALUNGUN,1232.782336479254,"[148, 63, 33, 39, 43]"
KAB. TAPANULI SELATAN,1246.7144572748184,"[148, 63, 74, 73, 46, 45, 44]"
KAB. TAPANULI TENGAH,1176.0702455481949,"[148, 63, 74, 73, 46, 45]"
