city,distance,through
KAB. ACEH BARAT,1144.6674134638629,"[32, 45, 44, 43, 52, 51, 0]"
KAB. ACEH BARAT DAYA,1155.7276392951055,"[32, 45, 20, 21, 2, 1]"
KAB. ACEH BESAR,905.432797091575,"[32, 45, 20, 21, 2]"
KAB. ACEH JAYA,981.7362704286738,"[32, 45, 20, 21, 2, 3]"
KAB. ACEH SELATAN,1104.4798476790115,"[32, 31, 30, 70, 4]"
KAB. ACEH SINGKIL,1066.344759074933,"[32, 45, 20, 7, 6, 5]"
KAB. ACEH TAMIANG,857.4609978842834,"[32, 45, 20, 7, 6]"
KAB. ACEH TENGAH,725.7834726485062,"[32, 45, 20, 7]"
KAB. ACEH TENGGARA,884.5914981300876,"[32, 45, 20, 7, 8]"
KAB. ACEH TIMUR,888.8881332504485,"[32, 45, 44, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,822.2979991619609,"[32, 45, 44, 43, 42, 11, 10]"
KAB. BENER MERIAH,783.1767974624602,"[32, 45, 44, 43, 42, 11]"
KAB. BIREUEN,787.3329158508168,"[32, 45, 44, 12]"
KAB. GAYO LUES,912.3396444819039,"[32, 31, 30, 29, 25, 14, 13]"
KAB. NAGAN RAYA,815.2448073968851,"[32, 31, 30, 29, 25, 14]"
KAB. PIDIE,891.4555555843915,"[32, 31, 30, 15]"
KAB. PIDIE JAYA,877.7088989950605,"[32, 31, 30, 26, 16]"
KAB. SIMEULUE,1012.4223592043486,"[32, 31, 30, 28, 55, 17]"
KOTA BANDA ACEH,1076.1393715463264,"[32, 45, 20, 19, 18]"
KOTA LANGSA,758.9797159802202,"[32, 45, 20, 19]"
KOTA LHOKSEUMAWE,637.5084944998434,"[32, 45, 20]"
KOTA SABANG,853.6560342685215,"[32, 45, 20, 21]"
KOTA SUBULUSSALAM,625.3546880307722,"[32, 31, 30, 29, 27, 22]"
KAB. ASAHAN,757.6398528362422,"[32, 31, 30, 29, 25, 24, 23]"
KAB. BATUBARA,715.3072750358881,"[32, 31, 30, 29, 25, 24]"
KAB. DAIRI,573.9471036225548,"[32, 31, 30, 29, 25]"
KAB. DELI SERDANG,539.1894324819178,"[32, 31, 30, 26]"
KAB. HUMBANG HASUNDUTAN,532.759191491193,"[32, 31, 30, 29, 27]"
KAB. KARO,554.5632707048396,"[32, 31, 30, 28]"
KAB. LABUHANBATU,354.45566320094883,"[32, 31, 30, 29]"
KAB. LABUHANBATU SELATAN,302.85009774520915,"[32, 31, 30]"
KAB. LABUHANBATU UTARA,237.47590205841436,"[32, 31]"
KAB. LANGKAT,0.0,[32]
KAB. MANDAILING NATAL,366.54654284064884,"[32, 33]"
KAB. NIAS,551.2782026279683,"[32, 33, 34]"
KAB. NIAS BARAT,581.4043231268143,"[32, 33, 34, 35]"
KAB. NIAS SELATAN,632.6420712666792,"[32, 33, 34, 35, 36]"
KAB. NIAS UTARA,715.6816190500228,"[32, 33, 34, 35, 36, 37]"
KAB. PADANG LAWAS,496.38757771037535,"[32, 31, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,463.77320992272763,"[32, 33, 39]"
KAB. PAKPAK BHARAT,650.6178212719407,"[32, 45, 44, 43, 42, 41, 40]"
KAB. SAMOSIR,585.94820910198,"[32, 45, 44, 43, 42, 41]"
KAB. SERDANG BEDAGAI,501.7187162707426,"[32, 45, 44, 43, 42]"
KAB. SIMALUNGUN,454.83265065795547,"[32, 45, 44, 43]"
KAB. TAPANULI SELATAN,299.081916906922,"[32, 45, 44]"
KAB. TAPANULI TENGAH,228.43770518029834,"[32, 45]"
KAB. TAPANULI UTARA,277.43208933181273,"[32, 45, 46]"
KAB. TOBA SAMOSIR,317.1059615485172,"[32, 45, 46, 47]"
KOTA BINJAI,481.90733206734905,"[32, 45, 46, 47, 48]"
KOTA GUNUNGSITOLI,614.775578506258,"[32, 33, 34, 35, 49]"
KOTA MEDAN,895.0526686796769,"[32, 31, 30, 29, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,657.332934115688,"[32, 45, 44, 43, 52, 51]"
KOTA PEMATANGSIANTAR,478.21433679885183,"[32, 45, 44, 43, 52]"
KOTA SIBOLGA,618.9007315655624,"[32, 45, 44, 43, 52, 53]"
KOTA TANJUNGBALAI,738.2900105007925,"[32, 31, 30, 28, 55, 54]"
KOTA TEBING TINGGI,656.5532628292342,"[32, 31, 30, 28, 55]"
KAB. AGAM,946.812543873495,"[32, 45, 46, 47, 48, 56]"
KAB. DHARMASRAYA,761.2120338533521,"[32, 31, 30, 81, 57]"
KAB. KEPULAUAN MENTAWAI,847.7674630025823,"[32, 45, 46, 73, 58]"
KAB. LIMA PULUH KOTA,883.5809998127264,"[32, 33, 34, 62, 59]"
KAB. PADANG PARIAMAN,928.6668181643969,"[32, 33, 34, 62, 61, 60]"
KAB. PASAMAN,842.2796433833213,"[32, 33, 34, 62, 61]"
KAB. PASAMAN BARAT,782.6573510586327,"[32, 33, 34, 62]"
KAB. PESISIR SELATAN,688.7757789347027,"[32, 33, 63]"
