city,distance,through
KAB. ACEH BARAT,710.0925482184066,"[59, 62, 0]"
KAB. ACEH BARAT DAYA,829.7843448515748,"[59, 62, 0, 1]"
KAB. ACEH BESAR,854.7802803027189,"[59, 62, 4, 3, 2]"
KAB. ACEH JAYA,778.4768069656202,"[59, 62, 4, 3]"
KAB. ACEH SELATAN,528.0116252059819,"[59, 62, 4]"
KAB. ACEH SINGKIL,648.6823501465633,"[59, 62, 4, 5]"
KAB. ACEH TAMIANG,541.0273437496969,"[59, 6]"
KAB. ACEH TENGAH,672.7048689854741,"[59, 6, 7]"
KAB. ACEH TENGGARA,831.5128944670556,"[59, 6, 7, 8]"
KAB. ACEH TIMUR,916.7666890743224,"[59, 60, 42, 11, 10, 9]"
KAB. ACEH UTARA,850.1765549858347,"[59, 60, 42, 11, 10]"
KAB. BENER MERIAH,811.055353286334,"[59, 60, 42, 11]"
KAB. BIREUEN,862.0505268599557,"[59, 60, 42, 11, 12]"
KAB. GAYO LUES,924.8952670625846,"[59, 62, 34, 35, 49, 25, 14, 13]"
KAB. NAGAN RAYA,827.8004299775658,"[59, 62, 34, 35, 49, 25, 14]"
KAB. PIDIE,885.8436556511317,"[59, 17, 16, 15]"
KAB. PIDIE JAYA,856.3122590185511,"[59, 17, 16]"
KAB. SIMEULUE,576.4916150753227,"[59, 17]"
KOTA BANDA ACEH,871.9206704798046,"[59, 6, 18]"
KOTA LANGSA,853.501117390331,"[59, 62, 34, 35, 36, 37, 19]"
KOTA LHOKSEUMAWE,760.9798471341369,"[59, 6, 7, 20]"
KOTA SABANG,906.5570431257725,"[59, 62, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,558.4629929849589,"[59, 62, 34, 35, 49, 22]"
KAB. ASAHAN,749.6773978766141,"[59, 62, 34, 35, 49, 22, 23]"
KAB. BATUBARA,727.8628976165688,"[59, 62, 34, 35, 49, 25, 24]"
KAB. DAIRI,586.5027262032355,"[59, 62, 34, 35, 49, 25]"
KAB. DELI SERDANG,664.9331183507971,"[59, 62, 34, 35, 49, 25, 26]"
KAB. HUMBANG HASUNDUTAN,651.0584895245381,"[59, 62, 34, 35, 49, 22, 27]"
KAB. KARO,612.9337602666471,"[59, 62, 34, 35, 49, 25, 28]"
KAB. LABUHANBATU,745.5054605236454,"[59, 62, 81, 30, 29]"
KAB. LABUHANBATU SELATAN,693.8998950679057,"[59, 62, 81, 30]"
KAB. LABUHANBATU UTARA,759.2740907547005,"[59, 62, 81, 30, 31]"
KAB. LANGKAT,883.5809998127264,"[59, 62, 34, 33, 32]"
KAB. MANDAILING NATAL,517.0344569720776,"[59, 62, 34, 33]"
KAB. NIAS,332.30279718475805,"[59, 62, 34]"
KAB. NIAS BARAT,362.42891768360414,"[59, 62, 34, 35]"
KAB. NIAS SELATAN,413.666665823469,"[59, 62, 34, 35, 36]"
KAB. NIAS UTARA,496.70621360681264,"[59, 62, 34, 35, 36, 37]"
KAB. PADANG LAWAS,668.8306090566322,"[59, 62, 34, 33, 39, 38]"
KAB. PADANG LAWAS UTARA,614.2611240541564,"[59, 62, 34, 33, 39]"
KAB. PAKPAK BHARAT,678.4963770958146,"[59, 60, 42, 41, 40]"
KAB. SAMOSIR,613.8267649258539,"[59, 60, 42, 41]"
KAB. SERDANG BEDAGAI,529.5972720946165,"[59, 60, 42]"
KAB. SIMALUNGUN,572.1168694649097,"[59, 48, 52, 43]"
KAB. TAPANULI SELATAN,715.3196728410882,"[59, 61, 79, 44]"
KAB. TAPANULI TENGAH,707.0015463218602,"[59, 48, 47, 46, 45]"
KAB. TAPANULI UTARA,658.0071621703459,"[59, 48, 47, 46]"
KAB. TOBA SAMOSIR,618.3332899536414,"[59, 48, 47]"
KOTA BINJAI,453.53191943480954,"[59, 48]"
KOTA GUNUNGSITOLI,395.80017306304774,"[59, 62, 34, 35, 49]"
KOTA MEDAN,678.7244337680681,"[59, 62, 34, 35, 49, 50]"
KOTA PADANGSIDEMPUAN,661.8559851708953,"[59, 61, 63, 51]"
KOTA PEMATANGSIANTAR,548.7351833240133,"[59, 48, 52]"
KOTA SIBOLGA,689.4215780907239,"[59, 48, 52, 53]"
KOTA TANJUNGBALAI,796.6605000626,"[59, 62, 34, 35, 49, 25, 28, 55, 54]"
KOTA TEBING TINGGI,714.9237523910417,"[59, 62, 34, 35, 49, 25, 28, 55]"
KAB. AGAM,502.29834965672615,"[59, 109, 56]"
KAB. DHARMASRAYA,545.4394364809169,"[59, 58, 57]"
KAB. KEPULAUAN MENTAWAI,244.22517967867535,"[59, 58]"
KAB. LIMA PULUH KOTA,0.0,[59]
KAB. PADANG PARIAMAN,78.10240432615127,"[59, 60]"
KAB. PASAMAN,43.187716887964505,"[59, 61]"
KAB. PASAMAN BARAT,100.92364875409372,"[59, 62]"
KAB. PESISIR SELATAN,273.6132140874396,"[59, 61, 63]"
KAB. SIJUNJUNG,392.92010805923576,"[59, 61, 63, 64]"
KAB. SOLOK,357.88784899135067,"[59, 61, 63, 65]"
KAB. SOLOK SELATAN,422.2207080660027,"[59, 61, 63, 65, 66]"
KAB. TANAH DATAR,423.84118205206846,"[59, 61, 63, 74, 73, 67]"
KOTA BUKITTINGGI,452.7140134739894,"[59, 61, 63, 74, 73, 67, 68]"
KOTA PADANG,524.332678028195,"[59, 61, 63, 74, 73, 67, 68, 69]"
KOTA PADANGPANJANG,498.52286709106437,"[59, 61, 63, 74, 73, 71, 70]"
KOTA PARIAMAN,463.1591651701624,"[59, 61, 63, 74, 73, 71]"
KOTA PAYAKUMBUH,442.05871149824134,"[59, 61, 63, 72]"
KOTA SAWAHLUNTO,395.135213296874,"[59, 61, 63, 74, 73]"
KOTA SOLOK,380.6911414365971,"[59, 61, 63, 74]"
KAB. BENGKALIS,647.8729347774265,"[59, 61, 63, 74, 75]"
KAB. INDRAGIRI HILIR,780.8809474225649,"[59, 61, 79, 78, 77, 76]"
KAB. INDRAGIRI HULU,676.070279403163,"[59, 61, 79, 78, 77]"
KAB. KAMPAR,519.8365324299594,"[59, 61, 79, 78]"
KAB. KEPULAUAN MERANTI,331.5625022294328,"[59, 61, 79]"
KAB. KUANTAN SINGINGI,484.82801856926153,"[59, 61, 63, 74, 80]"
KAB. PELALAWAN,392.450620194069,"[59, 62, 81]"
KAB. ROKAN HILIR,624.8108855362358,"[59, 62, 81, 82]"
KAB. ROKAN HULU,660.0034348152967,"[59, 88, 83]"
KAB. SIAK,622.1924045600913,"[59, 61, 79, 78, 84]"
KOTA DUMAI,727.0156663975825,"[59, 61, 79, 78, 84, 85]"
KOTA PEKANBARU,803.9810348352139,"[59, 88, 87, 86]"
KAB. BINTAN,456.99555987157277,"[59, 88, 87]"
KAB. KARIMUN,328.95236134549543,"[59, 88]"
KAB. KEPULAUAN ANAMBAS,689.3699523211646,"[59, 88, 89]"
KAB. LINGGA,1109.9933554597578,"[59, 88, 89, 90]"
KAB. NATUNA,1421.3215757425419,"[59, 109, 108, 93, 92, 91]"
KOTA BATAM,856.3793580950742,"[59, 109, 108, 93, 92]"
KOTA TANJUNG PINANG,804.7314580310856,"[59, 109, 108, 93]"
PULAU TAMBELAN KAB. BINTAN,1123.4320401823747,"[59, 109, 108, 93, 94]"
PEKAJANG KAB. LINGGA,896.1726676203958,"[59, 58, 95]"
PULAU SERASAN KAB. NATUNA,1198.477164303217,"[59, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,1349.893776898833,"[59, 322, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1524.4453059546918,"[59, 61, 79, 99, 98]"
KAB. BATANGHARI,627.5320233768464,"[59, 61, 79, 99]"
KAB. BUNGO,691.496490582999,"[59, 62, 81, 101, 100]"
KAB. KERINCI,634.702028541705,"[59, 62, 81, 101]"
KAB. MERANGIN,704.1778785456167,"[59, 62, 81, 101, 102]"
