city,distance,through
KAB. ACEH BARAT,2202.913022058017,"[247, 248, 230, 0]"
KAB. ACEH BARAT DAYA,2116.524039119153,"[247, 248, 230, 165, 1]"
KAB. ACEH BESAR,2364.241826505961,"[247, 248, 230, 123, 62, 4, 3, 2]"
KAB. ACEH JAYA,2287.9383531688622,"[247, 248, 230, 123, 62, 4, 3]"
KAB. ACEH SELATAN,2037.473171409224,"[247, 248, 230, 123, 62, 4]"
KAB. ACEH SINGKIL,1951.4325968945316,"[247, 248, 63, 72, 5]"
KAB. ACEH TAMIANG,2077.613534445516,"[247, 248, 230, 123, 124, 86, 6]"
KAB. ACEH TENGAH,2200.25802315818,"[247, 248, 63, 74, 73, 67, 8, 7]"
KAB. ACEH TENGGARA,2041.4499976765987,"[247, 248, 63, 74, 73, 67, 8]"
KAB. ACEH TIMUR,2139.2667291559465,"[247, 248, 109, 9]"
KAB. ACEH UTARA,2155.9312195636185,"[247, 248, 230, 10]"
KAB. BENER MERIAH,2195.0524212631194,"[247, 248, 230, 10, 11]"
KAB. BIREUEN,2246.047594836741,"[247, 248, 230, 10, 11, 12]"
KAB. GAYO LUES,2114.973987170035,"[247, 248, 230, 165, 164, 163, 13]"
KAB. NAGAN RAYA,2145.3771397735427,"[247, 29, 25, 14]"
KAB. PIDIE,2254.668736420852,"[247, 29, 16, 15]"
KAB. PIDIE JAYA,2225.137339788271,"[247, 29, 16]"
KAB. SIMEULUE,2118.76537163815,"[247, 248, 230, 165, 164, 114, 17]"
KOTA BANDA ACEH,2352.293674983443,"[247, 248, 230, 18]"
KOTA LANGSA,2101.5157775778293,"[247, 248, 230, 165, 19]"
KOTA LHOKSEUMAWE,2174.824556026207,"[247, 29, 28, 20]"
KOTA SABANG,2390.513014912022,"[247, 248, 173, 22, 21]"
KOTA SUBULUSSALAM,1934.8312861241288,"[247, 248, 173, 22]"
KAB. ASAHAN,1898.382470622827,"[247, 248, 93, 92, 24, 23]"
KAB. BATUBARA,1856.0498928224729,"[247, 248, 93, 92, 24]"
KAB. DAIRI,1904.0794359992124,"[247, 29, 25]"
KAB. DELI SERDANG,1972.532895770055,"[247, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1862.8915238678505,"[247, 29, 27]"
KAB. KARO,1912.499843789868,"[247, 29, 28]"
KAB. LABUHANBATU,1684.5879955776065,"[247, 29]"
KAB. LABUHANBATU SELATAN,1736.1935610333462,"[247, 29, 30]"
KAB. LABUHANBATU UTARA,1801.567756720141,"[247, 29, 30, 31]"
KAB. LANGKAT,2039.0436587785553,"[247, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,1684.6132342940696,"[247, 248, 63, 33]"
KAB. NIAS,1841.7643433880003,"[247, 248, 230, 123, 62, 34]"
KAB. NIAS BARAT,1871.8904638868464,"[247, 248, 230, 123, 62, 34, 35]"
KAB. NIAS SELATAN,1896.4042446917524,"[247, 248, 230, 167, 168, 169, 187, 58, 36]"
KAB. NIAS UTARA,1979.4437924750962,"[247, 248, 230, 167, 168, 169, 187, 58, 36, 37]"
KAB. PADANG LAWAS,1803.0961560331593,"[247, 248, 230, 165, 164, 39, 38]"
KAB. PADANG LAWAS UTARA,1748.5266710306835,"[247, 248, 230, 165, 164, 39]"
KAB. PAKPAK BHARAT,1936.98524067698,"[247, 248, 230, 165, 164, 39, 40]"
KAB. SAMOSIR,1900.0756012355532,"[247, 248, 63, 51, 41]"
KAB. SERDANG BEDAGAI,1950.6125204514988,"[247, 248, 230, 123, 52, 43, 42]"
KAB. SIMALUNGUN,1903.7264548387116,"[247, 248, 230, 123, 52, 43]"
KAB. TAPANULI SELATAN,1764.4550719469944,"[247, 248, 230, 123, 124, 44]"
KAB. TAPANULI TENGAH,1835.0992836736182,"[247, 248, 230, 123, 124, 44, 45]"
KAB. TAPANULI UTARA,1833.924878569936,"[247, 248, 230, 165, 164, 144, 77, 78, 46]"
KAB. TOBA SAMOSIR,1811.3225503344452,"[247, 248, 230, 123, 47]"
KOTA BINJAI,1975.548032587019,"[247, 248, 230, 123, 52, 48]"
KOTA GUNUNGSITOLI,1888.1973888838204,"[247, 248, 63, 65, 49]"
KOTA MEDAN,2006.664196766124,"[247, 248, 63, 51, 50]"
KOTA PADANGSIDEMPUAN,1750.6267692834717,"[247, 248, 63, 51]"
KOTA PEMATANGSIANTAR,1880.3447686978152,"[247, 248, 230, 123, 52]"
KOTA SIBOLGA,1837.643204608441,"[247, 248, 230, 123, 124, 66, 53]"
KOTA TANJUNGBALAI,1879.426913960026,"[247, 248, 230, 123, 122, 54]"
KOTA TEBING TINGGI,1853.5623458876114,"[247, 248, 76, 75, 55]"
KAB. AGAM,1540.860227046209,"[247, 248, 109, 56]"
KAB. DHARMASRAYA,1475.8630876924703,"[247, 248, 173, 172, 160, 57]"
KAB. KEPULAUAN MENTAWAI,1629.5983271793395,"[247, 248, 230, 167, 168, 169, 187, 58]"
KAB. LIMA PULUH KOTA,1551.2175106911973,"[247, 248, 109, 59]"
KAB. PADANG PARIAMAN,1629.3199150173486,"[247, 248, 109, 59, 60]"
KAB. PASAMAN,1592.809495399491,"[247, 248, 63, 61]"
KAB. PASAMAN BARAT,1610.385194957336,"[247, 248, 230, 123, 62]"
KAB. PESISIR SELATAN,1362.3839982000159,"[247, 248, 63]"
KAB. SIJUNJUNG,1481.690892171812,"[247, 248, 63, 64]"
KAB. SOLOK,1446.6586331039268,"[247, 248, 63, 65]"
KAB. SOLOK SELATAN,1392.526679781464,"[247, 248, 230, 123, 124, 66]"
KAB. TANAH DATAR,1512.6119661646449,"[247, 248, 63, 74, 73, 67]"
KOTA BUKITTINGGI,1538.2262703929537,"[247, 248, 230, 165, 164, 163, 68]"
KOTA PADANG,1484.908072889657,"[247, 248, 173, 115, 116, 69]"
KOTA PADANGPANJANG,1538.4336637218155,"[247, 248, 173, 115, 116, 69, 70]"
KOTA PARIAMAN,1551.9299492827388,"[247, 248, 63, 74, 73, 71]"
KOTA PAYAKUMBUH,1530.8294956108175,"[247, 248, 63, 72]"
KOTA SAWAHLUNTO,1483.9059974094503,"[247, 248, 63, 74, 73]"
KOTA SOLOK,1469.4619255491734,"[247, 248, 63, 74]"
KAB. BENGKALIS,1507.3630550806702,"[247, 248, 76, 75]"
