city,distance,through
KAB. ACEH BARAT,4252.6921305313845,"[457, 413, 400, 336, 342, 0]"
KAB. ACEH BARAT DAYA,4171.09210870685,"[457, 413, 357, 1]"
KAB. ACEH BESAR,4407.999511970327,"[457, 413, 400, 347, 4, 3, 2]"
KAB. ACEH JAYA,4331.696038633228,"[457, 413, 400, 347, 4, 3]"
KAB. ACEH SELATAN,4081.23085687359,"[457, 413, 400, 347, 4]"
KAB. ACEH SINGKIL,4075.452557585685,"[457, 142, 141, 73, 72, 5]"
KAB. ACEH TAMIANG,4054.077996179788,"[457, 413, 400, 315, 6]"
KAB. ACEH TENGAH,4171.209934851148,"[457, 359, 7]"
KAB. ACEH TENGGARA,4038.1100459538147,"[457, 413, 8]"
KAB. ACEH TIMUR,4104.42824813454,"[457, 413, 400, 315, 9]"
KAB. ACEH UTARA,4171.018382223027,"[457, 413, 400, 315, 9, 10]"
KAB. BENER MERIAH,4204.206279129357,"[457, 375, 11]"
KAB. BIREUEN,4217.076104449179,"[457, 413, 400, 332, 12]"
KAB. GAYO LUES,4134.300369222208,"[457, 413, 411, 13]"
KAB. NAGAN RAYA,4214.527187500841,"[457, 413, 400, 336, 25, 14]"
KAB. PIDIE,4289.783881571448,"[457, 413, 400, 332, 15]"
KAB. PIDIE JAYA,4291.436767556303,"[457, 413, 338, 16]"
KAB. SIMEULUE,4249.6707060254275,"[457, 413, 400, 332, 352, 55, 17]"
KOTA BANDA ACEH,4371.286633286973,"[457, 413, 400, 347, 19, 18]"
KOTA LANGSA,4054.1269777208663,"[457, 413, 400, 347, 19]"
KOTA LHOKSEUMAWE,4175.598199201243,"[457, 413, 400, 347, 19, 20]"
KOTA SABANG,4391.745738969921,"[457, 413, 400, 347, 19, 20, 21]"
KOTA SUBULUSSALAM,4025.9579634261254,"[457, 413, 400, 332, 331, 85, 27, 22]"
KAB. ASAHAN,3863.497241742937,"[457, 413, 357, 23]"
KAB. BATUBARA,3885.940290546111,"[457, 413, 411, 93, 92, 24]"
KAB. DAIRI,3973.229483726511,"[457, 413, 400, 336, 25]"
KAB. DELI SERDANG,3982.6148119872,"[457, 413, 400, 332, 355, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,3933.362466886546,"[457, 413, 400, 332, 331, 85, 27]"
KAB. KARO,3972.252209132675,"[457, 413, 400, 332, 355, 28]"
KAB. LABUHANBATU,3782.540929086458,"[457, 413, 411, 29]"
KAB. LABUHANBATU SELATAN,3746.2754772504913,"[457, 413, 400, 332, 355, 321, 30]"
KAB. LABUHANBATU UTARA,3811.649672937286,"[457, 413, 400, 332, 355, 321, 30, 31]"
KAB. LANGKAT,4049.1255749957004,"[457, 413, 400, 332, 355, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,3843.5471659204304,"[457, 413, 338, 353, 87, 88, 33]"
KAB. NIAS,4020.035476664229,"[457, 413, 338, 353, 87, 34]"
KAB. NIAS BARAT,4027.065522107015,"[457, 413, 77, 49, 35]"
KAB. NIAS SELATAN,4052.035902220163,"[457, 413, 338, 66, 58, 36]"
KAB. NIAS UTARA,4009.124289061614,"[457, 413, 37]"
KAB. PADANG LAWAS,3806.5078558312744,"[457, 413, 400, 332, 333, 38]"
KAB. PADANG LAWAS UTARA,3776.044351007092,"[457, 413, 39]"
KAB. PAKPAK BHARAT,3964.502920653388,"[457, 413, 39, 40]"
KAB. SAMOSIR,4012.520033400009,"[457, 413, 400, 332, 355, 321, 320, 43, 42, 41]"
KAB. SERDANG BEDAGAI,3928.290540568772,"[457, 413, 400, 332, 355, 321, 320, 43, 42]"
KAB. SIMALUNGUN,3881.404474955985,"[457, 413, 400, 332, 355, 321, 320, 43]"
KAB. TAPANULI SELATAN,3829.229009104782,"[457, 413, 400, 347, 44]"
KAB. TAPANULI TENGAH,3899.873220831406,"[457, 413, 400, 347, 44, 45]"
KAB. TAPANULI UTARA,3859.4834776405814,"[457, 413, 338, 46]"
KAB. TOBA SAMOSIR,3899.157349857286,"[457, 413, 338, 46, 47]"
KOTA BINJAI,3983.761922171474,"[457, 413, 400, 332, 352, 52, 48]"
KOTA GUNUNGSITOLI,3993.6942667275716,"[457, 413, 77, 49]"
KOTA MEDAN,4000.9100575863717,"[457, 413, 357, 23, 50]"
KOTA PADANGSIDEMPUAN,3902.467613185331,"[457, 413, 400, 332, 355, 74, 51]"
KOTA PEMATANGSIANTAR,3888.5586582822702,"[457, 413, 400, 332, 352, 52]"
KOTA SIBOLGA,3892.1251556029624,"[457, 413, 400, 332, 331, 53]"
KOTA TANJUNGBALAI,3925.1741221298025,"[457, 413, 411, 382, 54]"
KOTA TEBING TINGGI,3893.8016096503134,"[457, 413, 400, 332, 352, 55]"
KAB. AGAM,3684.2427876359025,"[457, 142, 57, 56]"
KAB. DHARMASRAYA,3495.4279476487936,"[457, 142, 57]"
KAB. KEPULAUAN MENTAWAI,3785.2299847077497,"[457, 413, 338, 66, 58]"
KAB. LIMA PULUH KOTA,3700.358198715833,"[457, 413, 400, 332, 355, 321, 322, 59]"
KAB. PADANG PARIAMAN,3753.667423793556,"[457, 413, 412, 348, 60]"
KAB. PASAMAN,3743.5459156037978,"[457, 413, 400, 332, 355, 321, 322, 59, 61]"
KAB. PASAMAN BARAT,3801.281847469927,"[457, 413, 400, 332, 355, 321, 322, 59, 62]"
KAB. PESISIR SELATAN,3559.93613373069,"[457, 63]"
KAB. SIJUNJUNG,3629.713532719005,"[457, 413, 338, 66, 65, 64]"
KAB. SOLOK,3590.789238934699,"[457, 413, 338, 66, 65]"
KAB. SOLOK SELATAN,3526.456379860047,"[457, 413, 338, 66]"
KAB. TANAH DATAR,3621.3465332201204,"[457, 413, 338, 67]"
KOTA BUKITTINGGI,3646.4757022169074,"[457, 413, 400, 68]"
KOTA PADANG,3718.094366771113,"[457, 413, 400, 68, 69]"
KOTA PADANGPANJANG,3706.4783211765293,"[457, 142, 141, 73, 71, 70]"
KOTA PARIAMAN,3671.1146192556275,"[457, 142, 141, 73, 71]"
KOTA PAYAKUMBUH,3654.849456301971,"[457, 142, 141, 73, 72]"
KOTA SAWAHLUNTO,3603.0906673823392,"[457, 142, 141, 73]"
KOTA SOLOK,3617.273271534167,"[457, 413, 400, 332, 355, 74]"
KAB. BENGKALIS,3692.5085562723243,"[457, 456, 330, 341, 76, 75]"
KAB. INDRAGIRI HILIR,3461.4121406991508,"[457, 456, 330, 341, 76]"
KAB. INDRAGIRI HULU,3431.147996497458,"[457, 413, 77]"
KAB. KAMPAR,3587.381743470661,"[457, 413, 77, 78]"
KAB. KEPULAUAN MERANTI,3498.906170416275,"[457, 413, 357, 79]"
KAB. KUANTAN SINGINGI,3548.3602582129397,"[457, 413, 400, 336, 80]"
KAB. PELALAWAN,3587.151184596689,"[457, 458, 81]"
KAB. ROKAN HILIR,3700.1649951376094,"[457, 413, 338, 353, 87, 88, 82]"
KAB. ROKAN HULU,3699.583439591889,"[457, 413, 400, 332, 355, 321, 84, 83]"
KAB. SIAK,3546.4317863671677,"[457, 413, 400, 332, 355, 321, 84]"
KOTA DUMAI,3613.547305760534,"[457, 413, 400, 332, 331, 85]"
KOTA PEKANBARU,3550.2520309367665,"[457, 413, 86]"
KAB. BINTAN,3266.5727411416556,"[457, 413, 338, 353, 87]"
KAB. KARIMUN,3394.615939667733,"[457, 413, 338, 353, 87, 88]"
KAB. KEPULAUAN ANAMBAS,3397.1001545811687,"[457, 413, 411, 410, 409, 408, 447, 89]"
KAB. LINGGA,3228.33423995068,"[457, 413, 400, 336, 342, 90]"
KAB. NATUNA,3087.3592848543717,"[457, 373, 372, 371, 91]"
KOTA BATAM,3331.413880680848,"[457, 413, 411, 93, 92]"
KOTA TANJUNG PINANG,3279.7659806168595,"[457, 413, 411, 93]"
PULAU TAMBELAN KAB. BINTAN,3012.950570196008,"[457, 413, 400, 332, 333, 334, 94]"
PEKAJANG KAB. LINGGA,3340.8651682962054,"[457, 413, 400, 332, 333, 334, 94, 95]"
PULAU SERASAN KAB. NATUNA,2841.9482360054817,"[457, 413, 351, 96]"
PULAU MIDAI KAB. NATUNA,2993.364848601098,"[457, 413, 351, 96, 97]"
PULAU LAUT KAB. NATUNA,3017.234373729426,"[457, 373, 98]"
KAB. BATANGHARI,3563.8201886889838,"[457, 458, 291, 292, 99]"
KAB. BUNGO,3452.4406740025324,"[457, 413, 338, 100]"
KAB. KERINCI,3502.7886034325297,"[457, 413, 102, 101]"
KAB. MERANGIN,3433.3127534286177,"[457, 413, 102]"
KAB. MUARO JAMBI,3264.3098287873227,"[457, 413, 400, 332, 331, 103]"
KAB. SAROLANGUN,3414.3508990443975,"[457, 413, 400, 332, 331, 103, 104]"
KAB. TANJUNG JABUNG BARAT,3428.8329898153975,"[457, 413, 412, 399, 105]"
KAB. TANJUNG JABUNG TIMUR,3348.633584200001,"[457, 413, 400, 336, 329, 106]"
KAB. TEBO,3513.55882745887,"[457, 413, 400, 336, 329, 106, 107]"
KOTA JAMBI,3470.1892675248064,"[457, 413, 412, 399, 449, 448, 108]"
KOTA SUNGAI PENUH,3499.2813615750197,"[457, 142, 109]"
KAB. BENGKULU SELATAN,3333.761637994975,"[457, 142, 110]"
KAB. BENGKULU TENGAH,3433.6639808679806,"[457, 142, 110, 111]"
KAB. BENGKULU UTARA,3460.57004734412,"[457, 413, 400, 332, 331, 139, 112]"
KAB. KAUR,3334.7038150113685,"[457, 413, 338, 136, 113]"
KAB. KEPAHIANG,3455.1344882794206,"[457, 413, 236, 166, 165, 164, 114]"
KAB. LEBONG,3495.855340322453,"[457, 413, 338, 147, 115]"
KAB. MUKOMUKO,3518.088933049663,"[457, 413, 400, 332, 331, 139, 116]"
