city,distance,through
KAB. ACEH BARAT,2760.135921834406,"[449, 329, 336, 342, 0]"
KAB. ACEH BARAT DAYA,2804.1851565590296,"[449, 329, 330, 331, 139, 140, 1]"
KAB. ACEH BESAR,2932.617651295542,"[449, 450, 96, 97, 19, 20, 21, 2]"
KAB. ACEH JAYA,2878.9290265217583,"[449, 321, 320, 319, 4, 3]"
KAB. ACEH SELATAN,2628.46384476212,"[449, 321, 320, 319, 4]"
KAB. ACEH SINGKIL,2560.8413161021617,"[449, 329, 106, 107, 72, 5]"
KAB. ACEH TAMIANG,2538.803197714371,"[449, 329, 315, 6]"
KAB. ACEH TENGAH,2665.793119268388,"[449, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,2537.3331208659893,"[449, 329, 328, 8]"
KAB. ACEH TIMUR,2589.153449669123,"[449, 329, 315, 9]"
KAB. ACEH UTARA,2655.7435837576104,"[449, 329, 315, 9, 10]"
KAB. BENER MERIAH,2656.1676194952033,"[449, 321, 320, 43, 42, 11]"
KAB. BIREUEN,2707.162793068825,"[449, 321, 320, 43, 42, 11, 12]"
KAB. GAYO LUES,2710.6898429414696,"[449, 329, 336, 137, 13]"
KAB. NAGAN RAYA,2705.0891846368804,"[449, 321, 30, 29, 25, 14]"
KAB. PIDIE,2781.299932824387,"[449, 321, 30, 15]"
KAB. PIDIE JAYA,2767.553276235056,"[449, 321, 30, 26, 16]"
KAB. SIMEULUE,2699.301028653943,"[449, 321, 55, 17]"
KOTA BANDA ACEH,2860.38178278954,"[449, 450, 96, 97, 19, 18]"
KOTA LANGSA,2543.2221272234337,"[449, 450, 96, 97, 19]"
KOTA LHOKSEUMAWE,2664.6933487038104,"[449, 450, 96, 97, 19, 20]"
KOTA SABANG,2880.8408884724886,"[449, 450, 96, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,2482.4572614876397,"[449, 321, 84, 83, 22]"
KAB. ASAHAN,2581.9055988384257,"[449, 329, 336, 342, 343, 344, 93, 92, 24, 23]"
KAB. BATUBARA,2539.5730210380716,"[449, 329, 336, 342, 343, 344, 93, 92, 24]"
KAB. DAIRI,2463.79148086255,"[449, 321, 30, 29, 25]"
KAB. DELI SERDANG,2429.0338097219133,"[449, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2396.324565451305,"[449, 329, 85, 27]"
KAB. KARO,2444.407647944835,"[449, 321, 30, 28]"
KAB. LABUHANBATU,2244.300040440944,"[449, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,2192.6944749852046,"[449, 321, 30]"
