city,distance,through
KAB. ACEH BARAT,2825.379342077652,"[448, 449, 329, 336, 342, 0]"
KAB. ACEH BARAT DAYA,2869.4285768022755,"[448, 449, 329, 330, 331, 139, 140, 1]"
KAB. ACEH BESAR,2909.0379576163778,"[448, 447, 89, 3, 2]"
KAB. ACEH JAYA,2832.734484279279,"[448, 447, 89, 3]"
KAB. ACEH SELATAN,2590.8258951696375,"[448, 78, 4]"
KAB. ACEH SINGKIL,2534.905777985431,"[448, 107, 72, 5]"
KAB. ACEH TAMIANG,2604.046617957617,"[448, 449, 329, 315, 6]"
KAB. ACEH TENGAH,2729.3965342619495,"[448, 447, 446, 346, 345, 321, 30, 26, 7]"
KAB. ACEH TENGGARA,2602.576541109235,"[448, 449, 329, 328, 8]"
KAB. ACEH TIMUR,2611.7189507079393,"[448, 447, 446, 346, 345, 9]"
KAB. ACEH UTARA,2665.035502746234,"[448, 447, 89, 10]"
KAB. BENER MERIAH,2694.0586151948382,"[448, 447, 446, 346, 42, 11]"
KAB. BIREUEN,2745.05378876846,"[448, 447, 446, 346, 42, 11, 12]"
KAB. GAYO LUES,2759.5560902658835,"[448, 107, 69, 70, 13]"
KAB. NAGAN RAYA,2751.60127141607,"[448, 447, 86, 25, 14]"
KAB. PIDIE,2806.425581004631,"[448, 447, 446, 16, 15]"
KAB. PIDIE JAYA,2776.8941843720504,"[448, 447, 446, 16]"
KAB. SIMEULUE,2762.904443647504,"[448, 447, 446, 346, 345, 321, 55, 17]"
KOTA BANDA ACEH,2887.012073405527,"[448, 447, 446, 346, 347, 19, 18]"
KOTA LANGSA,2569.852417839421,"[448, 447, 446, 346, 347, 19]"
KOTA LHOKSEUMAWE,2685.9491142644374,"[448, 447, 446, 346, 345, 20]"
KOTA SABANG,2902.0966540331156,"[448, 447, 446, 346, 345, 20, 21]"
KOTA SUBULUSSALAM,2513.8372320651097,"[448, 447, 446, 346, 22]"
KAB. ASAHAN,2628.669579159025,"[448, 447, 446, 364, 363, 357, 23]"
KAB. BATUBARA,2604.8164412813176,"[448, 449, 329, 336, 342, 343, 344, 93, 92, 24]"
KAB. DAIRI,2510.30356764174,"[448, 447, 86, 25]"
KAB. DELI SERDANG,2492.6372247154745,"[448, 447, 446, 346, 345, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2461.5679856945508,"[448, 449, 329, 85, 27]"
KAB. KARO,2508.011062938396,"[448, 447, 446, 346, 345, 321, 30, 28]"
KAB. LABUHANBATU,2307.9034554345053,"[448, 447, 446, 346, 345, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,2256.297889978766,"[448, 447, 446, 346, 345, 321, 30]"
KAB. LABUHANBATU UTARA,2299.892313434543,"[448, 447, 446, 31]"
KAB. LANGKAT,2537.3682154929575,"[448, 447, 446, 31, 32]"
KAB. MANDAILING NATAL,2408.8013040036303,"[448, 447, 446, 346, 345, 321, 84, 39, 33]"
KAB. NIAS,2466.8156155630254,"[448, 107, 62, 34]"
KAB. NIAS BARAT,2496.9417360618713,"[448, 107, 62, 34, 35]"
KAB. NIAS SELATAN,2474.407738148775,"[448, 447, 446, 36]"
KAB. NIAS UTARA,2557.4472859321186,"[448, 447, 446, 36, 37]"
KAB. PADANG LAWAS,2366.1441219240273,"[448, 447, 446, 346, 345, 321, 84, 39, 38]"
KAB. PADANG LAWAS UTARA,2311.5746369215517,"[448, 447, 446, 346, 345, 321, 84, 39]"
KAB. PAKPAK BHARAT,2500.033206567848,"[448, 447, 446, 346, 345, 321, 84, 39, 40]"
KAB. SAMOSIR,2492.0747096367095,"[448, 107, 72, 41]"
KAB. SERDANG BEDAGAI,2412.6005340031206,"[448, 447, 446, 346, 42]"
KAB. SIMALUNGUN,2391.42688768426,"[448, 447, 446, 346, 345, 321, 320, 43]"
KAB. TAPANULI SELATAN,2344.9544492233367,"[448, 447, 446, 346, 347, 44]"
KAB. TAPANULI TENGAH,2400.4065033108977,"[448, 78, 46, 45]"
KAB. TAPANULI UTARA,2351.412119159383,"[448, 78, 46]"
KAB. TOBA SAMOSIR,2391.085991376088,"[448, 78, 46, 47]"
KOTA BINJAI,2486.414765077637,"[448, 447, 52, 48]"
KOTA GUNUNGSITOLI,2525.741596099974,"[448, 449, 49]"
KOTA MEDAN,2718.5096650201076,"[448, 447, 446, 346, 345, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,2465.438960381319,"[448, 449, 387, 51]"
KOTA PEMATANGSIANTAR,2391.2115011884334,"[448, 447, 52]"
KOTA SIBOLGA,2358.1923847042194,"[448, 78, 53]"
KOTA TANJUNGBALAI,2440.462871625983,"[448, 107, 54]"
KOTA TEBING TINGGI,2407.0353472723896,"[448, 447, 446, 346, 345, 321, 55]"
KAB. AGAM,2213.5116953452234,"[448, 447, 57, 56]"
KAB. DHARMASRAYA,2024.6968553581148,"[448, 447, 57]"
KAB. KEPULAUAN MENTAWAI,2325.9111121603564,"[448, 447, 57, 58]"
KAB. LIMA PULUH KOTA,2210.380611444108,"[448, 447, 446, 346, 345, 321, 322, 59]"
KAB. PADANG PARIAMAN,2288.4830157702595,"[448, 447, 446, 346, 345, 321, 322, 59, 60]"
KAB. PASAMAN,2228.7657764591027,"[448, 449, 61]"
KAB. PASAMAN BARAT,2235.436467132361,"[448, 107, 62]"
KAB. PESISIR SELATAN,2136.421666961108,"[448, 447, 446, 346, 345, 63]"
KAB. SIJUNJUNG,2174.9548960087145,"[448, 447, 446, 346, 345, 65, 64]"
KAB. SOLOK,2136.0306022244085,"[448, 447, 446, 346, 345, 65]"
KAB. SOLOK SELATAN,2145.4071318674214,"[448, 449, 329, 336, 137, 66]"
KAB. TANAH DATAR,2194.767434376543,"[448, 107, 72, 73, 67]"
KOTA BUKITTINGGI,2180.7379126209653,"[448, 107, 69, 68]"
KOTA PADANG,2109.1192480667596,"[448, 107, 69]"
KOTA PADANGPANJANG,2162.6448388989184,"[448, 107, 69, 70]"
KOTA PARIAMAN,2185.881398395356,"[448, 107, 72, 71]"
KOTA PAYAKUMBUH,2114.302676701717,"[448, 107, 72]"
KOTA SAWAHLUNTO,2166.0614656213484,"[448, 107, 72, 73]"
KOTA SOLOK,2180.505537481625,"[448, 107, 72, 73, 74]"
KAB. BENGKALIS,2243.3132204532617,"[448, 449, 329, 330, 341, 76, 75]"
KAB. INDRAGIRI HILIR,2012.2168048800881,"[448, 449, 329, 330, 341, 76]"
KAB. INDRAGIRI HULU,1995.8015857510763,"[448, 449, 329, 77]"
KAB. KAMPAR,2040.2690584101335,"[448, 78]"
KAB. KEPULAUAN MERANTI,2049.118703906717,"[448, 108, 79]"
KAB. KUANTAN SINGINGI,2121.047469759207,"[448, 449, 329, 336, 80]"
KAB. PELALAWAN,2181.6095165924207,"[448, 447, 57, 81]"
KAB. ROKAN HILIR,2269.773438822812,"[448, 447, 83, 82]"
KAB. ROKAN HULU,2191.451503762629,"[448, 447, 83]"
KAB. SIAK,2056.454199095443,"[448, 447, 446, 346, 345, 321, 84]"
KOTA DUMAI,2141.752824568539,"[448, 449, 329, 85]"
KOTA PEKANBARU,2069.8352244670814,"[448, 447, 86]"
KAB. BINTAN,1980.6880421904323,"[448, 449, 329, 330, 355, 354, 353, 87]"
KAB. KARIMUN,2014.334950564493,"[448, 108, 88]"
KAB. KEPULAUAN ANAMBAS,1706.9499222649301,"[448, 447, 89]"
KAB. LINGGA,1801.021451496948,"[448, 449, 329, 336, 342, 90]"
KAB. NATUNA,1841.9513436009074,"[448, 449, 329, 336, 335, 91]"
KOTA BATAM,2050.2900314160543,"[448, 449, 329, 336, 342, 343, 344, 93, 92]"
KOTA TANJUNG PINANG,1998.6421313520657,"[448, 449, 329, 336, 342, 343, 344, 93]"
PULAU TAMBELAN KAB. BINTAN,1737.8850576891384,"[448, 449, 329, 330, 341, 340, 339, 94]"
PEKAJANG KAB. LINGGA,1927.1704460438755,"[448, 449, 450, 96, 95]"
PULAU SERASAN KAB. NATUNA,1357.40719358354,"[448, 449, 450, 96]"
PULAU MIDAI KAB. NATUNA,1508.823806179156,"[448, 449, 450, 96, 97]"
PULAU LAUT KAB. NATUNA,1566.383081272592,"[448, 447, 98]"
KAB. BATANGHARI,2171.0862870467427,"[448, 447, 446, 346, 345, 321, 100, 99]"
KAB. BUNGO,2038.3144544320623,"[448, 447, 446, 346, 345, 321, 100]"
KAB. KERINCI,2082.9169561700674,"[448, 449, 102, 101]"
KAB. MERANGIN,2013.4411061661554,"[448, 449, 102]"
KAB. MUARO JAMBI,1860.2211218477628,"[448, 449, 329, 336, 137, 138, 103]"
KAB. SAROLANGUN,1957.7315958571044,"[448, 447, 446, 346, 345, 321, 104]"
KAB. TANJUNG JABUNG BARAT,1900.3520382059014,"[448, 449, 329, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,1818.1044358922904,"[448, 449, 329, 106]"
KAB. TEBO,1891.8507207911825,"[448, 107]"
KOTA JAMBI,1748.6916279152847,"[448, 108]"
KOTA SUNGAI PENUH,2000.3387269395869,"[448, 108, 109]"
KAB. BENGKULU SELATAN,1911.1465731193027,"[448, 447, 446, 132, 110]"
KAB. BENGKULU TENGAH,1997.057414514382,"[448, 447, 446, 346, 345, 111]"
KAB. BENGKULU UTARA,2063.1866309721727,"[448, 447, 446, 346, 345, 111, 112]"
KAB. KAUR,1989.336733608061,"[448, 447, 221, 168, 169, 187, 113]"
KAB. KEPAHIANG,2029.5848435518074,"[448, 447, 165, 164, 114]"
KAB. LEBONG,2005.7408080088144,"[448, 447, 446, 346, 345, 115]"
KAB. MUKOMUKO,2016.7855423013336,"[448, 108, 116]"
KAB. REJANG LEBONG,1962.007018509604,"[448, 447, 446, 118, 117]"
KAB. SELUMA,1895.6392222318475,"[448, 447, 446, 118]"
KOTA BENGKULU,1953.4262424060473,"[448, 447, 446, 118, 119]"
KAB. BANYUASIN,1897.5236043905159,"[448, 447, 446, 154, 153, 120]"
KAB. EMPAT LAWANG,1947.3301823717352,"[448, 447, 446, 346, 345, 123, 122, 121]"
KAB. LAHAT,1895.5300913748058,"[448, 447, 446, 346, 345, 123, 122]"
KAB. MUARA ENIM,1822.8901337008865,"[448, 447, 446, 346, 345, 123]"
KAB. MUSI BANYUASIN,1869.5067297213018,"[448, 449, 329, 336, 124]"
KAB. MUSI RAWAS,1852.0772638034116,"[448, 447, 446, 125]"
KAB. MUSI RAWAS UTARA,1905.4148759223913,"[448, 447, 446, 125, 126]"
KAB. OGAN ILIR,1864.5838185547318,"[448, 449, 329, 330, 331, 139, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,1797.0860511524747,"[448, 449, 329, 330, 331, 139, 140, 128]"
KAB. OGAN KOMERING ULU,1927.704565694898,"[448, 447, 446, 346, 150, 129]"
KAB. OGAN KOMERING ULU SELATAN,1940.0677012930155,"[448, 447, 172, 130]"
KAB. OGAN KOMERING ULU TIMUR,1856.7929746197958,"[448, 447, 446, 132, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,1749.3626650949225,"[448, 447, 446, 132]"
KOTA LUBUKLINGGAU,1877.2017044733875,"[448, 447, 446, 132, 133]"
KOTA PAGAR ALAM,1969.433926542027,"[448, 447, 446, 132, 133, 134]"
KOTA PALEMBANG,1766.02538448066,"[448, 449, 329, 330, 341, 135]"
KOTA PRABUMULIH,1843.0727422671268,"[448, 449, 329, 330, 341, 135, 136]"
KAB. BANGKA,1623.777107165301,"[448, 449, 329, 336, 137]"
