city,distance,through
KAB. ACEH BARAT,3138.2873446329504,"[301, 270, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,3051.2420322791613,"[301, 198, 166, 165, 1]"
KAB. ACEH BESAR,3235.055368852077,"[301, 270, 3, 2]"
KAB. ACEH JAYA,3158.7518955149785,"[301, 270, 3]"
KAB. ACEH SELATAN,2937.746327488328,"[301, 300, 5, 4]"
KAB. ACEH SINGKIL,2817.0756025477467,"[301, 300, 5]"
KAB. ACEH TAMIANG,2971.8649293234935,"[301, 198, 213, 214, 86, 6]"
KAB. ACEH TENGAH,2970.9114135143577,"[301, 30, 26, 7]"
KAB. ACEH TENGGARA,2908.858452040483,"[301, 270, 73, 67, 8]"
KAB. ACEH TIMUR,2890.4703423185374,"[301, 88, 9]"
KAB. ACEH UTARA,2957.060476407025,"[301, 88, 9, 10]"
KAB. BENER MERIAH,2996.181678106526,"[301, 88, 9, 10, 11]"
KAB. BIREUEN,3032.44200667825,"[301, 13, 12]"
KAB. GAYO LUES,2883.234845978358,"[301, 13]"
KAB. NAGAN RAYA,2980.3296830633767,"[301, 13, 14]"
KAB. PIDIE,3086.4182270703564,"[301, 30, 15]"
KAB. PIDIE JAYA,3072.6715704810254,"[301, 30, 26, 16]"
KAB. SIMEULUE,3029.0481491354376,"[301, 88, 59, 17]"
KOTA BANDA ACEH,3289.619698747224,"[301, 247, 248, 230, 18]"
KOTA LANGSA,3018.5235999124534,"[301, 198, 169, 19]"
KOTA LHOKSEUMAWE,3011.8506544271436,"[301, 30, 28, 20]"
KOTA SABANG,3227.9981941958217,"[301, 30, 28, 20, 21]"
KOTA SUBULUSSALAM,2791.110070345458,"[301, 88, 83, 22]"
KAB. ASAHAN,2754.9073679338026,"[301, 394, 23]"
KAB. BATUBARA,2793.375916586253,"[301, 247, 248, 93, 92, 24]"
KAB. DAIRI,2768.90977510852,"[301, 30, 29, 25]"
KAB. DELI SERDANG,2734.152103967883,"[301, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2727.1237876148625,"[301, 270, 27]"
KAB. KARO,2749.5259421908045,"[301, 30, 28]"
KAB. LABUHANBATU,2549.418334686914,"[301, 30, 29]"
KAB. LABUHANBATU SELATAN,2497.812769231174,"[301, 30]"
KAB. LABUHANBATU UTARA,2563.186964917969,"[301, 30, 31]"
KAB. LANGKAT,2800.662866976383,"[301, 30, 31, 32]"
KAB. MANDAILING NATAL,2572.5353989673176,"[301, 88, 33]"
KAB. NIAS,2757.267058754637,"[301, 88, 33, 34]"
KAB. NIAS BARAT,2787.393179253483,"[301, 88, 33, 34, 35]"
KAB. NIAS SELATAN,2777.7134601522744,"[301, 198, 169, 187, 58, 36]"
KAB. NIAS UTARA,2813.0006651989875,"[301, 198, 213, 57, 37]"
KAB. PADANG LAWAS,2604.2473069003936,"[301, 270, 133, 38]"
KAB. PADANG LAWAS UTARA,2658.816791902869,"[301, 270, 133, 38, 39]"
KAB. PAKPAK BHARAT,2731.4861351424915,"[301, 88, 40]"
KAB. SAMOSIR,2780.8452736279587,"[301, 270, 73, 72, 41]"
KAB. SERDANG BEDAGAI,2839.3516474566068,"[301, 302, 319, 43, 42]"
KAB. SIMALUNGUN,2792.4655818438196,"[301, 302, 319, 43]"
KAB. TAPANULI SELATAN,2662.496163214554,"[301, 300, 108, 107, 44]"
KAB. TAPANULI TENGAH,2733.140374941178,"[301, 300, 108, 107, 44, 45]"
KAB. TAPANULI UTARA,2704.395237335591,"[301, 270, 73, 46]"
KAB. TOBA SAMOSIR,2744.0691095522957,"[301, 270, 73, 46, 47]"
KOTA BINJAI,2827.626529882296,"[301, 270, 48]"
KOTA GUNUNGSITOLI,2800.5433231293996,"[301, 270, 64, 65, 49]"
KOTA MEDAN,2863.635042576593,"[301, 270, 64, 50]"
KOTA PADANGSIDEMPUAN,2650.9528652847753,"[301, 270, 73, 74, 51]"
KOTA PEMATANGSIANTAR,2815.847267984716,"[301, 302, 319, 43, 52]"
KOTA SIBOLGA,2765.226531982997,"[301, 300, 271, 251, 78, 53]"
KOTA TANJUNGBALAI,2746.5205847312664,"[301, 300, 108, 107, 54]"
KOTA TEBING TINGGI,2790.888369651392,"[301, 247, 248, 76, 75, 55]"
KAB. AGAM,2460.3538024688687,"[301, 198, 213, 57, 56]"
KAB. DHARMASRAYA,2271.53896248176,"[301, 198, 213, 57]"
KAB. KEPULAUAN MENTAWAI,2510.9075426398613,"[301, 198, 169, 187, 58]"
KAB. LIMA PULUH KOTA,2452.556534060115,"[301, 88, 59]"
KAB. PADANG PARIAMAN,2431.1790620621264,"[301, 270, 133, 60]"
KAB. PASAMAN,2490.8051656293237,"[301, 300, 120, 61]"
KAB. PASAMAN BARAT,2541.4941802376443,"[301, 300, 108, 107, 62]"
KAB. PESISIR SELATAN,2299.7100219637964,"[301, 247, 248, 63]"
KAB. SIJUNJUNG,2320.0802735652,"[301, 270, 64]"
KAB. SOLOK,2359.004567349506,"[301, 270, 64, 65]"
KAB. SOLOK SELATAN,2329.852703545245,"[301, 247, 248, 230, 123, 124, 66]"
KAB. TANAH DATAR,2380.020420528529,"[301, 270, 73, 67]"
KOTA BUKITTINGGI,2408.89325195045,"[301, 270, 73, 67, 68]"
KOTA PADANG,2415.176961172043,"[301, 300, 108, 107, 69]"
KOTA PADANGPANJANG,2425.100317298991,"[301, 198, 125, 70]"
KOTA PARIAMAN,2419.3384036466227,"[301, 270, 73, 71]"
KOTA PAYAKUMBUH,2403.073240692966,"[301, 270, 73, 72]"
KOTA SAWAHLUNTO,2351.3144517733344,"[301, 270, 73]"
KOTA SOLOK,2365.7585236336113,"[301, 270, 73, 74]"
KAB. BENGKALIS,2444.6890788444507,"[301, 247, 248, 76, 75]"
KAB. INDRAGIRI HILIR,2213.592663271277,"[301, 247, 248, 76]"
KAB. INDRAGIRI HULU,2301.266064007491,"[301, 198, 166, 165, 164, 144, 77]"
KAB. KAMPAR,2447.3032056889115,"[301, 300, 271, 251, 78]"
KAB. KEPULAUAN MERANTI,2352.226111685343,"[301, 300, 108, 79]"
