city,distance,through
KAB. ACEH BARAT,2939.2729217738915,"[388, 389, 363, 357, 1, 0]"
KAB. ACEH BARAT DAYA,2819.5811251407235,"[388, 389, 363, 357, 1]"
KAB. ACEH BESAR,3008.116003945348,"[388, 5, 4, 3, 2]"
KAB. ACEH JAYA,2931.8125306082493,"[388, 5, 4, 3]"
KAB. ACEH SELATAN,2681.347348848611,"[388, 5, 4]"
KAB. ACEH SINGKIL,2560.67662390803,"[388, 5]"
KAB. ACEH TAMIANG,2769.5603850986795,"[388, 5, 6]"
KAB. ACEH TENGAH,2781.132690409618,"[388, 389, 8, 7]"
KAB. ACEH TENGGARA,2622.324664928037,"[388, 389, 8]"
KAB. ACEH TIMUR,2757.602836600329,"[388, 389, 8, 9]"
KAB. ACEH UTARA,2733.825853493472,"[388, 10]"
KAB. BENER MERIAH,2772.947055192973,"[388, 10, 11]"
KAB. BIREUEN,2823.942228766595,"[388, 10, 11, 12]"
KAB. GAYO LUES,2786.058088421602,"[388, 389, 363, 357, 13]"
KAB. NAGAN RAYA,2822.620094544538,"[388, 389, 30, 29, 25, 14]"
KAB. PIDIE,2898.8308427320444,"[388, 389, 30, 15]"
KAB. PIDIE JAYA,2885.0841861427134,"[388, 389, 30, 26, 16]"
KAB. SIMEULUE,2908.8372788913994,"[388, 125, 126, 109, 59, 17]"
KOTA BANDA ACEH,2958.612903503145,"[388, 389, 19, 18]"
KOTA LANGSA,2641.4532479370387,"[388, 389, 19]"
KOTA LHOKSEUMAWE,2762.9244694174154,"[388, 389, 19, 20]"
KOTA SABANG,2979.0720091860935,"[388, 389, 19, 20, 21]"
KOTA SUBULUSSALAM,2632.7299751784253,"[388, 389, 30, 29, 27, 22]"
KAB. ASAHAN,2511.9862581768107,"[388, 389, 363, 357, 23]"
KAB. BATUBARA,2554.318835977165,"[388, 389, 363, 357, 23, 24]"
KAB. DAIRI,2581.3223907702077,"[388, 389, 30, 29, 25]"
KAB. DELI SERDANG,2546.564719629571,"[388, 389, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2540.134478638846,"[388, 389, 30, 29, 27]"
KAB. KARO,2561.9385578524925,"[388, 389, 30, 28]"
KAB. LABUHANBATU,2361.8309503486016,"[388, 389, 30, 29]"
KAB. LABUHANBATU SELATAN,2310.225384892862,"[388, 389, 30]"
KAB. LABUHANBATU UTARA,2375.599580579657,"[388, 389, 30, 31]"
KAB. LANGKAT,2613.075482638071,"[388, 389, 30, 31, 32]"
KAB. MANDAILING NATAL,2456.6494287898686,"[388, 389, 390, 33]"
KAB. NIAS,2637.1201802834153,"[388, 125, 61, 62, 34]"
KAB. NIAS BARAT,2647.6508770457112,"[388, 389, 124, 66, 65, 49, 35]"
KAB. NIAS SELATAN,2620.933474781235,"[388, 389, 124, 58, 36]"
KAB. NIAS UTARA,2703.9730225645785,"[388, 389, 124, 58, 36, 37]"
KAB. PADANG LAWAS,2503.762864858028,"[388, 389, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,2458.225157322715,"[388, 446, 346, 345, 321, 84, 39]"
KAB. PAKPAK BHARAT,2646.6837269690113,"[388, 446, 346, 345, 321, 84, 39, 40]"
KAB. SAMOSIR,2643.480547235521,"[388, 446, 346, 42, 41]"
KAB. SERDANG BEDAGAI,2559.251054404284,"[388, 446, 346, 42]"
KAB. SIMALUNGUN,2538.0774080854235,"[388, 446, 346, 345, 321, 320, 43]"
KAB. TAPANULI SELATAN,2480.336398977253,"[388, 389, 124, 44]"
KAB. TAPANULI TENGAH,2550.9806107038767,"[388, 389, 124, 44, 45]"
KAB. TAPANULI UTARA,2596.8692376269537,"[388, 389, 390, 139, 138, 46]"
KAB. TOBA SAMOSIR,2636.5431098436584,"[388, 389, 390, 139, 138, 46, 47]"
KOTA BINJAI,2656.6623581155236,"[388, 446, 346, 345, 321, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,2614.2796216662678,"[388, 389, 124, 66, 65, 49]"
KOTA MEDAN,2649.3990740202453,"[388, 389, 363, 357, 23, 50]"
KOTA PADANGSIDEMPUAN,2565.247397739511,"[388, 389, 124, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,2561.45909422632,"[388, 446, 346, 345, 321, 320, 43, 52]"
KOTA SIBOLGA,2553.524531638699,"[388, 389, 124, 66, 53]"
KOTA TANJUNGBALAI,2593.883170172806,"[388, 389, 390, 139, 138, 54]"
KOTA TEBING TINGGI,2553.685867673553,"[388, 446, 346, 345, 321, 55]"
KAB. AGAM,2321.988380171089,"[388, 125, 126, 109, 56]"
KAB. DHARMASRAYA,2267.96269218096,"[388, 446, 447, 57]"
KAB. KEPULAUAN MENTAWAI,2354.127557268822,"[388, 389, 124, 58]"
KAB. LIMA PULUH KOTA,2332.345663816077,"[388, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,2410.4480681422283,"[388, 125, 126, 109, 59, 60]"
KAB. PASAMAN,2346.118739528062,"[388, 125, 61]"
KAB. PASAMAN BARAT,2405.741031852751,"[388, 125, 61, 62]"
KAB. PESISIR SELATAN,2257.0155007902854,"[388, 389, 124, 66, 65, 63]"
KAB. SIJUNJUNG,2211.66515967068,"[388, 389, 124, 66, 65, 64]"
KAB. SOLOK,2172.740865886374,"[388, 389, 124, 66, 65]"
KAB. SOLOK SELATAN,2108.4080068117223,"[388, 389, 124, 66]"
KAB. TANAH DATAR,2236.9030154728757,"[388, 389, 124, 66, 67]"
KOTA BUKITTINGGI,2265.775846894797,"[388, 389, 124, 66, 67, 68]"
KOTA PADANG,2292.6945193045267,"[388, 125, 107, 69]"
KOTA PADANGPANJANG,2273.1294789524386,"[388, 125, 70]"
KOTA PARIAMAN,2308.4931808733404,"[388, 125, 70, 71]"
KOTA PAYAKUMBUH,2297.877947939484,"[388, 125, 107, 72]"
KOTA SAWAHLUNTO,2265.6089842280703,"[388, 389, 124, 66, 67, 73]"
KOTA SOLOK,2280.053056088347,"[388, 389, 124, 66, 67, 73, 74]"
KAB. BENGKALIS,2462.383830872346,"[388, 389, 222, 76, 75]"
KAB. INDRAGIRI HILIR,2231.2874152991726,"[388, 389, 222, 76]"
KAB. INDRAGIRI HULU,2236.810197455619,"[388, 389, 363, 332, 77]"
KAB. KAMPAR,2305.4605916267383,"[388, 446, 346, 345, 321, 84, 78]"
KAB. KEPULAUAN MERANTI,2147.3951868501485,"[388, 389, 363, 357, 79]"
KAB. KUANTAN SINGINGI,2345.0978856053985,"[388, 389, 363, 357, 79, 80]"
KAB. PELALAWAN,2359.566660579576,"[388, 389, 265, 266, 267, 81]"
KAB. ROKAN HILIR,2434.578307781511,"[388, 446, 346, 345, 321, 84, 83, 82]"
KAB. ROKAN HULU,2356.256372721328,"[388, 446, 346, 345, 321, 84, 83]"
KAB. SIAK,2203.1047194966063,"[388, 446, 346, 345, 321, 84]"
KOTA DUMAI,2307.9279813340977,"[388, 446, 346, 345, 321, 84, 85]"
KOTA PEKANBARU,2229.522509528066,"[388, 389, 124, 86]"
KAB. BINTAN,2045.21797853848,"[388, 389, 363, 362, 352, 353, 87]"
KAB. KARIMUN,2173.2611770645576,"[388, 389, 363, 362, 352, 353, 87, 88]"
KAB. KEPULAUAN ANAMBAS,1950.2157590877755,"[388, 446, 447, 89]"
KAB. LINGGA,1914.4409319361266,"[388, 389, 363, 362, 90]"
KAB. NATUNA,1904.9545691483183,"[388, 389, 363, 332, 333, 91]"
KOTA BATAM,2183.9921398933275,"[388, 389, 363, 332, 333, 334, 94, 93, 92]"
KOTA TANJUNG PINANG,2132.3442398293387,"[388, 389, 363, 332, 333, 334, 94, 93]"
PULAU TAMBELAN KAB. BINTAN,1813.6436576780495,"[388, 389, 363, 332, 333, 334, 94]"
PEKAJANG KAB. LINGGA,2141.558255778247,"[388, 389, 363, 332, 333, 334, 94, 95]"
PULAU SERASAN KAB. NATUNA,1639.280338004653,"[388, 446, 346, 345, 321, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,1790.696950600269,"[388, 446, 346, 345, 321, 322, 323, 96, 97]"
PULAU LAUT KAB. NATUNA,1727.6298809441182,"[388, 389, 363, 362, 98]"
KAB. BATANGHARI,2169.7944079796034,"[388, 227, 182, 194, 99]"
KAB. BUNGO,2184.964974833226,"[388, 446, 346, 345, 321, 100]"
KAB. KERINCI,2234.2111714459334,"[388, 389, 187, 149, 102, 101]"
KAB. MERANGIN,2164.7353214420214,"[388, 389, 187, 149, 102]"
KAB. MUARO JAMBI,1954.1299834305635,"[388, 389, 390, 139, 138, 103]"
KAB. SAROLANGUN,2104.171053687638,"[388, 389, 390, 139, 138, 103, 104]"
KAB. TANJUNG JABUNG BARAT,2076.752951940531,"[388, 125, 105]"
KAB. TANJUNG JABUNG TIMUR,2127.6225853639553,"[388, 387, 449, 329, 106]"
KAB. TEBO,2075.4259920289496,"[388, 125, 107]"
KOTA JAMBI,2030.9063550051783,"[388, 125, 108]"
KOTA SUNGAI PENUH,2076.01784716522,"[388, 125, 126, 109]"
KAB. BENGKULU SELATAN,2026.2027213849692,"[388, 389, 265, 253, 110]"
KAB. BENGKULU TENGAH,2036.0362621780596,"[388, 227, 226, 221, 111]"
KAB. BENGKULU UTARA,2016.0541289303765,"[388, 389, 124, 112]"
KAB. KAUR,1886.1439223549912,"[388, 389, 187, 113]"
KAB. KEPAHIANG,2007.0443000136083,"[388, 389, 187, 113, 114]"
KAB. LEBONG,2079.801673184492,"[388, 389, 187, 113, 114, 115]"
KAB. MUKOMUKO,2176.298174548137,"[388, 389, 390, 139, 116]"
KAB. REJANG LEBONG,2035.5565592000053,"[388, 125, 118, 117]"
KAB. SELUMA,1969.1887629222488,"[388, 125, 118]"
KOTA BENGKULU,2026.9757830964486,"[388, 125, 118, 119]"
KAB. BANYUASIN,1909.9750630691456,"[388, 227, 226, 221, 153, 120]"
KAB. EMPAT LAWANG,2005.9477521707438,"[388, 227, 226, 221, 153, 123, 122, 121]"
KAB. LAHAT,1954.1476611738144,"[388, 227, 226, 221, 153, 123, 122]"
KAB. MUARA ENIM,1881.5077034998951,"[388, 227, 226, 221, 153, 123]"
KAB. MUSI BANYUASIN,1805.9446498488558,"[388, 389, 124]"
KAB. MUSI RAWAS,1855.4861674105236,"[388, 125]"
KAB. MUSI RAWAS UTARA,1908.8237795295033,"[388, 125, 126]"
