city,distance,through
KAB. ACEH BARAT,1607.2919656414863,"[322, 323, 0]"
KAB. ACEH BARAT DAYA,1726.9837622746545,"[322, 323, 0, 1]"
KAB. ACEH BESAR,1812.8942593746367,"[322, 59, 62, 4, 3, 2]"
KAB. ACEH JAYA,1736.590786037538,"[322, 59, 62, 4, 3]"
KAB. ACEH SELATAN,1486.1256042778996,"[322, 59, 62, 4]"
KAB. ACEH SINGKIL,1439.3692057131602,"[322, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1499.1413228216147,"[322, 59, 6]"
KAB. ACEH TENGAH,1630.818848057392,"[322, 59, 6, 7]"
KAB. ACEH TENGGARA,1524.5513157769628,"[322, 74, 73, 67, 8]"
KAB. ACEH TIMUR,1659.8294874492549,"[322, 74, 73, 67, 8, 9]"
KAB. ACEH UTARA,1726.4196215377426,"[322, 74, 73, 67, 8, 9, 10]"
KAB. BENER MERIAH,1728.9691040109876,"[322, 74, 73, 71, 11]"
KAB. BIREUEN,1779.9642775846091,"[322, 74, 73, 71, 11, 12]"
KAB. GAYO LUES,1667.3062206709706,"[322, 74, 73, 71, 70, 13]"
KAB. NAGAN RAYA,1687.9730750021392,"[322, 323, 96, 29, 25, 14]"
KAB. PIDIE,1797.2646716494482,"[322, 323, 96, 29, 16, 15]"
KAB. PIDIE JAYA,1767.7332750168678,"[322, 323, 96, 29, 16]"
KAB. SIMEULUE,1534.6055941472405,"[322, 59, 17]"
KOTA BANDA ACEH,1808.5811946805454,"[322, 323, 96, 97, 19, 18]"
KOTA LANGSA,1491.4215391144392,"[322, 323, 96, 97, 19]"
KOTA LHOKSEUMAWE,1612.8927605948159,"[322, 323, 96, 97, 19, 20]"
KOTA SABANG,1829.040300363494,"[322, 323, 96, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,1498.0829556360266,"[322, 323, 96, 29, 27, 22]"
KAB. ASAHAN,1630.3681204414963,"[322, 323, 96, 29, 25, 24, 23]"
KAB. BATUBARA,1588.0355426411422,"[322, 323, 96, 29, 25, 24]"
KAB. DAIRI,1446.675371227809,"[322, 323, 96, 29, 25]"
KAB. DELI SERDANG,1474.0919552268813,"[322, 74, 51, 26]"
KAB. HUMBANG HASUNDUTAN,1405.4874590964473,"[322, 323, 96, 29, 27]"
