city,distance,through
KAB. ACEH BARAT,1056.581913642144,"[102, 101, 100, 0]"
KAB. ACEH BARAT DAYA,1176.2737102753122,"[102, 101, 100, 0, 1]"
KAB. ACEH BESAR,1294.6129127841134,"[102, 101, 8, 7, 20, 21, 2]"
KAB. ACEH JAYA,1280.8073880030495,"[102, 101, 81, 62, 4, 3]"
KAB. ACEH SELATAN,1030.342206243411,"[102, 101, 81, 62, 4]"
KAB. ACEH SINGKIL,1006.8504923789188,"[102, 101, 81, 80, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,1070.0911572794962,"[102, 101, 8, 7, 6]"
KAB. ACEH TENGAH,938.4136320437191,"[102, 101, 8, 7]"
KAB. ACEH TENGGARA,779.6056065621376,"[102, 101, 8]"
KAB. ACEH TIMUR,914.8837782344297,"[102, 101, 8, 9]"
KAB. ACEH UTARA,981.4739123229173,"[102, 101, 8, 9, 10]"
KAB. BENER MERIAH,1020.595114022418,"[102, 101, 8, 9, 10, 11]"
KAB. BIREUEN,1071.5902875960396,"[102, 101, 8, 9, 10, 11, 12]"
KAB. GAYO LUES,1089.6989609541365,"[102, 101, 81, 80, 13]"
KAB. NAGAN RAYA,1089.8445249648435,"[102, 101, 81, 14]"
KAB. PIDIE,1172.3349311983354,"[102, 101, 100, 37, 15]"
KAB. PIDIE JAYA,1188.0353344752357,"[102, 101, 81, 30, 26, 16]"
KAB. SIMEULUE,1057.755397473469,"[102, 101, 81, 17]"
KOTA BANDA ACEH,1389.944767658048,"[102, 101, 81, 17, 18]"
KOTA LANGSA,1081.2087949249176,"[102, 101, 100, 37, 19]"
KOTA LHOKSEUMAWE,1026.6886101923817,"[102, 101, 8, 7, 20]"
KOTA SABANG,1242.8361499610598,"[102, 101, 8, 7, 20, 21]"
KOTA SUBULUSSALAM,935.6811235109475,"[102, 101, 81, 30, 29, 27, 22]"
KAB. ASAHAN,876.9433635812663,"[102, 50, 23]"
KAB. BATUBARA,919.2759413816204,"[102, 50, 23, 24]"
KAB. DAIRI,884.2735391027301,"[102, 101, 81, 30, 29, 25]"
KAB. DELI SERDANG,849.5158679620931,"[102, 101, 81, 30, 26]"
KAB. HUMBANG HASUNDUTAN,843.0856269713682,"[102, 101, 81, 30, 29, 27]"
KAB. KARO,864.889706185015,"[102, 101, 81, 30, 28]"
KAB. LABUHANBATU,664.7820986811241,"[102, 101, 81, 30, 29]"
KAB. LABUHANBATU SELATAN,613.1765332253844,"[102, 101, 81, 30]"
KAB. LABUHANBATU UTARA,678.5507289121792,"[102, 101, 81, 30, 31]"
KAB. LANGKAT,903.1422685461941,"[102, 47, 46, 45, 32]"
KAB. MANDAILING NATAL,949.3516937585075,"[102, 101, 81, 80, 74, 63, 33]"
KAB. NIAS,834.6333782221874,"[102, 101, 81, 62, 34]"
KAB. NIAS BARAT,858.6911870646077,"[102, 101, 100, 37, 36, 35]"
KAB. NIAS SELATAN,807.4534389247428,"[102, 101, 100, 37, 36]"
KAB. NIAS UTARA,724.4138911413992,"[102, 101, 100, 37]"
KAB. PADANG LAWAS,806.7140131905506,"[102, 101, 81, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,861.2834981930264,"[102, 101, 81, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,1019.3573160885026,"[102, 101, 81, 80, 74, 51, 41, 40]"
KAB. SAMOSIR,954.6877039185418,"[102, 101, 81, 80, 74, 51, 41]"
KAB. SERDANG BEDAGAI,916.3086931593961,"[102, 47, 48, 52, 43, 42]"
KAB. SIMALUNGUN,869.4226275466089,"[102, 47, 48, 52, 43]"
KAB. TAPANULI SELATAN,745.3487750925194,"[102, 47, 46, 45, 44]"
KAB. TAPANULI TENGAH,674.7045633658958,"[102, 47, 46, 45]"
KAB. TAPANULI UTARA,625.7101792143814,"[102, 47, 46]"
KAB. TOBA SAMOSIR,586.0363069976769,"[102, 47]"
KOTA BINJAI,750.8376775165087,"[102, 47, 48]"
KOTA GUNUNGSITOLI,892.0624424440513,"[102, 101, 100, 37, 36, 35, 49]"
KOTA MEDAN,739.5305477378316,"[102, 50]"
KOTA PADANGSIDEMPUAN,805.2388719664602,"[102, 101, 81, 80, 74, 51]"
KOTA PEMATANGSIANTAR,846.0409414057125,"[102, 47, 48, 52]"
KOTA SIBOLGA,986.7273361724231,"[102, 47, 48, 52, 53]"
KOTA TANJUNGBALAI,950.4084714215195,"[102, 106, 107, 54]"
KOTA TEBING TINGGI,966.8796983094096,"[102, 101, 81, 30, 28, 55]"
KAB. AGAM,657.4547595729624,"[102, 101, 81, 57, 56]"
KAB. DHARMASRAYA,468.6399195858538,"[102, 101, 81, 57]"
KAB. KEPULAUAN MENTAWAI,725.0501312291651,"[102, 101, 81, 80, 58]"
