city,distance,through
KAB. ACEH BARAT,4695.370232816435,"[488, 326, 325, 324, 323, 0]"
KAB. ACEH BARAT DAYA,4700.273272153703,"[488, 415, 141, 140, 1]"
KAB. ACEH BESAR,4768.784246582486,"[488, 489, 2]"
KAB. ACEH JAYA,4736.007872204014,"[488, 489, 3]"
KAB. ACEH SELATAN,4508.520712085215,"[488, 326, 325, 4]"
KAB. ACEH SINGKIL,4509.1778720216535,"[488, 489, 514, 410, 5]"
KAB. ACEH TAMIANG,4466.9419969168775,"[488, 326, 325, 6]"
KAB. ACEH TENGAH,4595.515790409323,"[488, 26, 7]"
KAB. ACEH TENGGARA,4488.436661402577,"[488, 489, 514, 8]"
KAB. ACEH TIMUR,4520.548043576774,"[488, 376, 375, 9]"
KAB. ACEH UTARA,4587.1381776652615,"[488, 376, 375, 9, 10]"
KAB. BENER MERIAH,4587.70762678033,"[488, 326, 11]"
KAB. BIREUEN,4638.702800353952,"[488, 326, 11, 12]"
KAB. GAYO LUES,4593.447633860298,"[488, 489, 514, 385, 13]"
KAB. NAGAN RAYA,4637.499620709161,"[488, 376, 14]"
KAB. PIDIE,4726.807344008571,"[488, 26, 16, 15]"
KAB. PIDIE JAYA,4697.275947375991,"[488, 26, 16]"
KAB. SIMEULUE,4668.830952297362,"[488, 326, 54, 55, 17]"
KOTA BANDA ACEH,4797.835323646985,"[488, 326, 325, 6, 18]"
KOTA LANGSA,4486.228511986919,"[488, 351, 96, 97, 19]"
KOTA LHOKSEUMAWE,4582.32056751808,"[488, 489, 20]"
KOTA SABANG,4798.468107286758,"[488, 489, 20, 21]"
KOTA SUBULUSSALAM,4441.142862787195,"[488, 326, 85, 27, 22]"
KAB. ASAHAN,4268.530673252557,"[488, 489, 514, 430, 23]"
KAB. BATUBARA,4295.318490546464,"[488, 376, 425, 24]"
KAB. DAIRI,4436.678661959798,"[488, 376, 425, 24, 25]"
KAB. DELI SERDANG,4358.756480862848,"[488, 26]"
KAB. HUMBANG HASUNDUTAN,4348.547366247615,"[488, 326, 85, 27]"
KAB. KARO,4414.951848046643,"[488, 326, 54, 55, 28]"
KAB. LABUHANBATU,4220.103028139493,"[488, 351, 30, 29]"
KAB. LABUHANBATU SELATAN,4168.497462683754,"[488, 351, 30]"
KAB. LABUHANBATU UTARA,4233.871658370548,"[488, 351, 30, 31]"
KAB. LANGKAT,4471.347560428962,"[488, 351, 30, 31, 32]"
KAB. MANDAILING NATAL,4244.411484052431,"[488, 326, 325, 88, 33]"
KAB. NIAS,4429.14314383975,"[488, 326, 325, 88, 33, 34]"
KAB. NIAS BARAT,4456.131418234195,"[488, 351, 35]"
KAB. NIAS SELATAN,4452.167678973467,"[488, 489, 514, 446, 36]"
KAB. NIAS UTARA,4489.390926292698,"[488, 381, 341, 38, 37]"
KAB. PADANG LAWAS,4219.727557464694,"[488, 381, 341, 38]"
KAB. PADANG LAWAS UTARA,4220.359509143774,"[488, 39]"
KAB. PAKPAK BHARAT,4403.362220227605,"[488, 326, 325, 88, 40]"
KAB. SAMOSIR,4445.286605275253,"[488, 489, 514, 320, 43, 42, 41]"
KAB. SERDANG BEDAGAI,4361.057112444016,"[488, 489, 514, 320, 43, 42]"
KAB. SIMALUNGUN,4314.1710468312285,"[488, 489, 514, 320, 43]"
KAB. TAPANULI SELATAN,4288.6395067734775,"[488, 489, 514, 430, 79, 44]"
