city,distance,through
KAB. ACEH BARAT,1136.1877939528001,"[116, 69, 68, 67, 73, 74, 51, 0]"
KAB. ACEH BARAT DAYA,1255.8795905859683,"[116, 69, 68, 67, 73, 74, 51, 0, 1]"
KAB. ACEH BESAR,1139.8483520317677,"[116, 69, 70, 4, 3, 2]"
KAB. ACEH JAYA,1063.544878694669,"[116, 69, 70, 4, 3]"
KAB. ACEH SELATAN,813.0796969350306,"[116, 69, 70, 4]"
KAB. ACEH SINGKIL,801.0885520922769,"[116, 69, 70, 71, 72, 5]"
KAB. ACEH TAMIANG,859.927320998999,"[116, 69, 70, 6]"
KAB. ACEH TENGAH,991.6048462347762,"[116, 69, 70, 6, 7]"
KAB. ACEH TENGGARA,849.3469638499437,"[116, 69, 68, 67, 8]"
KAB. ACEH TIMUR,984.6251355222357,"[116, 69, 68, 67, 8, 9]"
KAB. ACEH UTARA,1007.7143535151561,"[116, 69, 70, 11, 10]"
KAB. BENER MERIAH,968.5931518156553,"[116, 69, 70, 11]"
KAB. BIREUEN,1019.588325389277,"[116, 69, 70, 11, 12]"
KAB. GAYO LUES,870.4542785609872,"[116, 69, 70, 13]"
KAB. NAGAN RAYA,967.5491156460059,"[116, 69, 70, 13, 14]"
KAB. PIDIE,1089.5744777301893,"[116, 69, 70, 13, 14, 15]"
KAB. PIDIE JAYA,1110.4949086366669,"[116, 69, 70, 30, 26, 16]"
KAB. SIMEULUE,1066.438531848357,"[116, 55, 17]"
KOTA BANDA ACEH,1190.8206477291067,"[116, 69, 70, 6, 18]"
KOTA LANGSA,1114.9149866408047,"[116, 69, 34, 35, 36, 37, 19]"
KOTA LHOKSEUMAWE,1049.6739925827853,"[116, 69, 70, 30, 28, 20]"
KOTA SABANG,1191.6251148548213,"[116, 69, 70, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,777.5641684264108,"[116, 69, 83, 22]"
KAB. ASAHAN,968.778573318066,"[116, 69, 83, 22, 23]"
KAB. BATUBARA,948.0932846774946,"[116, 69, 70, 30, 29, 25, 24]"
KAB. DAIRI,806.7331132641613,"[116, 69, 70, 30, 29, 25]"
KAB. DELI SERDANG,771.9754421235243,"[116, 69, 70, 30, 26]"
KAB. HUMBANG HASUNDUTAN,765.5452011327994,"[116, 69, 70, 30, 29, 27]"
KAB. KARO,787.3492803464462,"[116, 69, 70, 30, 28]"
KAB. LABUHANBATU,587.2416728425553,"[116, 69, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,535.6361073868156,"[116, 69, 70, 30]"
KAB. LABUHANBATU UTARA,601.0103030736104,"[116, 69, 70, 30, 31]"
KAB. LANGKAT,838.4862051320248,"[116, 69, 70, 30, 31, 32]"
KAB. MANDAILING NATAL,778.4483262225513,"[116, 69, 34, 33]"
KAB. NIAS,593.7166664352318,"[116, 69, 34]"
KAB. NIAS BARAT,623.8427869340778,"[116, 69, 34, 35]"
KAB. NIAS SELATAN,675.0805350739427,"[116, 69, 34, 35, 36]"
KAB. NIAS UTARA,758.1200828572863,"[116, 69, 34, 35, 36, 37]"
KAB. PADANG LAWAS,729.1735873519818,"[116, 69, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,783.7430723544576,"[116, 69, 70, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,822.9270959135162,"[116, 69, 70, 71, 72, 41, 40]"
KAB. SAMOSIR,758.2574837435554,"[116, 69, 70, 71, 72, 41]"
KAB. SERDANG BEDAGAI,842.4869765747928,"[116, 69, 70, 71, 72, 41, 42]"
KAB. SIMALUNGUN,851.3535980623577,"[116, 69, 68, 67, 73, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,821.9342825335789,"[116, 69, 68, 67, 73, 46, 45, 44]"
KAB. TAPANULI TENGAH,751.2900708069552,"[116, 69, 68, 67, 73, 46, 45]"
KAB. TAPANULI UTARA,702.2956866554408,"[116, 69, 68, 67, 73, 46]"
KAB. TOBA SAMOSIR,741.9695588721453,"[116, 69, 68, 67, 73, 46, 47]"
KOTA BINJAI,906.7709293909771,"[116, 69, 68, 67, 73, 46, 47, 48]"
KOTA GUNUNGSITOLI,657.2140423135214,"[116, 69, 34, 35, 49]"
KOTA MEDAN,904.8907420872774,"[116, 69, 68, 67, 73, 74, 51, 50]"
KOTA PADANGSIDEMPUAN,648.8533146046252,"[116, 69, 68, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,827.9719119214614,"[116, 69, 68, 67, 73, 74, 51, 52]"
KOTA SIBOLGA,894.1204658261204,"[116, 69, 68, 67, 66, 53]"
KOTA TANJUNGBALAI,792.3061831448008,"[116, 55, 54]"
KOTA TEBING TINGGI,710.5694354732425,"[116, 55]"
KAB. AGAM,765.71154641622,"[116, 108, 109, 56]"
KAB. DHARMASRAYA,578.9837974694345,"[116, 117, 118, 57]"
KAB. KEPULAUAN MENTAWAI,566.4694892016973,"[116, 69, 68, 67, 73, 58]"
KAB. LIMA PULUH KOTA,674.6563632454379,"[116, 115, 62, 59]"
KAB. PADANG PARIAMAN,719.7421815971084,"[116, 115, 62, 61, 60]"
KAB. PASAMAN,633.3550068160328,"[116, 115, 62, 61]"
KAB. PASAMAN BARAT,573.7327144913442,"[116, 115, 62]"
KAB. PESISIR SELATAN,470.7369003026187,"[116, 69, 68, 67, 73, 74, 63]"
KAB. SIJUNJUNG,552.2610938581016,"[116, 69, 68, 67, 66, 65, 64]"
KAB. SOLOK,513.3368000737954,"[116, 69, 68, 67, 66, 65]"
KAB. SOLOK SELATAN,449.0039409991434,"[116, 69, 68, 67, 66]"
KAB. TANAH DATAR,320.50893233798985,"[116, 69, 68, 67]"
KOTA BUKITTINGGI,291.6361009160689,"[116, 69, 68]"
KOTA PADANG,220.0174363618634,"[116, 69]"
KOTA PADANGPANJANG,273.54302719402193,"[116, 69, 70]"
KOTA PARIAMAN,308.9067291149239,"[116, 69, 70, 71]"
KOTA PAYAKUMBUH,380.48545080856286,"[116, 69, 70, 71, 72]"
KOTA SAWAHLUNTO,349.2149010931843,"[116, 69, 68, 67, 73]"
KOTA SOLOK,363.6589729534612,"[116, 69, 68, 67, 73, 74]"
KAB. BENGKALIS,630.8407662942906,"[116, 69, 68, 67, 73, 74, 75]"
KAB. INDRAGIRI HILIR,861.9371818674642,"[116, 69, 68, 67, 73, 74, 75, 76]"
KAB. INDRAGIRI HULU,812.9113681566643,"[116, 69, 70, 71, 84, 78, 77]"
KAB. KAMPAR,656.6776211834607,"[116, 69, 70, 71, 84, 78]"
KAB. KEPULAUAN MERANTI,568.5209903774817,"[116, 108, 79]"
KAB. KUANTAN SINGINGI,467.7958500861257,"[116, 69, 68, 67, 73, 74, 80]"
KAB. PELALAWAN,571.9762449172097,"[116, 69, 68, 67, 73, 74, 80, 81]"
KAB. ROKAN HILIR,519.4312793255568,"[116, 69, 83, 82]"
KAB. ROKAN HULU,441.109344265374,"[116, 69, 83]"
KAB. SIAK,554.3217490533289,"[116, 69, 70, 71, 84]"
KOTA DUMAI,659.1450108908201,"[116, 69, 70, 71, 84, 85]"
KOTA PEKANBARU,788.1840819328816,"[116, 69, 70, 71, 84, 85, 86]"
KAB. BINTAN,566.4224284082658,"[116, 88, 87]"
KAB. KARIMUN,438.37922988218844,"[116, 88]"
KAB. KEPULAUAN ANAMBAS,798.7968208578577,"[116, 88, 89]"
KAB. LINGGA,1114.6677539236355,"[116, 115, 147, 148, 149, 90]"
KAB. NATUNA,1181.4405744534315,"[116, 108, 93, 92, 91]"
KOTA BATAM,616.4983568059638,"[116, 108, 93, 92]"
KOTA TANJUNG PINANG,564.8504567419752,"[116, 108, 93]"
PULAU TAMBELAN KAB. BINTAN,883.5510388932645,"[116, 108, 93, 94]"
PEKAJANG KAB. LINGGA,1166.4242117463543,"[116, 115, 114, 113, 112, 111, 110, 95]"
PULAU SERASAN KAB. NATUNA,1309.1347483130558,"[116, 115, 114, 113, 136, 96]"
PULAU MIDAI KAB. NATUNA,1250.0781696271094,"[116, 69, 70, 71, 97]"
PULAU LAUT KAB. NATUNA,1268.7806333465712,"[116, 69, 98]"
KAB. BATANGHARI,700.6477068793524,"[116, 117, 118, 101, 100, 99]"
