city,distance,through
KAB. ACEH BARAT,1691.9324623205032,"[91, 52, 51, 0]"
KAB. ACEH BARAT DAYA,1811.6242589536714,"[91, 52, 51, 0, 1]"
KAB. ACEH BESAR,1817.5088478175471,"[91, 92, 24, 25, 28, 20, 21, 2]"
KAB. ACEH JAYA,1893.8123211546458,"[91, 92, 24, 25, 28, 20, 21, 2, 3]"
KAB. ACEH SELATAN,1704.0373893464762,"[91, 92, 93, 71, 70, 4]"
KAB. ACEH SINGKIL,1621.3188406619183,"[91, 92, 93, 71, 72, 5]"
KAB. ACEH TAMIANG,1664.6620350291334,"[91, 52, 43, 39, 38, 6]"
KAB. ACEH TENGAH,1576.0185006201011,"[91, 92, 24, 25, 26, 7]"
KAB. ACEH TENGGARA,1618.1947260611737,"[91, 52, 43, 42, 11, 10, 9, 8]"
KAB. ACEH TIMUR,1482.9165543888817,"[91, 52, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,1416.326420300394,"[91, 52, 43, 42, 11, 10]"
KAB. BENER MERIAH,1377.2052186008932,"[91, 52, 43, 42, 11]"
KAB. BIREUEN,1428.2003921745147,"[91, 52, 43, 42, 11, 12]"
KAB. GAYO LUES,1577.4075528744067,"[91, 52, 43, 42, 11, 12, 13]"
KAB. NAGAN RAYA,1502.126502700395,"[91, 92, 24, 25, 14]"
KAB. PIDIE,1624.1518647845783,"[91, 92, 24, 25, 14, 15]"
KAB. PIDIE JAYA,1642.6796055223226,"[91, 52, 53, 16]"
KAB. SIMEULUE,1745.1189214889853,"[91, 92, 24, 25, 28, 55, 17]"
KOTA BANDA ACEH,1860.7452572828229,"[91, 52, 43, 39, 18]"
KOTA LANGSA,1671.0557667061921,"[91, 92, 24, 25, 28, 20, 19]"
KOTA LHOKSEUMAWE,1549.5845452258154,"[91, 92, 24, 25, 28, 20]"
KOTA SABANG,1765.7320849944936,"[91, 92, 24, 25, 28, 20, 21]"
KOTA SUBULUSSALAM,1353.0156102047406,"[91, 92, 24, 23, 22]"
KAB. ASAHAN,1161.8012053130853,"[91, 92, 24, 23]"
KAB. BATUBARA,1119.4686275127312,"[91, 92, 24]"
