city,distance,through
KAB. ACEH BARAT,921.9119165336881,"[36, 35, 34, 62, 0]"
KAB. ACEH BARAT DAYA,1005.0251572556964,"[36, 35, 49, 22, 21, 2, 1]"
KAB. ACEH BESAR,754.730315052166,"[36, 35, 49, 22, 21, 2]"
KAB. ACEH JAYA,831.0337883892648,"[36, 35, 49, 22, 21, 2, 3]"
KAB. ACEH SELATAN,739.8309935212634,"[36, 35, 34, 62, 4]"
KAB. ACEH SINGKIL,860.5017184618448,"[36, 35, 34, 62, 4, 5]"
KAB. ACEH TAMIANG,722.1787835893101,"[36, 35, 49, 25, 26, 7, 6]"
KAB. ACEH TENGAH,590.5012583535329,"[36, 35, 49, 25, 26, 7]"
KAB. ACEH TENGGARA,749.3092838351143,"[36, 35, 49, 25, 26, 7, 8]"
KAB. ACEH TIMUR,786.3311525895241,"[36, 35, 34, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,719.7410185010365,"[36, 35, 34, 43, 42, 11, 10]"
KAB. BENER MERIAH,680.6198168015358,"[36, 35, 34, 43, 42, 11]"
KAB. BIREUEN,731.6149903751574,"[36, 35, 34, 43, 42, 11, 12]"
KAB. GAYO LUES,613.7040975188454,"[36, 35, 49, 25, 14, 13]"
KAB. NAGAN RAYA,516.6092604338266,"[36, 35, 49, 25, 14]"
KAB. PIDIE,530.9605878402799,"[36, 37, 15]"
KAB. PIDIE JAYA,560.4919844728604,"[36, 37, 15, 16]"
KAB. SIMEULUE,759.6016792224169,"[36, 35, 49, 25, 28, 55, 17]"
KOTA BANDA ACEH,756.9941071329683,"[36, 37, 19, 18]"
KOTA LANGSA,439.8344515668621,"[36, 37, 19]"
KOTA LHOKSEUMAWE,561.3056730472389,"[36, 37, 19, 20]"
KOTA SABANG,702.9535522291125,"[36, 35, 49, 22, 21]"
KOTA SUBULUSSALAM,247.27182344121957,"[36, 35, 49, 22]"
KAB. ASAHAN,438.4862283328748,"[36, 35, 49, 22, 23]"
KAB. BATUBARA,416.67172807282964,"[36, 35, 49, 25, 24]"
KAB. DAIRI,275.31155665949626,"[36, 35, 49, 25]"
KAB. DELI SERDANG,353.7419488070579,"[36, 35, 49, 25, 26]"
KAB. HUMBANG HASUNDUTAN,339.8673199807988,"[36, 35, 49, 22, 27]"
KAB. KARO,301.7425907229079,"[36, 35, 49, 25, 28]"
KAB. LABUHANBATU,494.63483112077466,"[36, 37, 38, 29]"
KAB. LABUHANBATU SELATAN,546.2403965765143,"[36, 37, 38, 29, 30]"
KAB. LABUHANBATU UTARA,611.6145922633091,"[36, 37, 38, 29, 30, 31]"
KAB. LANGKAT,632.6420712666793,"[36, 35, 34, 33, 32]"
KAB. MANDAILING NATAL,266.0955284260304,"[36, 35, 34, 33]"
KAB. NIAS,81.3638686387109,"[36, 35, 34]"
KAB. NIAS BARAT,51.23774813986483,"[36, 35]"
KAB. NIAS SELATAN,0.0,[36]
KAB. NIAS UTARA,83.03954778334368,"[36, 37]"
KAB. PADANG LAWAS,352.70291661134814,"[36, 37, 38]"
KAB. PADANG LAWAS UTARA,363.3221955081092,"[36, 35, 34, 33, 39]"
KAB. PAKPAK BHARAT,548.0608406110163,"[36, 35, 34, 43, 42, 41, 40]"
KAB. SAMOSIR,483.39122844105555,"[36, 35, 34, 43, 42, 41]"
KAB. SERDANG BEDAGAI,399.1617356098182,"[36, 35, 34, 43, 42]"
KAB. SIMALUNGUN,352.27566999703106,"[36, 35, 34, 43]"
KAB. TAPANULI SELATAN,508.0264037480645,"[36, 35, 34, 43, 44]"
KAB. TAPANULI TENGAH,578.6706154746882,"[36, 35, 34, 43, 44, 45]"
KAB. TAPANULI UTARA,566.6159961062165,"[36, 35, 49, 48, 47, 46]"
KAB. TOBA SAMOSIR,526.942123889512,"[36, 35, 49, 48, 47]"
KOTA BINJAI,362.1407533706802,"[36, 35, 49, 48]"
KOTA GUNUNGSITOLI,84.60900351930844,"[36, 35, 49]"
KOTA MEDAN,367.5332642243289,"[36, 35, 49, 50]"
KOTA PADANGSIDEMPUAN,554.7759534547636,"[36, 35, 34, 43, 52, 51]"
KOTA PEMATANGSIANTAR,375.6573561379274,"[36, 35, 34, 43, 52]"
KOTA SIBOLGA,516.343750904638,"[36, 35, 34, 43, 52, 53]"
KOTA TANJUNGBALAI,485.4693305188607,"[36, 35, 49, 25, 28, 55, 54]"
KOTA TEBING TINGGI,403.73258284730247,"[36, 35, 49, 25, 28, 55]"
KAB. AGAM,756.8350143017631,"[36, 58, 57, 56]"
KAB. DHARMASRAYA,568.0201743146545,"[36, 58, 57]"
KAB. KEPULAUAN MENTAWAI,266.805917512413,"[36, 58]"
KAB. LIMA PULUH KOTA,413.666665823469,"[36, 35, 34, 62, 59]"
KAB. PADANG PARIAMAN,458.75248417513944,"[36, 35, 34, 62, 61, 60]"
KAB. PASAMAN,372.36530939406384,"[36, 35, 34, 62, 61]"
KAB. PASAMAN BARAT,312.74301706937524,"[36, 35, 34, 62]"
KAB. PESISIR SELATAN,570.0625234266726,"[36, 35, 34, 62, 63]"
KAB. SIJUNJUNG,565.0720530835083,"[36, 35, 49, 65, 64]"
KAB. SOLOK,526.1477592992021,"[36, 35, 49, 65]"
KAB. SOLOK SELATAN,525.5795223601156,"[36, 58, 66]"
KAB. TANAH DATAR,512.7664743761205,"[36, 58, 73, 67]"
KOTA BUKITTINGGI,526.6817632662849,"[36, 35, 34, 69, 68]"
KOTA PADANG,455.0630987120793,"[36, 35, 34, 69]"
KOTA PADANGPANJANG,508.5886895442378,"[36, 35, 34, 69, 70]"
KOTA PARIAMAN,543.9523914651398,"[36, 35, 34, 69, 70, 71]"
KOTA PAYAKUMBUH,535.8192945405576,"[36, 58, 73, 72]"
KOTA SAWAHLUNTO,484.06050562092605,"[36, 58, 73]"
KOTA SOLOK,498.50457748120294,"[36, 58, 73, 74]"
KAB. BENGKALIS,749.9318736542438,"[36, 35, 49, 25, 28, 55, 75]"
KAB. INDRAGIRI HILIR,677.0671063749558,"[36, 35, 76]"
KAB. INDRAGIRI HULU,647.1552737494222,"[36, 35, 49, 77]"
KAB. KAMPAR,570.8688649093895,"[36, 58, 78]"
KAB. KEPULAUAN MERANTI,658.8886197434331,"[36, 35, 34, 62, 79]"
KAB. KUANTAN SINGINGI,575.9483955589463,"[36, 58, 80]"
KAB. PELALAWAN,496.1138932344268,"[36, 81]"
KAB. ROKAN HILIR,662.0485826624393,"[36, 35, 49, 22, 83, 82]"
KAB. ROKAN HULU,583.7266476022564,"[36, 35, 49, 22, 83]"
KAB. SIAK,618.4426333342177,"[36, 35, 34, 33, 39, 84]"
KOTA DUMAI,659.6824811068104,"[36, 35, 49, 22, 27, 85]"
KOTA PEKANBARU,715.7798998341548,"[36, 35, 49, 25, 86]"
KAB. BINTAN,834.8266041612843,"[36, 35, 34, 87]"
KAB. KARIMUN,715.0267546787279,"[36, 35, 34, 33, 88]"
KAB. KEPULAUAN ANAMBAS,1000.5736594338518,"[36, 35, 49, 89]"
KAB. LINGGA,1421.197062572445,"[36, 35, 49, 89, 90]"
KAB. NATUNA,1401.1367417934198,"[36, 35, 34, 43, 52, 91]"
KOTA BATAM,971.198137938093,"[36, 35, 49, 25, 24, 92]"
KOTA TANJUNG PINANG,975.5423296145364,"[36, 35, 49, 65, 93]"
PULAU TAMBELAN KAB. BINTAN,1246.6680035543309,"[36, 58, 95, 94]"
PEKAJANG KAB. LINGGA,918.7534054541335,"[36, 58, 95]"
PULAU SERASAN KAB. NATUNA,1385.289198192248,"[36, 37, 96]"
PULAU MIDAI KAB. NATUNA,1407.583294620021,"[36, 58, 95, 97]"
PULAU LAUT KAB. NATUNA,1503.826295696787,"[36, 35, 34, 69, 98]"
KAB. BATANGHARI,813.9549594942172,"[36, 37, 100, 99]"
KAB. BUNGO,681.1831268795371,"[36, 37, 100]"
KAB. KERINCI,737.9775889208311,"[36, 37, 100, 101]"
KAB. MERANGIN,807.4534389247428,"[36, 37, 100, 101, 102]"
KAB. MUARO JAMBI,858.5014046662843,"[36, 35, 49, 65, 103]"
KAB. SAROLANGUN,781.445765449396,"[36, 35, 34, 62, 107, 104]"
KAB. TANJUNG JABUNG BARAT,903.5016089830335,"[36, 35, 34, 62, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,821.2540066694227,"[36, 35, 34, 62, 107, 106]"
KAB. TEBO,656.3287634105538,"[36, 35, 34, 62, 107]"
KOTA JAMBI,802.4381616131093,"[36, 35, 34, 62, 107, 108]"
KOTA SUNGAI PENUH,669.9944824743262,"[36, 35, 34, 62, 59, 109]"
KAB. BENGKULU SELATAN,972.94181562299,"[36, 35, 34, 62, 61, 111, 110]"
KAB. BENGKULU TENGAH,873.0394727499842,"[36, 35, 34, 62, 61, 111]"
KAB. BENGKULU UTARA,939.1686892077747,"[36, 35, 34, 62, 61, 111, 112]"
KAB. KAUR,971.2455231722889,"[36, 35, 34, 69, 116, 115, 114, 113]"
KAB. KEPAHIANG,850.3451455136717,"[36, 35, 34, 69, 116, 115, 114]"
KAB. LEBONG,777.5877723427882,"[36, 35, 34, 69, 116, 115]"
KAB. MUKOMUKO,675.0805350739427,"[36, 35, 34, 69, 116]"
KAB. REJANG LEBONG,839.0174445839241,"[36, 35, 34, 69, 116, 117]"
KAB. SELUMA,860.4330685144314,"[36, 58, 66, 118]"
KOTA BENGKULU,918.2200886886312,"[36, 58, 66, 118, 119]"
KAB. BANYUASIN,971.0776840867961,"[36, 35, 34, 62, 61, 120]"
KAB. EMPAT LAWANG,1072.843021619287,"[36, 58, 124, 123, 122, 121]"
KAB. LAHAT,1021.0429306223575,"[36, 58, 124, 123, 122]"
KAB. MUARA ENIM,948.4029729484383,"[36, 58, 124, 123]"
KAB. MUSI BANYUASIN,814.9888249323792,"[36, 58, 124]"
KAB. MUSI RAWAS,862.9978815116026,"[36, 35, 34, 62, 61, 125]"
KAB. MUSI RAWAS UTARA,837.1885501100426,"[36, 35, 34, 62, 59, 109, 126]"
KAB. OGAN ILIR,1059.633731028489,"[36, 35, 34, 62, 59, 109, 126, 127]"
KAB. OGAN KOMERING ILIR,1096.285503939698,"[36, 58, 66, 129, 128]"
KAB. OGAN KOMERING ULU,947.4783700678372,"[36, 58, 66, 129]"
KAB. OGAN KOMERING ULU SELATAN,1018.6320036276903,"[36, 58, 66, 129, 130]"
KAB. OGAN KOMERING ULU TIMUR,1060.235689186124,"[36, 35, 34, 62, 63, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,1010.0881222501662,"[36, 35, 34, 62, 61, 60, 133, 132]"
KOTA LUBUKLINGGAU,882.2490828717013,"[36, 35, 34, 62, 61, 60, 133]"
KOTA PAGAR ALAM,974.4813049403407,"[36, 35, 34, 62, 61, 60, 133, 134]"
KOTA PALEMBANG,1059.0148936893513,"[36, 35, 34, 62, 59, 109, 135]"
KOTA PRABUMULIH,1134.71108337934,"[36, 35, 34, 69, 116, 115, 114, 113, 136]"
KAB. BANGKA,1047.2095470622362,"[36, 58, 66, 137]"
KAB. BANGKA BARAT,1047.8400728553747,"[36, 35, 49, 65, 103, 138]"
KAB. BANGKA SELATAN,1192.5404387351605,"[36, 35, 49, 65, 103, 138, 139]"
KAB. BANGKA TENGAH,1232.6467105064203,"[36, 58, 124, 123, 140]"
KAB. BELITUNG,1297.700903549663,"[36, 58, 73, 141]"
KAB. BELITUNG TIMUR,1319.1478664513984,"[36, 58, 57, 142]"
KOTA PANGKAL PINANG,1306.1330906614648,"[36, 35, 49, 22, 143]"
KAB. LAMPUNG TENGAH,1129.681654791515,"[36, 58, 66, 145, 144]"
KAB. LAMPUNG UTARA,1067.5049394899468,"[36, 58, 66, 145]"
KAB. LAMPUNG SELATAN,1188.7046372059044,"[36, 58, 66, 146]"
KAB. LAMPUNG BARAT,1083.964949886033,"[36, 35, 34, 69, 116, 115, 147]"
KAB. LAMPUNG TIMUR,1202.318173401879,"[36, 58, 57, 148]"
KAB. MESUJI,1198.9033249389468,"[36, 35, 34, 62, 61, 111, 149]"
KAB. PESAWARAN,1149.073379990829,"[36, 58, 66, 129, 150]"
KAB. PESISIR BARAT,1146.2837591999114,"[36, 35, 34, 62, 107, 151]"
KAB. PRINGSEWU,1129.624290880631,"[36, 58, 157, 152]"
KAB. TULANG BAWANG,1064.6851588421548,"[36, 58, 153]"
KAB. TULANG BAWANG BARAT,1116.814860069468,"[36, 58, 153, 154]"
KAB. TANGGAMUS,1220.2664339799696,"[36, 58, 153, 154, 155]"
KAB. WAY KANAN,1224.4434021777806,"[36, 58, 157, 156]"
KOTA BANDAR LAMPUNG,1097.6902147501078,"[36, 58, 157]"
KOTA METRO,1129.0690535926235,"[36, 58, 157, 158]"
KAB. LEBAK,1320.8985675194274,"[36, 58, 157, 158, 159]"
KAB. PANDEGLANG,1340.4828142329643,"[36, 58, 57, 160]"
KAB. SERANG,1272.7947872018394,"[36, 58, 66, 129, 161]"
KAB. TANGERANG,1322.5150552216044,"[36, 58, 66, 129, 161, 162]"
KOTA CILEGON,1323.8381398618435,"[36, 58, 66, 145, 144, 164, 163]"
KOTA SERANG,1303.1067517025667,"[36, 58, 66, 145, 144, 164]"
KOTA TANGERANG,1358.0942854000573,"[36, 58, 66, 145, 144, 164, 165]"
KOTA TANGERANG SELATAN,1369.1973989588153,"[36, 58, 66, 145, 144, 164, 165, 166]"
KAB. BANDUNG,1438.5886698907345,"[36, 58, 187, 169, 168, 167]"
KAB. BANDUNG BARAT,1405.4480337175128,"[36, 58, 187, 169, 168]"
KAB. BEKASI,1326.9685439928176,"[36, 58, 187, 169]"
KAB. BOGOR,1393.6005120028494,"[36, 58, 187, 169, 170]"
KAB. CIAMIS,1529.860108119267,"[36, 58, 157, 172, 171]"
KAB. CIANJUR,1402.6056750948708,"[36, 58, 157, 172]"
KAB. CIREBON,1562.1510266630874,"[36, 58, 157, 172, 173]"
KAB. GARUT,1515.9212830223323,"[36, 58, 66, 129, 161, 174]"
KAB. INDRAMAYU,1489.5088244604344,"[36, 58, 157, 158, 175]"
KAB. KARAWANG,1481.7445761363838,"[36, 35, 34, 62, 61, 60, 133, 176]"
KAB. KUNINGAN,1504.0635462873613,"[36, 58, 178, 177]"
KAB. MAJALENGKA,1463.1955616712617,"[36, 58, 178]"
KAB. PANGANDARAN,1559.0945947171215,"[36, 58, 178, 179]"
KAB. PURWAKARTA,1435.381468940319,"[36, 58, 66, 145, 144, 180]"
KAB. SUBANG,1479.178179571679,"[36, 58, 66, 145, 144, 180, 181]"
KAB. SUKABUMI,1400.1270632575245,"[36, 58, 153, 195, 194, 182]"
KAB. SUMEDANG,1510.5416802728505,"[36, 58, 153, 195, 194, 182, 183]"
KAB. TASIKMALAYA,1556.9967814721163,"[36, 58, 66, 129, 184]"
KOTA BANDUNG,1459.6101644685612,"[36, 58, 66, 185]"
KOTA BANJAR,1521.0630552756127,"[36, 58, 187, 186]"
KOTA BEKASI,1307.8301823580514,"[36, 58, 187]"
KOTA BOGOR,1351.9091371388524,"[36, 58, 187, 188]"
KOTA CIMAHI,1398.5539684686987,"[36, 58, 189]"
KOTA CIREBON,1511.4532945143735,"[36, 58, 189, 190]"
KOTA DEPOK,1414.7136607075845,"[36, 35, 34, 62, 61, 125, 191]"
KOTA SUKABUMI,1475.0083973580586,"[36, 35, 34, 62, 61, 125, 191, 192]"
KOTA TASIKMALAYA,1521.24203339308,"[36, 58, 153, 195, 194, 193]"
KOTA JAKARTA,1322.8027885789545,"[36, 58, 153, 195, 194]"
KAB. ADMINISTRASI KEPULAUAN SERIBU,1254.4643526857408,"[36, 58, 153, 195]"
KAB. BANJARNEGARA,1639.7015199411553,"[36, 58, 153, 195, 196]"
KAB. BANYUMAS,1655.6110116964546,"[36, 58, 157, 158, 159, 197]"
KAB. BATANG,1643.5840221495614,"[36, 58, 187, 169, 198]"
KAB. BLORA,1806.7016027341879,"[36, 58, 187, 169, 198, 199]"
KAB. BOYOLALI,1763.6901599558535,"[36, 58, 187, 169, 168, 200]"
KAB. BREBES,1582.271940511996,"[36, 58, 187, 186, 201]"
KAB. CILACAP,1582.1335793373312,"[36, 58, 187, 169, 168, 202]"
KAB. DEMAK,1769.0932048919165,"[36, 58, 153, 221, 226, 227, 203]"
KAB. GROBOGAN,1758.79726194235,"[36, 58, 187, 169, 204]"
KAB. JEPARA,1800.1346546048562,"[36, 58, 157, 172, 171, 205]"
KAB. KARANGANYAR,1861.5910035353547,"[36, 35, 34, 62, 61, 206]"
KAB. KEBUMEN,1777.8054054854695,"[36, 35, 34, 62, 61, 60, 133, 176, 207]"
KAB. KENDAL,1748.1184540755166,"[36, 35, 34, 62, 61, 120, 208]"
KAB. KLATEN,1755.1006380350625,"[36, 58, 153, 221, 226, 209]"
KAB. KUDUS,1670.004635333963,"[36, 210]"
KAB. MAGELANG,1768.366454727143,"[36, 210, 211]"
KAB. PATI,1777.876261249304,"[36, 58, 153, 221, 214, 213, 212]"
KAB. PEKALONGAN,1616.4093920506418,"[36, 58, 153, 221, 214, 213]"
KAB. PEMALANG,1595.378435368265,"[36, 58, 153, 221, 214]"
KAB. PURBALINGGA,1614.5216911793682,"[36, 58, 153, 221, 215]"
KAB. PURWOREJO,1691.1817388948066,"[36, 58, 153, 221, 215, 216]"
KAB. REMBANG,1802.605289569448,"[36, 58, 153, 195, 217]"
KAB. SEMARANG,1757.3291955693817,"[36, 58, 187, 186, 201, 218]"
