city,distance,through
KAB. ACEH BARAT,1362.1873999095299,"[130, 125, 61, 62, 0]"
KAB. ACEH BARAT DAYA,1481.879196542698,"[130, 125, 61, 62, 0, 1]"
KAB. ACEH BESAR,1479.4036374813447,"[130, 65, 3, 2]"
KAB. ACEH JAYA,1403.100164144246,"[130, 65, 3]"
KAB. ACEH SELATAN,1159.9436172859137,"[130, 125, 70, 4]"
KAB. ACEH SINGKIL,1056.410901755929,"[130, 129, 66, 5]"
KAB. ACEH TAMIANG,1206.4121108560055,"[130, 129, 6]"
KAB. ACEH TENGAH,1309.1935469222637,"[130, 129, 66, 67, 8, 7]"
KAB. ACEH TENGGARA,1150.3855214406822,"[130, 129, 66, 67, 8]"
KAB. ACEH TIMUR,1267.672350873292,"[130, 125, 126, 109, 9]"
KAB. ACEH UTARA,1334.2624849617798,"[130, 125, 126, 109, 9, 10]"
KAB. BENER MERIAH,1315.4570721665382,"[130, 125, 70, 11]"
KAB. BIREUEN,1366.4522457401597,"[130, 125, 70, 11, 12]"
KAB. GAYO LUES,1217.3181989118702,"[130, 125, 70, 13]"
KAB. NAGAN RAYA,1314.413035996889,"[130, 125, 70, 13, 14]"
KAB. PIDIE,1408.1153886322836,"[130, 27, 22, 15]"
KAB. PIDIE JAYA,1412.3662954641204,"[130, 129, 53, 16]"
KAB. SIMEULUE,1256.1147474838656,"[130, 125, 126, 109, 59, 17]"
KOTA BANDA ACEH,1534.8426205526941,"[130, 125, 19, 18]"
KOTA LANGSA,1217.6829649865879,"[130, 125, 19]"
KOTA LHOKSEUMAWE,1335.2252706589302,"[130, 125, 20]"
KOTA SABANG,1521.7774773773103,"[130, 27, 22, 21]"
KOTA SUBULUSSALAM,1066.0957485894176,"[130, 27, 22]"
KAB. ASAHAN,1220.7718130684098,"[130, 131, 63, 24, 23]"
KAB. BATUBARA,1178.4392352680557,"[130, 131, 63, 24]"
KAB. DAIRI,1106.330724072347,"[130, 27, 28, 25]"
KAB. DELI SERDANG,1081.968138138797,"[130, 125, 107, 26]"
KAB. HUMBANG HASUNDUTAN,973.5002520498383,"[130, 27]"
KAB. KARO,1079.8996900089353,"[130, 27, 28]"
KAB. LABUHANBATU,934.1055931934382,"[130, 125, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,882.5000277376985,"[130, 125, 70, 30]"
KAB. LABUHANBATU UTARA,947.8742234244933,"[130, 125, 70, 30, 31]"
KAB. LANGKAT,1141.0892458122837,"[130, 125, 32]"
KAB. MANDAILING NATAL,934.7254745997516,"[130, 131, 63, 33]"
KAB. NIAS,984.3976488758814,"[130, 125, 61, 62, 34]"
KAB. NIAS BARAT,1012.8721796911258,"[130, 65, 49, 35]"
KAB. NIAS SELATAN,1018.6320036276903,"[130, 129, 66, 58, 36]"
KAB. NIAS UTARA,1101.671551411034,"[130, 129, 66, 58, 36, 37]"
