city,distance,through
KAB. ACEH BARAT,905.257604486515,"[38, 39, 43, 52, 51, 0]"
KAB. ACEH BARAT DAYA,931.2594741648168,"[38, 2, 1]"
KAB. ACEH BESAR,680.9646319612864,"[38, 2]"
KAB. ACEH JAYA,757.2681052983851,"[38, 2, 3]"
KAB. ACEH SELATAN,729.9326076833682,"[38, 6, 5, 4]"
KAB. ACEH SINGKIL,609.2618827427868,"[38, 6, 5]"
KAB. ACEH TAMIANG,400.37812155213715,"[38, 6]"
KAB. ACEH TENGAH,532.0556467879144,"[38, 6, 7]"
KAB. ACEH TENGGARA,690.8636722694959,"[38, 6, 7, 8]"
KAB. ACEH TIMUR,649.4783242731006,"[38, 39, 43, 42, 11, 10, 9]"
KAB. ACEH UTARA,582.888190184613,"[38, 39, 43, 42, 11, 10]"
KAB. BENER MERIAH,543.7669884851123,"[38, 39, 43, 42, 11]"
KAB. BIREUEN,594.7621620587339,"[38, 39, 43, 42, 11, 12]"
KAB. GAYO LUES,597.9800677436497,"[38, 25, 14, 13]"
KAB. NAGAN RAYA,500.8852306586309,"[38, 25, 14]"
KAB. PIDIE,622.9105927428143,"[38, 25, 14, 15]"
KAB. PIDIE JAYA,652.4419893753948,"[38, 25, 14, 15, 16]"
KAB. SIMEULUE,743.8776494472212,"[38, 25, 28, 55, 17]"
KOTA BANDA ACEH,705.6003138107783,"[38, 39, 18]"
KOTA LANGSA,626.458272611523,"[38, 37, 19]"
KOTA LHOKSEUMAWE,548.3432731840512,"[38, 25, 28, 20]"
KOTA SABANG,732.74139478434,"[38, 2, 21]"
KOTA SUBULUSSALAM,412.8309393392499,"[38, 29, 27, 22]"
KAB. ASAHAN,443.28027609798795,"[38, 25, 24, 23]"
KAB. BATUBARA,400.9476982976339,"[38, 25, 24]"
KAB. DAIRI,259.58752688430053,"[38, 25]"
KAB. DELI SERDANG,338.01791903186216,"[38, 25, 26]"
KAB. HUMBANG HASUNDUTAN,320.23544279967064,"[38, 29, 27]"
KAB. KARO,286.01856094771216,"[38, 25, 28]"
KAB. LABUHANBATU,141.93191450942652,"[38, 29]"
KAB. LABUHANBATU SELATAN,193.5374799651662,"[38, 29, 30]"
KAB. LABUHANBATU UTARA,258.911675651961,"[38, 29, 30, 31]"
KAB. LANGKAT,496.38757771037535,"[38, 29, 30, 31, 32]"
KAB. MANDAILING NATAL,151.79615208455456,"[38, 39, 33]"
KAB. NIAS,336.52781187187406,"[38, 39, 33, 34]"
KAB. NIAS BARAT,366.6539323707201,"[38, 39, 33, 34, 35]"
KAB. NIAS SELATAN,352.70291661134814,"[38, 37, 36]"
KAB. NIAS UTARA,269.6633688280045,"[38, 37]"
KAB. PADANG LAWAS,0.0,[38]
KAB. PADANG LAWAS UTARA,54.56948500247575,"[38, 39]"
KAB. PAKPAK BHARAT,243.0280546487723,"[38, 39, 40]"
KAB. SAMOSIR,307.69766681873307,"[38, 39, 40, 41]"
KAB. SERDANG BEDAGAI,262.3089072933948,"[38, 39, 43, 42]"
KAB. SIMALUNGUN,215.42284168060763,"[38, 39, 43]"
KAB. TAPANULI SELATAN,371.1735754316411,"[38, 39, 43, 44]"
KAB. TAPANULI TENGAH,441.81778715826476,"[38, 39, 43, 44, 45]"
KAB. TAPANULI UTARA,490.81217130977916,"[38, 39, 43, 44, 45, 46]"
KAB. TOBA SAMOSIR,498.80916222953965,"[38, 39, 43, 52, 48, 47]"
KOTA BINJAI,334.0077917107078,"[38, 39, 43, 52, 48]"
KOTA GUNUNGSITOLI,400.0251877501637,"[38, 39, 33, 34, 35, 49]"
KOTA MEDAN,580.6930919414226,"[38, 25, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,417.92312513834014,"[38, 39, 43, 52, 51]"
KOTA PEMATANGSIANTAR,238.80452782150402,"[38, 39, 43, 52]"
KOTA SIBOLGA,379.4909225882146,"[38, 39, 43, 52, 53]"
KOTA TANJUNGBALAI,469.745300743665,"[38, 25, 28, 55, 54]"
KOTA TEBING TINGGI,388.00855307210674,"[38, 25, 28, 55]"
KAB. AGAM,798.2097842982248,"[38, 25, 28, 55, 56]"
KAB. DHARMASRAYA,651.899416073309,"[38, 29, 30, 81, 57]"
KAB. KEPULAUAN MENTAWAI,619.5088341237611,"[38, 37, 36, 58]"
KAB. LIMA PULUH KOTA,668.8306090566322,"[38, 39, 33, 34, 62, 59]"
KAB. PADANG PARIAMAN,713.80377506186,"[38, 39, 43, 42, 60]"
KAB. PASAMAN,627.529252627227,"[38, 39, 33, 34, 62, 61]"
KAB. PASAMAN BARAT,567.9069603025384,"[38, 39, 33, 34, 62]"
