city,distance,through
KAB. ACEH BARAT,668.7911917890015,"[61, 62, 0]"
KAB. ACEH BARAT DAYA,788.4829884221697,"[61, 62, 0, 1]"
KAB. ACEH BESAR,813.4789238733138,"[61, 62, 4, 3, 2]"
KAB. ACEH JAYA,737.1754505362151,"[61, 62, 4, 3]"
KAB. ACEH SELATAN,486.71026877657675,"[61, 62, 4]"
KAB. ACEH SINGKIL,607.3809937171582,"[61, 62, 4, 5]"
KAB. ACEH TAMIANG,584.2150606376614,"[61, 59, 6]"
KAB. ACEH TENGAH,715.8925858734386,"[61, 59, 6, 7]"
KAB. ACEH TENGGARA,874.7006113550201,"[61, 59, 6, 7, 8]"
KAB. ACEH TIMUR,925.0514595292467,"[61, 60, 42, 11, 10, 9]"
KAB. ACEH UTARA,858.4613254407591,"[61, 60, 42, 11, 10]"
KAB. BENER MERIAH,819.3401237412584,"[61, 60, 42, 11]"
KAB. BIREUEN,870.33529731488,"[61, 60, 42, 11, 12]"
KAB. GAYO LUES,883.5939106331795,"[61, 62, 34, 35, 49, 25, 14, 13]"
KAB. NAGAN RAYA,786.4990735481607,"[61, 62, 34, 35, 49, 25, 14]"
KAB. PIDIE,859.1812765984198,"[61, 62, 34, 35, 49, 22, 15]"
KAB. PIDIE JAYA,888.7126732310003,"[61, 62, 34, 35, 49, 22, 15, 16]"
KAB. SIMEULUE,619.6793319632872,"[61, 59, 17]"
KOTA BANDA ACEH,915.108387367769,"[61, 59, 6, 18]"
KOTA LANGSA,812.1997609609259,"[61, 62, 34, 35, 36, 37, 19]"
KOTA LHOKSEUMAWE,804.1675640221013,"[61, 59, 6, 7, 20]"
KOTA SABANG,865.2556866963673,"[61, 62, 4, 3, 2, 21]"
KOTA SUBULUSSALAM,517.1616365555537,"[61, 62, 34, 35, 49, 22]"
KAB. ASAHAN,708.376041447209,"[61, 62, 34, 35, 49, 22, 23]"
KAB. BATUBARA,686.5615411871637,"[61, 62, 34, 35, 49, 25, 24]"
KAB. DAIRI,545.2013697738304,"[61, 62, 34, 35, 49, 25]"
KAB. DELI SERDANG,623.631761921392,"[61, 62, 34, 35, 49, 25, 26]"
KAB. HUMBANG HASUNDUTAN,609.757133095133,"[61, 62, 34, 35, 49, 22, 27]"
KAB. KARO,571.632403837242,"[61, 62, 34, 35, 49, 25, 28]"
KAB. LABUHANBATU,704.2041040942403,"[61, 62, 81, 30, 29]"
KAB. LABUHANBATU SELATAN,652.5985386385006,"[61, 62, 81, 30]"
KAB. LABUHANBATU UTARA,717.9727343252954,"[61, 62, 81, 30, 31]"
KAB. LANGKAT,842.2796433833213,"[61, 62, 34, 33, 32]"
KAB. MANDAILING NATAL,475.73310054267245,"[61, 62, 34, 33]"
KAB. NIAS,291.0014407553529,"[61, 62, 34]"
KAB. NIAS BARAT,321.127561254199,"[61, 62, 34, 35]"
KAB. NIAS SELATAN,372.36530939406384,"[61, 62, 34, 35, 36]"
KAB. NIAS UTARA,455.4048571774075,"[61, 62, 34, 35, 36, 37]"
KAB. PADANG LAWAS,627.529252627227,"[61, 62, 34, 33, 39, 38]"
KAB. PADANG LAWAS UTARA,572.9597676247513,"[61, 62, 34, 33, 39]"
KAB. PAKPAK BHARAT,686.781147550739,"[61, 60, 42, 41, 40]"
KAB. SAMOSIR,622.1115353807783,"[61, 60, 42, 41]"
KAB. SERDANG BEDAGAI,537.8820425495409,"[61, 60, 42]"
KAB. SIMALUNGUN,561.913242113673,"[61, 62, 34, 43]"
KAB. TAPANULI SELATAN,672.1319559531237,"[61, 79, 44]"
KAB. TAPANULI TENGAH,742.7761676797473,"[61, 79, 44, 45]"
KAB. TAPANULI UTARA,701.1948790583103,"[61, 59, 48, 47, 46]"
KAB. TOBA SAMOSIR,661.5210068416059,"[61, 59, 48, 47]"
KOTA BINJAI,496.719636322774,"[61, 59, 48]"
KOTA GUNUNGSITOLI,354.4988166336426,"[61, 62, 34, 35, 49]"
KOTA MEDAN,637.423077338663,"[61, 62, 34, 35, 49, 50]"
KOTA PADANGSIDEMPUAN,618.6682682829309,"[61, 63, 51]"
KOTA PEMATANGSIANTAR,585.2949282545694,"[61, 62, 34, 43, 52]"
KOTA SIBOLGA,725.98132302128,"[61, 62, 34, 43, 52, 53]"
KOTA TANJUNGBALAI,755.3591436331949,"[61, 62, 34, 35, 49, 25, 28, 55, 54]"
KOTA TEBING TINGGI,673.6223959616366,"[61, 62, 34, 35, 49, 25, 28, 55]"
KAB. AGAM,545.4860665446906,"[61, 59, 109, 56]"
KAB. DHARMASRAYA,508.06192499896997,"[61, 62, 81, 57]"
KAB. KEPULAUAN MENTAWAI,287.41289656663986,"[61, 59, 58]"
KAB. LIMA PULUH KOTA,43.187716887964505,"[61, 59]"
KAB. PADANG PARIAMAN,86.38717478107561,"[61, 60]"
KAB. PASAMAN,0.0,[61]
KAB. PASAMAN BARAT,59.622292324688594,"[61, 62]"
KAB. PESISIR SELATAN,230.42549719947507,"[61, 63]"
KAB. SIJUNJUNG,349.7323911712713,"[61, 63, 64]"
KAB. SOLOK,314.7001321033861,"[61, 63, 65]"
KAB. SOLOK SELATAN,379.0329911780382,"[61, 63, 65, 66]"
KAB. TANAH DATAR,380.6534651641039,"[61, 63, 74, 73, 67]"
KOTA BUKITTINGGI,409.52629658602484,"[61, 63, 74, 73, 67, 68]"
KOTA PADANG,481.1449611402304,"[61, 63, 74, 73, 67, 68, 69]"
KOTA PADANGPANJANG,455.3351502030999,"[61, 63, 74, 73, 71, 70]"
KOTA PARIAMAN,419.9714482821979,"[61, 63, 74, 73, 71]"
KOTA PAYAKUMBUH,398.8709946102768,"[61, 63, 72]"
KOTA SAWAHLUNTO,351.94749640890944,"[61, 63, 74, 73]"
KOTA SOLOK,337.50342454863255,"[61, 63, 74]"
KAB. BENGKALIS,604.6852178894619,"[61, 63, 74, 75]"
KAB. INDRAGIRI HILIR,737.6932305346004,"[61, 79, 78, 77, 76]"
KAB. INDRAGIRI HULU,632.8825625151985,"[61, 79, 78, 77]"
KAB. KAMPAR,476.64881554199496,"[61, 79, 78]"
KAB. KEPULAUAN MERANTI,288.37478534146834,"[61, 79]"
KAB. KUANTAN SINGINGI,441.64030168129705,"[61, 63, 74, 80]"
KAB. PELALAWAN,351.1492637646639,"[61, 62, 81]"
KAB. ROKAN HILIR,583.5095291068307,"[61, 62, 81, 82]"
KAB. ROKAN HULU,661.8314641670136,"[61, 62, 81, 82, 83]"
KAB. SIAK,579.0046876721268,"[61, 79, 78, 84]"
KOTA DUMAI,683.8279495096181,"[61, 79, 78, 84, 85]"
KOTA PEKANBARU,812.8670205516794,"[61, 79, 78, 84, 85, 86]"
KAB. BINTAN,500.18327675953725,"[61, 59, 88, 87]"
KAB. KARIMUN,372.1400782334599,"[61, 59, 88]"
KAB. KEPULAUAN ANAMBAS,732.5576692091292,"[61, 59, 88, 89]"
KAB. LINGGA,1153.1810723477224,"[61, 59, 88, 89, 90]"
KAB. NATUNA,1380.6848201301768,"[61, 63, 65, 93, 92, 91]"
KOTA BATAM,815.7426024827089,"[61, 63, 65, 93, 92]"
KOTA TANJUNG PINANG,764.0947024187203,"[61, 63, 65, 93]"
PULAU TAMBELAN KAB. BINTAN,1082.7952845700097,"[61, 63, 65, 93, 94]"
PEKAJANG KAB. LINGGA,939.3603845083603,"[61, 59, 58, 95]"
PULAU SERASAN KAB. NATUNA,1241.6648811911816,"[61, 59, 322, 323, 96]"
PULAU MIDAI KAB. NATUNA,1361.1428887943835,"[61, 63, 74, 73, 71, 97]"
PULAU LAUT KAB. NATUNA,1481.2575890667272,"[61, 79, 99, 98]"
KAB. BATANGHARI,584.3443064888818,"[61, 79, 99]"
KAB. BUNGO,650.1951341535938,"[61, 62, 81, 101, 100]"
KAB. KERINCI,593.4006721122998,"[61, 62, 81, 101]"
KAB. MERANGIN,662.8765221162116,"[61, 62, 81, 101, 102]"
KAB. MUARO JAMBI,647.0537774704684,"[61, 63, 65, 103]"
KAB. SAROLANGUN,528.3250407047094,"[61, 62, 107, 104]"
KAB. TANJUNG JABUNG BARAT,650.3808842383469,"[61, 62, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,568.133281924736,"[61, 62, 107, 106]"
KAB. TEBO,403.2080386658672,"[61, 62, 107]"
KOTA JAMBI,549.3174368684226,"[61, 62, 107, 108]"
KOTA SUNGAI PENUH,299.5155335388217,"[61, 59, 109]"
KAB. BENGKULU SELATAN,600.5765062289262,"[61, 111, 110]"
KAB. BENGKULU TENGAH,500.6741633559203,"[61, 111]"
KAB. BENGKULU UTARA,566.8033798137109,"[61, 111, 112]"
KAB. KAUR,724.505520376688,"[61, 62, 115, 114, 113]"
KAB. KEPAHIANG,603.6051427180707,"[61, 62, 115, 114]"
KAB. LEBONG,530.8477695471872,"[61, 62, 115]"
KAB. MUKOMUKO,633.3550068160328,"[61, 62, 115, 116]"
KAB. REJANG LEBONG,494.038055783144,"[61, 117]"
KAB. SELUMA,560.4058520609004,"[61, 117, 118]"
KOTA BENGKULU,618.1928722351003,"[61, 117, 118, 119]"
KAB. BANYUASIN,598.7123746927323,"[61, 120]"
KAB. EMPAT LAWANG,837.7983611503346,"[61, 62, 123, 122, 121]"
KAB. LAHAT,785.9982701534053,"[61, 62, 123, 122]"
KAB. MUARA ENIM,713.3583124794861,"[61, 62, 123]"
KAB. MUSI BANYUASIN,585.1072975892603,"[61, 125, 124]"
KAB. MUSI RAWAS,490.63257211753876,"[61, 125]"
KAB. MUSI RAWAS UTARA,466.7096011745381,"[61, 59, 109, 126]"
KAB. OGAN ILIR,689.1547820929843,"[61, 59, 109, 126, 127]"
KAB. OGAN KOMERING ILIR,756.6525494952413,"[61, 59, 109, 126, 127, 128]"
KAB. OGAN KOMERING ULU,764.5498416803815,"[61, 125, 130, 129]"
KAB. OGAN KOMERING ULU SELATAN,693.3962081205284,"[61, 125, 130]"
