city,distance,through
KAB. ACEH BARAT,2527.03369316973,"[361, 362, 363, 357, 1, 0]"
KAB. ACEH BARAT DAYA,2407.341896536562,"[361, 362, 363, 357, 1]"
KAB. ACEH BESAR,2639.445778090553,"[361, 66, 65, 3, 2]"
KAB. ACEH JAYA,2563.1423047534545,"[361, 66, 65, 3]"
KAB. ACEH SELATAN,2317.7005954952806,"[361, 66, 5, 4]"
KAB. ACEH SINGKIL,2197.0298705546993,"[361, 66, 5]"
KAB. ACEH TAMIANG,2405.913631745349,"[361, 66, 5, 6]"
KAB. ACEH TENGAH,2390.6039960909357,"[361, 362, 8, 7]"
KAB. ACEH TENGGARA,2231.7959706093543,"[361, 362, 8]"
KAB. ACEH TIMUR,2367.0741422816463,"[361, 362, 8, 9]"
KAB. ACEH UTARA,2404.531159696311,"[361, 362, 363, 10]"
KAB. BENER MERIAH,2426.8197524914594,"[361, 362, 52, 43, 42, 11]"
KAB. BIREUEN,2477.814926065081,"[361, 362, 52, 43, 42, 11, 12]"
KAB. GAYO LUES,2373.8188598174406,"[361, 362, 363, 357, 13]"
KAB. NAGAN RAYA,2383.6070443889935,"[361, 362, 14]"
KAB. PIDIE,2505.632406473177,"[361, 362, 14, 15]"
KAB. PIDIE JAYA,2535.163803105758,"[361, 362, 14, 15, 16]"
KAB. SIMEULUE,2448.0196504476353,"[361, 66, 58, 17]"
KOTA BANDA ACEH,2633.4895418302417,"[361, 362, 39, 18]"
KOTA LANGSA,2508.5182414627625,"[361, 362, 363, 332, 333, 346, 347, 19]"
KOTA LHOKSEUMAWE,2419.777540915473,"[361, 362, 363, 20]"
KOTA SABANG,2635.925080684151,"[361, 362, 363, 20, 21]"
KOTA SUBULUSSALAM,2204.916089071297,"[361, 360, 22]"
KAB. ASAHAN,2099.7470295726494,"[361, 362, 363, 357, 23]"
KAB. BATUBARA,2142.0796073730035,"[361, 362, 363, 357, 23, 24]"
KAB. DAIRI,2251.1657542483804,"[361, 362, 363, 357, 29, 25]"
KAB. DELI SERDANG,2319.619214019223,"[361, 362, 363, 357, 29, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2209.9778421170186,"[361, 362, 363, 357, 29, 27]"
KAB. KARO,2250.286417631377,"[361, 362, 363, 55, 28]"
KAB. LABUHANBATU,2031.6743138267743,"[361, 362, 363, 357, 29]"
KAB. LABUHANBATU SELATAN,2083.2798792825142,"[361, 362, 363, 357, 29, 30]"
KAB. LABUHANBATU UTARA,2134.3142241445903,"[361, 362, 363, 320, 319, 31]"
KAB. LANGKAT,2371.7901262030045,"[361, 362, 363, 320, 319, 31, 32]"
