city,distance,through
KAB. ACEH BARAT,900.6958709042881,"[81, 62, 0]"
KAB. ACEH BARAT DAYA,1020.3876675374563,"[81, 62, 0, 1]"
KAB. ACEH BESAR,1045.3836029886006,"[81, 62, 4, 3, 2]"
KAB. ACEH JAYA,969.0801296515019,"[81, 62, 4, 3]"
KAB. ACEH SELATAN,718.6149478918635,"[81, 62, 4]"
KAB. ACEH SINGKIL,695.1232340273712,"[81, 80, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,895.3648763911401,"[81, 30, 29, 38, 6]"
KAB. ACEH TENGAH,768.943244440245,"[81, 7]"
KAB. ACEH TENGGARA,780.3053440911738,"[81, 80, 74, 73, 67, 8]"
KAB. ACEH TIMUR,915.5835157634658,"[81, 80, 74, 73, 67, 8, 9]"
KAB. ACEH UTARA,912.2777462208944,"[81, 80, 11, 10]"
KAB. BENER MERIAH,873.1565445213937,"[81, 80, 11]"
KAB. BIREUEN,924.1517180950153,"[81, 80, 11, 12]"
KAB. GAYO LUES,777.9717026025887,"[81, 80, 13]"
KAB. NAGAN RAYA,778.1172666132958,"[81, 14]"
KAB. PIDIE,890.0547327130191,"[81, 30, 15]"
KAB. PIDIE JAYA,876.3080761236881,"[81, 30, 26, 16]"
KAB. SIMEULUE,746.0281391219213,"[81, 17]"
KOTA BANDA ACEH,1078.2175093065002,"[81, 17, 18]"
KOTA LANGSA,935.9483448012891,"[81, 36, 37, 19]"
KOTA LHOKSEUMAWE,815.4871600698064,"[81, 30, 28, 20]"
KOTA SABANG,1031.6346998384845,"[81, 30, 28, 20, 21]"
KOTA SUBULUSSALAM,623.9538651593998,"[81, 30, 29, 27, 22]"
KAB. ASAHAN,756.2390299648697,"[81, 30, 29, 25, 24, 23]"
KAB. BATUBARA,713.9064521645156,"[81, 30, 29, 25, 24]"
KAB. DAIRI,572.5462807511823,"[81, 30, 29, 25]"
KAB. DELI SERDANG,537.7886096105454,"[81, 30, 26]"
KAB. HUMBANG HASUNDUTAN,531.3583686198206,"[81, 30, 29, 27]"
KAB. KARO,553.1624478334672,"[81, 30, 28]"
KAB. LABUHANBATU,353.0548403295764,"[81, 30, 29]"
KAB. LABUHANBATU SELATAN,301.4492748738367,"[81, 30]"
KAB. LABUHANBATU UTARA,366.8234705606315,"[81, 30, 31]"
KAB. LANGKAT,604.2993726190459,"[81, 30, 31, 32]"
KAB. MANDAILING NATAL,637.6244354069597,"[81, 80, 74, 63, 33]"
KAB. NIAS,522.9061198706396,"[81, 62, 34]"
KAB. NIAS BARAT,547.3516413742916,"[81, 36, 35]"
KAB. NIAS SELATAN,496.1138932344268,"[81, 36]"
KAB. NIAS UTARA,579.1534410177705,"[81, 36, 37]"
KAB. PADANG LAWAS,494.9867548390029,"[81, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,549.5562398414787,"[81, 30, 29, 38, 39]"
KAB. PAKPAK BHARAT,707.6300577369548,"[81, 80, 74, 51, 41, 40]"
KAB. SAMOSIR,642.960445566994,"[81, 80, 74, 51, 41]"
KAB. SERDANG BEDAGAI,727.1899383982314,"[81, 80, 74, 51, 41, 42]"
KAB. SIMALUNGUN,696.011897072645,"[81, 80, 74, 51, 52, 43]"
KAB. TAPANULI SELATAN,685.6402641979894,"[81, 80, 79, 44]"
KAB. TAPANULI TENGAH,624.8365135377962,"[81, 80, 74, 73, 46, 45]"
KAB. TAPANULI UTARA,575.8421293862818,"[81, 80, 74, 73, 46]"
KAB. TOBA SAMOSIR,615.5160016029863,"[81, 80, 74, 73, 46, 47]"
KOTA BINJAI,767.8334748209523,"[81, 80, 74, 51, 52, 48]"
KOTA GUNUNGSITOLI,580.7228967537352,"[81, 36, 35, 49]"
KOTA MEDAN,749.5490410975647,"[81, 80, 74, 51, 50]"
KOTA PADANGSIDEMPUAN,493.51161361491245,"[81, 80, 74, 51]"
KOTA PEMATANGSIANTAR,672.6302109317486,"[81, 80, 74, 51, 52]"
KOTA SIBOLGA,808.0804500809465,"[81, 80, 79, 78, 53]"
KOTA TANJUNGBALAI,736.8891876294201,"[81, 30, 28, 55, 54]"
KOTA TEBING TINGGI,655.1524399578618,"[81, 30, 28, 55]"
KAB. AGAM,345.72750122141474,"[81, 57, 56]"
KAB. DHARMASRAYA,156.9126612343061,"[81, 57]"
KAB. KEPULAUAN MENTAWAI,413.3228728776174,"[81, 80, 58]"
KAB. LIMA PULUH KOTA,392.450620194069,"[81, 62, 59]"
KAB. PADANG PARIAMAN,437.5364385457395,"[81, 62, 61, 60]"
KAB. PASAMAN,351.1492637646639,"[81, 62, 61]"
KAB. PASAMAN BARAT,291.5269714399753,"[81, 62]"
KAB. PESISIR SELATAN,315.395199312906,"[81, 80, 74, 63]"
KAB. SIJUNJUNG,434.7020932847022,"[81, 80, 74, 63, 64]"
KAB. SOLOK,399.6698342168171,"[81, 80, 74, 63, 65]"
KAB. SOLOK SELATAN,379.96232124037346,"[81, 80, 74, 73, 67, 66]"
KAB. TANAH DATAR,251.46731257921988,"[81, 80, 74, 73, 67]"
KOTA BUKITTINGGI,280.3401440011408,"[81, 80, 74, 73, 67, 68]"
KOTA PADANG,351.95880855534637,"[81, 80, 74, 73, 67, 68, 69]"
KOTA PADANGPANJANG,326.1489976182158,"[81, 80, 74, 73, 71, 70]"
KOTA PARIAMAN,290.7852956973138,"[81, 80, 74, 73, 71]"
KOTA PAYAKUMBUH,274.52013274365703,"[81, 80, 74, 73, 72]"
KOTA SAWAHLUNTO,222.7613438240254,"[81, 80, 74, 73]"
KOTA SOLOK,208.31727196374848,"[81, 80, 74]"
KAB. BENGKALIS,475.4990653045778,"[81, 80, 74, 75]"
KAB. INDRAGIRI HILIR,706.5954808777515,"[81, 80, 74, 75, 76]"
KAB. INDRAGIRI HULU,646.3908707600642,"[81, 80, 79, 78, 77]"
KAB. KAMPAR,490.1571237868607,"[81, 80, 79, 78]"
KAB. KEPULAUAN MERANTI,301.8830935863341,"[81, 80, 79]"
KAB. KUANTAN SINGINGI,104.18039483108402,"[81, 80]"
KAB. PELALAWAN,0.0,[81]
KAB. ROKAN HILIR,232.36026534216677,"[81, 82]"
KAB. ROKAN HULU,310.6822004023496,"[81, 82, 83]"
KAB. SIAK,463.8338536270711,"[81, 82, 83, 84]"
KOTA DUMAI,568.6571154645624,"[81, 82, 83, 84, 85]"
KOTA PEKANBARU,697.6961865066237,"[81, 82, 83, 84, 85, 86]"
KAB. BINTAN,665.9525193381205,"[81, 82, 88, 87]"
KAB. KARIMUN,537.9093208120431,"[81, 82, 88]"
KAB. KEPULAUAN ANAMBAS,898.3269117877123,"[81, 82, 88, 89]"
KAB. LINGGA,1138.8710638084442,"[81, 101, 102, 149, 90]"
KAB. NATUNA,1419.9223133818791,"[81, 80, 74, 73, 71, 93, 92, 91]"
KOTA BATAM,854.9800957344114,"[81, 80, 74, 73, 71, 93, 92]"
KOTA TANJUNG PINANG,803.3321956704228,"[81, 80, 74, 73, 71, 93]"
PULAU TAMBELAN KAB. BINTAN,1101.2934439115859,"[81, 30, 94]"
PEKAJANG KAB. LINGGA,1065.2703608193378,"[81, 80, 58, 95]"
PULAU SERASAN KAB. NATUNA,1281.7445779066759,"[81, 82, 83, 96]"
PULAU MIDAI KAB. NATUNA,1231.9567362094995,"[81, 80, 74, 73, 71, 97]"
PULAU LAUT KAB. NATUNA,1328.7309855814553,"[81, 101, 100, 99, 98]"
KAB. BATANGHARI,431.81770300360995,"[81, 101, 100, 99]"
KAB. BUNGO,299.04587038892987,"[81, 101, 100]"
KAB. KERINCI,242.2514083476359,"[81, 101]"
KAB. MERANGIN,311.72725835154773,"[81, 101, 102]"
KAB. MUARO JAMBI,527.7549490459344,"[81, 101, 102, 103]"
KAB. SAROLANGUN,622.0890906930333,"[81, 80, 74, 73, 72, 107, 104]"
KAB. TANJUNG JABUNG BARAT,630.8459379930088,"[81, 101, 102, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,548.5983356793979,"[81, 101, 102, 106]"
KAB. TEBO,496.9720886541911,"[81, 80, 74, 73, 72, 107]"
KOTA JAMBI,602.3101695777668,"[81, 80, 79, 108]"
KOTA SUNGAI PENUH,591.6980342272836,"[81, 57, 56, 109]"
