city,distance,through
KAB. ACEH BARAT,1306.5140046451038,"[132, 133, 60, 61, 62, 0]"
KAB. ACEH BARAT DAYA,1426.205801278272,"[132, 133, 60, 61, 62, 0, 1]"
KAB. ACEH BESAR,1405.3685148745803,"[132, 133, 38, 2]"
KAB. ACEH JAYA,1374.8982633923176,"[132, 133, 60, 61, 62, 4, 3]"
KAB. ACEH SELATAN,1124.4330816326792,"[132, 133, 60, 61, 62, 4]"
KAB. ACEH SINGKIL,1045.0971538766812,"[132, 133, 71, 72, 5]"
KAB. ACEH TAMIANG,1124.782004465431,"[132, 133, 38, 6]"
KAB. ACEH TENGAH,1256.4595297012083,"[132, 133, 38, 6, 7]"
KAB. ACEH TENGGARA,1178.483283039765,"[132, 133, 71, 73, 67, 8]"
KAB. ACEH TIMUR,1313.761454712057,"[132, 133, 71, 73, 67, 8, 9]"
KAB. ACEH UTARA,1276.800734918957,"[132, 133, 11, 10]"
KAB. BENER MERIAH,1237.6795332194563,"[132, 133, 11]"
KAB. BIREUEN,1288.6747067930778,"[132, 133, 11, 12]"
KAB. GAYO LUES,1185.1902841871956,"[132, 133, 71, 70, 13]"
KAB. NAGAN RAYA,1225.2891135719249,"[132, 133, 38, 25, 14]"
KAB. PIDIE,1288.7928002105277,"[132, 22, 15]"
KAB. PIDIE JAYA,1318.3241968431082,"[132, 22, 15, 16]"
KAB. SIMEULUE,1205.9296574765008,"[132, 133, 60, 59, 17]"
KOTA BANDA ACEH,1430.0041967240722,"[132, 133, 38, 39, 18]"
KOTA LANGSA,1148.1486548135547,"[132, 133, 19]"
KOTA LHOKSEUMAWE,1269.6198762939314,"[132, 133, 19, 20]"
KOTA SABANG,1402.4548889555545,"[132, 22, 21]"
KOTA SUBULUSSALAM,946.7731601676617,"[132, 22]"
KAB. ASAHAN,1137.987565059317,"[132, 22, 23]"
KAB. BATUBARA,1125.3515812109279,"[132, 133, 38, 25, 24]"
KAB. DAIRI,983.9914097975945,"[132, 133, 38, 25]"
KAB. DELI SERDANG,1062.4218019451562,"[132, 133, 38, 25, 26]"
KAB. HUMBANG HASUNDUTAN,1039.368656707241,"[132, 22, 27]"
KAB. KARO,1010.4224438610062,"[132, 133, 38, 25, 28]"
KAB. LABUHANBATU,866.3357974227205,"[132, 133, 38, 29]"
KAB. LABUHANBATU SELATAN,850.3721130130239,"[132, 133, 71, 70, 30]"
KAB. LABUHANBATU UTARA,915.7463086998187,"[132, 133, 71, 70, 30, 31]"
KAB. LANGKAT,1153.222210758233,"[132, 133, 71, 70, 30, 31, 32]"
KAB. MANDAILING NATAL,876.2000349978485,"[132, 133, 38, 39, 33]"
KAB. NIAS,928.7242536114553,"[132, 133, 60, 61, 62, 34]"
