city,distance,through
KAB. ACEH BARAT,1517.320854029723,"[150, 104, 107, 62, 0]"
KAB. ACEH BARAT DAYA,1634.5005675989198,"[150, 149, 139, 140, 1]"
KAB. ACEH BESAR,1629.2681856549216,"[150, 129, 66, 65, 3, 2]"
KAB. ACEH JAYA,1552.964712317823,"[150, 129, 66, 65, 3]"
KAB. ACEH SELATAN,1304.7097320087423,"[150, 129, 70, 4]"
KAB. ACEH SINGKIL,1186.8522781190677,"[150, 129, 66, 5]"
KAB. ACEH TAMIANG,1336.8534872191444,"[150, 129, 6]"
KAB. ACEH TENGAH,1439.6349232854025,"[150, 129, 66, 67, 8, 7]"
KAB. ACEH TENGGARA,1280.8268978038209,"[150, 129, 66, 67, 8]"
KAB. ACEH TIMUR,1416.105069476113,"[150, 129, 66, 67, 8, 9]"
KAB. ACEH UTARA,1454.9880527901742,"[150, 10]"
KAB. BENER MERIAH,1460.2231868893668,"[150, 129, 70, 11]"
KAB. BIREUEN,1504.2680052437838,"[150, 12]"
KAB. GAYO LUES,1362.084313634699,"[150, 129, 70, 13]"
KAB. NAGAN RAYA,1459.1791507197177,"[150, 129, 70, 13, 14]"
KAB. PIDIE,1570.6035729010302,"[150, 16, 15]"
KAB. PIDIE JAYA,1541.0721762684498,"[150, 16]"
KAB. SIMEULUE,1437.842058012004,"[150, 129, 66, 58, 17]"
KOTA BANDA ACEH,1667.746813949252,"[150, 129, 6, 18]"
KOTA LANGSA,1490.4316084694328,"[150, 129, 130, 125, 19]"
KOTA LHOKSEUMAWE,1508.8689385884888,"[150, 104, 107, 44, 45, 20]"
KOTA SABANG,1681.0449484779751,"[150, 129, 66, 65, 3, 2, 21]"
KOTA SUBULUSSALAM,1292.0282924071703,"[150, 129, 66, 65, 49, 22]"
KAB. ASAHAN,1380.3769261719885,"[150, 129, 66, 65, 63, 24, 23]"
KAB. BATUBARA,1338.0443483716344,"[150, 129, 66, 65, 63, 24]"
KAB. DAIRI,1296.4869487339242,"[150, 129, 26, 25]"
KAB. DELI SERDANG,1218.0565565863626,"[150, 129, 26]"
KAB. HUMBANG HASUNDUTAN,1246.2488955326833,"[150, 129, 130, 27]"
KAB. KARO,1278.9793154201577,"[150, 129, 70, 30, 28]"
KAB. LABUHANBATU,1078.8717079162668,"[150, 129, 70, 30, 29]"
KAB. LABUHANBATU SELATAN,1027.2661424605271,"[150, 129, 70, 30]"
KAB. LABUHANBATU UTARA,1083.2455252531151,"[150, 151, 31]"
KAB. LANGKAT,1320.7214273115296,"[150, 151, 31, 32]"
KAB. MANDAILING NATAL,1094.3305877033304,"[150, 129, 66, 65, 63, 33]"
KAB. NIAS,1139.5311029960744,"[150, 104, 107, 62, 34]"
KAB. NIAS BARAT,1162.7367278647027,"[150, 129, 66, 65, 49, 35]"
KAB. NIAS SELATAN,1149.073379990829,"[150, 129, 66, 58, 36]"
KAB. NIAS UTARA,1232.1129277741727,"[150, 129, 66, 58, 36, 37]"
KAB. PADANG LAWAS,1220.8036224256934,"[150, 129, 70, 30, 29, 38]"
KAB. PADANG LAWAS UTARA,1191.5572547854092,"[150, 129, 66, 65, 63, 33, 39]"
KAB. PAKPAK BHARAT,1229.459809239719,"[150, 104, 107, 72, 41, 40]"
KAB. SAMOSIR,1164.7901970697583,"[150, 104, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1231.7907369061406,"[150, 104, 107, 44, 43, 42]"
KAB. SIMALUNGUN,1184.9046712933534,"[150, 104, 107, 44, 43]"
KAB. TAPANULI SELATAN,1029.15393754232,"[150, 104, 107, 44]"
KAB. TAPANULI TENGAH,1099.7981492689437,"[150, 104, 107, 44, 45]"
KAB. TAPANULI UTARA,1133.775620609318,"[150, 129, 66, 67, 73, 46]"
KAB. TOBA SAMOSIR,1173.4494928260224,"[150, 129, 66, 67, 73, 46, 47]"
KOTA BINJAI,1301.2277955305026,"[150, 53, 52, 48]"
KOTA GUNUNGSITOLI,1129.365472485259,"[150, 129, 66, 65, 49]"
KOTA MEDAN,1270.3057795010645,"[150, 129, 66, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,1080.3332485585024,"[150, 129, 66, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,1206.0245316412988,"[150, 53, 52]"
KOTA SIBOLGA,1065.3381368745884,"[150, 53]"
KOTA TANJUNGBALAI,1113.1783590590321,"[150, 104, 107, 54]"
KOTA TEBING TINGGI,1194.9151067305904,"[150, 104, 107, 54, 55]"
KAB. AGAM,942.0144922463995,"[150, 129, 130, 125, 126, 109, 56]"
KAB. DHARMASRAYA,931.9878683996742,"[150, 149, 148, 57]"
KAB. KEPULAUAN MENTAWAI,882.2674624784161,"[150, 129, 66, 58]"
KAB. LIMA PULUH KOTA,952.3717758913879,"[150, 129, 130, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,1030.4741802175392,"[150, 129, 130, 125, 126, 109, 59, 60]"
KAB. PASAMAN,966.1448516033734,"[150, 129, 130, 125, 61]"
KAB. PASAMAN BARAT,908.1519545654102,"[150, 104, 107, 62]"
