city,distance,through
KAB. ACEH BARAT,1062.1883157874972,"[16, 26, 51, 0]"
KAB. ACEH BARAT DAYA,1129.3043704899235,"[16, 15, 22, 21, 2, 1]"
KAB. ACEH BESAR,879.0095282863931,"[16, 15, 22, 21, 2]"
KAB. ACEH JAYA,955.3130016234918,"[16, 15, 22, 21, 2, 3]"
KAB. ACEH SELATAN,1036.510787426626,"[16, 26, 7, 6, 5, 4]"
KAB. ACEH SINGKIL,915.8400624860444,"[16, 26, 7, 6, 5]"
KAB. ACEH TAMIANG,706.9563012953947,"[16, 26, 7, 6]"
KAB. ACEH TENGAH,575.2787760596175,"[16, 26, 7]"
KAB. ACEH TENGGARA,689.8434375355768,"[16, 15, 14, 13, 12, 11, 10, 9, 8]"
KAB. ACEH TIMUR,554.5652658632847,"[16, 15, 14, 13, 12, 11, 10, 9]"
KAB. ACEH UTARA,487.9751317747971,"[16, 15, 14, 13, 12, 11, 10]"
KAB. BENER MERIAH,448.8539300752964,"[16, 15, 14, 13, 12, 11]"
KAB. BIREUEN,397.85875650167475,"[16, 15, 14, 13, 12]"
KAB. GAYO LUES,248.65159580178272,"[16, 15, 14, 13]"
KAB. NAGAN RAYA,151.55675871676397,"[16, 15, 14]"
KAB. PIDIE,29.531396632580538,"[16, 15]"
KAB. PIDIE JAYA,0.0,[16]
KAB. SIMEULUE,279.82064394322845,"[16, 17]"
KOTA BANDA ACEH,612.0100141278075,"[16, 17, 18]"
KOTA LANGSA,785.024975688657,"[16, 26, 7, 20, 19]"
KOTA LHOKSEUMAWE,663.5537542082802,"[16, 26, 7, 20]"
KOTA SABANG,827.2327654633395,"[16, 15, 22, 21]"
KOTA SUBULUSSALAM,371.55103667544665,"[16, 15, 22]"
KAB. ASAHAN,562.7654415671019,"[16, 15, 22, 23]"
KAB. BATUBARA,534.2146339044276,"[16, 15, 14, 25, 24]"
KAB. DAIRI,392.8544624910943,"[16, 15, 14, 25]"
KAB. DELI SERDANG,338.5194665131426,"[16, 26]"
KAB. HUMBANG HASUNDUTAN,464.1465332150259,"[16, 15, 22, 27]"
KAB. KARO,419.2854965545059,"[16, 15, 14, 25, 28]"
KAB. LABUHANBATU,540.5493442106647,"[16, 29]"
KAB. LABUHANBATU SELATAN,574.8588012498514,"[16, 26, 30]"
KAB. LABUHANBATU UTARA,640.2329969366461,"[16, 26, 30, 31]"
KAB. LANGKAT,877.7088989950605,"[16, 26, 30, 31, 32]"
KAB. MANDAILING NATAL,782.4428922629669,"[16, 15, 22, 49, 35, 34, 33]"
KAB. NIAS,597.7112324756474,"[16, 15, 22, 49, 35, 34]"
KAB. NIAS BARAT,567.5851119768014,"[16, 15, 22, 49, 35]"
KAB. NIAS SELATAN,560.4919844728605,"[16, 15, 37, 36]"
KAB. NIAS UTARA,477.4524366895168,"[16, 15, 37]"
KAB. PADANG LAWAS,652.4419893753948,"[16, 15, 14, 25, 38]"
KAB. PADANG LAWAS UTARA,707.0114743778705,"[16, 15, 14, 25, 38, 39]"
KAB. PAKPAK BHARAT,788.9722805613648,"[16, 26, 51, 41, 40]"
KAB. SAMOSIR,724.302668391404,"[16, 26, 51, 41]"
KAB. SERDANG BEDAGAI,687.4679716205139,"[16, 53, 52, 43, 42]"
KAB. SIMALUNGUN,640.5819060077267,"[16, 53, 52, 43]"
KAB. TAPANULI SELATAN,796.3326397587603,"[16, 53, 52, 43, 44]"
KAB. TAPANULI TENGAH,866.9768514853839,"[16, 53, 52, 43, 44, 45]"
KAB. TAPANULI UTARA,915.9712356368983,"[16, 53, 52, 43, 44, 45, 46]"
KAB. TOBA SAMOSIR,877.204854274866,"[16, 53, 52, 48, 47]"
KOTA BINJAI,712.4034837560341,"[16, 53, 52, 48]"
KOTA GUNUNGSITOLI,534.2138565973578,"[16, 15, 22, 49]"
KOTA MEDAN,700.1782574105366,"[16, 15, 22, 23, 50]"
KOTA PADANGSIDEMPUAN,574.8538364393224,"[16, 26, 51]"
KOTA PEMATANGSIANTAR,617.2002198668304,"[16, 53, 52]"
KOTA SIBOLGA,476.5138251001198,"[16, 53]"
KOTA TANJUNGBALAI,603.0122363504588,"[16, 15, 14, 25, 28, 55, 54]"
KOTA TEBING TINGGI,521.2754886789005,"[16, 15, 14, 25, 28, 55]"
KAB. AGAM,931.4767199050186,"[16, 15, 14, 25, 28, 55, 56]"
KAB. DHARMASRAYA,1018.9141394067442,"[16, 15, 37, 57]"
KAB. KEPULAUAN MENTAWAI,827.2979019852735,"[16, 15, 37, 36, 58]"
KAB. LIMA PULUH KOTA,856.3122590185511,"[16, 17, 59]"
KAB. PADANG PARIAMAN,934.4146633447024,"[16, 17, 59, 60]"
KAB. PASAMAN,888.7126732310004,"[16, 15, 22, 49, 35, 34, 62, 61]"
KAB. PASAMAN BARAT,829.0903809063118,"[16, 15, 22, 49, 35, 34, 62]"
KAB. PESISIR SELATAN,932.9707269437317,"[16, 74, 63]"
KAB. SIJUNJUNG,1014.6769061615576,"[16, 15, 22, 49, 65, 64]"
KAB. SOLOK,975.7526123772514,"[16, 15, 22, 49, 65]"
KAB. SOLOK SELATAN,921.6303499270966,"[16, 53, 66]"
KAB. TANAH DATAR,869.0428402100456,"[16, 74, 73, 67]"
KOTA BUKITTINGGI,897.9156716319666,"[16, 74, 73, 67, 68]"
KOTA PADANG,890.4774722748035,"[16, 26, 30, 70, 69]"
KOTA PADANGPANJANG,836.951881442645,"[16, 26, 30, 70]"
KOTA PARIAMAN,872.315583363547,"[16, 26, 30, 70, 71]"
KOTA PAYAKUMBUH,892.0956603744827,"[16, 74, 73, 72]"
KOTA SAWAHLUNTO,840.3368714548511,"[16, 74, 73]"
KOTA SOLOK,825.8927995945742,"[16, 74]"
KAB. BENGKALIS,731.4504475849382,"[16, 75]"
KAB. INDRAGIRI HILIR,962.5468631581118,"[16, 75, 76]"
KAB. INDRAGIRI HULU,939.156777272236,"[16, 77]"
KAB. KAMPAR,794.4371513942056,"[16, 53, 78]"
KAB. KEPULAUAN MERANTI,982.7111815947321,"[16, 53, 78, 79]"
KAB. KUANTAN SINGINGI,906.7640666628132,"[16, 15, 14, 80]"
KAB. PELALAWAN,876.3080761236881,"[16, 26, 30, 81]"
KAB. ROKAN HILIR,786.3277958966664,"[16, 15, 22, 83, 82]"
KAB. ROKAN HULU,708.0058608364835,"[16, 15, 22, 83]"
KAB. SIAK,791.2891710119338,"[16, 26, 30, 84]"
KOTA DUMAI,783.9616943410375,"[16, 15, 22, 27, 85]"
KOTA PEKANBARU,833.3228056657529,"[16, 15, 14, 25, 86]"
KAB. BINTAN,1167.100132832362,"[16, 15, 22, 83, 88, 87]"
KAB. KARIMUN,1039.0569343062848,"[16, 15, 22, 83, 88]"
KAB. KEPULAUAN ANAMBAS,1257.1652954167266,"[16, 15, 22, 27, 89]"
KAB. LINGGA,1677.7886985553198,"[16, 15, 22, 27, 89, 90]"
KAB. NATUNA,1642.6796055223226,"[16, 53, 52, 91]"
KOTA BATAM,1088.741043769691,"[16, 15, 14, 25, 24, 92]"
KOTA TANJUNG PINANG,1140.3889438336796,"[16, 15, 14, 25, 24, 92, 93]"
PULAU TAMBELAN KAB. BINTAN,1374.7029702876007,"[16, 26, 30, 94]"
PEKAJANG KAB. LINGGA,1479.245389926994,"[16, 15, 37, 36, 58, 95]"
PULAU SERASAN KAB. NATUNA,1527.3700897855683,"[16, 29, 96]"
PULAU MIDAI KAB. NATUNA,1678.7867023811843,"[16, 29, 96, 97]"
PULAU LAUT KAB. NATUNA,1870.4281329171033,"[16, 29, 96, 97, 98]"
KAB. BATANGHARI,1095.3550103478883,"[16, 29, 99]"
KAB. BUNGO,1075.5960157857103,"[16, 15, 37, 100]"
KAB. KERINCI,1118.5594844713241,"[16, 26, 30, 81, 101]"
KAB. MERANGIN,1188.035334475236,"[16, 26, 30, 81, 101, 102]"
KAB. MUARO JAMBI,1272.942216326441,"[16, 26, 107, 104, 103]"
KAB. SAROLANGUN,1122.9011460693662,"[16, 26, 107, 104]"
KAB. TANJUNG JABUNG BARAT,1244.9569896030039,"[16, 26, 107, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,1162.709387289393,"[16, 26, 107, 106]"
KAB. TEBO,997.784144030524,"[16, 26, 107]"
KOTA JAMBI,1143.8935422330794,"[16, 26, 107, 108]"
KOTA SUNGAI PENUH,1112.6400756694084,"[16, 17, 59, 109]"
KAB. BENGKULU SELATAN,1302.33920824048,"[16, 74, 111, 110]"
KAB. BENGKULU TENGAH,1202.4368653674742,"[16, 74, 111]"
KAB. BENGKULU UTARA,1202.2523137679889,"[16, 15, 14, 13, 112]"
KAB. KAUR,1332.2616754439214,"[16, 74, 113]"
KAB. KEPAHIANG,1211.4292398311013,"[16, 74, 114]"
KAB. LEBONG,1213.0021459055124,"[16, 26, 30, 70, 69, 116, 115]"
KAB. MUKOMUKO,1110.4949086366669,"[16, 26, 30, 70, 69, 116]"
KAB. REJANG LEBONG,1240.298367623824,"[16, 15, 22, 27, 117]"
KAB. SELUMA,1256.4838960814125,"[16, 53, 66, 118]"
KOTA BENGKULU,1240.4876068394638,"[16, 15, 14, 119]"
KAB. BANYUASIN,1336.6931975178568,"[16, 15, 14, 25, 120]"
KAB. EMPAT LAWANG,1384.5381544403199,"[16, 26, 30, 84, 122, 121]"
KAB. LAHAT,1332.7380634433905,"[16, 26, 30, 84, 122]"
KAB. MUARA ENIM,1357.5078549060224,"[16, 53, 66, 124, 123]"
KAB. MUSI BANYUASIN,1224.0937068899632,"[16, 53, 66, 124]"
KAB. MUSI RAWAS,1217.72396864895,"[16, 26, 107, 125]"
KAB. MUSI RAWAS UTARA,1271.0615807679296,"[16, 26, 107, 125, 126]"
KAB. OGAN ILIR,1448.7247189065906,"[16, 17, 127]"
KAB. OGAN KOMERING ILIR,1490.0197957761281,"[16, 53, 129, 128]"
KAB. OGAN KOMERING ULU,1341.2126619042674,"[16, 53, 129]"
KAB. OGAN KOMERING ULU SELATAN,1412.3662954641204,"[16, 53, 129, 130]"
KAB. OGAN KOMERING ULU TIMUR,1423.1438927031832,"[16, 74, 63, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,1318.3241968431084,"[16, 15, 22, 132]"
KOTA LUBUKLINGGAU,1249.0068329102237,"[16, 15, 14, 25, 38, 133]"
KOTA PAGAR ALAM,1341.2390549788631,"[16, 15, 14, 25, 38, 133, 134]"
KOTA PALEMBANG,1326.9609720718754,"[16, 26, 30, 84, 135]"
KOTA PRABUMULIH,1351.225745465973,"[16, 15, 22, 136]"
KAB. BANGKA,1333.6436257670862,"[16, 29, 137]"
KAB. BANGKA BARAT,1380.7489722604575,"[16, 29, 137, 138]"
KAB. BANGKA SELATAN,1438.0557670157195,"[16, 29, 139]"
KAB. BANGKA TENGAH,1440.5317528817093,"[16, 15, 140]"
KAB. BELITUNG,1617.294684747545,"[16, 15, 140, 141]"
KAB. BELITUNG TIMUR,1662.4446986890973,"[16, 15, 140, 141, 142]"
KOTA PANGKAL PINANG,1430.4123038956918,"[16, 15, 22, 143]"
KAB. LAMPUNG TENGAH,1504.4954319285148,"[16, 77, 144]"
KAB. LAMPUNG UTARA,1463.5557670569278,"[16, 53, 66, 145]"
KAB. LAMPUNG SELATAN,1584.7554647728855,"[16, 53, 66, 146]"
KAB. LAMPUNG BARAT,1519.3793234487573,"[16, 26, 30, 70, 69, 116, 115, 147]"
KAB. LAMPUNG TIMUR,1585.4438035687213,"[16, 74, 63, 148]"
KAB. MESUJI,1528.300717556437,"[16, 74, 111, 149]"
KAB. PESAWARAN,1541.0721762684498,"[16, 150]"
KAB. PESISIR BARAT,1457.6118572789142,"[16, 151]"
KAB. PRINGSEWU,1553.1773470070668,"[16, 151, 152]"
KAB. TULANG BAWANG,1536.3414203502423,"[16, 53, 66, 124, 123, 153]"
KAB. TULANG BAWANG BARAT,1588.4711215775556,"[16, 53, 66, 124, 123, 153, 154]"
KAB. TANGGAMUS,1527.6073210098687,"[16, 29, 99, 155]"
KAB. WAY KANAN,1519.9759112376607,"[16, 15, 14, 13, 112, 156]"
KOTA BANDAR LAMPUNG,1585.11142313759,"[16, 151, 152, 157]"
KOTA METRO,1616.4902619801057,"[16, 151, 152, 157, 158]"
KAB. LEBAK,1730.3324458946836,"[16, 53, 78, 159]"
KAB. PANDEGLANG,1744.599059067909,"[16, 53, 129, 161, 160]"
KAB. SERANG,1666.5290790382696,"[16, 53, 129, 161]"
KAB. TANGERANG,1716.2493470580346,"[16, 53, 129, 161, 162]"
KOTA CILEGON,1698.6519169988433,"[16, 77, 144, 164, 163]"
KOTA SERANG,1677.9205288395665,"[16, 77, 144, 164]"
