city,distance,through
KAB. ACEH BARAT,3115.9204941289318,"[375, 374, 364, 359, 323, 0]"
KAB. ACEH BARAT DAYA,3082.40140380907,"[375, 333, 332, 331, 139, 140, 1]"
KAB. ACEH BESAR,3194.6861859703436,"[375, 84, 78, 4, 3, 2]"
KAB. ACEH JAYA,3118.382712633245,"[375, 84, 78, 4, 3]"
KAB. ACEH SELATAN,2867.9175308736067,"[375, 84, 78, 4]"
KAB. ACEH SINGKIL,2855.917460145477,"[375, 67, 73, 72, 5]"
KAB. ACEH TAMIANG,2892.9991108426593,"[375, 374, 325, 6]"
KAB. ACEH TENGAH,2904.5338360292367,"[375, 84, 30, 26, 7]"
KAB. ACEH TENGGARA,2846.076707055752,"[375, 9, 8]"
KAB. ACEH TIMUR,2710.79853538346,"[375, 9]"
KAB. ACEH UTARA,2777.3886694719477,"[375, 9, 10]"
KAB. BENER MERIAH,2786.7692495932893,"[375, 11]"
KAB. BIREUEN,2837.764423166911,"[375, 11, 12]"
KAB. GAYO LUES,2931.679531159968,"[375, 137, 13]"
KAB. NAGAN RAYA,2943.8299013977294,"[375, 84, 30, 29, 25, 14]"
KAB. PIDIE,3020.0406495852353,"[375, 84, 30, 15]"
KAB. PIDIE JAYA,3006.2939929959043,"[375, 84, 30, 26, 16]"
KAB. SIMEULUE,3063.9273016460756,"[375, 349, 350, 87, 88, 59, 17]"
KOTA BANDA ACEH,3121.1560886183815,"[375, 84, 39, 18]"
KOTA LANGSA,2840.311263146749,"[375, 374, 19]"
KOTA LHOKSEUMAWE,2945.4730769420225,"[375, 84, 30, 28, 20]"
KOTA SABANG,3160.293028157622,"[375, 84, 83, 22, 21]"
KOTA SUBULUSSALAM,2704.611299369729,"[375, 84, 83, 22]"
KAB. ASAHAN,2675.0480521242466,"[375, 349, 93, 92, 24, 23]"
KAB. BATUBARA,2632.7154743238925,"[375, 349, 93, 92, 24]"
KAB. DAIRI,2702.532197623399,"[375, 84, 30, 29, 25]"
KAB. DELI SERDANG,2667.7745264827618,"[375, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2639.6432449474732,"[375, 84, 85, 27]"
KAB. KARO,2683.1483647056834,"[375, 84, 30, 28]"
KAB. LABUHANBATU,2483.040757201793,"[375, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,2431.435191746053,"[375, 84, 30]"
KAB. LABUHANBATU UTARA,2496.809387432848,"[375, 84, 30, 31]"
KAB. LANGKAT,2730.2971478828154,"[375, 84, 32]"
KAB. MANDAILING NATAL,2485.2535530669606,"[375, 33]"
KAB. NIAS,2669.9852128542802,"[375, 33, 34]"
KAB. NIAS BARAT,2700.111333353126,"[375, 33, 34, 35]"
KAB. NIAS SELATAN,2751.349081492991,"[375, 33, 34, 35, 36]"
KAB. NIAS UTARA,2794.358113640559,"[375, 84, 39, 38, 37]"
KAB. PADANG LAWAS,2524.6947448125547,"[375, 84, 39, 38]"
KAB. PADANG LAWAS UTARA,2470.125259810079,"[375, 84, 39]"
KAB. PAKPAK BHARAT,2658.5838294563755,"[375, 84, 39, 40]"
KAB. SAMOSIR,2723.253441626336,"[375, 84, 39, 40, 41]"
KAB. SERDANG BEDAGAI,2672.0680130174987,"[375, 84, 52, 43, 42]"
KAB. SIMALUNGUN,2625.1819474047115,"[375, 84, 52, 43]"
KAB. TAPANULI SELATAN,2615.7927141012774,"[375, 349, 350, 87, 44]"
KAB. TAPANULI TENGAH,2677.4981390148664,"[375, 84, 78, 46, 45]"
KAB. TAPANULI UTARA,2628.503754863352,"[375, 84, 78, 46]"
KAB. TOBA SAMOSIR,2668.1776270800565,"[375, 84, 78, 46, 47]"
KOTA BINJAI,2697.003525153019,"[375, 84, 52, 48]"
KOTA GUNUNGSITOLI,2733.4825887325696,"[375, 33, 34, 35, 49]"
KOTA MEDAN,2812.460867967681,"[375, 349, 93, 92, 24, 23, 50]"
KOTA PADANGSIDEMPUAN,2683.1939834535724,"[375, 67, 73, 74, 51]"
KOTA PEMATANGSIANTAR,2601.800261263815,"[375, 84, 52]"
KOTA SIBOLGA,2635.284020408188,"[375, 84, 78, 53]"
KOTA TANJUNGBALAI,2655.720576565258,"[375, 137, 138, 54]"
KOTA TEBING TINGGI,2717.1897795592895,"[375, 333, 334, 55]"
KAB. AGAM,2571.7716388763283,"[375, 349, 135, 109, 56]"
KAB. DHARMASRAYA,2490.274263049632,"[375, 374, 142, 57]"
KAB. KEPULAUAN MENTAWAI,2559.9270046903766,"[375, 137, 66, 58]"
KAB. LIMA PULUH KOTA,2487.4356865707528,"[375, 349, 350, 87, 88, 59]"
KAB. PADANG PARIAMAN,2464.881198127592,"[375, 349, 348, 60]"
KAB. PASAMAN,2530.6234034587173,"[375, 349, 350, 87, 88, 59, 61]"
KAB. PASAMAN BARAT,2588.3593353248466,"[375, 349, 350, 87, 88, 59, 62]"
KAB. PESISIR SELATAN,2432.5956700940087,"[375, 137, 138, 103, 65, 63]"
KAB. SIJUNJUNG,2387.2453289744035,"[375, 137, 138, 103, 65, 64]"
KAB. SOLOK,2348.3210351900975,"[375, 137, 138, 103, 65]"
KAB. SOLOK SELATAN,2301.153399842674,"[375, 137, 66]"
KAB. TANAH DATAR,2354.849601186937,"[375, 67]"
KOTA BUKITTINGGI,2383.722432608858,"[375, 67, 68]"
KOTA PADANG,2455.3410971630638,"[375, 67, 68, 69]"
KOTA PADANGPANJANG,2475.192390046393,"[375, 137, 138, 103, 71, 70]"
KOTA PARIAMAN,2439.828688125491,"[375, 137, 138, 103, 71]"
KOTA PAYAKUMBUH,2435.314358861763,"[375, 67, 73, 72]"
KOTA SAWAHLUNTO,2383.5555699421316,"[375, 67, 73]"
KOTA SOLOK,2397.9996418024084,"[375, 67, 73, 74]"
KAB. BENGKALIS,2493.7303074472284,"[375, 374, 325, 76, 75]"
KAB. INDRAGIRI HILIR,2262.633891874055,"[375, 374, 325, 76]"
KAB. INDRAGIRI HULU,2277.836369254122,"[375, 333, 332, 77]"
KAB. KAMPAR,2317.3606941141024,"[375, 84, 78]"
KAB. KEPULAUAN MERANTI,2243.685156847733,"[375, 349, 348, 79]"
KAB. KUANTAN SINGINGI,2441.387855602983,"[375, 349, 348, 79, 80]"
KAB. PELALAWAN,2529.4462076255754,"[375, 102, 101, 81]"
KAB. ROKAN HILIR,2446.478410268875,"[375, 84, 83, 82]"
KAB. ROKAN HULU,2368.156475208692,"[375, 84, 83]"
KAB. SIAK,2215.0048219839705,"[375, 84]"
KOTA DUMAI,2319.828083821462,"[375, 84, 85]"
KOTA PEKANBARU,2343.148340122517,"[375, 137, 86]"
KAB. BINTAN,2030.4401266991802,"[375, 349, 350, 87]"
KAB. KARIMUN,2158.4833252252574,"[375, 349, 350, 87, 88]"
KAB. KEPULAUAN ANAMBAS,2348.0141177959995,"[375, 90, 89]"
KAB. LINGGA,1927.3907146574065,"[375, 90]"
KAB. NATUNA,1874.4326849132879,"[375, 333, 91]"
KOTA BATAM,2078.189064458629,"[375, 349, 93, 92]"
KOTA TANJUNG PINANG,2026.5411643946409,"[375, 349, 93]"
PULAU TAMBELAN KAB. BINTAN,1783.121773443019,"[375, 333, 334, 94]"
PEKAJANG KAB. LINGGA,2111.0363715432163,"[375, 333, 334, 94, 95]"
PULAU SERASAN KAB. NATUNA,1735.9552661862206,"[375, 374, 364, 359, 351, 96]"
PULAU MIDAI KAB. NATUNA,1834.5842859875142,"[375, 374, 373, 97]"
PULAU LAUT KAB. NATUNA,1853.1072839354251,"[375, 374, 373, 98]"
KAB. BATANGHARI,2377.4565006907433,"[375, 349, 350, 87, 99]"
KAB. BUNGO,2343.9892613192337,"[375, 102, 101, 100]"
KAB. KERINCI,2287.1947992779396,"[375, 102, 101]"
KAB. MERANGIN,2217.7189492740276,"[375, 102]"
KAB. MUARO JAMBI,2015.9673898230153,"[375, 137, 138, 103]"
KAB. SAROLANGUN,2166.00846008009,"[375, 137, 138, 103, 104]"
KAB. TANJUNG JABUNG BARAT,2082.0827963369356,"[375, 105]"
KAB. TANJUNG JABUNG TIMUR,2164.3303986505466,"[375, 105, 106]"
KAB. TEBO,2291.1254621189323,"[375, 137, 138, 103, 104, 107]"
KOTA JAMBI,2323.297706750567,"[375, 349, 93, 108]"
KOTA SUNGAI PENUH,2325.801105870459,"[375, 349, 135, 109]"
KAB. BENGKULU SELATAN,2188.4662988412533,"[375, 333, 334, 110]"
KAB. BENGKULU TENGAH,2288.368641714259,"[375, 333, 334, 110, 111]"
KAB. BENGKULU UTARA,2244.0059105648456,"[375, 137, 112]"
KAB. KAUR,2167.7516577755423,"[375, 349, 348, 136, 113]"
KAB. KEPAHIANG,2288.6520354341596,"[375, 349, 348, 136, 113, 114]"
KAB. LEBONG,2326.123976001287,"[375, 333, 346, 345, 115]"
KAB. MUKOMUKO,2359.8081923302075,"[375, 333, 332, 331, 139, 116]"
KAB. REJANG LEBONG,2270.3373313300704,"[375, 349, 135, 131, 117]"
KAB. SELUMA,2304.1584492808884,"[375, 333, 332, 124, 125, 118]"
KOTA BENGKULU,2361.945469455088,"[375, 333, 332, 124, 125, 118, 119]"
KAB. BANYUASIN,2287.8811180420093,"[375, 374, 364, 359, 323, 120]"
KAB. EMPAT LAWANG,2211.4788997549404,"[375, 333, 332, 355, 121]"
KAB. LAHAT,2165.455991288454,"[375, 333, 332, 331, 139, 122]"
KAB. MUARA ENIM,2133.846703604373,"[375, 333, 332, 331, 139, 140, 123]"
KAB. MUSI BANYUASIN,2095.9811282974415,"[375, 333, 332, 124]"
KAB. MUSI RAWAS,2190.4558537691632,"[375, 333, 332, 124, 125]"
KAB. MUSI RAWAS UTARA,2243.793465888143,"[375, 333, 332, 124, 125, 126]"
KAB. OGAN ILIR,2077.556645561526,"[375, 333, 332, 331, 139, 140, 128, 127]"
KAB. OGAN KOMERING ILIR,2010.0588781592687,"[375, 333, 332, 331, 139, 140, 128]"
KAB. OGAN KOMERING ULU,2158.8660120311297,"[375, 333, 332, 331, 139, 140, 128, 129]"
KAB. OGAN KOMERING ULU SELATAN,2157.0672829056,"[375, 349, 135, 131, 130]"
KAB. OGAN KOMERING ULU TIMUR,2034.744210159354,"[375, 349, 135, 131]"
KAB. PENUKAL ABAB LEMATANG ILIR,2142.1745196842276,"[375, 349, 135, 131, 132]"
KOTA LUBUKLINGGAU,2194.375772426695,"[375, 333, 332, 352, 133]"
KOTA PAGAR ALAM,2145.455912147108,"[375, 349, 135, 134]"
KOTA PALEMBANG,1936.7806946554342,"[375, 349, 135]"
KOTA PRABUMULIH,2004.2860975684916,"[375, 349, 348, 136]"
KAB. BANGKA,1779.5233751405535,"[375, 137]"
KAB. BANGKA BARAT,1826.628721633925,"[375, 137, 138]"
KAB. BANGKA SELATAN,1803.6009671437582,"[375, 333, 332, 331, 139]"
KAB. BANGKA TENGAH,1849.6029660463912,"[375, 333, 332, 331, 139, 140]"
KAB. BELITUNG,1779.0397679234181,"[375, 374, 364, 141]"
KAB. BELITUNG TIMUR,1739.146570912888,"[375, 374, 142]"
KOTA PANGKAL PINANG,1978.6368256114802,"[375, 374, 142, 143]"
KAB. LAMPUNG TENGAH,2077.4909224388716,"[375, 333, 332, 352, 164, 144]"
KAB. LAMPUNG UTARA,2093.736613900936,"[375, 333, 332, 352, 353, 146, 145]"
KAB. LAMPUNG SELATAN,1972.5304351915343,"[375, 333, 332, 352, 353, 146]"
