city,distance,through
KAB. ACEH BARAT,2893.758612972485,"[426, 321, 322, 323, 0]"
KAB. ACEH BARAT DAYA,2964.234151584974,"[426, 321, 320, 140, 1]"
KAB. ACEH BESAR,2965.266035202924,"[426, 427, 20, 21, 2]"
KAB. ACEH JAYA,2976.732456474128,"[426, 321, 320, 319, 4, 3]"
KAB. ACEH SELATAN,2726.2672747144898,"[426, 321, 320, 319, 4]"
KAB. ACEH SINGKIL,2690.0392077602874,"[426, 448, 107, 72, 5]"
KAB. ACEH TAMIANG,2576.9989363743557,"[426, 6]"
KAB. ACEH TENGAH,2708.6764616101327,"[426, 6, 7]"
KAB. ACEH TENGGARA,2757.709970884092,"[426, 448, 449, 329, 328, 8]"
KAB. ACEH TIMUR,2766.852380482796,"[426, 448, 447, 446, 346, 345, 9]"
KAB. ACEH UTARA,2793.092251147074,"[426, 321, 320, 43, 42, 11, 10]"
KAB. BENER MERIAH,2753.971049447573,"[426, 321, 320, 43, 42, 11]"
KAB. BIREUEN,2804.9662230211948,"[426, 321, 320, 43, 42, 11, 12]"
KAB. GAYO LUES,2885.1985623846426,"[426, 28, 25, 14, 13]"
KAB. NAGAN RAYA,2788.103725299624,"[426, 28, 25, 14]"
KAB. PIDIE,2879.1033627767565,"[426, 321, 30, 15]"
KAB. PIDIE JAYA,2865.3567061874255,"[426, 321, 30, 26, 16]"
KAB. SIMEULUE,2797.104458606312,"[426, 321, 55, 17]"
KOTA BANDA ACEH,2907.8922631044634,"[426, 6, 18]"
KOTA LANGSA,2724.985847614278,"[426, 448, 447, 446, 346, 347, 19]"
KOTA LHOKSEUMAWE,2697.341732611192,"[426, 427, 20]"
KOTA SABANG,2913.4892723798703,"[426, 427, 20, 21]"
KOTA SUBULUSSALAM,2560.5728344862637,"[426, 27, 22]"
KAB. ASAHAN,2678.322482110383,"[426, 425, 24, 23]"
KAB. BATUBARA,2635.989904310029,"[426, 425, 24]"
KAB. DAIRI,2546.8060215252935,"[426, 28, 25]"
KAB. DELI SERDANG,2526.837239674283,"[426, 321, 30, 26]"
KAB. HUMBANG HASUNDUTAN,2467.977337946684,"[426, 27]"
KAB. KARO,2520.374987461882,"[426, 28]"
KAB. LABUHANBATU,2342.1034703933137,"[426, 321, 30, 29]"
KAB. LABUHANBATU SELATAN,2290.4979049375743,"[426, 321, 30]"
KAB. LABUHANBATU UTARA,2355.872100624369,"[426, 321, 30, 31]"
KAB. LANGKAT,2593.3480026827833,"[426, 321, 30, 31, 32]"
KAB. MANDAILING NATAL,2443.0013189624383,"[426, 321, 84, 39, 33]"
KAB. NIAS,2553.6978250828906,"[426, 61, 62, 34]"
KAB. NIAS BARAT,2583.8239455817366,"[426, 61, 62, 34, 35]"
KAB. NIAS SELATAN,2629.5411679236317,"[426, 448, 447, 446, 36]"
KAB. NIAS UTARA,2670.0075057108397,"[426, 321, 84, 39, 38, 37]"
KAB. PADANG LAWAS,2400.3441368828353,"[426, 321, 84, 39, 38]"
KAB. PADANG LAWAS UTARA,2345.7746518803597,"[426, 321, 84, 39]"
KAB. PAKPAK BHARAT,2534.233221526656,"[426, 321, 84, 39, 40]"
KAB. SAMOSIR,2556.7424610870926,"[426, 321, 320, 43, 42, 41]"
KAB. SERDANG BEDAGAI,2472.5129682558554,"[426, 321, 320, 43, 42]"
KAB. SIMALUNGUN,2425.626902643068,"[426, 321, 320, 43]"
KAB. TAPANULI SELATAN,2500.0878789981934,"[426, 448, 447, 446, 346, 347, 44]"
KAB. TAPANULI TENGAH,2545.4554577867366,"[426, 427, 77, 78, 46, 45]"
KAB. TAPANULI UTARA,2496.461073635222,"[426, 427, 77, 78, 46]"
KAB. TOBA SAMOSIR,2536.1349458519267,"[426, 427, 77, 78, 46, 47]"
KOTA BINJAI,2544.2118526731683,"[426, 321, 320, 43, 52, 48]"
KOTA GUNUNGSITOLI,2591.630536142883,"[426, 427, 77, 49]"
KOTA MEDAN,2756.581744461995,"[426, 65, 64, 50]"
KOTA PADANGSIDEMPUAN,2524.2242326317,"[426, 321, 322, 74, 51]"
KOTA PEMATANGSIANTAR,2449.0085887839646,"[426, 321, 320, 43, 52]"
KOTA SIBOLGA,2436.3246705910956,"[426, 53]"
KOTA TANJUNGBALAI,2522.9721099027556,"[426, 321, 55, 54]"
KOTA TEBING TINGGI,2441.2353622311975,"[426, 321, 55]"
KAB. AGAM,2368.64512512008,"[426, 448, 447, 57, 56]"
KAB. DHARMASRAYA,2179.8302851329713,"[426, 448, 447, 57]"
KAB. KEPULAUAN MENTAWAI,2470.728550949326,"[426, 321, 322, 74, 73, 58]"
KAB. LIMA PULUH KOTA,2244.580626402916,"[426, 321, 322, 59]"
KAB. PADANG PARIAMAN,2322.6830307290675,"[426, 321, 322, 59, 60]"
KAB. PASAMAN,2262.6963843275375,"[426, 61]"
KAB. PASAMAN BARAT,2322.3186766522263,"[426, 61, 62]"
KAB. PESISIR SELATAN,2258.3773165702073,"[426, 65, 63]"
KAB. SIJUNJUNG,2213.026975450602,"[426, 65, 64]"
KAB. SOLOK,2174.102681666296,"[426, 65]"
KAB. SOLOK SELATAN,2238.435540740948,"[426, 65, 66]"
KAB. TANAH DATAR,2282.1799315960075,"[426, 321, 322, 74, 73, 67]"
KOTA BUKITTINGGI,2311.0527630179286,"[426, 321, 322, 74, 73, 67, 68]"
KOTA PADANG,2264.2526778416163,"[426, 448, 107, 69]"
KOTA PADANGPANJANG,2301.7453831272,"[426, 427, 71, 70]"
KOTA PARIAMAN,2266.3816812062983,"[426, 427, 71]"
KOTA PAYAKUMBUH,2269.4361064765735,"[426, 448, 107, 72]"
KOTA SAWAHLUNTO,2253.473962840813,"[426, 321, 322, 74, 73]"
KOTA SOLOK,2239.029890980536,"[426, 321, 322, 74]"
KAB. BENGKALIS,2364.9913495053447,"[426, 427, 77, 76, 75]"
KAB. INDRAGIRI HILIR,2133.894933932171,"[426, 427, 77, 76]"
KAB. INDRAGIRI HULU,2029.0842659127693,"[426, 427, 77]"
KAB. KAMPAR,2185.3180128859726,"[426, 427, 77, 78]"
KAB. KEPULAUAN MERANTI,2204.252133681574,"[426, 448, 108, 79]"
KAB. KUANTAN SINGINGI,2276.180899534064,"[426, 448, 449, 329, 336, 80]"
KAB. PELALAWAN,2336.7429463672775,"[426, 448, 447, 57, 81]"
KAB. ROKAN HILIR,2322.1278023391556,"[426, 321, 84, 83, 82]"
KAB. ROKAN HULU,2243.8058672789725,"[426, 321, 84, 83]"
KAB. SIAK,2090.654214054251,"[426, 321, 84]"
KOTA DUMAI,2195.4774758917424,"[426, 321, 84, 85]"
KOTA PEKANBARU,2124.700468338686,"[426, 321, 86]"
KAB. BINTAN,2135.821471965289,"[426, 448, 449, 329, 330, 355, 354, 353, 87]"
KAB. KARIMUN,2169.46838033935,"[426, 448, 108, 88]"
KAB. KEPULAUAN ANAMBAS,1862.0833520397869,"[426, 448, 447, 89]"
KAB. LINGGA,1956.1548812718047,"[426, 448, 449, 329, 336, 342, 90]"
KAB. NATUNA,1875.2960904934068,"[426, 427, 386, 91]"
KOTA BATAM,2205.4234611909105,"[426, 448, 449, 329, 336, 342, 343, 344, 93, 92]"
KOTA TANJUNG PINANG,2153.775561126922,"[426, 448, 449, 329, 336, 342, 343, 344, 93]"
PULAU TAMBELAN KAB. BINTAN,1893.0184874639951,"[426, 448, 449, 329, 330, 341, 340, 339, 94]"
PEKAJANG KAB. LINGGA,2082.303875818732,"[426, 448, 449, 450, 96, 95]"
PULAU SERASAN KAB. NATUNA,1512.5406233583967,"[426, 448, 449, 450, 96]"
PULAU MIDAI KAB. NATUNA,1663.9572359540127,"[426, 448, 449, 450, 96, 97]"
PULAU LAUT KAB. NATUNA,1708.8976108799561,"[426, 321, 98]"
KAB. BATANGHARI,2205.2863020055506,"[426, 321, 100, 99]"
KAB. BUNGO,2072.5144693908705,"[426, 321, 100]"
KAB. KERINCI,2112.056452957978,"[426, 101]"
KAB. MERANGIN,2168.574535941012,"[426, 448, 449, 102]"
KAB. MUARO JAMBI,1979.74049312585,"[426, 321, 320, 319, 138, 103]"
KAB. SAROLANGUN,1991.9316108159123,"[426, 321, 104]"
KAB. TANJUNG JABUNG BARAT,2055.485467980758,"[426, 448, 449, 329, 106, 105]"
KAB. TANJUNG JABUNG TIMUR,1973.2378656671472,"[426, 448, 449, 329, 106]"
KAB. TEBO,2046.9841505660393,"[426, 448, 107]"
KOTA JAMBI,1903.8250576901414,"[426, 448, 108]"
KOTA SUNGAI PENUH,2155.4721567144434,"[426, 448, 108, 109]"
KAB. BENGKULU SELATAN,2066.2800028941597,"[426, 448, 447, 446, 132, 110]"
KAB. BENGKULU TENGAH,2137.5146191376675,"[426, 148, 149, 111]"
KAB. BENGKULU UTARA,2203.643835595458,"[426, 148, 149, 111, 112]"
KAB. KAUR,2132.748520980509,"[426, 213, 214, 221, 168, 169, 187, 113]"
KAB. KEPAHIANG,2184.718273326664,"[426, 448, 447, 165, 164, 114]"
