city,distance,through
KAB. ACEH BARAT,2320.949408594429,"[352, 353, 87, 88, 59, 62, 0]"
KAB. ACEH BARAT DAYA,2407.598995158023,"[352, 332, 331, 139, 140, 1]"
KAB. ACEH BESAR,2407.447703090242,"[352, 55, 28, 20, 21, 2]"
KAB. ACEH JAYA,2389.333667341642,"[352, 353, 87, 88, 59, 62, 4, 3]"
KAB. ACEH SELATAN,2138.868485582004,"[352, 353, 87, 88, 59, 62, 4]"
KAB. ACEH SINGKIL,2030.0054011619047,"[352, 353, 87, 72, 5]"
KAB. ACEH TAMIANG,2064.8191274157984,"[352, 353, 87, 86, 6]"
KAB. ACEH TENGAH,2060.7925552176935,"[352, 7]"
KAB. ACEH TENGGARA,2184.0488403067366,"[352, 353, 87, 88, 9, 8]"
KAB. ACEH TIMUR,2048.7706686344445,"[352, 353, 87, 88, 9]"
KAB. ACEH UTARA,2073.5916601222507,"[352, 353, 87, 10]"
KAB. BENER MERIAH,2112.7128618217516,"[352, 353, 87, 10, 11]"
KAB. BIREUEN,2163.7080353953734,"[352, 353, 87, 10, 11, 12]"
KAB. GAYO LUES,2242.0222631849324,"[352, 55, 28, 25, 14, 13]"
KAB. NAGAN RAYA,2144.9274260999136,"[352, 55, 28, 25, 14]"
KAB. PIDIE,2266.9527881840972,"[352, 55, 28, 25, 14, 15]"
KAB. PIDIE JAYA,2296.484184816678,"[352, 55, 28, 25, 14, 15, 16]"
KAB. SIMEULUE,2131.0777925128914,"[352, 55, 17]"
KOTA BANDA ACEH,2289.7516505153026,"[352, 353, 87, 18]"
KOTA LANGSA,2194.838761771548,"[352, 351, 96, 97, 19]"
KOTA LHOKSEUMAWE,2139.5234004985105,"[352, 55, 28, 20]"
KOTA SABANG,2355.6709402671886,"[352, 55, 28, 20, 21]"
KOTA SUBULUSSALAM,1949.4103966613648,"[352, 353, 87, 88, 83, 22]"
KAB. ASAHAN,2087.3224715392703,"[352, 55, 28, 25, 24, 23]"
KAB. BATUBARA,2044.9898937389164,"[352, 55, 28, 25, 24]"
KAB. DAIRI,1903.629722325583,"[352, 55, 28, 25]"
KAB. DELI SERDANG,1982.0601144731447,"[352, 55, 28, 25, 26]"
KAB. HUMBANG HASUNDUTAN,1949.7010076361635,"[352, 353, 87, 86, 85, 27]"
KAB. KARO,1877.1986882621713,"[352, 55, 28]"
KAB. LABUHANBATU,1824.2114820438974,"[352, 353, 135, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,1772.6059165881577,"[352, 353, 135, 84, 30]"
KAB. LABUHANBATU UTARA,1837.9801122749525,"[352, 353, 135, 84, 30, 31]"
KAB. LANGKAT,2038.295804813469,"[352, 353, 87, 44, 45, 32]"
KAB. MANDAILING NATAL,1730.8357252832243,"[352, 353, 87, 88, 33]"
KAB. NIAS,1907.3240360270229,"[352, 353, 87, 34]"
KAB. NIAS BARAT,1937.450156525869,"[352, 353, 87, 34, 35]"
KAB. NIAS SELATAN,1988.6879046657339,"[352, 353, 87, 34, 35, 36]"
KAB. NIAS UTARA,2071.7274524490776,"[352, 353, 87, 34, 35, 36, 37]"
KAB. PADANG LAWAS,1830.628443168443,"[352, 133, 38]"
KAB. PADANG LAWAS UTARA,1811.295984652184,"[352, 353, 135, 84, 39]"
KAB. PAKPAK BHARAT,1889.7864614583982,"[352, 353, 87, 88, 40]"
KAB. SAMOSIR,1924.4629893546546,"[352, 52, 43, 42, 41]"
KAB. SERDANG BEDAGAI,1840.2334965234172,"[352, 52, 43, 42]"
KAB. SIMALUNGUN,1793.34743091063,"[352, 52, 43]"
KAB. TAPANULI SELATAN,1739.213887906547,"[352, 353, 87, 44]"
KAB. TAPANULI TENGAH,1809.8580996331707,"[352, 353, 87, 44, 45]"
KAB. TAPANULI UTARA,1858.852483784685,"[352, 353, 87, 44, 45, 46]"
KAB. TOBA SAMOSIR,1898.5263560013896,"[352, 353, 87, 44, 45, 46, 47]"
KOTA BINJAI,1865.1690086589374,"[352, 52, 48]"
KOTA GUNUNGSITOLI,1970.8214119053127,"[352, 353, 87, 34, 35, 49]"
KOTA MEDAN,2205.121769569222,"[352, 52, 51, 50]"
KOTA PADANGSIDEMPUAN,1949.0843420865697,"[352, 52, 51]"
KOTA PEMATANGSIANTAR,1769.9657447697336,"[352, 52]"
KOTA SIBOLGA,1910.652139536444,"[352, 52, 53]"
KOTA TANJUNGBALAI,1856.945443809335,"[352, 55, 54]"
KOTA TEBING TINGGI,1775.2086961377768,"[352, 55]"
KAB. AGAM,1655.494689987028,"[352, 353, 135, 109, 56]"
KAB. DHARMASRAYA,1769.1072704002236,"[352, 353, 135, 131, 117, 118, 57]"
KAB. KEPULAUAN MENTAWAI,1855.0820400546977,"[352, 353, 87, 88, 59, 58]"
KAB. LIMA PULUH KOTA,1610.8568603760223,"[352, 353, 87, 88, 59]"
KAB. PADANG PARIAMAN,1657.5601983301758,"[352, 133, 60]"
KAB. PASAMAN,1654.0445772639869,"[352, 353, 87, 88, 59, 61]"
KAB. PASAMAN BARAT,1711.780509130116,"[352, 353, 87, 88, 59, 62]"
KAB. PESISIR SELATAN,1608.6404270295052,"[352, 353, 135, 131, 63]"
KAB. SIJUNJUNG,1727.9473210013014,"[352, 353, 135, 131, 63, 64]"
KAB. SOLOK,1692.9150619334162,"[352, 353, 135, 131, 63, 65]"
KAB. SOLOK SELATAN,1675.3433772442415,"[352, 353, 146, 66]"
KAB. TANAH DATAR,1689.8670575530168,"[352, 353, 87, 72, 73, 67]"
KOTA BUKITTINGGI,1718.7398889749377,"[352, 353, 87, 72, 73, 67, 68]"
KOTA PADANG,1738.0147283126153,"[352, 353, 135, 131, 117, 116, 69]"
KOTA PADANGPANJANG,1694.5035930753795,"[352, 133, 71, 70]"
