city,distance,through
KAB. ACEH BARAT,3916.676944817699,"[509, 359, 323, 0]"
KAB. ACEH BARAT DAYA,3923.006287959457,"[509, 359, 358, 357, 1]"
KAB. ACEH BESAR,4173.301130162988,"[509, 359, 358, 357, 1, 2]"
KAB. ACEH JAYA,4105.643889151378,"[509, 359, 347, 4, 3]"
KAB. ACEH SELATAN,3855.17870739174,"[509, 359, 347, 4]"
KAB. ACEH SINGKIL,3861.960748123859,"[509, 322, 74, 73, 72, 5]"
KAB. ACEH TAMIANG,3921.732865232314,"[509, 322, 59, 6]"
KAB. ACEH TENGAH,3832.614875326027,"[509, 359, 7]"
KAB. ACEH TENGGARA,3947.1428581876617,"[509, 322, 74, 73, 67, 8]"
KAB. ACEH TIMUR,3982.5011881915375,"[509, 359, 351, 350, 87, 88, 9]"
KAB. ACEH UTARA,4007.322179679343,"[509, 359, 351, 350, 87, 10]"
KAB. BENER MERIAH,4005.5112589616965,"[509, 510, 43, 42, 11]"
KAB. BIREUEN,4038.6904119402275,"[509, 359, 358, 357, 13, 12]"
KAB. GAYO LUES,3889.4832512403354,"[509, 359, 358, 357, 13]"
KAB. NAGAN RAYA,3925.154316881218,"[509, 23, 24, 25, 14]"
KAB. PIDIE,4032.702844880773,"[509, 359, 360, 22, 15]"
KAB. PIDIE JAYA,4044.8978227048146,"[509, 359, 351, 30, 26, 16]"
KAB. SIMEULUE,3957.1971365579393,"[509, 322, 59, 17]"
KOTA BANDA ACEH,4104.929726324234,"[509, 359, 351, 96, 97, 19, 18]"
KOTA LANGSA,3787.770070758128,"[509, 359, 351, 96, 97, 19]"
KOTA LHOKSEUMAWE,3909.2412922385047,"[509, 359, 351, 96, 97, 19, 20]"
KOTA SABANG,4125.388832007183,"[509, 359, 351, 96, 97, 19, 20, 21]"
KOTA SUBULUSSALAM,3690.6832048379065,"[509, 359, 360, 22]"
KAB. ASAHAN,3500.1638638932004,"[509, 23]"
KAB. BATUBARA,3542.4964416935545,"[509, 23, 24]"
KAB. DAIRI,3683.856613106888,"[509, 23, 24, 25]"
KAB. DELI SERDANG,3706.378356191672,"[509, 359, 351, 30, 26]"
KAB. HUMBANG HASUNDUTAN,3699.948115200947,"[509, 359, 351, 30, 29, 27]"
KAB. KARO,3710.2876471702994,"[509, 23, 24, 25, 28]"
KAB. LABUHANBATU,3521.644586910703,"[509, 359, 351, 30, 29]"
KAB. LABUHANBATU SELATAN,3470.0390214549634,"[509, 359, 351, 30]"
