city,distance,through
KAB. ACEH BARAT,3439.3589150592725,"[305, 306, 284, 0]"
KAB. ACEH BARAT DAYA,3353.202210115758,"[305, 304, 303, 140, 1]"
KAB. ACEH BESAR,3603.4970523192887,"[305, 304, 303, 140, 1, 2]"
KAB. ACEH JAYA,3547.92259307103,"[305, 304, 77, 78, 4, 3]"
KAB. ACEH SELATAN,3297.4574113113918,"[305, 304, 77, 78, 4]"
KAB. ACEH SINGKIL,3201.4778889680492,"[305, 306, 284, 259, 107, 72, 5]"
KAB. ACEH TAMIANG,3291.7660248526963,"[305, 250, 6]"
KAB. ACEH TENGAH,3398.845021996501,"[305, 306, 301, 30, 26, 7]"
KAB. ACEH TENGGARA,3244.908678937463,"[305, 241, 8]"
KAB. ACEH TIMUR,3318.403950800681,"[305, 306, 301, 88, 9]"
KAB. ACEH UTARA,3377.3546437490786,"[305, 350, 87, 10]"
KAB. BENER MERIAH,3416.4758454485795,"[305, 350, 87, 10, 11]"
KAB. BIREUEN,3458.780751197969,"[305, 304, 349, 12]"
KAB. GAYO LUES,3311.1684544605014,"[305, 306, 301, 13]"
KAB. NAGAN RAYA,3389.363961654565,"[305, 306, 284, 25, 14]"
KAB. PIDIE,3511.3893237387488,"[305, 306, 284, 25, 14, 15]"
KAB. PIDIE JAYA,3489.012935169853,"[305, 304, 75, 16]"
KAB. SIMEULUE,3347.496498883982,"[305, 17]"
KOTA BANDA ACEH,3593.5146341421314,"[305, 350, 87, 18]"
KOTA LANGSA,3293.6620888007847,"[305, 304, 318, 317, 19]"
KOTA LHOKSEUMAWE,3415.1333102811614,"[305, 304, 318, 317, 19, 20]"
KOTA SABANG,3631.2808500498395,"[305, 304, 318, 317, 19, 20, 21]"
KOTA SUBULUSSALAM,3199.5579591933856,"[305, 304, 303, 83, 22]"
KAB. ASAHAN,3129.047300691345,"[305, 304, 349, 93, 92, 24, 23]"
KAB. BATUBARA,3086.7147228909907,"[305, 304, 349, 93, 92, 24]"
KAB. DAIRI,3148.066257880235,"[305, 306, 284, 25]"
KAB. DELI SERDANG,3162.085712450026,"[305, 306, 301, 30, 26]"
KAB. HUMBANG HASUNDUTAN,3127.5940393826186,"[305, 269, 270, 27]"
KAB. KARO,3174.4972919436464,"[305, 306, 284, 25, 28]"
KAB. LABUHANBATU,2977.3519431690574,"[305, 306, 301, 30, 29]"
KAB. LABUHANBATU SELATAN,2925.7463777133175,"[305, 306, 301, 30]"
KAB. LABUHANBATU UTARA,2991.1205734001123,"[305, 306, 301, 30, 31]"
KAB. LANGKAT,3200.8072313715084,"[305, 306, 32]"
KAB. MANDAILING NATAL,2955.543656426028,"[305, 306, 278, 228, 33]"
KAB. NIAS,3131.852661844502,"[305, 304, 62, 34]"
KAB. NIAS BARAT,3158.2135935917254,"[305, 269, 268, 229, 36, 35]"
KAB. NIAS SELATAN,3106.9758454518606,"[305, 269, 268, 229, 36]"
KAB. NIAS UTARA,3183.4395008805814,"[305, 304, 303, 302, 37]"
KAB. PADANG LAWAS,2965.866230811311,"[305, 340, 38]"
KAB. PADANG LAWAS UTARA,2968.2267486327305,"[305, 241, 84, 39]"
KAB. PAKPAK BHARAT,3156.685318279027,"[305, 241, 84, 39, 40]"
KAB. SAMOSIR,3139.193617748493,"[305, 269, 268, 135, 41]"
KAB. SERDANG BEDAGAI,3147.8424857648356,"[305, 306, 284, 277, 276, 258, 42]"
KAB. SIMALUNGUN,3106.0154649630012,"[305, 304, 318, 319, 43]"
KAB. TAPANULI SELATAN,3000.550292614505,"[305, 306, 79, 44]"
KAB. TAPANULI TENGAH,3071.194504341129,"[305, 306, 79, 44, 45]"
KAB. TAPANULI UTARA,3058.043635301137,"[305, 304, 77, 78, 46]"
KAB. TOBA SAMOSIR,3097.7175075178416,"[305, 304, 77, 78, 46, 47]"
KOTA BINJAI,3195.1050139756703,"[305, 241, 84, 52, 48]"
KOTA GUNUNGSITOLI,3131.995715055189,"[305, 306, 65, 49]"
KOTA MEDAN,3219.9721399597083,"[305, 304, 236, 50]"
KOTA PADANGSIDEMPUAN,3019.312044839414,"[305, 306, 284, 277, 243, 51]"
KOTA PEMATANGSIANTAR,3099.9017500864666,"[305, 241, 84, 52]"
KOTA SIBOLGA,3064.823900845973,"[305, 304, 77, 78, 53]"
KOTA TANJUNGBALAI,3035.367319216618,"[305, 241, 54]"
KOTA TEBING TINGGI,3103.7617783918563,"[305, 304, 75, 55]"
KAB. AGAM,2793.4255544379175,"[305, 56]"
KAB. DHARMASRAYA,2648.4504709339735,"[305, 269, 251, 198, 213, 57]"
KAB. KEPULAUAN MENTAWAI,2874.3133537866943,"[305, 306, 278, 228, 58]"
KAB. LIMA PULUH KOTA,2845.907218401947,"[305, 241, 125, 126, 109, 59]"
KAB. PADANG PARIAMAN,2831.649313829882,"[305, 269, 270, 133, 60]"
KAB. PASAMAN,2859.680294113932,"[305, 241, 125, 61]"
KAB. PASAMAN BARAT,2900.4735134138377,"[305, 304, 62]"
KAB. PESISIR SELATAN,2672.4388540665495,"[305, 269, 247, 248, 63]"
KAB. SIJUNJUNG,2696.4303332513546,"[305, 241, 212, 64]"
KAB. SOLOK,2690.4569592752955,"[305, 306, 65]"
KAB. SOLOK SELATAN,2656.7592927100204,"[305, 241, 129, 66]"
KAB. TANAH DATAR,2769.5028842214842,"[305, 269, 251, 252, 67]"
KOTA BUKITTINGGI,2798.3757156434053,"[305, 269, 251, 252, 67, 68]"
KOTA PADANG,2775.6913590493778,"[305, 306, 284, 259, 107, 69]"
KOTA PADANGPANJANG,2786.6910335383086,"[305, 241, 125, 70]"
KOTA PARIAMAN,2818.9925420913933,"[305, 269, 251, 198, 213, 214, 71]"
KOTA PAYAKUMBUH,2780.874787684335,"[305, 306, 284, 259, 107, 72]"
KOTA SAWAHLUNTO,2751.7847035410905,"[305, 269, 270, 73]"
KOTA SOLOK,2766.2287754013673,"[305, 269, 270, 73, 74]"
KAB. BENGKALIS,2757.562487584915,"[305, 304, 75]"
KAB. INDRAGIRI HILIR,2571.22055788104,"[305, 269, 251, 76]"
KAB. INDRAGIRI HULU,2590.666827578684,"[305, 304, 77]"
KAB. KAMPAR,2746.9005745518875,"[305, 304, 77, 78]"
KAB. KEPULAUAN MERANTI,2616.7931220028495,"[305, 306, 79]"
KAB. KUANTAN SINGINGI,2688.17267245206,"[305, 306, 284, 277, 276, 258, 80]"
KAB. PELALAWAN,2713.0585976732964,"[305, 269, 251, 267, 81]"
KAB. ROKAN HILIR,2857.0868366666396,"[305, 306, 301, 88, 82]"
KAB. ROKAN HULU,2863.1031350323487,"[305, 304, 303, 83]"
KAB. SIAK,2713.106310806622,"[305, 241, 84]"
KOTA DUMAI,2817.9295726441133,"[305, 241, 84, 85]"
