city,distance,through
KAB. ACEH BARAT,2363.153626483007,"[258, 241, 219, 77, 0]"
KAB. ACEH BARAT DAYA,2244.5671802840634,"[258, 241, 219, 218, 1]"
KAB. ACEH BESAR,2494.862022487594,"[258, 241, 219, 218, 1, 2]"
KAB. ACEH JAYA,2426.034717866813,"[258, 241, 125, 70, 4, 3]"
KAB. ACEH SELATAN,2175.569536107175,"[258, 241, 125, 70, 4]"
KAB. ACEH SINGKIL,2058.588766039004,"[258, 259, 107, 72, 5]"
KAB. ACEH TAMIANG,2118.109768579013,"[258, 86, 6]"
KAB. ACEH TENGAH,2245.0135699655857,"[258, 80, 7]"
KAB. ACEH TENGGARA,2094.25051176532,"[258, 241, 8]"
KAB. ACEH TIMUR,2158.9525160284416,"[258, 9]"
KAB. ACEH UTARA,2225.542650116929,"[258, 9, 10]"
KAB. BENER MERIAH,2233.127517553455,"[258, 42, 11]"
KAB. BIREUEN,2284.122691127077,"[258, 42, 11, 12]"
KAB. GAYO LUES,2165.7909308204667,"[258, 80, 13]"
KAB. NAGAN RAYA,2235.9034635802936,"[258, 86, 25, 14]"
KAB. PIDIE,2357.9288256644772,"[258, 86, 25, 14, 15]"
KAB. PIDIE JAYA,2353.737314646413,"[258, 241, 84, 30, 26, 16]"
KAB. SIMEULUE,2271.740666305127,"[258, 241, 125, 126, 109, 59, 17]"
KOTA BANDA ACEH,2449.0030953091205,"[258, 86, 6, 18]"
KOTA LANGSA,2233.3088838078493,"[258, 241, 125, 19]"
KOTA LHOKSEUMAWE,2283.3615061057144,"[258, 86, 25, 28, 20]"
KOTA SABANG,2499.5090458743925,"[258, 86, 25, 28, 20, 21]"
KOTA SUBULUSSALAM,2052.0546210202374,"[258, 241, 84, 83, 22]"
KAB. ASAHAN,2028.234447643771,"[258, 259, 92, 24, 23]"
KAB. BATUBARA,1985.901869843417,"[258, 259, 92, 24]"
KAB. DAIRI,1994.6057598059633,"[258, 86, 25]"
KAB. DELI SERDANG,2015.2178481332703,"[258, 241, 84, 30, 26]"
KAB. HUMBANG HASUNDUTAN,1987.0865665979823,"[258, 241, 84, 85, 27]"
KAB. KARO,2021.036793869375,"[258, 86, 25, 28]"
KAB. LABUHANBATU,1830.4840788523013,"[258, 241, 84, 30, 29]"
KAB. LABUHANBATU SELATAN,1778.8785133965616,"[258, 241, 84, 30]"
KAB. LABUHANBATU UTARA,1844.2527090833564,"[258, 241, 84, 30, 31]"
KAB. LANGKAT,2077.7404695333244,"[258, 241, 84, 32]"
KAB. MANDAILING NATAL,1842.4148400633167,"[258, 145, 63, 33]"
KAB. NIAS,1990.4986036165988,"[258, 259, 107, 62, 34]"
KAB. NIAS BARAT,2020.624724115445,"[258, 259, 107, 62, 34, 35]"
KAB. NIAS SELATAN,2008.9561102851403,"[258, 241, 187, 58, 36]"
KAB. NIAS UTARA,2058.0054380855167,"[258, 241, 212, 213, 57, 37]"
KAB. PADANG LAWAS,1842.5027225364233,"[258, 259, 195, 38]"
KAB. PADANG LAWAS UTARA,1817.5685814605877,"[258, 241, 84, 39]"
KAB. PAKPAK BHARAT,2006.0271511068843,"[258, 241, 84, 39, 40]"
KAB. SAMOSIR,2015.7576976902826,"[258, 259, 107, 72, 41]"
KAB. SERDANG BEDAGAI,1951.6694363617376,"[258, 42]"
KAB. SIMALUNGUN,1972.6252690552205,"[258, 241, 84, 52, 43]"
KAB. TAPANULI SELATAN,1821.542224346932,"[258, 44]"
KAB. TAPANULI TENGAH,1892.1864360735558,"[258, 44, 45]"
KAB. TAPANULI UTARA,1940.1990800491367,"[258, 241, 219, 77, 78, 46]"
KAB. TOBA SAMOSIR,1979.8729522658411,"[258, 241, 219, 77, 78, 46, 47]"
KOTA BINJAI,2044.446846803528,"[258, 241, 84, 52, 48]"
KOTA GUNUNGSITOLI,2011.9727403924237,"[258, 241, 129, 66, 65, 49]"
KOTA MEDAN,2089.326935090605,"[258, 241, 212, 64, 50]"
KOTA PADANGSIDEMPUAN,1881.3308418327904,"[258, 80, 74, 51]"
